#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"18,273,772","+227,311","437,748","+3,967","11,068,936","+125,182","6,767,088","31,712",,,,,,North America,,,
,Asia,"17,844,025","+111,818","306,221","+1,466","15,747,571","+86,468","1,790,233","28,162",,,,,,Asia,,,
,South America,"11,710,946","+70,771","335,781","+1,315","10,441,734","+65,872","933,431","16,785",,,,,,South America,,,
,Europe,"18,995,081","+191,726","438,748","+4,875","8,671,772","+177,210","9,884,561","26,991",,,,,,Europe,,,
,Africa,"2,319,698","+19,454","54,958",+347,"1,977,319","+11,897","287,421","2,535",,,,,,Africa,,,
,Oceania,"46,283",+88,"1,032",+4,"33,188",+13,"12,063",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"69,190,526","+621,168","1,574,503","+11,974","47,941,226","+466,642","19,674,797","106,210","8,876",202.0,,,,All,,,
1,USA,"15,801,970","+208,624","296,448","+3,025","9,198,315","+110,207","6,307,207","27,008","47,617",893,"212,873,369","641,466","331,854,504",North America,21,"1,119",2
2,India,"9,762,326","+26,351","141,735",+337,"9,244,505","+29,699","376,086","8,944","7,044",102,"149,836,767","108,112","1,385,937,994",Asia,142,"9,778",9
3,Brazil,"6,730,118","+54,203","179,032",+848,"5,901,511","+46,802","649,575","8,318","31,564",840,"25,700,000","120,532","213,221,820",South America,32,"1,191",8
4,Russia,"2,541,199","+26,190","44,718",+559,"2,007,792","+26,266","488,689","2,300","17,410",306,"80,522,238","551,666","145,962,052",Europe,57,"3,264",2
5,France,"2,324,216","+14,595","56,648",+296,"173,247","+1,379","2,094,321","3,041","35,573",867,"28,023,593","428,908","65,337,099",Europe,28,"1,153",2
6,Italy,"1,770,149","+12,756","61,739",+499,"997,895","+39,266","710,515","3,320","29,296","1,022","23,504,588","389,003","60,422,565",Europe,34,979,3
7,UK,"1,766,819","+16,578","62,566",+533,N/A,N/A,N/A,"1,272","25,966",920,"46,344,703","681,113","68,042,600",Europe,39,"1,088",1
8,Spain,"1,725,473","+4,886","47,019",+186,N/A,N/A,N/A,"2,179","36,898","1,005","24,101,272","515,395","46,762,763",Europe,27,995,2
9,Argentina,"1,475,222","+5,303","40,222",+213,"1,311,488","+5,901","123,512","3,688","32,510",886,"4,145,226","91,350","45,377,256",South America,31,"1,128",11
