#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"9,175,860","+50,239","316,711",+681,"5,983,587","+52,990","2,875,562","17,497",,,,,,North America,,,
,Asia,"11,181,383","+95,454","203,126","+1,622","9,476,142","+106,746","1,502,115","20,729",,,,,,Asia,,,
,South America,"8,324,078","+36,463","262,182",+746,"7,187,105","+45,339","874,791","17,424",,,,,,South America,,,
,Europe,"5,438,458","+61,884","225,689",+537,"2,899,644","+16,402","2,313,125","9,451",,,,,,Europe,,,
,Africa,"1,527,905","+4,977","36,697",+128,"1,268,405","+8,014","222,803","1,638",,,,,,Africa,,,
,Oceania,"31,832",+278,937,+1,"29,033",+242,"1,862",14,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"35,680,237","+249,295","1,045,357","+3,715","26,844,567","+229,733","7,790,313","66,757","4,577",134.1,,,,All,,,
1,USA,"7,676,933","+39,121","214,970",+359,"4,888,499","+39,461","2,573,464","14,193","23,157",648,"112,373,952","338,976","331,510,437",North America,43,"1,542",3
2,India,"6,682,073","+59,893","103,600",+886,"5,659,110","+75,657","919,363","8,944","4,830",75,"79,982,394","57,810","1,383,530,375",Asia,207,"13,355",17
3,Brazil,"4,940,499","+25,210","146,773",+398,"4,295,302","+32,094","498,424","8,318","23,200",689,"17,900,000","84,056","212,953,890",South America,43,"1,451",12
4,Russia,"1,225,889","+10,888","21,475",+117,"982,324","+3,181","222,090","2,300","8,399",147,"48,042,343","329,168","145,950,977",Europe,119,"6,796",3
5,Colombia,"862,158","+7,106","26,844",+132,"766,300","+4,626","69,014","2,220","16,897",526,"3,930,262","77,028","51,023,638",South America,59,"1,901",13
6,Spain,"852,838","+2,099","32,225",+46,N/A,N/A,N/A,"1,580","18,239",689,"13,689,776","292,770","46,759,558",Europe,55,"1,451",3
7,Peru,"829,999","+1,830","32,834",+92,"712,888","+6,665","84,277","1,269","25,083",992,"3,961,345","119,713","33,090,379",South America,40,"1,008",8
8,Argentina,"798,486",,"21,018",,"636,672",,"140,796","3,950","17,625",464,"2,064,250","45,565","45,303,674",South America,57,"2,155",22
9,Mexico,"761,665","+3,712","79,088",+208,"550,053","+4,523","132,524","2,401","5,891",612,"2,003,141","15,494","129,284,391",North America,170,"1,635",65
10,South Africa,"682,215",+926,"17,016",+40,"615,684",+903,"49,515",539,"11,465",286,"4,280,340","71,936","59,502,099",Africa,87,"3,497",14
11,France,"624,274","+5,084","32,299",+69,"98,680",+902,"493,295","1,415","9,558",495,"11,616,000","177,855","65,311,522",Europe,105,"2,022",6
12,UK,"515,571","+12,594","42,369",+19,N/A,N/A,N/A,368,"7,584",623,"25,865,851","380,495","67,979,397",Europe,132,"1,604",3
13,Iran,"475,674","+3,902","27,192",+235,"392,293","+2,327","56,189","4,167","5,645",323,"4,151,445","49,263","84,270,921",Asia,177,"3,099",20
14,Chile,"471,746","+1,567","13,037",+58,"443,453","+1,383","15,256",853,"24,623",680,"3,502,751","182,826","19,158,936",South America,41,"1,470",5
15,Iraq,"382,949","+3,808","9,464",+65,"312,158","+4,676","61,327",556,"9,467",234,"2,371,348","58,621","40,451,877",Asia,106,"4,274",17
16,Bangladesh,"370,132","+1,442","5,375",+27,"283,182","+1,526","81,575",,"2,242",33,"2,001,431","12,121","165,115,692",Asia,446,"30,719",82
17,Saudi Arabia,"336,766",+379,"4,898",+23,"322,055",+570,"9,813",938,"9,635",140,"6,725,148","192,403","34,953,378",Asia,104,"7,136",5
18,Italy,"327,586","+2,257","36,002",+16,"232,681",+767,"58,903",323,"5,420",596,"11,844,346","195,974","60,438,292",Europe,184,"1,679",5
19,Turkey,"326,046","+1,603","8,498",+57,"286,370","+1,320","31,178","1,412","3,855",100,"10,931,917","129,258","84,574,545",Asia,259,"9,952",8
20,Philippines,"324,762","+2,291","5,840",+64,"273,123",+87,"45,799","1,758","2,954",53,"3,914,732","35,602","109,957,856",Asia,339,"18,828",28
21,Pakistan,"315,260",+644,"6,517",+4,"299,836",+868,"8,907",515,"1,420",29,"3,678,534","16,571","221,988,411",Asia,704,"34,063",60
22,Indonesia,"307,120","+3,622","11,253",+102,"232,593","+4,140","63,274",,"1,120",41,"3,515,165","12,816","274,274,332",Asia,893,"24,373",78
23,Germany,"304,657","+3,086","9,616",+14,"263,700","+1,800","31,341",447,"3,633",115,"16,999,253","202,724","83,854,334",Europe,275,"8,720",5
24,Israel,"272,309","+5,534","1,757",+38,"204,355","+8,726","66,197",880,"29,607",191,"3,733,880","405,963","9,197,590",Asia,34,"5,235",2
25,Ukraine,"230,236","+3,774","4,430",+33,"101,252","+1,145","124,554",177,"5,273",101,"2,382,259","54,559","43,663,726",Europe,190,"9,856",18
26,Canada,"168,960","+2,804","9,504",+23,"142,334","+2,091","17,122",126,"4,466",251,"7,695,259","203,426","37,828,308",North America,224,"3,980",5
27,Ecuador,"141,339",+305,"11,681",+34,"120,511",,"9,147",356,"7,980",659,"455,122","25,696","17,712,036",South America,125,"1,516",39
28,Netherlands,"140,471","+4,579","6,461",+7,N/A,N/A,N/A,177,"8,193",377,"2,603,166","151,834","17,144,850",Europe,122,"2,654",7
29,Romania,"137,491","+1,591","5,048",+45,"108,526",+391,"23,917",592,"7,160",263,"2,516,746","131,057","19,203,449",Europe,140,"3,804",8
30,Bolivia,"136,868",+299,"8,101",+28,"97,547",+442,"31,220",71,"11,684",692,"307,040","26,211","11,714,131",South America,86,"1,446",38
31,Morocco,"134,695","+1,423","2,369",+39,"113,336","+2,300","18,990",457,"3,638",64,"2,731,907","73,788","37,023,865",Africa,275,"15,628",14
32,Belgium,"130,235","+2,612","10,064",+20,"19,679",+34,"100,492",186,"11,224",867,"3,402,761","293,269","11,602,851",Europe,89,"1,153",3
