#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"32,278,180","+95,216","714,552","+3,425","21,463,451","+103,092","10,100,177","26,574",,,,,,North America,,,
,Asia,"23,974,812","+63,154","384,973",+879,"22,491,783","+69,630","1,098,056","22,355",,,,,,Asia,,,
,South America,"16,879,277","+70,175","440,607","+1,787","15,153,575","+26,238","1,285,095","19,933",,,,,,South America,,,
,Europe,"32,130,141","+120,976","764,115","+3,230","18,780,998","+115,133","12,585,028","27,623",,,,,,Europe,,,
,Africa,"3,763,480","+10,039","98,286",+336,"3,293,891","+9,812","371,303","2,499",,,,,,Africa,,,
,Oceania,"50,541",+8,"1,080",,"34,189",+3,"15,272",6,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"109,077,152","+359,568","2,403,628","+9,657","81,218,593","+323,908","25,454,931","98,990","13,994",308.4,,,,All,,,
1,USA,"28,188,960","+78,271","495,764","+1,973","18,142,267","+89,418","9,550,929","19,859","84,854","1,492","333,675,890","1,004,431","332,203,863",North America,12,670,1
2,India,"10,904,738","+12,188","155,673",+85,"10,609,788","+11,079","139,277","8,944","7,854",112,"205,533,398","148,038","1,388,382,654",Asia,127,"8,919",7
3,Brazil,"9,809,754","+44,060","238,532",+931,"8,678,327",,"892,895","8,318","45,949","1,117","28,600,000","133,962","213,493,872",South America,22,895,7
4,Russia,"4,057,698","+14,861","79,696",+502,"3,577,907","+18,765","400,095","2,300","27,798",546,"106,400,000","728,900","145,973,298",Europe,36,"1,832",1
5,UK,"4,027,106","+13,308","116,908",+621,"2,125,331","+31,324","1,784,867","2,943","59,129","1,717","81,044,007","1,189,955","68,106,775",Europe,17,583,1
6,France,"3,448,617","+21,231","81,647",+199,"238,753",,"3,128,217","3,337","52,761","1,249","48,207,178","737,529","65,363,069",Europe,19,801,1
7,Spain,"3,056,035",,"64,747",,N/A,N/A,N/A,"4,432","65,347","1,384","35,782,465","765,138","46,766,017",Europe,15,722,1
8,Italy,"2,710,819","+13,532","93,356",+311,"2,216,050","+13,973","401,413","2,062","44,876","1,545","35,962,939","595,348","60,406,596",Europe,22,647,2
9,Turkey,"2,579,896","+7,706","27,377",+93,"2,468,419","+7,215","84,100","1,235","30,388",322,"31,412,611","369,999","84,899,190",Asia,33,"3,101",3
10,Germany,"2,336,905","+6,483","65,415",+379,"2,112,000","+11,000","159,490","3,736","27,837",779,"41,758,675","497,423","83,949,972",Europe,36,"1,283",2
11,Colombia,"2,190,116","+4,947","57,425",+229,"2,078,391","+5,598","54,300","3,482","42,761","1,121","10,813,163","211,122","51,217,641",South America,23,892,5
12,Argentina,"2,021,553","+6,057","50,188",+159,"1,820,965","+6,805","150,400","3,514","44,477","1,104","6,793,797","149,472","45,451,969",South America,22,906,7
13,Mexico,"1,978,954","+10,388","172,557","+1,323","1,535,786","+7,482","270,611","4,798","15,250","1,330","5,051,401","38,926","129,768,938",North America,66,752,26
14,Poland,"1,583,621","+6,586","40,709",+284,"1,336,467","+6,340","206,445","1,270","41,872","1,076","9,178,403","242,681","37,820,866",Europe,24,929,4
15,Iran,"1,510,873","+7,120","58,883",+74,"1,291,726","+6,712","160,264","3,720","17,847",696,"9,993,224","118,045","84,655,703",Asia,56,"1,438",8
16,South Africa,"1,490,063","+2,382","47,821",+151,"1,385,996","+2,370","56,246",546,"24,930",800,"8,672,596","145,100","59,769,721",Africa,40,"1,250",7
17,Ukraine,"1,268,049","+5,182","24,285",+111,"1,112,299","+6,144","131,465",177,"29,104",557,"6,447,576","147,981","43,570,180",Europe,34,"1,794",7
18,Peru,"1,227,205","+6,457","43,491",+236,"1,137,412","+6,489","46,302","2,075","36,903","1,308","6,879,425","206,870","33,254,816",South America,27,765,5
19,Indonesia,"1,210,703","+8,844","32,936",+280,"1,016,036","+11,919","161,731",,"4,398",120,"10,025,524","36,416","275,308,939",Asia,227,"8,359",27
20,Czechia,"1,082,849","+8,782","18,058",+73,"963,707",+518,"101,084","1,088","101,000","1,684","6,926,172","646,020","10,721,302",Europe,10,594,2
21,Netherlands,"1,025,837","+4,194","14,793",+66,N/A,N/A,N/A,538,"59,786",862,"6,970,400","406,239","17,158,380",Europe,17,"1,160",2
22,Canada,"823,048","+2,742","21,213",+51,"765,043","+2,843","36,792",672,"21,690",559,"22,883,055","603,033","37,946,622",North America,46,"1,789",2
23,Portugal,"784,079","+2,856","15,183",+149,"661,525","+8,786","107,371",803,"77,035","1,492","7,766,721","763,072","10,178,226",Europe,13,670,1
24,Chile,"772,395","+3,924","19,443",+98,"730,204","+4,259","22,748","1,530","40,192","1,012","8,666,840","450,984","19,217,601",South America,25,988,2
25,Romania,"760,091","+2,415","19,325",+48,"706,394","+2,428","34,372",969,"39,675","1,009","5,707,776","297,935","19,157,767",Europe,25,991,3
26,Belgium,"735,220","+2,120","21,599",+48,"50,520",+158,"663,101",294,"63,267","1,859","8,824,522","759,369","11,620,863",Europe,16,538,1
27,Israel,"721,846","+3,100","5,351",+47,"655,519","+3,997","60,976",999,"78,482",582,"11,358,022","1,234,891","9,197,590",Asia,13,"1,719",1
28,Iraq,"641,628","+2,190","13,164",+7,"605,980","+1,158","22,484",271,"15,736",323,"6,192,076","151,857","40,775,718",Asia,64,"3,098",7
29,Sweden,"608,411",,"12,428",,N/A,N/A,N/A,218,"60,012","1,226","5,510,486","543,535","10,138,229",Europe,17,816,2
30,Pakistan,"561,625","+1,262","12,276",+58,"523,700","+5,536","25,649","1,692","2,513",55,"8,399,623","37,578","223,526,127",Asia,398,"18,208",27
31,Philippines,"547,255","+1,960","11,507",+12,"500,781",+133,"34,967",807,"4,953",104,"8,288,845","75,026","110,479,940",Asia,202,"9,601",13
32,Switzerland,"540,727",,"9,755",+8,"317,600",,"213,372",219,"62,197","1,122","4,674,340","537,666","8,693,760",Europe,16,891,2
33,Bangladesh,"540,266",+291,"8,266",+13,"486,767",+374,"45,233",,"3,260",50,"3,835,216","23,145","165,702,507",Asia,307,"20,046",43
34,Morocco,"478,135",+479,"8,460",+10,"458,504",+548,"11,171",305,"12,860",228,"5,516,186","148,363","37,180,411",Africa,78,"4,395",7
35,Austria,"432,303","+1,433","8,195",+25,"409,877","+1,451","14,231",266,"47,831",907,"4,821,686","533,478","9,038,203",Europe,21,"1,103",2
36,Serbia,"419,493","+1,622","4,214",+15,"31,536",,"383,743",135,"48,132",484,"2,762,877","317,008","8,715,480",Europe,21,"2,068",3
37,Japan,"413,154","+1,403","6,849",+75,"380,569","+2,545","25,736",693,"3,273",54,"7,539,403","59,725","126,235,750",Asia,306,"18,431",17
38,Hungary,"385,755","+2,020","13,636",+93,"293,542","+4,022","78,577",299,"39,995","1,414","3,357,672","348,122","9,645,105",Europe,25,707,3
39,Saudi Arabia,"372,410",+337,"6,429",+5,"363,303",+356,"2,678",456,"10,596",183,"12,946,778","368,355","35,147,567",Asia,94,"5,467",3
40,UAE,"345,605","+2,631","1,001",+15,"326,780","+3,589","17,824",,"34,685",100,"27,907,006","2,800,755","9,964,100",Asia,29,"9,954",0
41,Jordan,"344,803","+1,240","4,444",+11,"325,892","+1,181","14,467",153,"33,588",433,"4,178,921","407,077","10,265,680",Asia,30,"2,310",2
42,Lebanon,"336,999","+2,906","3,961",+46,"226,658","+2,278","106,380",882,"49,512",582,"2,792,389","410,258","6,806,429",Asia,20,"1,718",2
43,Panama,"330,985",,"5,595",,"306,634",,"18,756",202,"75,974","1,284","1,782,418","409,134","4,356,567",North America,13,779,2
44,Slovakia,"276,234","+2,330","5,812",+79,"255,300",,"15,122",586,"50,580","1,064","1,895,523","347,084","5,461,283",Europe,20,940,3
45,Nepal,"272,614",+57,"2,054",,"268,929",+133,"1,631",,"9,254",70,"2,113,549","71,746","29,458,887",Asia,108,"14,342",14
46,Belarus,"267,029","+1,745","1,840",+10,"255,980","+1,948","9,209",,"28,265",195,"4,662,913","493,566","9,447,393",Europe,35,"5,134",2
47,Ecuador,"265,527","+2,010","15,269",+49,"220,398",,"29,860",486,"14,911",857,"940,866","52,834","17,807,982",South America,67,"1,166",19
48,Georgia,"265,200",+535,"3,343",+7,"257,441",+757,"4,416",,"66,559",839,"2,434,181","610,926","3,984,409",Asia,15,"1,192",2
49,Malaysia,"261,805","+3,499",958,+5,"209,289","+3,515","51,558",263,"8,026",29,"5,503,992","168,722","32,621,640",Asia,125,"34,052",6
50,Croatia,"237,459",+379,"5,299",+17,"229,709",+382,"2,451",89,"58,065","1,296","1,260,970","308,343","4,089,504",Europe,17,772,3
51,Bolivia,"235,098","+1,244","11,107",+63,"175,958","+1,629","48,033",71,"19,972",944,"635,869","54,019","11,771,134",South America,50,"1,060",19
52,Azerbaijan,"231,995",+155,"3,178",+5,"226,514",+169,"2,303",,"22,754",312,"2,495,198","244,732","10,195,637",Asia,44,"3,208",4
53,Bulgaria,"229,516",+506,"9,608",+14,"196,593",+389,"23,315",302,"33,187","1,389","1,520,384","219,840","6,915,856",Europe,30,720,5
54,Dominican Republic,"228,895","+1,131","2,932",+15,"175,329","+1,447","50,634",255,"20,971",269,"1,134,670","103,954","10,915,078",North America,48,"3,723",10
55,Tunisia,"222,504","+1,049","7,508",+47,"181,627",+429,"33,369",354,"18,706",631,"923,934","77,674","11,894,958",Africa,53,"1,584",13
56,Ireland,"208,796","+1,076","3,931",+66,"23,364",,"181,501",167,"41,996",791,"3,288,084","661,344","4,971,820",Europe,24,"1,265",2
57,Denmark,"204,067",+274,"2,284",+4,"196,027",+402,"5,756",64,"35,155",393,"15,049,553","2,592,587","5,804,841",Europe,28,"2,542",0
58,Kazakhstan,"200,964",+920,"2,540",,"183,315","+1,341","15,109",221,"10,624",134,"6,399,596","338,330","18,915,231",Asia,94,"7,447",3
59,Costa Rica,"199,187",,"2,714",,"160,946",,"35,527",168,"38,882",530,"629,031","122,789","5,122,854",North America,26,"1,888",8
60,Lithuania,"190,241",+510,"3,057",+17,"173,505",+769,"13,679",128,"70,497","1,133","2,015,282","746,801","2,698,553",Europe,14,883,1
61,Slovenia,"179,148","+1,005","3,705",+13,"162,248","+1,295","13,195",149,"86,166","1,782","855,861","411,647","2,079,115",Europe,12,561,2
