#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"35,041,524","+65,372","802,507","+1,475","26,469,197","+78,174","7,769,820","15,225",,,,,,North America,,,
,South America,"19,931,926","+99,892","516,256","+2,688","17,764,380","+56,851","1,651,290","19,599",,,,,,South America,,,
,Asia,"26,840,704","+120,214","415,530",+893,"24,984,139","+85,294","1,441,035","23,470",,,,,,Asia,,,
,Europe,"37,411,883","+198,048","875,858","+2,656","26,455,089","+114,411","10,080,936","28,418",,,,,,Europe,,,
,Africa,"4,128,374","+9,194","109,898",+198,"3,688,640","+5,789","329,836","2,552",,,,,,Africa,,,
,Oceania,"53,810",+317,"1,115",+1,"34,447",+7,"18,248",7,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"123,408,942","+493,037","2,721,179","+7,911","99,396,598","+340,526","21,291,165","89,271","15,832",349.1,,,,All,,,
1,USA,"30,479,489","+53,270","554,859",+780,"22,679,790","+69,422","7,244,840","8,715","91,698","1,669","388,675,996","1,169,340","332,389,130",North America,11,599,1
2,Brazil,"11,950,459","+73,450","292,856","+2,331","10,419,393","+35,933","1,238,210","8,318","55,938","1,371","28,600,000","133,871","213,638,142",South America,18,729,7
3,India,"11,598,710","+43,815","159,790",+196,"11,128,119","+22,970","310,801","8,944","8,346",115,"232,431,517","167,256","1,389,679,065",Asia,120,"8,697",6
4,Russia,"4,447,570","+9,632","94,659",+392,"4,060,652","+11,279","292,259","2,300","30,467",648,"117,000,000","801,484","145,979,262",Europe,33,"1,542",1
5,UK,"4,291,271","+5,587","126,122",+96,"3,650,226","+28,733","514,923",830,"62,977","1,851","112,493,147","1,650,892","68,140,807",Europe,16,540,1
6,France,"4,252,022","+35,345","92,167",+185,"279,646",,"3,880,209","4,287","65,039","1,410","58,498,845","894,795","65,376,842",Europe,15,709,1
7,Italy,"3,356,331","+23,832","104,642",+401,"2,686,236","+14,598","565,453","3,387","55,570","1,733","46,613,817","771,776","60,398,128",Europe,18,577,1
8,Spain,"3,212,332",,"72,910",,"2,945,446",,"193,976","1,997","68,687","1,559","41,114,319","879,117","46,767,743",Europe,15,641,1
9,Turkey,"2,992,694","+21,061","29,959",+95,"2,807,572","+18,815","155,163","1,538","35,214",353,"36,165,468","425,547","84,985,927",Asia,28,"2,837",2
10,Germany,"2,658,851","+13,665","75,196",+123,"2,409,700","+8,000","173,955","2,848","31,662",895,"47,578,793","566,579","83,975,524",Europe,32,"1,117",2
11,Colombia,"2,331,187","+6,761","61,907",+136,"2,225,725","+4,083","43,555","1,982","45,469","1,207","12,247,644","238,888","51,269,474",South America,22,828,4
12,Argentina,"2,241,739","+6,826","54,517",+41,"2,023,664","+6,935","163,558","3,534","49,278","1,198","8,309,165","182,653","45,491,590",South America,20,834,5
13,Mexico,"2,187,910","+5,722","197,219",+613,"1,729,269","+4,475","261,422","4,798","16,843","1,518","5,865,279","45,153","129,898,398",North America,59,659,22
14,Poland,"2,036,700","+26,405","49,159",+349,"1,640,050","+19,778","347,491","2,315","53,857","1,300","11,120,138","294,052","37,816,917",Europe,19,769,3
