#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"12,508,568","+142,585","367,163","+1,613","8,060,436","+50,831","4,080,969","22,602",,,,,,North America,,,
,Asia,"14,606,007","+95,237","258,411","+1,542","13,044,784","+85,972","1,302,812","23,634",,,,,,Asia,,,
,South America,"10,075,274","+48,646","304,139",+743,"8,986,345","+24,584","784,790","17,579",,,,,,South America,,,
,Europe,"12,637,413","+230,885","301,648","+4,803","4,622,143","+126,151","7,713,622","28,293",,,,,,Europe,,,
,Africa,"1,916,069","+12,973","46,025",+341,"1,613,287","+9,725","256,757","2,475",,,,,,Africa,,,
,Oceania,"41,316",+302,993,+3,"32,859",+3,"7,464",25,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"51,785,368","+530,628","1,278,394","+9,045","36,360,513","+297,266","14,146,461","94,612","6,644",164.0,,,,All,,,
1,USA,"10,554,190","+130,495","245,746","+1,291","6,594,419","+41,030","3,714,025","19,077","31,818",741,"160,471,199","483,783","331,700,997",North America,31,"1,350",2
2,India,"8,635,754","+44,679","127,615",+511,"8,011,844","+54,638","496,295","8,944","6,236",92,"119,615,857","86,374","1,384,863,826",Asia,160,"10,852",12
3,Brazil,"5,701,283","+25,517","162,842",+204,"5,064,344",,"474,097","8,318","26,754",764,"21,900,000","102,768","213,102,282",South America,37,"1,309",10
4,France,"1,829,659","+22,180","42,207",+857,"131,920","+2,185","1,655,532","4,750","28,008",646,"18,249,032","279,355","65,325,688",Europe,36,"1,548",4
5,Russia,"1,817,109","+20,977","31,161",+368,"1,350,741","+15,600","435,207","2,300","12,450",213,"65,600,000","449,447","145,957,111",Europe,80,"4,684",2
6,Spain,"1,443,997","+17,395","39,756",+411,N/A,N/A,N/A,"3,064","30,880",850,"19,394,289","414,751","46,761,333",Europe,32,"1,176",2
7,Argentina,"1,262,476","+11,977","34,183",+276,"1,081,897","+8,320","146,396","4,494","27,842",754,"3,289,756","72,550","45,344,427",South America,36,"1,327",14
8,UK,"1,233,775","+20,412","49,770",+532,N/A,N/A,N/A,"1,268","18,140",732,"36,809,469","541,201","68,014,402",Europe,55,"1,367",2
9,Colombia,"1,156,675","+7,612","33,148",+174,"1,059,237","+12,220","64,290","2,376","22,646",649,"5,500,745","107,695","51,076,952",South America,44,"1,541",9
10,Italy,"995,463","+35,098","42,330",+580,"363,023","+17,734","590,110","2,971","16,473",700,"17,740,196","293,568","60,429,582",Europe,61,"1,428",3
11,Mexico,"972,785","+4,960","95,225",+198,"721,076","+5,099","156,484","2,615","7,517",736,"2,516,413","19,444","129,417,549",North America,133,"1,359",51
12,Peru,"925,431","+1,904","34,992",+49,"850,670","+2,324","39,769","1,008","27,929","1,056","4,700,489","141,856","33,135,568",South America,36,947,7
