#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"117,284,747","+15,795","1,547,323",+149,"112,620,061","+61,554","3,117,363","7,833",,,,,,North America,,,,,,
,Asia,"192,057,959","+148,089","1,484,410",+186,"186,038,178","+106,638","4,535,371","9,541",,,,,,Asia,,,,,,
,Europe,"231,908,160","+185,544","1,931,400",+433,"224,281,978","+270,213","5,694,782","10,125",,,,,,Europe,,,,,,
,South America,"64,280,353","+11,600","1,331,641",+90,"62,593,178","+16,157","355,534","10,146",,,,,,South America,,,,,,
,Oceania,"12,514,526","+1,101","21,352",+12,"12,313,847",+166,"179,327",91,,,,,,Australia/Oceania,,,,,,
,Africa,"12,661,050",+657,"257,749",+6,"11,998,315",+94,"404,986","1,000",,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"630,707,516","+362,786","6,573,890",+876,"609,846,263","+454,822","14,287,363","38,736","80,914",843.4,,,,All,,,,,,
1,USA,"98,905,622","+13,946","1,091,063",+141,"96,287,432","+56,248","1,527,127","2,649","295,099","3,255","1,124,301,913","3,354,513","335,160,961",North America,3,307,0,42,0.4,"4,556"
2,India,"44,633,961","+1,531","528,913",,"44,077,068",,"27,980",698,"31,631",375,"897,877,536","636,301","1,411,088,361",Asia,32,"2,668",2,1,,20
3,France,"36,355,694","+87,666","156,081",+101,"35,135,604","+53,298","1,064,009",869,"554,166","2,379","271,490,188","4,138,300","65,604,281",Europe,2,420,0,"1,336",2,"16,219"
4,Brazil,"34,805,068","+8,856","687,376",+83,"33,953,433",,"164,259","8,318","161,119","3,182","63,776,166","295,232","216,020,657",South America,6,314,3,41,0.4,760
5,Germany,"34,758,889",,"151,629",,"33,017,800","+81,100","1,589,460","1,406","411,847","1,797","122,332,384","1,449,479","84,397,500",Europe,2,557,1,,,"18,833"
