#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"96,502,742","+43,402","1,441,301",+689,"78,134,267","+156,433","16,927,174","7,727",,,,,,North America,,,,,,
,Asia,"138,932,840","+653,020","1,400,882","+1,186","120,009,141","+246,874","17,522,817","26,960",,,,,,Asia,,,,,,
,South America,"56,083,508","+44,374","1,287,558",+318,"51,592,226","+86,091","3,203,724","11,616",,,,,,South America,,,,,,
,Europe,"178,015,867","+738,114","1,769,774","+1,759","156,539,056","+633,015","19,707,037","10,656",,,,,,Europe,,,,,,
,Oceania,"5,368,646","+84,169","8,838",+47,"4,606,682","+20,642","753,126",133,,,,,,Australia/Oceania,,,,,,
,Africa,"11,755,661","+2,497","252,809",+48,"10,974,865","+4,410","527,987","1,338",,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"486,659,985","+1,565,576","6,161,177","+4,047","421,856,943","+1,147,465","58,641,865","58,430","62,434",790.4,,,,All,,,,,,
1,USA,"81,723,805","+25,365","1,006,157",+526,"65,020,386","+141,841","15,697,262","2,175","244,404","3,009","982,233,348","2,937,481","334,379,423",North America,4,332,0,76,2,"46,944"
2,India,"43,024,302","+1,087","521,159",+28,"42,487,410",,"15,733","8,944","30,653",371,"787,932,913","561,363","1,403,606,220",Asia,33,"2,693",2,0.8,0.02,11
3,Brazil,"29,916,334","+33,937","659,570",+276,"28,679,560","+61,049","577,204","8,318","139,024","3,065","63,776,166","296,374","215,188,013",South America,7,326,3,158,1,"2,682"
4,France,"25,445,532","+169,024","142,134",+149,"23,166,895","+74,654","2,136,503","1,486","388,334","2,169","254,106,036","3,878,013","65,524,795",Europe,3,461,0,"2,580",2,"32,606"
5,UK,"21,073,009","+39,798","165,187",+213,"18,995,883","+46,061","1,911,939",365,"307,606","2,411","504,238,542","7,360,458","68,506,410",Europe,3,415,0,581,3,"27,909"
6,Germany,"20,970,297","+267,367","129,742",+305,"16,319,700","+226,800","4,520,855","2,494","248,906","1,540","104,701,826","1,242,751","84,250,027",Europe,4,649,1,"3,173",4,"53,660"
7,Russia,"17,823,648","+20,145","368,377",+352,"16,788,291","+51,085","666,980","2,300","122,044","2,522","273,400,000","1,872,047","146,043,329",Europe,8,396,1,138,2,"4,567"
8,Turkey,"14,846,224","+14,993","97,977",+53,"14,515,495","+18,856","232,752",975,"172,796","1,140","153,504,955","1,786,650","85,917,731",Asia,6,877,1,175,0.6,"2,709"
9,Italy,"14,567,990","+77,621","159,224",+170,"13,125,950","+55,303","1,282,816",481,"241,563","2,640","200,421,282","3,323,342","60,307,153",Europe,4,379,0,"1,287",3,"21,271"
10,S. Korea,"12,774,956","+424,528","15,855",+432,N/A,N/A,N/A,"1,301","248,802",309,"15,804,065","307,796","51,345,948",Asia,4,"3,238",3,"8,268",8,"229,611"
11,Spain,"11,508,309",,"102,392",,"10,875,306",,"530,611",492,"245,976","2,189","471,036,328","10,067,829","46,786,284",Europe,4,457,0,,,"11,341"
12,Vietnam,"9,472,254","+85,765","42,454",+41,"7,268,531","+114,685","2,161,269","3,635","95,813",429,"84,217,005","851,863","98,862,150",Asia,10,"2,329",1,868,0.4,"21,861"
13,Argentina,"9,035,127","+2,965","127,997",+27,"8,856,717","+2,072","50,413",541,"196,770","2,788","35,371,141","770,324","45,917,233",South America,5,359,1,65,0.6,"1,098"
14,Netherlands,"7,833,842","+27,818","21,961",+35,"6,339,700","+28,836","1,472,181",140,"455,434","1,277","21,107,399","1,227,115","17,200,832",Europe,2,783,1,"1,617",2,"85,588"
15,Iran,"7,159,733","+2,987","140,158",+49,"6,868,435","+5,137","151,140","1,551","83,386","1,632","49,358,909","574,857","85,862,918",Asia,12,613,2,35,0.6,"1,760"
16,Japan,"6,452,108","+41,473","27,913",+82,"6,008,253","+40,292","415,942",655,"51,287",222,"43,110,998","342,687","125,802,882",Asia,19,"4,507",3,330,0.7,"3,306"
17,Colombia,"6,084,551",+311,"139,607",+12,"5,917,586",+252,"27,358",342,"117,403","2,694","33,899,469","654,098","51,826,308",South America,9,371,2,6,0.2,528
18,Indonesia,"6,009,486","+3,840","155,000",+118,"5,742,931","+7,876","111,555","2,771","21,574",556,"91,894,843","329,898","278,554,917",Asia,46,"1,797",3,14,0.4,400
19,Poland,"5,957,940","+5,742","115,040",+101,"5,315,444","+11,174","527,456",323,"157,724","3,045","35,591,635","942,213","37,774,497",Europe,6,328,1,152,3,"13,963"
20,Mexico,"5,654,311","+2,758","322,845",+84,"4,953,318","+2,632","378,148","4,798","43,068","2,459","15,543,430","118,391","131,289,160",North America,23,407,8,21,0.6,"2,880"
21,Ukraine,"4,961,717",,"107,894",,N/A,N/A,N/A,177,"114,651","2,493","19,521,252","451,080","43,276,687",Europe,9,401,2,,,"18,389"
22,Australia,"4,453,962","+66,974","5,962",+34,"3,850,408",,"597,592",100,"171,211",229,"66,410,932","2,552,839","26,014,535",Australia/Oceania,6,"4,363",0,"2,574",1,"22,971"
23,Malaysia,"4,183,359","+15,941","34,939",+33,"3,941,829","+21,186","206,591",275,"126,434","1,056","56,113,819","1,695,932","33,087,299",Asia,8,947,1,482,1.0,"6,244"
24,Israel,"3,904,305","+10,164","10,485",,"3,782,095",,"111,725",278,"418,647","1,124","41,373,364","4,436,346","9,326,000",Asia,2,889,0,"1,090",,"11,980"
25,Czechia,"3,808,101","+8,915","39,640",+9,"3,700,717","+3,553","67,744",94,"354,455","3,690","54,650,278","5,086,801","10,743,545",Europe,3,271,0,830,0.8,"6,306"
26,Belgium,"3,807,447",,"30,747",,"3,518,510",,"258,190",163,"326,053","2,633","32,719,965","2,801,997","11,677,374",Europe,3,380,0,,,"22,110"
27,Austria,"3,805,155","+34,743","15,812",+48,"3,415,869","+44,120","373,474",245,"418,342","1,738","175,247,380","19,266,846","9,095,800",Europe,2,575,0,"3,820",5,"41,060"
