#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"40,876,836","+38,947","922,854",+630,"34,378,802","+34,308","5,575,180","10,659",,,,,,North America,,,,,,
,Asia,"57,091,347","+175,554","811,707","+2,553","54,252,003","+123,938","2,027,637","27,528",,,,,,Asia,,,,,,
,South America,"33,753,458","+102,609","1,029,350","+3,071","30,931,205","+125,501","1,792,903","28,654",,,,,,South America,,,,,,
,Europe,"48,627,923","+99,148","1,110,412",+971,"45,757,116","+51,981","1,760,395","6,201",,,,,,Europe,,,,,,
,Africa,"5,872,908","+46,486","149,994",+874,"5,061,623","+23,102","661,291","4,598",,,,,,Africa,,,,,,
,Oceania,"79,248",+764,"1,313",+6,"69,531",+101,"8,404",47,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"186,302,441","+463,508","4,025,645","+8,105","170,450,986","+358,931","11,825,810","77,687","23,901",516.5,,,,All,,,,,,
1,USA,"34,675,975","+18,934","622,211",+259,"29,202,367","+19,534","4,851,397","3,832","104,139","1,869","510,421,047","1,532,903","332,976,690",North America,10,535,1,57,0.8,"14,570"
2,India,"30,743,013","+34,443","405,527",+470,"29,871,850","+35,385","465,636","8,944","22,057",291,"425,225,897","305,086","1,393,790,539",Asia,45,"3,437",3,25,0.3,334
3,Brazil,"18,962,786","+53,749","530,344","+1,733","17,422,854","+70,184","1,009,588","8,318","88,572","2,477","54,204,686","253,180","214,095,684",South America,11,404,4,251,8,"4,716"
4,France,"5,799,107","+4,442","111,284",+25,"5,641,613","+3,153","46,210",971,"88,644","1,701","95,427,384","1,458,677","65,420,519",Europe,11,588,1,68,0.4,706
5,Russia,"5,707,452","+24,818","140,775",+734,"5,143,255","+21,336","423,422","2,300","39,093",964,"153,600,000","1,052,068","145,998,175",Europe,26,"1,037",1,170,5,"2,900"
6,Turkey,"5,465,094","+5,171","50,096",+48,"5,333,759","+5,012","81,239",684,"64,098",588,"62,569,538","733,859","85,261,007",Asia,16,"1,702",1,61,0.6,953
