#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"18,516,608","+218,696","441,854","+3,777","11,210,258","+108,816","6,864,496","32,171",,,,,,North America,,,
,Asia,"18,757,867","+121,064","307,881","+1,659","16,553,699","+111,307","1,896,287","28,242",,,,,,Asia,,,
,South America,"11,783,613","+72,192","337,075","+1,289","10,490,048","+47,838","956,490","16,767",,,,,,South America,,,
,Europe,"19,228,057","+219,976","444,135","+5,292","8,838,217","+162,416","9,945,705","26,913",,,,,,Europe,,,
,Africa,"2,339,315","+18,929","55,357",+392,"1,991,321","+13,761","292,637","2,534",,,,,,Africa,,,
,Oceania,"46,414",+131,"1,033",+1,"33,194",+6,"12,187",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"70,672,595","+650,988","1,587,350","+12,410","49,117,443","+444,144","19,967,802","106,652","9,067",203.6,,,,All,,,
1,USA,"16,017,386","+195,772","299,509","+2,790","9,318,207","+90,674","6,399,670","27,218","48,266",903,"214,849,055","647,409","331,859,797",North America,21,"1,108",2
2,India,"9,796,992","+34,666","142,222",+487,"9,290,188","+45,683","364,582","8,944","7,069",103,"150,759,726","108,775","1,385,975,035",Asia,141,"9,745",9
3,Brazil,"6,783,543","+53,425","179,801",+769,"5,931,777","+30,266","671,965","8,318","31,814",843,"25,700,000","120,529","213,225,942",South America,31,"1,186",8
4,Russia,"2,569,126","+27,927","45,280",+562,"2,033,669","+25,877","490,177","2,300","17,601",310,"81,021,364","555,084","145,962,223",Europe,57,"3,224",2
5,France,"2,337,966","+13,750","56,940",+292,"174,658","+1,411","2,106,368","2,959","35,783",871,"28,282,874","432,874","65,337,492",Europe,28,"1,147",2
6,UK,"1,787,783","+20,964","63,082",+516,N/A,N/A,N/A,"1,243","26,274",927,"46,730,999","686,781","68,043,572",Europe,38,"1,079",1
7,Italy,"1,787,147","+16,999","62,626",+887,"1,027,994","+30,099","696,527","3,291","29,578","1,036","23,676,174","391,845","60,422,323",Europe,34,965,3
8,Turkey,"1,748,567","+30,424","15,751",+220,"1,154,333","+12,134","578,483","5,943","20,635",186,"20,500,579","241,929","84,738,106",Asia,48,"5,380",4
9,Spain,"1,734,386","+4,595","47,344",+325,N/A,N/A,N/A,"2,158","37,089","1,012","24,101,272","515,394","46,762,812",Europe,27,988,2
10,Argentina,"1,482,216","+6,994","40,431",+209,"1,318,187","+6,699","123,598","3,665","32,663",891,"4,173,392","91,969","45,378,388",South America,31,"1,122",11
11,Colombia,"1,399,911","+7,778","38,484",+176,"1,296,420","+8,823","65,007","2,376","27,384",753,"6,915,466","135,275","51,121,380",South America,37,"1,328",7
12,Germany,"1,270,432","+28,179","21,233",+529,"922,100","+20,000","327,099","4,339","15,142",253,"30,494,036","363,446","83,902,518",Europe,66,"3,952",3
13,Mexico,"1,205,229","+11,974","111,655",+781,"889,168","+8,118","204,406","3,515","9,305",862,"3,086,510","23,829","129,528,514",North America,107,"1,160",42
14,Poland,"1,102,096","+13,749","21,630",+470,"792,119","+23,878","288,347","1,775","29,134",572,"6,586,361","174,112","37,828,199",Europe,34,"1,749",6
15,Iran,"1,083,023","+10,403","51,496",+284,"778,167","+12,528","253,360","5,768","12,822",610,"6,568,472","77,766","84,464,781",Asia,78,"1,640",13
16,Peru,"977,312",,"36,455",,"912,501",,"28,356","1,016","29,461","1,099","5,204,299","156,883","33,173,225",South America,34,910,6
17,Ukraine,"858,714","+13,371","14,470",+266,"465,021","+13,903","379,223",177,"19,688",332,"4,838,979","110,944","43,616,596",Europe,51,"3,014",9
18,South Africa,"836,764","+8,166","22,747",+173,"756,671","+2,013","57,346",546,"14,031",381,"5,735,470","96,173","59,636,931",Africa,71,"2,622",10
19,Indonesia,"598,933","+6,033","18,336",+165,"491,975","+4,530","88,622",,"2,180",67,"6,200,252","22,563","274,795,584",Asia,459,"14,987",44
20,Belgium,"597,643","+3,071","17,603",+96,"40,541",+283,"539,499",662,"51,468","1,516","6,191,181","533,174","11,611,926",Europe,19,660,2
21,Netherlands,"585,685","+8,720","9,902",+61,N/A,N/A,N/A,491,"34,147",577,"5,077,285","296,023","17,151,667",Europe,29,"1,732",3
