#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"32,041,412","+111,560","702,134","+4,152","21,198,604","+104,780","10,140,674","28,062",,,,,,North America,,,
,Asia,"23,844,157","+65,644","383,202",+916,"22,356,154","+76,682","1,104,801","22,412",,,,,,Asia,,,
,South America,"16,720,914","+77,112","436,649","+2,218","15,057,929","+71,849","1,226,336","19,899",,,,,,South America,,,
,Europe,"31,861,559","+150,116","756,125","+4,609","18,522,974","+143,681","12,582,460","27,908",,,,,,Europe,,,
,Africa,"3,739,241","+12,356","97,385",+498,"3,267,682","+14,150","374,174","2,540",,,,,,Africa,,,
,Oceania,"50,486",+6,"1,080",,"34,169",+7,"15,237",6,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"108,258,490","+416,794","2,376,590","+12,393","80,438,218","+411,149","25,443,682","100,827","13,889",304.9,,,,All,,,
1,USA,"27,991,758","+94,170","486,533","+2,679","17,917,738","+90,418","9,587,487","20,880","84,263","1,465","330,119,480","993,757","332,193,277",North America,12,683,1
2,India,"10,880,413","+9,353","155,484",+85,"10,587,351","+15,722","137,578","8,944","7,837",112,"204,023,840","146,959","1,388,308,574",Asia,128,"8,929",7
3,Brazil,"9,716,298","+53,993","236,397","+1,452","8,643,693","+47,563","836,208","8,318","45,513","1,107","28,600,000","133,967","213,485,628",South America,22,903,7
4,Russia,"4,027,748","+15,038","78,687",+553,"3,538,422","+21,961","410,639","2,300","27,592",539,"105,600,000","723,422","145,972,957",Europe,36,"1,855",1
5,UK,"3,998,655","+13,494","115,529",+678,"2,056,261","+37,417","1,826,865","3,132","58,713","1,696","80,267,452","1,178,587","68,104,830",Europe,17,590,1
6,France,"3,406,685","+21,063","80,803",+360,"238,753","+1,640","3,087,129","3,337","52,120","1,236","47,466,482","726,206","65,362,282",Europe,19,809,1
7,Spain,"3,041,454","+17,853","64,217",+513,N/A,N/A,N/A,"4,432","65,036","1,373","35,782,465","765,140","46,765,919",Europe,15,728,1
8,Italy,"2,683,403","+15,146","92,729",+391,"2,185,655","+19,838","405,019","2,126","44,422","1,535","35,384,786","585,772","60,407,080",Europe,23,651,2
9,Turkey,"2,564,427","+7,590","27,187",+94,"2,453,096","+7,811","84,144","1,256","30,207",320,"31,159,676","367,041","84,894,233",Asia,33,"3,123",3
10,Germany,"2,321,215","+9,918","64,513",+534,"2,087,600","+14,500","169,102","3,736","27,650",768,"41,758,675","497,432","83,948,512",Europe,36,"1,301",2
11,Colombia,"2,179,641","+6,294","56,983",+250,"2,065,209","+9,741","57,449","3,482","42,559","1,113","10,716,322","209,243","51,214,679",South America,23,899,5
12,Argentina,"2,008,345","+7,311","49,874",+200,"1,806,260","+8,140","152,211","3,541","44,188","1,097","6,690,005","147,196","45,449,705",South America,23,911,7
13,Mexico,"1,957,889","+11,138","169,760","+1,328","1,519,572","+8,373","268,557","5,183","15,088","1,308","4,978,871","38,369","129,761,541",North America,66,764,26
14,Poland,"1,570,658","+7,008","40,177",+456,"1,324,101","+4,466","206,380","1,267","41,529","1,062","9,028,104","238,706","37,821,091",Europe,24,941,4
15,Iran,"1,496,455","+7,474","58,751",+65,"1,278,857","+6,570","158,847","3,735","17,678",694,"9,885,913","116,786","84,649,828",Asia,57,"1,441",9
16,South Africa,"1,484,900","+2,488","47,382",+237,"1,377,980","+3,612","59,538",546,"24,845",793,"8,605,729","143,991","59,765,635",Africa,40,"1,261",7
17,Ukraine,"1,258,094","+5,039","24,058",+124,"1,098,944","+6,568","135,092",177,"28,874",552,"6,447,576","147,977","43,571,608",Europe,35,"1,811",7
18,Peru,"1,203,502",,"42,859",,"1,117,729",,"42,914","2,022","36,193","1,289","6,707,787","201,724","33,252,306",South America,28,776,5
19,Indonesia,"1,191,990","+8,435","32,381",+214,"993,117","+10,145","166,492",,"4,330",118,"9,933,751","36,084","275,293,143",Asia,231,"8,502",28
20,Czechia,"1,064,952","+9,446","17,772",+61,"948,796",+244,"98,384","1,057","99,331","1,658","6,719,474","626,747","10,721,194",Europe,10,603,2
21,Netherlands,"1,017,302","+4,394","14,662",+72,N/A,N/A,N/A,537,"59,290",855,"6,970,400","406,244","17,158,174",Europe,17,"1,170",2
22,Canada,"816,052","+2,070","21,060",+56,"757,126","+2,390","37,866",672,"21,506",555,"22,553,847","594,385","37,944,816",North America,46,"1,802",2
23,Portugal,"778,369","+3,480","14,885",+167,"645,122","+8,263","118,362",836,"76,473","1,462","7,697,169","756,227","10,178,388",Europe,13,684,1
24,Chile,"764,307","+3,731","19,262",+157,"723,493","+2,641","21,552","1,538","39,773","1,002","8,559,790","445,435","19,216,706",South America,25,998,2
25,Romania,"755,126","+2,644","19,200",+65,"701,283","+2,749","34,643",958,"39,415","1,002","5,661,319","295,500","19,158,464",Europe,25,998,3
26,Belgium,"730,951","+2,617","21,512",+40,"50,201",+174,"659,238",308,"62,901","1,851","8,729,009","751,168","11,620,588",Europe,16,540,1
27,Israel,"714,812","+5,083","5,283",+26,"644,932","+8,743","64,597",972,"77,717",574,"11,282,448","1,226,674","9,197,590",Asia,13,"1,741",1
28,Iraq,"636,908","+2,369","13,144",+4,"603,814",+994,"19,950",233,"15,622",322,"6,108,475","149,825","40,770,773",Asia,64,"3,102",7
29,Sweden,"604,577",,"12,370",+38,N/A,N/A,N/A,226,"59,635","1,220","5,510,486","543,554","10,137,886",Europe,17,820,2
30,Pakistan,"559,093","+1,502","12,185",+57,"516,683","+1,732","30,225","1,760","2,502",55,"8,325,543","37,250","223,502,651",Asia,400,"18,342",27
31,Philippines,"543,282","+1,734","11,469",+68,"500,335",+423,"31,478",807,"4,918",104,"8,210,357","74,321","110,471,969",Asia,203,"9,632",13
32,Bangladesh,"539,531",+418,"8,248",+9,"485,971",+681,"45,312",,"3,256",50,"3,808,017","22,982","165,693,548",Asia,307,"20,089",44
33,Switzerland,"539,474","+1,356","9,729",+18,"317,600",,"212,145",237,"62,055","1,119","4,641,323","533,890","8,693,415",Europe,16,894,2
34,Morocco,"477,160",+471,"8,440",+4,"457,325",+574,"11,395",333,"12,834",227,"5,493,128","147,752","37,178,021",Africa,78,"4,405",7
35,Austria,"429,139","+1,577","8,138",+24,"407,155","+1,234","13,846",265,"47,482",900,"4,739,747","524,429","9,037,923",Europe,21,"1,111",2
36,Serbia,"415,943","+2,000","4,183",+15,"31,536",,"380,224",141,"47,724",480,"2,742,087","314,616","8,715,672",Europe,21,"2,084",3
37,Japan,"410,012","+1,826","6,678",+121,"375,454","+2,919","27,880",713,"3,248",53,"7,447,270","58,994","126,237,856",Asia,308,"18,904",17
38,Hungary,"381,875","+1,862","13,444",+97,"287,134","+2,112","81,297",299,"39,592","1,394","3,318,850","344,092","9,645,238",Europe,25,717,3
39,Saudi Arabia,"371,720",+364,"6,420",+5,"362,642",+274,"2,658",437,"10,577",183,"12,847,483","365,561","35,144,602",Asia,95,"5,474",3
40,Jordan,"341,984","+1,807","4,421",+10,"324,070",+864,"13,493",144,"33,315",431,"4,134,849","402,805","10,265,126",Asia,30,"2,322",2
41,UAE,"339,667","+3,525",974,+18,"319,787","+3,734","18,906",,"34,091",98,"27,557,474","2,765,857","9,963,447",Asia,29,"10,229",0
42,Lebanon,"331,159","+3,136","3,866",+63,"222,078","+4,500","105,215",927,"48,653",568,"2,758,601","405,283","6,806,596",Asia,21,"1,761",2
43,Panama,"329,367",,"5,550",,"300,610",,"23,207",242,"75,609","1,274","1,762,500","404,596","4,356,196",North America,13,785,2
44,Nepal,"272,430",+81,"2,052",+5,"268,660",+111,"1,718",,"9,249",70,"2,107,649","71,552","29,456,020",Asia,108,"14,355",14
45,Slovakia,"271,473","+2,487","5,629",+127,"253,518","+1,900","12,326",590,"49,709","1,031","1,871,130","342,618","5,461,269",Europe,20,970,3
46,Georgia,"264,158",+557,"3,321",+10,"256,024",+639,"4,813",,"66,297",833,"2,382,635","597,983","3,984,451",Asia,15,"1,200",2
47,Belarus,"263,551","+1,692","1,820",+9,"252,068","+1,990","9,663",,"27,897",193,"4,624,687","489,519","9,447,410",Europe,36,"5,191",2
48,Ecuador,"262,213","+2,137","15,174",+58,"220,398",,"26,641",476,"14,726",852,"927,261","52,074","17,806,518",South America,68,"1,173",19
49,Malaysia,"254,988","+3,384",936,+13,"202,269","+3,774","51,783",259,"7,817",29,"5,420,256","166,167","32,619,374",Asia,128,"34,850",6
50,Croatia,"236,709",+376,"5,263",+25,"228,896",+397,"2,550",88,"57,880","1,287","1,250,855","305,859","4,089,642",Europe,17,777,3
51,Bolivia,"232,502","+1,771","10,996",+67,"172,710","+1,738","48,796",71,"19,753",934,"624,202","53,032","11,770,264",South America,51,"1,070",19
52,Azerbaijan,"231,649",+140,"3,170",+3,"226,119",+205,"2,360",,"22,722",311,"2,478,223","243,079","10,195,138",Asia,44,"3,216",4
53,Bulgaria,"228,044","+1,070","9,561",+34,"195,682",+471,"22,801",293,"32,973","1,382","1,502,690","217,273","6,916,140",Europe,30,723,5
