#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"118,218,291","+21,639","1,556,351",+131,"113,724,862","+22,717","2,937,078","7,844",,,,,,North America,,,,,,
,Asia,"195,174,799","+199,056","1,491,397",+327,"188,106,494","+85,433","5,576,908","9,164",,,,,,Asia,,,,,,
,Europe,"235,399,600","+48,636","1,948,017",+269,"229,250,207","+227,420","4,201,376","7,684",,,,,,Europe,,,,,,
,South America,"64,546,967","+17,444","1,333,658",+82,"62,877,234","+8,327","336,075","10,107",,,,,,South America,,,,,,
,Oceania,"12,688,642","+3,459","21,770",+16,"12,512,305",,"154,567",97,,,,,,Australia/Oceania,,,,,,
,Africa,"12,683,648",+843,"257,953",+1,"12,008,490",+176,"417,205",842,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"638,712,668","+291,077","6,609,161",+826,"618,480,298","+344,073","13,623,209","35,738","81,941",847.9,,,,All,,,,,,
1,USA,"99,738,504","+21,591","1,098,765",+130,"97,306,658","+19,517","1,333,081","2,660","297,900","3,282","1,133,104,201","3,384,368","334,805,269",North America,3,305,0,64,0.4,"3,982"
2,India,"44,663,634",+682,"530,511",,"44,118,882",,"14,241",698,"31,752",377,"902,104,560","641,322","1,406,631,776",Asia,31,"2,651",2,0.5,,10
3,France,"37,041,020","+28,702","157,618",+72,"36,317,972","+56,676","565,430",869,"564,783","2,403","271,490,188","4,139,547","65,584,518",Europe,2,416,0,438,1,"8,621"
4,Germany,"35,932,654",,"155,012",,"34,732,600","+101,900","1,045,042","1,406","428,363","1,848","122,332,384","1,458,359","83,883,596",Europe,2,541,1,,,"12,458"
5,Brazil,"34,919,019","+9,539","688,617",+78,"34,085,759",,"144,643","8,318","162,147","3,198","63,776,166","296,146","215,353,593",South America,6,313,3,44,0.4,672
6,S. Korea,"25,981,655","+62,472","29,479",+59,"25,241,658","+26,793","710,518",336,"506,170",574,"15,804,065","307,892","51,329,899",Asia,2,"1,741",3,"1,217",1,"13,842"
7,UK,"23,930,041",,"194,704",,"23,611,682","+8,755","123,655",146,"349,354","2,842","522,526,476","7,628,357","68,497,907",Europe,3,352,0,,,"1,805"
8,Italy,"23,642,011",,"179,436",,"23,037,464",,"425,111",238,"392,315","2,978","253,427,252","4,205,370","60,262,770",Europe,3,336,0,,,"7,054"
9,Japan,"22,877,660","+87,410","47,236",+97,"20,530,657","+2,548","2,299,767",177,"182,169",376,"78,307,523","623,543","125,584,838",Asia,5,"2,659",2,696,0.8,"18,312"
10,Russia,"21,477,926","+5,335","390,774",+62,"20,876,892","+8,492","210,260","2,300","147,305","2,680","273,400,000","1,875,095","145,805,947",Europe,7,373,1,37,0.4,"1,442"
11,Turkey,"16,919,638",,"101,203",,"16,818,435",,0,,"197,747","1,183","162,743,369","1,902,052","85,561,976",Asia,5,845,1,,,
12,Spain,"13,529,643",,"115,239",,"13,313,832",,"100,572",339,"289,595","2,467","471,036,328","10,082,298","46,719,142",Europe,3,405,0,,,"2,153"
13,Vietnam,"11,507,124",+468,"43,166",,"10,605,315",+307,"858,643",66,"116,288",436,"85,826,548","867,342","98,953,541",Asia,9,"2,292",1,5,,"8,677"
14,Australia,"10,426,939","+3,373","15,808",+16,"10,364,130",,"47,001",42,"399,978",606,"78,835,048","3,024,116","26,068,792",Australia/Oceania,3,"1,649",0,129,0.6,"1,803"
15,Argentina,"9,720,232",,"130,003",,"9,585,461",,"4,768",246,"211,262","2,826","35,716,069","776,264","46,010,234",South America,5,354,1,,,104
