#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"47,851,200","+113,194","991,963",+893,"37,578,390","+106,615","9,280,847","32,762",,,,,,North America,,,,,,
,Asia,"69,870,159","+230,886","1,031,311","+3,540","65,064,138","+232,228","3,774,710","41,547",,,,,,Asia,,,,,,
,South America,"36,882,210","+18,783","1,129,230",+687,"34,682,606","+39,143","1,070,374","23,053",,,,,,South America,,,,,,
,Europe,"55,200,578","+93,076","1,171,627","+1,329","50,312,805","+141,642","3,716,146","11,574",,,,,,Europe,,,,,,
,Africa,"7,836,001","+23,074","195,912",+671,"6,941,109","+31,468","698,980","4,506",,,,,,Africa,,,,,,
,Oceania,"160,985","+1,607","2,141",+52,"113,357",+3,"45,487",231,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"217,801,854","+480,620","4,522,199","+7,172","194,693,111","+551,099","18,586,544","113,673","27,942",580.2,,,,All,,,,,,
1,USA,"39,886,814","+91,403","655,707",+477,"30,925,568","+75,202","8,305,539","25,590","119,688","1,968","581,937,983","1,746,213","333,257,237",North America,8,508,1,274,1,"24,922"
2,India,"32,767,820","+30,251","438,592",+205,"31,952,213","+36,244","377,015","8,944","23,477",314,"520,146,525","372,664","1,395,753,675",Asia,43,"3,182",3,22,0.1,270
3,Brazil,"20,752,281","+10,466","579,643",+313,"19,692,898","+29,150","479,740","8,318","96,831","2,705","56,897,224","265,485","214,314,149",South America,10,370,4,49,1,"2,238"
4,Russia,"6,901,152","+18,325","182,429",+792,"6,162,430","+14,180","556,293","2,300","47,266","1,249","178,500,000","1,222,542","146,007,206",Europe,21,800,1,126,5,"3,810"
5,UK,"6,757,650","+26,476","132,485",+48,"5,427,062","+43,413","1,198,103",982,"98,940","1,940","266,714,771","3,905,032","68,300,272",Europe,10,516,0,388,0.7,"17,542"
6,France,"6,746,283","+3,795","114,308",+98,"6,225,299","+28,523","406,676","2,270","103,089","1,747","124,769,146","1,906,579","65,441,374",Europe,10,573,1,58,1,"6,214"
7,Turkey,"6,366,438","+19,557","56,458",+245,"5,823,111","+13,401","486,869",633,"74,555",661,"76,140,298","891,652","85,392,352",Asia,13,"1,512",1,229,3,"5,702"
