#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"111,751,325","+61,692","1,509,625",+375,"104,818,243","+120,025","5,423,457","9,880",,,,,,North America,,,,,,
,Asia,"174,472,080","+398,583","1,452,434",+379,"165,326,739","+336,196","7,692,907","13,033",,,,,,Asia,,,,,,
,Europe,"217,585,555","+158,071","1,884,952",+584,"209,258,272","+467,054","6,442,331","9,137",,,,,,Europe,,,,,,
,South America,"62,749,582","+38,930","1,319,099",+371,"60,370,313","+99,519","1,060,170","10,575",,,,,,South America,,,,,,
,Oceania,"11,700,822","+34,074","17,605",+125,"11,264,967","+9,032","418,250",181,,,,,,Australia/Oceania,,,,,,
,Africa,"12,551,082",+767,"257,021",+3,"11,720,840","+1,132","573,221",972,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"590,811,167","+692,117","6,440,751","+1,837","562,760,080","+1,032,958","21,610,336","43,778","75,796",826.3,,,,All,,,,,,
1,USA,"94,124,280","+53,596","1,059,631",+332,"89,261,673","+92,272","3,802,976","4,484",,,"1,088,803,509",,,North America,,,,,,
2,India,"44,188,087","+13,437","526,772",,"43,516,071",,"145,244",698,"31,373",374,"878,552,017","623,752","1,408,495,540",Asia,32,"2,674",2,10,,103
3,France,"34,117,888","+38,230","152,822",+111,"33,105,770","+89,873","859,296",869,"520,274","2,330","271,490,188","4,140,038","65,576,736",Europe,2,429,0,583,2,"13,104"
4,Brazil,"34,066,000","+30,220","680,598",+359,"32,854,341","+64,047","531,061","8,318","157,909","3,155","63,776,166","295,627","215,732,117",South America,6,317,3,140,2,"2,462"
5,Germany,"31,307,020",,"145,028",,"29,752,600","+129,700","1,409,392","1,406","371,172","1,719","122,332,384","1,450,357","84,346,395",Europe,3,582,1,,,"16,710"
6,UK,"23,368,899",,"185,052",,"22,910,419","+26,768","273,428",146,"340,482","2,696","522,526,476","7,613,146","68,634,760",Europe,3,371,0,,,"3,984"
7,Italy,"21,368,480","+43,078","173,426",+177,"20,176,727","+78,741","1,018,327",331,"354,515","2,877","239,104,181","3,966,874","60,275,215",Europe,3,348,0,715,3,"16,895"
8,S. Korea,"20,694,239","+149,819","25,332",+40,"19,052,367","+68,550","1,616,540",364,"402,911",493,"15,804,065","307,701","51,361,809",Asia,2,"2,028",3,"2,917",0.8,"31,474"
9,Russia,"18,746,886","+16,325","382,846",+60,"18,061,168","+13,092","302,872","2,300","128,345","2,621","273,400,000","1,871,759","146,065,820",Europe,8,382,1,112,0.4,"2,074"
10,Turkey,"16,295,817",,"99,678",,"15,875,121",,"321,018",975,"188,948","1,156","162,743,369","1,886,992","86,244,854",Asia,5,865,1,,,"3,722"
11,Japan,"14,421,539","+172,998","33,825",+162,"12,349,238","+193,086","2,038,476",581,"114,763",269,"65,071,672","517,823","125,663,859",Asia,9,"3,715",2,"1,377",1,"16,222"
12,Spain,"13,280,557","+3,594","111,339",+62,"12,862,276","+27,809","306,942",339,"283,816","2,379","471,036,328","10,066,429","46,792,793",Europe,4,420,0,77,1,"6,560"
13,Vietnam,"11,351,563","+2,340","43,094",,"9,991,865","+9,520","1,316,604",103,"114,457",435,"85,826,548","865,382","99,177,693",Asia,9,"2,301",1,24,,"13,275"
14,Australia,"9,684,642","+26,530","12,439",+104,"9,362,715",,"309,488",141,"370,758",476,"76,993,711","2,947,556","26,121,204",Australia/Oceania,3,"2,100",0,"1,016",4,"11,848"
15,Argentina,"9,602,534",,"129,440",,"9,336,387",,"136,707",456,"208,449","2,810","35,716,069","775,313","46,066,661",South America,5,356,1,,,"2,968"
16,Netherlands,"8,356,803","+2,168","22,532",+4,"8,219,857","+5,134","114,414",52,"485,452","1,309","21,107,399","1,226,143","17,214,466",Europe,2,764,1,126,0.2,"6,646"
17,Iran,"7,446,144","+2,343","142,564",+49,"7,121,087","+8,197","182,493","1,499","86,331","1,653","53,322,294","618,225","86,250,637",Asia,12,605,2,27,0.6,"2,116"
18,Mexico,"6,859,970","+2,500","328,342",+22,"6,054,105","+19,229","477,523","4,798","52,057","2,492","17,841,685","135,393","131,777,406",North America,19,401,7,19,0.2,"3,624"
19,Colombia,"6,278,998",,"141,075",,"6,096,946",,"40,977",342,"120,699","2,712","36,086,570","693,682","52,021,792",South America,8,369,1,,,788
20,Indonesia,"6,255,679","+6,276","157,131",+18,"6,047,507","+4,850","51,041","2,771","22,374",562,"104,732,446","374,583","279,597,422",Asia,45,"1,779",3,22,0.06,183
21,Poland,"6,100,827","+5,964","116,686",+26,"5,335,875",+3,"648,266","2,389","161,570","3,090","36,742,741","973,070","37,759,604",Europe,6,324,1,158,0.7,"17,168"
22,Portugal,"5,367,395","+3,949","24,707",+10,"5,238,786","+10,785","103,902",61,"529,626","2,438","43,527,258","4,295,039","10,134,310",Europe,2,410,0,390,1.0,"10,252"
23,Ukraine,"5,026,496",,"108,727",,"4,912,283",+214,"5,486",177,"116,401","2,518","19,521,252","452,065","43,182,427",Europe,9,397,2,,,127
24,Austria,"4,796,689","+5,675","19,215",+15,"4,698,570","+8,892","78,904",77,"526,282","2,108","194,067,808","21,292,678","9,114,298",Europe,2,474,0,623,2,"8,657"
25,Taiwan,"4,777,903","+23,669","9,273",+18,"4,327,801","+27,150","440,829",,"199,851",388,"23,179,113","969,542","23,907,272",Asia,5,"2,578",1,990,0.8,"18,439"
26,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,457",3,,,"26,016,015",Asia,5,"351,568",,,,
27,Malaysia,"4,714,498","+3,083","36,044",+12,"4,635,737","+4,229","42,717",62,"141,845","1,084","62,848,314","1,890,922","33,236,854",Asia,7,922,1,93,0.4,"1,285"
28,Thailand,"4,609,406","+1,955","31,666",+33,"4,556,796","+2,294","20,944","1,496","65,691",451,"17,270,775","246,136","70,167,683",Asia,15,"2,216",4,28,0.5,298
29,Israel,"4,598,476",,"11,433",,"4,550,603",,"36,440",310,"493,081","1,226","41,373,364","4,436,346","9,326,000",Asia,2,816,0,,,"3,907"
30,Greece,"4,474,616",,"31,377",,"4,371,699","+17,885","71,540",115,"433,746","3,042","89,320,544","8,658,269","10,316,213",Europe,2,329,0,,,"6,935"
31,Belgium,"4,444,819",,"32,329",,"4,281,469","+12,579","131,021",108,"380,044","2,764","35,117,590","3,002,652","11,695,523",Europe,3,362,0,,,"11,203"
32,Chile,"4,320,173","+5,714","59,840",+5,"4,220,717","+12,328","39,616",169,"221,994","3,075","42,555,426","2,186,728","19,460,773",South America,5,325,0,294,0.3,"2,036"
33,Canada,"4,084,728",,"42,901",,"3,931,226","+1,016","110,601",279,"106,271","1,116","63,719,391","1,657,760","38,437,040",North America,9,896,1,,,"2,877"
34,South Africa,"4,006,916",,"101,982",,"3,897,607",,"7,327",192,"65,818","1,675","26,024,796","427,484","60,879,026",Africa,15,597,2,,,120
35,Czechia,"4,002,616","+2,958","40,587",+4,"3,945,181","+2,606","16,848",36,"372,313","3,775","55,814,023","5,191,669","10,750,689",Europe,3,265,0,275,0.4,"1,567"
36,Switzerland,"3,975,537","+2,795","14,096",,"3,818,734","+12,788","142,707",59,"452,407","1,604","21,940,825","2,496,816","8,787,522",Europe,2,623,0,318,,"16,240"
37,Peru,"3,970,336",,"214,694",,"3,659,065","+14,374","96,577",248,"116,993","6,326","33,392,028","983,959","33,936,417",South America,9,158,1,,,"2,846"
38,Philippines,"3,810,772","+2,618","60,864",+27,"3,713,242","+3,865","36,666",757,"33,830",540,"31,708,324","281,491","112,643,996",Asia,30,"1,851",4,23,0.2,326
39,Romania,"3,130,545","+9,864","66,236",+41,"2,945,516","+4,939","118,793",295,"165,040","3,492","24,267,249","1,279,351","18,968,413",Europe,6,286,1,520,2,"6,263"
40,Denmark,"3,072,250","+1,464","6,758",+7,"3,049,605","+1,560","15,887",13,"526,519","1,158","128,036,749","21,942,790","5,835,026",Europe,2,863,0,251,1,"2,723"
41,Sweden,"2,545,671",,"19,402",,"2,505,768",+360,"20,501",16,"248,807","1,896","18,775,827","1,835,102","10,231,492",Europe,4,527,1,,,"2,004"
42,Iraq,"2,451,178",,"25,326",,"2,409,652",,"16,200",21,"58,198",601,"19,110,211","453,730","42,118,049",Asia,17,"1,663",2,,,385
43,Serbia,"2,178,198","+7,265","16,380",+10,"2,060,219","+4,486","101,599",34,"251,422","1,891","10,371,051","1,197,096","8,663,511",Europe,4,529,1,839,1,"11,727"
44,Bangladesh,"2,007,870",+239,"29,308",+1,"1,949,154",+489,"29,408","1,228","11,942",174,"14,650,376","87,135","168,134,878",Asia,84,"5,737",11,1,0.01,175
45,Hungary,"1,987,321",,"46,886",,"1,898,374",,"42,061",19,"206,822","4,879","11,394,556","1,185,838","9,608,867",Europe,5,205,1,,,"4,377"
46,Slovakia,"1,824,238",+874,"20,269",+6,"1,793,125","+1,181","10,844",39,"333,792","3,709","7,241,018","1,324,934","5,465,193",Europe,3,270,1,160,1,"1,984"
47,Singapore,"1,771,088","+7,972","1,542",+1,"1,681,632","+5,799","87,914",27,"297,814",259,"24,265,502","4,080,322","5,946,957",Asia,3,"3,857",0,"1,341",0.2,"14,783"
48,Jordan,"1,720,778",,"14,090",,"1,701,987",,"4,701",56,"165,208","1,353","17,045,258","1,636,475","10,415,838",Asia,6,739,1,,,451
49,Georgia,"1,698,020",,"16,869",,"1,637,293",,"43,858",,"427,380","4,246","16,920,079","4,258,665","3,973,095",Asia,2,236,0,,,"11,039"
50,New Zealand,"1,666,539","+6,137","2,413",+20,"1,627,644","+7,343","36,482",,"333,168",482,"7,414,827","1,482,343","5,002,100",Australia/Oceania,3,"2,073",1,"1,227",4,"7,293"
51,Ireland,"1,647,605",,"7,662",,"1,616,987","+1,891","22,956",28,"326,025","1,516","12,572,172","2,487,759","5,053,614",Europe,3,660,0,,,"4,542"
52,Pakistan,"1,560,350",+421,"30,508",,"1,519,058",,"10,784",159,"6,787",133,"29,730,067","129,317","229,900,022",Asia,147,"7,536",8,2,,47
53,Norway,"1,457,385",+198,"3,623",,"1,450,800",+58,"2,962",20,"264,486",658,"11,002,430","1,996,719","5,510,254",Europe,4,"1,521",1,36,,538
54,Hong Kong,"1,393,327","+4,045","9,550",+3,"1,244,464","+1,834","139,313",8,"182,739","1,253","54,352,132","7,128,429","7,624,700",Asia,5,798,0,531,0.4,"18,271"
55,Kazakhstan,"1,369,333","+1,128","13,669",,"1,329,423","+1,699","26,241",24,"71,140",710,"11,575,012","601,351","19,248,361",Asia,14,"1,408",2,59,,"1,363"
56,Morocco,"1,262,887",+191,"16,260",+1,"1,244,813",+327,"1,814",293,"33,384",430,"12,302,574","325,213","37,829,303",Africa,30,"2,327",3,5,0.03,48
