#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"101,922,405","+84,464","1,475,462",+335,"96,144,215","+64,634","4,302,728","8,012",,,,,,North America,,,,,,
,Asia,"156,542,475","+224,665","1,432,331",+248,"149,338,248","+241,580","5,771,896","10,878",,,,,,Asia,,,,,,
,South America,"57,855,183","+51,454","1,299,277",+153,"53,592,735","+17,984","2,963,171","10,502",,,,,,South America,,,,,,
,Europe,"196,645,196","+119,020","1,842,544",+475,"185,944,597","+152,932","8,858,055","6,228",,,,,,Europe,,,,,,
,Oceania,"8,836,354","+43,005","12,465",+67,"8,460,017","+49,402","363,872",119,,,,,,Australia/Oceania,,,,,,
,Africa,"12,158,803","+4,405","254,993",+34,"11,359,234","+5,241","544,576",961,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"533,961,137","+527,013","6,317,087","+1,312","504,839,752","+531,773","22,804,298","36,700","68,502",810.4,,,,All,,,,,,
1,USA,"86,248,942","+73,311","1,032,694",+196,"82,385,798","+59,992","2,830,450","2,600","257,676","3,085","1,031,237,104","3,080,911","334,718,197",North America,4,324,0,219,0.6,"8,456"
2,India,"43,169,599","+3,861","524,641",,"42,620,394",,"24,564",698,"30,704",373,"851,338,595","605,514","1,405,976,799",Asia,33,"2,680",2,3,,17
3,Brazil,"31,101,290","+41,273","666,978",+130,"30,054,599","+16,399","379,713","8,318","144,354","3,096","63,776,166","296,011","215,451,821",South America,7,323,3,192,0.6,"1,762"
4,France,"29,570,762","+25,365","148,426",+41,"28,981,958","+32,715","440,378","1,173","451,118","2,264","271,490,188","4,141,728","65,549,979",Europe,2,442,0,387,0.6,"6,718"
5,Germany,"26,469,531","+47,396","139,616",+126,"25,459,000","+67,800","870,915",656,"314,004","1,656","122,332,384","1,451,211","84,296,751",Europe,3,604,1,562,1,"10,332"
6,UK,"22,305,893",,"178,749",,"21,945,224",,"181,920",188,"325,307","2,607","522,526,476","7,620,488","68,568,641",Europe,3,384,0,,,"2,653"
