#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"7,461,374","+51,534","274,619","+1,956","4,333,796","+48,327","2,852,959","19,450",,,,,,North America,,,
,South America,"6,467,306","+78,693","206,645","+2,050","5,100,338","+80,989","1,160,323","15,268",,,,,,South America,,,
,Asia,"7,297,325","+108,836","145,652","+1,565","5,855,752","+87,642","1,295,921","18,830",,,,,,Asia,,,
,Europe,"3,646,393","+35,078","208,567",+393,"2,099,216","+12,458","1,338,610","5,842",,,,,,Europe,,,
,Africa,"1,272,564","+8,147","30,346",+242,"1,010,558","+8,004","231,660","1,278",,,,,,Africa,,,
,Oceania,"28,825",+169,692,+6,"23,910",+326,"4,223",35,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"26,174,508","+282,457","866,536","+6,212","18,424,221","+237,746","6,883,751","60,707","3,358",111.2,,,,All,,,
1,USA,"6,297,659","+40,088","189,929","+1,029","3,537,272","+40,359","2,570,458","15,134","19,007",573,"84,036,917","253,631","331,335,757",North America,53,"1,745",4
2,Brazil,"4,001,422","+48,632","123,899","+1,218","3,210,405","+51,309","667,118","8,318","18,802",582,"14,352,484","67,440","212,817,864",South America,53,"1,718",15
3,India,"3,848,968","+82,860","67,486","+1,026","2,967,396","+67,875","814,086","8,944","2,784",49,"44,337,201","32,075","1,382,308,045",Asia,359,"20,483",31
4,Russia,"1,005,000","+4,952","17,414",+115,"821,169","+5,464","166,417","2,300","6,886",119,"37,100,000","254,205","145,945,354",Europe,145,"8,381",4
5,Peru,"663,437","+6,308","29,259",+191,"480,177","+8,578","154,001","1,500","20,074",885,"3,256,711","98,542","33,048,955",South America,50,"1,130",10
6,Colombia,"633,339","+9,270","20,348",+296,"479,568","+10,011","133,423","1,493","12,425",399,"2,810,137","55,128","50,974,767",South America,80,"2,505",18
7,South Africa,"630,595","+2,336","14,389",+126,"553,456","+3,463","62,750",539,"10,610",242,"3,726,721","62,703","59,434,682",Africa,94,"4,131",16
8,Mexico,"606,036","+6,476","65,241",+827,"421,373","+4,635","119,422","3,275","4,692",505,"1,360,123","10,530","129,162,329",North America,213,"1,980",95
9,Spain,"479,554","+8,581","29,194",+42,N/A,N/A,N/A,874,"10,256",624,"9,210,337","196,979","46,757,930",Europe,98,"1,602",5
10,Argentina,"439,172","+10,933","9,118",+199,"315,530","+7,154","114,524","2,359","9,702",201,"1,300,866","28,738","45,266,317",South America,103,"4,965",35
