#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"116,730,609","+32,104","1,542,853",+280,"111,803,721","+94,362","3,384,035","7,961",,,,,,North America,,,,,,
,Asia,"190,550,382","+128,921","1,481,476",+247,"184,725,394","+104,221","4,343,512","10,663",,,,,,Asia,,,,,,
,Europe,"228,773,081","+165,702","1,923,396",+329,"221,857,431","+195,005","4,992,254","9,964",,,,,,Europe,,,,,,
,South America,"64,169,412","+11,179","1,330,525",+167,"62,469,343","+16,907","369,544","10,211",,,,,,South America,,,,,,
,Oceania,"12,411,497","+1,502","21,034",+15,"12,248,220",+3,"142,243",97,,,,,,Australia/Oceania,,,,,,
,Africa,"12,652,438",+871,"257,660",+6,"11,994,869",+747,"399,909","1,015",,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"625,288,140","+340,279","6,556,959","+1,044","605,099,684","+411,245","13,631,497","39,911","80,219",841.2,,,,All,,,,,,
1,USA,"98,474,755","+30,873","1,087,341",+272,"95,525,716","+90,764","1,861,698","2,767","294,125","3,248","1,120,251,095","3,345,978","334,805,269",North America,3,308,0,92,0.8,"5,561"
2,India,"44,605,149",+686,"528,745",,"44,043,436",,"32,968",698,"31,711",376,"895,958,696","636,953","1,406,631,776",Asia,32,"2,660",2,0.5,,23
3,France,"35,705,236","+65,537","155,369",+50,"34,704,766","+28,639","845,101",869,"544,416","2,369","271,490,188","4,139,547","65,584,518",Europe,2,422,0,999,0.8,"12,886"
4,Brazil,"34,750,108","+6,510","686,759",+119,"33,905,120","+6,639","158,229","8,318","161,363","3,189","63,776,166","296,146","215,353,593",South America,6,314,3,30,0.6,735
5,Germany,"33,652,255",,"150,289",,"32,512,500","+39,100","989,466","1,406","401,178","1,792","122,332,384","1,458,359","83,883,596",Europe,2,558,1,,,"11,796"
6,S. Korea,"24,911,497","+28,603","28,573",+29,"24,365,922","+34,748","517,002",325,"485,321",557,"15,804,065","307,892","51,329,899",Asia,2,"1,796",3,557,0.6,"10,072"
7,UK,"23,672,855",,"190,317",,"23,373,264","+3,746","109,274",146,"345,600","2,778","522,526,476","7,628,357","68,497,907",Europe,3,360,0,,,"1,595"
