#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"34,453,340","+77,938","788,168","+2,059","25,732,477","+106,669","7,932,695","18,321",,,,,,North America,,,
,South America,"19,105,020","+107,254","493,844","+2,533","17,124,464","+60,327","1,486,712","19,044",,,,,,South America,,,
,Asia,"25,987,554","+97,094","408,380",+907,"24,316,110","+74,666","1,263,064","22,541",,,,,,Asia,,,
,Europe,"35,938,893","+184,283","851,582","+3,254","25,414,358","+119,576","9,672,953","26,924",,,,,,Europe,,,
,Africa,"4,047,062","+9,432","107,434",+227,"3,613,981","+9,892","325,647","2,610",,,,,,Africa,,,
,Oceania,"52,194",+47,"1,099",,"34,364",+7,"16,731",4,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"119,584,784","+476,048","2,650,522","+8,980","96,236,460","+371,137","20,697,802","89,444","15,342",340.0,,,,All,,,
1,USA,"29,989,883","+63,245","545,354","+1,311","22,029,360","+94,881","7,415,169","11,759","90,237","1,641","376,068,767","1,131,555","332,346,783",North America,11,609,1
2,Brazil,"11,368,316","+84,047","275,276","+2,152","10,000,980","+42,414","1,092,060","8,318","53,221","1,289","28,600,000","133,892","213,605,166",South America,19,776,7
3,India,"11,333,491","+27,512","158,483",+157,"10,971,347","+24,095","203,661","8,944","8,157",114,"224,998,638","161,941","1,389,382,743",Asia,123,"8,767",6
4,Russia,"4,370,617","+9,794","91,220",+486,"3,973,029","+13,496","306,368","2,300","29,940",625,"114,400,000","783,680","145,977,899",Europe,33,"1,600",1
5,UK,"4,248,286","+6,609","125,343",+175,"3,424,092","+37,437","698,851","1,194","62,353","1,840","103,053,938","1,512,540","68,133,028",Europe,16,544,1
6,France,"4,015,560","+25,229","90,146",+254,"271,678","+1,245","3,653,736","4,033","61,425","1,379","56,471,932","863,833","65,373,694",Europe,16,725,1
7,Spain,"3,183,704","+5,348","72,258",+173,"2,857,714",,"253,732","2,186","68,075","1,545","40,292,390","861,550","46,767,349",Europe,15,647,1
8,Italy,"3,175,807","+26,824","101,564",+380,"2,564,926","+14,443","509,317","2,914","52,580","1,682","43,976,394","728,085","60,400,064",Europe,19,595,1
9,Turkey,"2,850,930","+14,941","29,356",+66,"2,670,273","+11,180","151,301","1,349","33,554",346,"34,843,480","410,087","84,966,101",Asia,30,"2,894",2
10,Germany,"2,559,296","+12,786","73,790",+230,"2,345,600","+8,600","139,906","2,848","30,479",879,"46,319,641","551,623","83,969,683",Europe,33,"1,138",2
11,Colombia,"2,294,617","+4,078","60,950",+92,"2,195,569","+4,398","38,098","1,982","44,766","1,189","11,918,588","232,523","51,257,626",South America,22,841,4
12,Argentina,"2,185,747","+7,849","53,578",+85,"1,974,866","+6,404","157,303","3,417","48,057","1,178","7,929,640","174,345","45,482,534",South America,21,849,6
13,Mexico,"2,151,028","+6,470","193,142",+654,"1,691,093","+5,097","266,793","4,798","16,563","1,487","5,711,049","43,976","129,868,807",North America,60,672,23
14,Poland,"1,868,297","+18,775","46,724",+351,"1,530,484","+13,944","291,089","1,982","49,403","1,236","10,535,957","278,598","37,817,820",Europe,20,809,4
15,Iran,"1,731,558","+8,088","61,069",+53,"1,477,588","+6,409","192,901","3,829","20,435",721,"11,467,053","135,328","84,735,009",Asia,49,"1,388",7
16,South Africa,"1,526,873","+1,225","51,179",+69,"1,449,654","+2,151","26,040",546,"25,522",855,"9,393,727","157,020","59,824,880",Africa,39,"1,169",6
17,Ukraine,"1,438,468","+12,946","27,915",+230,"1,214,876","+4,630","195,677",177,"33,030",641,"7,235,711","166,144","43,550,899",Europe,30,"1,560",6
18,Indonesia,"1,410,134","+6,412","38,229",+180,"1,231,454","+6,851","140,451",,"5,118",139,"11,502,310","41,747","275,522,178",Asia,195,"7,207",24
19,Peru,"1,394,571",,"48,484",,"1,301,439",,"44,648","2,201","41,893","1,456","8,105,930","243,504","33,288,708",South America,24,687,4
20,Czechia,"1,376,998","+11,083","22,865",+122,"1,191,782",+321,"162,351","1,940","128,418","2,132","9,390,615","875,764","10,722,763",Europe,8,469,1
21,Netherlands,"1,144,822","+6,026","16,024",+26,N/A,N/A,N/A,576,"66,710",934,"6,970,400","406,173","17,161,169",Europe,15,"1,071",2
22,Canada,"903,233","+3,476","22,404",+33,"850,048","+3,334","30,781",549,"23,787",590,"25,542,543","672,685","37,971,008",North America,42,"1,695",1
23,Chile,"879,485","+5,973","21,451",+89,"824,899","+3,605","33,135","1,926","45,736","1,116","9,982,597","519,124","19,229,693",South America,22,896,2
24,Romania,"850,362","+5,010","21,360",+108,"777,715","+3,438","51,287","1,166","44,409","1,116","6,687,240","349,233","19,148,352",Europe,23,896,3
25,Israel,"816,198","+1,948","5,980",+13,"775,896","+2,127","34,322",621,"88,740",650,"12,857,383","1,397,908","9,197,590",Asia,11,"1,538",1
26,Portugal,"813,152",+577,"16,650",+15,"749,770","+5,574","46,732",266,"79,908","1,636","8,480,932","833,421","10,176,043",Europe,13,611,1
27,Belgium,"798,108","+3,503","22,370",+23,"54,044",+156,"721,694",452,"68,657","1,924","9,954,558","856,337","11,624,575",Europe,15,520,1
28,Iraq,"750,264","+4,622","13,696",+25,"677,742","+3,397","58,826",456,"18,370",335,"7,317,099","179,154","40,842,463",Asia,54,"2,982",6
29,Sweden,"712,527",,"13,146",+35,N/A,N/A,N/A,219,"70,249","1,296","6,378,529","628,868","10,142,867",Europe,14,772,2
30,Philippines,"611,618","+4,578","12,694",+87,"546,912",+272,"52,012",785,"5,531",115,"9,183,552","83,043","110,587,545",Asia,181,"8,712",12
31,Pakistan,"600,198","+2,701","13,430",+53,"568,065","+1,572","18,703","1,709","2,681",60,"9,402,639","42,005","223,843,061",Asia,373,"16,667",24
32,Switzerland,"570,645","+1,333","10,104",+14,"528,104","+1,593","32,437",162,"65,603","1,162","5,387,481","619,363","8,698,423",Europe,15,861,2
33,Bangladesh,"555,222","+1,066","8,515",+13,"509,172","+1,252","37,535",,"3,348",51,"4,232,139","25,522","165,823,454",Asia,299,"19,474",39
34,Serbia,"507,959","+4,668","4,670",+26,"400,347",,"102,942",208,"58,300",536,"3,122,905","358,423","8,712,896",Europe,17,"1,866",3
35,Hungary,"498,183","+9,011","16,627",+130,"346,904","+2,637","134,652",949,"51,661","1,724","3,992,790","414,048","9,643,303",Europe,19,580,2
