country_other,totalcases,newcases,totaldeaths,newdeaths,activecases,totalrecovered,serious_critical
China,"80,576",+24,"3,042",,"23,605","53,929","5,737"
S. Korea,"6,593",+309,43,+1,"6,415",135,52
Iran,"4,747","+1,234",124,+16,"3,710",913,
Italy,"4,636",+778,197,+49,"3,916",523,462
Diamond Princess,696,,6,,478,212,34
Germany,670,+125,,,653,17,8
France,653,+230,9,+2,632,12,23
Japan,420,+56,6,,368,46,34
Spain,400,+118,8,+5,389,3,9
USA,272,+51,15,+3,242,15,8
Switzerland,214,+94,1,,210,3,
UK,164,+48,2,+1,144,18,
Sweden,137,+43,,,136,1,
Singapore,130,+13,,,48,82,9
Netherlands,128,+46,1,+1,127,,1
Norway,127,+33,,,126,1,
Belgium,109,+59,,,108,1,1
Hong Kong,108,+3,2,,55,51,6
Malaysia,83,+28,,,60,23,
Austria,66,+23,,,64,2,1
Australia,63,+3,2,,39,22,1
Bahrain,60,+5,,,56,4,
Kuwait,58,,,,57,1,
Canada,51,+14,,,43,8,1
Iraq,48,+8,4,+1,43,1,
Thailand,48,+1,1,,16,31,1
Taiwan,45,+1,1,,29,15,
Greece,45,+14,,,45,,1
UAE,45,+17,,,40,5,2
Iceland,43,+8,,,43,,
India,31,+1,,,28,3,
San Marino,23,+2,1,,22,,4
Denmark,23,+3,,,22,1,
Lebanon,22,+6,,,22,,1
Israel,21,+4,,,19,2,
Czechia,19,+7,,,19,,
Ireland,18,+5,,,18,,
Algeria,17,,,,17,,
Vietnam,17,+1,,,1,16,
Oman,16,,,,14,2,
Palestine,16,+9,,,16,,
Egypt,15,+12,,,14,1,
Finland,15,+3,,,14,1,
Brazil,13,+5,,,13,,
Ecuador,13,,,,13,,1
Portugal,13,+4,,,13,,
Russia,13,+6,,,11,2,
Croatia,11,+1,,,11,,
Qatar,11,+3,,,11,,
Macao,10,,,,1,9,
Estonia,10,+5,,,10,,
Georgia,9,,,,9,,1
Romania,9,+3,,,6,3,
Argentina,8,+6,,,8,,
Slovenia,8,+2,,,8,,
Azerbaijan,6,,,,6,,
Belarus,6,,,,6,,
Mexico,6,,,,5,1,
Pakistan,6,+1,,,5,1,
Philippines,5,+2,1,,2,2,1
Saudi Arabia,5,,,,4,1,
Chile,5,+1,,,5,,
Poland,5,+4,,,5,,
Indonesia,4,+2,,,4,,
New Zealand,4,,,,4,,
Senegal,4,,,,4,,
Hungary,4,,,,4,,
Luxembourg,3,+1,,,3,,
North Macedonia,3,+2,,,3,,
Bosnia and Herzegovina,3,+1,,,3,,
Dominican Republic,2,+1,,,2,,
Morocco,2,,,,2,,1
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
Jordan,1,,,,1,,
Latvia,1,,,,0,1,
Lithuania,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Bhutan,1,+1,,,1,,
Cameroon,1,+1,,,1,,
Colombia,1,+1,,,1,,
Costa Rica,1,,,,1,,
Gibraltar,1,,,,1,,1
Vatican City,1,+1,,,1,,
Liechtenstein,1,,,,1,,
Peru,1,+1,,,1,,
Serbia,1,+1,,,1,,
Slovakia,1,+1,,,1,,
South Africa,1,,,,1,,
Togo,1,+1,,,1,,
Total:,"101,914","3,497","3,466",79,"42,325","56,123","6,401"
