country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop
China,"80,881",,"3,226",,"68,719","8,936","3,226",56.2
Italy,"31,506","+3,526","2,503",+345,"2,941","26,062","2,060",521.1
Iran,"16,169","+1,178",988,+135,"5,389","9,792",,192.5
Spain,"11,826","+1,884",533,+191,"1,028","10,265",563,252.9
Germany,"9,367","+2,095",26,+9,67,"9,274",2,111.8
S. Korea,"8,320",+84,81,+6,"1,401","6,838",59,162.3
France,"7,730","+1,097",175,+27,602,"6,953",699,118.4
USA,"6,439","+1,776",109,+23,106,"6,224",12,19.5
Switzerland,"2,742",+389,27,+8,15,"2,700",,316.8
UK,"1,950",+407,71,+16,65,"1,814",20,28.7
Netherlands,"1,705",+292,43,+19,2,"1,660",45,99.5
Norway,"1,470",+122,3,,1,"1,466",27,271.2
Austria,"1,332",+314,4,+1,8,"1,320",12,147.9
Belgium,"1,243",+185,10,,14,"1,219",33,107.3
Sweden,"1,196",+75,8,+1,1,"1,187",12,118.4
Denmark,977,+63,4,,1,972,18,168.7
Japan,878,+45,29,+1,144,705,41,6.9
Diamond Princess,696,,7,,456,233,15,
Malaysia,673,+107,2,+2,49,622,10,20.8
Canada,598,+157,8,+4,12,578,1,15.8
Australia,452,+51,5,,27,420,1,17.7
Portugal,448,+117,1,,3,444,18,43.9
Qatar,442,+3,,,4,438,,153.4
Czechia,434,+90,,,3,431,2,40.5
Greece,387,+35,5,+1,14,368,11,37.1
Brazil,346,+112,1,+1,2,343,18,1.6
Israel,337,+39,,,11,326,5,38.9
Finland,322,+44,,,10,312,2,58.1
Ireland,292,+69,2,,5,285,6,59.1
Slovenia,275,+22,1,,,274,4,132.3
Singapore,266,+23,,,114,152,14,45.5
Iceland,247,+48,,,5,242,1,
Pakistan,247,+63,,+-1,2,245,,1.1
Bahrain,241,+13,1,,88,152,3,141.6
Poland,238,+61,5,+1,1,232,3,6.3
Estonia,225,+20,,,1,224,,169.6
Romania,217,+49,,,19,198,5,11.3
Chile,201,+45,,,,201,3,10.5
Egypt,196,+30,6,+2,26,164,,1.9
Philippines,187,+45,12,,5,170,1,1.7
Thailand,177,+30,1,,41,135,1,2.5
Indonesia,172,+38,7,+2,9,156,,0.6
Saudi Arabia,171,+38,,,6,165,,4.9
Hong Kong,168,+13,4,,81,83,4,22.4
Iraq,154,+21,11,+1,41,102,,3.8
India,143,+14,3,+1,14,126,,0.1
Luxembourg,140,+59,1,,,139,1,
Kuwait,130,+7,,,12,118,4,30.4
Lebanon,124,+15,4,+1,4,116,3,18.2
San Marino,119,+10,11,+2,4,104,11,
Peru,117,+31,,,1,116,8,3.5
Russia,114,+21,,,8,106,,0.8
UAE,113,+15,,,26,87,2,11.4
Ecuador,111,+53,2,,,109,2,6.3
Turkey,98,+51,1,+1,,97,,1.2
Slovakia,97,+25,,,,97,2,17.8
South Africa,85,+21,,,,85,,1.4
Mexico,82,+29,,,4,78,1,0.6
Bulgaria,81,+19,2,,,79,,11.7
Argentina,79,+14,2,,3,74,1,1.7
Armenia,78,+26,,,1,77,2,26.3
Taiwan,77,+10,1,,20,56,,3.2
Serbia,72,+15,,,1,71,4,8.2
Panama,69,,1,,,68,7,16.0
Croatia,69,+12,,,5,64,,16.8
Vietnam,66,+5,,,16,50,,0.7
Colombia,65,+11,,,1,64,,1.3
Algeria,61,+1,5,+1,10,46,,1.4
Latvia,60,+26,,,1,59,,31.8
Brunei,56,+2,,,,56,1,
Albania,55,+4,1,,,54,2,19.1
Hungary,50,+11,1,,2,47,,5.2
Costa Rica,50,+9,,,,50,3,9.8
Cyprus,49,+3,,,,49,1,40.6
Jordan,48,+19,,,1,47,,4.7
Faeroe Islands,47,+29,,,,47,,
Morocco,44,+7,2,+1,1,41,1,1.2
Sri Lanka,44,+16,,,1,43,,2.1
Palestine,41,+2,,,,41,,8.0
Andorra,39,+25,,,1,38,,
Malta,38,+8,,,2,36,,
Belarus,36,,,,3,33,,3.8
Azerbaijan,34,+9,1,,6,27,,3.4
Georgia,34,+1,,,1,33,1,8.5
Bosnia and Herzegovina,34,+9,,,2,32,,10.4
Cambodia,33,+21,,,1,32,,2.0
Oman,33,+9,,,12,21,,6.5
Kazakhstan,33,+23,,,,33,,1.8
Venezuela,33,+16,,,,33,,1.2
North Macedonia,31,+7,,,1,30,1,14.9
Moldova,30,+1,,,1,29,1,7.4
Uruguay,29,,,,,29,,8.3
Senegal,27,,,,2,25,,1.6
Lithuania,26,+8,,,1,25,1,9.6
Tunisia,25,+1,,,1,24,2,2.1
Afghanistan,22,+1,,,1,21,,0.6
Dominican Republic,21,,1,,,20,,1.9
Liechtenstein,19,+12,,,,19,,
Martinique,15,,1,,,14,,
Burkina Faso,15,,,,,15,,0.7
Ukraine,14,+7,2,+1,,12,,0.3
Macao,13,+1,,,10,3,,
Maldives,13,,,,,13,,
New Zealand,12,+4,,,,12,,2.5
Bolivia,12,+1,,,,12,,1.0
Jamaica,12,,,,2,10,,4.1
French Guiana,11,,,,,11,,
Uzbekistan,11,+3,,,,11,,0.3
Bangladesh,10,+2,,,3,7,,0.1
Cameroon,10,+5,,,,10,,0.4
Monaco,9,,,,,9,,
Paraguay,9,+1,,,,9,1,1.3
Réunion,9,,,,,9,,
Guatemala,8,,1,,,7,,0.4
Honduras,8,+2,,,,8,,0.8
Guyana,7,,1,,,6,,
Ghana,7,+1,,,,7,,0.2
Rwanda,7,,,,,7,,0.5
Channel Islands,6,,,,,6,,
Ethiopia,6,+1,,,,6,,0.1
Guadeloupe,6,,,,,6,,
Cuba,5,+1,,,,5,,0.4
Guam,5,+2,,,,5,,
Mongolia,5,+1,,,,5,,1.5
Puerto Rico,5,,,,,5,,1.7
Trinidad and Tobago,5,+1,,,,5,,3.6
Ivory Coast,4,,,,,4,,0.2
Kenya,4,+1,,,,4,,0.1
Seychelles,4,+1,,,,4,,
Nigeria,3,+1,,,1,2,,
Aruba,3,+1,,,,3,,
Curaçao,3,+1,,,,3,,
DRC,3,,,,,3,,
French Polynesia,3,,,,,3,,
Gibraltar,3,,,,2,1,,
Mayotte,3,+1,,,,3,,
St. Barth,3,,,,,3,,
Barbados,2,+2,,,,2,,
Liberia,2,+1,,,,2,,0.4
Montenegro,2,+2,,,,2,,
Namibia,2,,,,,2,,0.8
Saint Lucia,2,,,,,2,,
Saint Martin,2,,,,,2,,
U.S. Virgin Islands,2,+1,,,,2,,
Cayman Islands,1,,1,,,0,,
Sudan,1,,1,,,0,,
Nepal,1,,,,1,0,,
Antigua and Barbuda,1,,,,,1,,
Bahamas,1,,,,,1,,
Benin,1,,,,,1,,0.1
Bhutan,1,,,,,1,,
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gabon,1,,,,,1,,0.4
Gambia,1,+1,,,,1,,0.4
Greenland,1,,,,,1,,
Guinea,1,,,,,1,,0.1
Vatican City,1,,,,,1,,
Mauritania,1,,,,,1,,0.2
St. Vincent Grenadines,1,,,,,1,,
Somalia,1,,,,,1,,0.1
Suriname,1,,,,,1,,
Eswatini,1,,,,,1,,0.9
Tanzania,1,,,,,1,,
Togo,1,,,,,1,,0.1
