#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"41,542,691","+55,129","930,103",+462,"34,815,890","+37,624","5,796,698","13,274",,,,,,North America,,,,,,
,Asia,"59,427,031","+204,771","852,839","+3,137","56,038,543","+148,237","2,535,649","30,533",,,,,,Asia,,,,,,
,South America,"34,705,927","+61,790","1,058,118","+2,421","32,183,495","+90,846","1,464,314","26,740",,,,,,South America,,,,,,
,Europe,"50,098,781","+142,208","1,121,763","+1,070","46,265,553","+49,618","2,711,465","6,581",,,,,,Europe,,,,,,
,Africa,"6,343,616","+27,956","160,016",+958,"5,534,901","+31,043","648,699","4,570",,,,,,Africa,,,,,,
,Oceania,"91,542","+1,210","1,409",+16,"73,288",+351,"16,845",65,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"192,210,309","+493,064","4,124,263","+8,064","174,912,376","+357,719","13,173,670","81,763","24,659",529.1,,,,All,,,,,,
1,USA,"35,078,243","+41,666","625,255",+220,"29,434,337","+22,381","5,018,651","6,283","105,327","1,877","518,718,812","1,557,526","333,040,210",North America,9,533,1,125,0.7,"15,069"
2,India,"31,215,142","+42,123","418,511",+489,"30,383,001","+36,870","413,630","8,944","22,389",300,"447,341,133","320,851","1,394,235,023",Asia,45,"3,331",3,30,0.4,297
3,Brazil,"19,419,741","+27,896","544,302","+1,425","18,124,621","+57,541","750,818","8,318","90,685","2,542","54,786,381","255,838","214,145,148",South America,11,393,4,130,7,"3,506"
4,Russia,"6,006,536","+23,770","149,922",+784,"5,382,213","+22,218","474,401","2,300","41,141","1,027","159,900,000","1,095,204","146,000,220",Europe,24,974,1,163,5,"3,249"
5,France,"5,890,062","+18,181","111,525",+33,"5,663,809","+2,437","114,728",876,"90,027","1,705","99,504,244","1,520,885","65,425,241",Europe,11,587,1,278,0.5,"1,754"
6,Turkey,"5,546,166","+8,780","50,650",+46,"5,395,300","+4,561","100,216",543,"65,027",594,"65,300,191","765,619","85,290,746",Asia,15,"1,684",1,103,0.5,"1,175"
7,UK,"5,519,602","+46,558","128,823",+96,"4,411,839","+7,374","978,940",611,"80,861","1,887","234,640,904","3,437,438","68,260,406",Europe,12,530,0,682,1,"14,341"
8,Argentina,"4,784,219","+15,077","102,381",+426,"4,420,995","+13,180","260,843","4,643","104,846","2,244","18,420,915","403,694","45,630,830",South America,10,446,2,330,9,"5,716"
9,Colombia,"4,668,750","+12,829","117,131",+378,"4,422,866","+14,840","128,753","8,155","90,741","2,277","21,744,142","422,613","51,451,630",South America,11,439,2,249,7,"2,502"
10,Italy,"4,293,083","+3,558","127,884",+10,"4,115,889","+1,760","49,310",165,"71,115","2,118","75,100,357","1,244,035","60,368,368",Europe,14,472,1,59,0.2,817
11,Spain,"4,189,136","+27,286","81,148",+29,"3,676,323","+4,214","431,665","1,116","89,562","1,735","55,184,196","1,179,810","46,773,809",Europe,11,576,1,583,0.6,"9,229"
12,Germany,"3,754,828","+1,626","91,938",+30,"3,641,000",+900,"21,890",361,"44,666","1,094","65,845,568","783,267","84,065,322",Europe,22,914,1,19,0.4,260
13,Iran,"3,576,148","+27,444","87,624",+250,"3,168,834","+16,181","319,690","4,422","42,013","1,029","24,892,912","292,446","85,119,790",Asia,24,971,3,322,3,"3,756"
14,Indonesia,"2,950,058","+38,325","76,200","+1,280","2,323,666","+29,791","550,192",,"10,667",276,"23,719,489","85,767","276,556,785",Asia,94,"3,629",12,139,5,"1,989"
15,Poland,"2,881,594",+104,"75,219",+4,"2,653,034",,"153,341",60,"76,227","1,990","18,138,390","479,813","37,803,040",Europe,13,503,2,3,0.1,"4,056"
16,Mexico,"2,664,444","+5,307","236,469",+138,"2,095,953","+9,296","332,022","4,798","20,440","1,814","7,960,939","61,072","130,353,354",North America,49,551,16,41,1,"2,547"
17,South Africa,"2,311,232","+8,928","67,676",+596,"2,085,119","+16,034","158,437",546,"38,461","1,126","14,310,166","238,136","60,092,502",Africa,26,888,4,149,10,"2,637"
18,Ukraine,"2,245,275",+598,"52,756",+25,"2,181,925",+540,"10,594",177,"51,666","1,214","11,182,527","257,322","43,457,353",Europe,19,824,4,14,0.6,244
19,Peru,"2,096,013","+1,568","195,332",+89,N/A,N/A,N/A,"1,981","62,655","5,839","15,073,218","450,577","33,453,146",South America,16,171,2,47,3,"5,381"
20,Netherlands,"1,814,143","+6,699","17,783",+5,"1,661,205",+699,"135,155",95,"105,629","1,035","15,472,423","900,885","17,174,700",Europe,9,966,1,390,0.3,"7,869"
21,Czechia,"1,671,372",+216,"30,341",,"1,638,061",+5,"2,970",5,"155,768","2,828","31,715,021","2,955,774","10,729,853",Europe,6,354,0,20,,277
22,Chile,"1,601,858",+975,"34,569",+30,"1,555,294","+2,149","11,995","1,970","83,048","1,792","18,065,116","936,581","19,288,358",South America,12,558,1,51,2,622
23,Philippines,"1,517,903","+4,516","26,844",+58,"1,444,253","+5,240","46,806","2,031","13,661",242,"16,042,300","144,383","111,109,628",Asia,73,"4,139",7,41,0.5,421
