#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"42,466,589","+126,849","939,276","+1,000","35,306,326","+53,958","6,220,987","16,316",,,,,,North America,,,,,,
,Asia,"61,781,345","+259,336","892,251","+4,472","57,851,585","+191,576","3,037,509","33,466",,,,,,Asia,,,,,,
,South America,"35,471,500","+66,520","1,088,201","+1,774","32,990,942","+51,708","1,392,357","25,540",,,,,,South America,,,,,,
,Europe,"51,398,551","+132,465","1,132,218","+1,096","46,777,009","+55,307","3,489,324","7,800",,,,,,Europe,,,,,,
,Africa,"6,729,443","+42,494","169,656",+790,"5,873,063","+31,478","686,724","4,268",,,,,,Africa,,,,,,
,Oceania,"103,598","+1,344","1,530",+6,"76,927",+248,"25,141",111,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"197,951,747","+629,008","4,223,147","+9,138","178,876,558","+384,275","14,852,042","87,501","25,395",541.8,,,,All,,,,,,
1,USA,"35,677,736","+90,400","628,929",+412,"29,649,780","+23,026","5,399,027","9,269","107,110","1,888","529,147,170","1,588,586","333,093,143",North America,9,530,1,271,1,"16,209"
2,India,"31,612,794","+41,499","423,842",+598,"30,773,555","+37,314","415,397","8,944","22,668",304,"464,650,723","333,177","1,394,605,426",Asia,44,"3,290",3,30,0.4,298
3,Brazil,"19,880,273","+40,904","555,512",+886,"18,595,380","+25,389","729,381","8,318","92,818","2,594","55,034,721","256,948","214,186,368",South America,11,386,4,191,4,"3,405"
4,Russia,"6,242,066","+23,564","157,771",+794,"5,588,848","+20,485","495,447","2,300","42,753","1,081","164,700,000","1,128,067","146,001,924",Europe,23,925,1,161,5,"3,393"
5,France,"6,103,548","+24,309","111,824",+60,"5,696,619","+4,667","295,105","1,072","93,285","1,709","104,074,220","1,590,639","65,429,176",Europe,11,585,1,372,0.9,"4,510"
6,UK,"5,830,774","+29,622","129,583",+68,"4,498,089","+9,195","1,203,102",869,"85,407","1,898","244,114,700","3,575,718","68,270,129",Europe,12,527,0,434,1.0,"17,623"
7,Turkey,"5,704,713","+22,083","51,253",+69,"5,449,253","+5,752","204,207",543,"66,866",601,"67,609,655","792,466","85,315,528",Asia,15,"1,665",1,259,0.8,"2,394"
