#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"31,479,248","+123,113","682,529","+4,167","20,438,047","+132,026","10,358,672","30,174",,,,,,North America,,,
,Asia,"23,514,343","+68,655","378,699",+851,"21,987,264","+84,188","1,148,380","22,809",,,,,,Asia,,,
,South America,"16,381,800","+80,062","427,508","+1,729","14,627,222","+66,629","1,327,070","19,849",,,,,,South America,,,
,Europe,"31,218,656","+130,715","734,039","+3,562","17,840,198","+130,685","12,644,419","29,070",,,,,,Europe,,,
,Africa,"3,676,098","+13,177","94,837",+519,"3,176,348","+14,995","404,913","2,533",,,,,,Africa,,,
,Oceania,"50,374",+8,"1,078",,"34,103",+3,"15,193",8,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"106,321,240","+415,730","2,318,705","+10,828","78,103,888","+428,526","25,898,647","104,443","13,640",297.5,,,,All,,,
1,USA,"27,515,086","+102,324","473,419","+2,621","17,261,659","+113,965","9,780,008","22,406","82,835","1,425","322,360,432","970,478","332,166,810",North America,12,702,1
2,India,"10,827,170","+11,948","155,028",+72,"10,521,409","+11,619","150,733","8,944","7,800",112,"200,672,589","144,564","1,388,123,372",Asia,128,"8,954",7
3,Brazil,"9,497,795","+48,707","231,069",+942,"8,363,677","+36,879","903,049","8,318","44,493","1,082","28,600,000","133,980","213,465,018",South America,22,924,7
4,Russia,"3,951,233","+16,627","76,229",+497,"3,436,326","+22,831","438,678","2,300","27,068",522,"104,000,000","712,465","145,972,105",Europe,37,"1,915",1
5,UK,"3,929,835","+18,262","112,092",+828,"1,889,872","+27,227","1,927,871","3,505","57,707","1,646","76,432,166","1,122,352","68,099,968",Europe,17,608,1
6,France,"3,317,333","+20,586","78,794",+191,"232,693","+1,144","3,005,846","3,225","50,755","1,206","45,597,298","697,630","65,360,315",Europe,20,830,1
7,Spain,"2,971,914",,"61,386",,N/A,N/A,N/A,"4,795","63,549","1,313","33,901,309","724,919","46,765,672",Europe,16,762,1
8,Italy,"2,625,098","+13,442","91,003",+385,"2,107,061","+15,138","427,034","2,110","43,456","1,506","34,155,937","565,418","60,408,290",Europe,23,664,2
9,Turkey,"2,524,786","+7,897","26,685",+108,"2,412,505","+8,089","85,596","1,337","29,745",314,"30,486,691","359,166","84,881,842",Asia,34,"3,181",3
10,Germany,"2,284,999","+8,628","61,998",+337,"2,020,900","+12,700","202,101","4,222","27,220",739,"40,705,522","484,908","83,944,861",Europe,37,"1,354",2
11,Colombia,"2,151,207","+8,547","55,693",+290,"2,022,331","+11,390","73,183","3,482","42,010","1,088","10,465,124","204,368","51,207,274",South America,24,919,5
12,Argentina,"1,976,689","+6,680","49,110",+125,"1,772,059","+8,297","155,520","3,550","43,497","1,081","6,483,493","142,670","45,444,045",South America,23,925,7
13,Mexico,"1,912,871","+13,051","164,290","+1,368","1,472,151","+11,140","276,430","5,692","14,744","1,266","4,843,302","37,330","129,743,046",North America,68,790,27
14,Poland,"1,545,530","+5,965","38,994",+283,"1,301,571","+6,884","204,965","1,293","40,864","1,031","8,880,135","234,790","37,821,655",Europe,24,970,4
15,South Africa,"1,473,700","+3,184","46,180",+278,"1,340,497","+4,879","87,023",546,"24,662",773,"8,469,756","141,740","59,755,420",Africa,41,"1,294",7
