#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"6,612,789","+47,227","248,145",+839,"3,636,351","+54,582","2,728,293","21,818",,,,,,North America,,,
,South America,"5,321,988","+38,998","177,358","+1,293","3,887,656","+68,982","1,256,974","14,847",,,,,,South America,,,
,Asia,"5,737,954","+78,275","121,523","+1,377","4,466,670","+78,971","1,149,761","18,866",,,,,,Asia,,,
,Europe,"3,203,509","+16,029","203,376",+229,"1,917,058","+6,504","1,083,075","5,235",,,,,,Europe,,,
,Africa,"1,131,694","+8,552","25,938",+260,"849,687","+11,235","256,069","1,210",,,,,,Africa,,,
,Oceania,"25,785",+335,447,+25,"16,290",+463,"9,048",57,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"22,034,440","+189,416","776,802","+4,023","14,774,363","+220,737","6,483,275","62,037","2,827",99.7,,,,All,,,
1,USA,"5,610,361","+38,946","173,662",+535,"2,969,600","+46,876","2,467,099","17,202","16,937",524,"71,547,540","215,992","331,251,064",North America,59,"1,907",5
2,Brazil,"3,363,235","+23,038","108,654",+775,"2,478,494","+46,038","776,087","8,318","15,808",511,"13,464,336","63,287","212,751,912",South America,63,"1,958",16
3,India,"2,701,604","+54,288","51,925",+880,"1,976,248","+58,172","673,431","8,944","1,955",38,"30,041,400","21,742","1,381,715,400",Asia,511,"26,610",46
4,Russia,"927,745","+4,892","15,740",+55,"736,101","+3,133","175,904","2,300","6,357",108,"32,700,000","224,061","145,942,628",Europe,157,"9,272",4
5,South Africa,"589,886","+2,541","11,982",+143,"477,671","+5,294","100,233",539,"9,930",202,"3,415,670","57,501","59,401,996",Africa,101,"4,958",17
6,Peru,"535,946",,"26,281",,"365,367",,"144,298","1,533","16,227",796,"2,773,412","83,969","33,028,871",South America,62,"1,257",12
7,Mexico,"522,162","+4,448","56,757",+214,"355,101","+3,729","110,304","3,489","4,045",440,"1,176,931","9,116","129,103,148",North America,247,"2,275",110
8,Colombia,"476,660","+8,328","15,372",+275,"301,525","+14,089","159,763","1,493","9,355",302,"2,259,743","44,351","50,951,072",South America,107,"3,315",23
9,Chile,"387,502","+1,556","10,513",+61,"360,385","+1,557","16,604","1,177","20,249",549,"2,044,880","106,855","19,136,992",South America,49,"1,820",9
10,Spain,"382,142","+1,833","28,646",+2,N/A,N/A,N/A,617,"8,173",613,"7,955,615","170,148","46,757,141",Europe,122,"1,632",6
11,Iran,"345,450","+2,247","19,804",+165,"299,157","+1,671","26,489","3,773","4,106",235,"2,887,938","34,328","84,126,996",Asia,244,"4,248",29
12,UK,"319,197",+713,"41,369",+3,N/A,N/A,N/A,73,"4,699",609,"14,674,841","216,023","67,931,752",Europe,213,"1,642",5
13,Saudi Arabia,"299,914","+1,372","3,436",+28,"268,385","+1,432","28,093","1,758","8,598",99,"4,317,705","123,785","34,880,742",Asia,116,"10,152",8
14,Argentina,"299,126","+4,557","5,814",+111,"217,850","+6,148","75,462","1,749","6,611",128,"966,926","21,369","45,248,204",South America,151,"7,783",47
15,Pakistan,"289,215",+498,"6,175",+7,"269,087","+2,786","13,953",771,"1,306",28,"2,299,601","10,386","221,413,234",Asia,766,"35,856",96
16,Bangladesh,"279,144","+2,595","3,694",+37,"160,591","+1,641","114,859",,"1,693",22,"1,364,189","8,273","164,896,196",Asia,591,"44,639",121
17,Italy,"254,235",+320,"35,400",+4,"203,968",+182,"14,867",58,"4,206",586,"7,588,083","125,526","60,450,148",Europe,238,"1,708",8
18,Turkey,"250,542","+1,233","5,996",+22,"231,971","+1,002","12,575",686,"2,967",71,"5,800,088","68,678","84,453,113",Asia,337,"14,085",15
19,Germany,"226,686","+1,689","9,296",+6,"202,900",,"14,490",224,"2,704",111,"9,265,361","110,541","83,818,561",Europe,370,"9,017",9
20,France,"219,029",+493,"30,429",+19,"84,065",+217,"104,535",384,"3,355",466,"6,000,000","91,895","65,292,241",Europe,298,"2,146",11
21,Iraq,"180,133","+3,202","5,954",+94,"128,945","+3,571","45,234",605,"4,466",148,"1,304,331","32,341","40,330,746",Asia,224,"6,774",31
22,Philippines,"164,474","+3,314","2,681",+18,"112,759",+237,"49,034",461,"1,498",24,"2,071,375","18,871","109,762,573",Asia,667,"40,941",53
23,Indonesia,"141,370","+1,821","6,207",+57,"94,458","+1,355","40,705",,516,23,"1,900,668","6,940","273,887,342",Asia,"1,937","44,126",144
24,Canada,"122,872",+785,"9,032",+6,"109,059",+575,"4,781",67,"3,252",239,"4,840,043","128,098","37,784,053",North America,308,"4,183",8
25,Qatar,"115,368",+288,193,,"112,088",+294,"3,087",69,"41,088",69,"555,970","198,009","2,807,805",Asia,24,"14,548",5
