#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"111,517,522","+27,278","1,508,657",+114,"104,526,868","+114,092","5,481,997","9,940",,,,,,North America,,,,,,
,Asia,"173,723,313","+395,370","1,451,565",+378,"164,627,193","+336,909","7,644,555","12,922",,,,,,Asia,,,,,,
,Europe,"217,240,684","+85,740","1,883,383",+168,"208,284,077","+187,640","7,073,224","9,121",,,,,,Europe,,,,,,
,South America,"62,630,881","+19,323","1,318,315",+68,"60,168,570","+66,634","1,143,996","10,568",,,,,,South America,,,,,,
,Oceania,"11,642,233","+26,164","17,453",+50,"11,188,515","+4,812","436,265",199,,,,,,Australia/Oceania,,,,,,
,Africa,"12,547,258",+969,"257,009",+2,"11,718,152","+1,159","572,097",972,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"589,302,612","+554,844","6,436,397",+780,"560,514,081","+711,246","22,352,134","43,722","75,602",825.7,,,,All,,,,,,
1,USA,"93,908,943","+11,339","1,058,738",+12,"89,025,882","+92,756","3,824,323","4,544",,,"1,087,735,305",,,North America,,,,,,
2,India,"44,160,106","+14,374","526,689",,"43,484,110",,"149,307",698,"31,354",374,"877,924,743","623,340","1,408,421,459",Asia,32,"2,674",2,10,,106
3,France,"34,074,568","+21,528","152,537",,"32,881,774","+17,733","1,040,257",869,"519,620","2,326","271,490,188","4,140,088","65,575,949",Europe,2,430,0,328,,"15,863"
4,Brazil,"34,018,371","+7,198","680,051",+39,"32,731,706","+40,103","606,614","8,318","157,694","3,152","63,776,166","295,638","215,723,873",South America,6,317,3,33,0.2,"2,812"
5,Germany,"31,228,314",,"144,858",,"29,502,700","+19,500","1,580,756","1,406","370,245","1,717","122,332,384","1,450,382","84,344,935",Europe,3,582,1,,,"18,742"
6,UK,"23,368,899",,"185,052",,"22,853,907","+25,038","329,940",146,"340,492","2,696","522,526,476","7,613,362","68,632,816",Europe,3,371,0,,,"4,807"
7,Italy,"21,313,427","+26,656","173,136",+74,"20,045,335","+37,084","1,094,956",342,"353,599","2,872","238,756,084","3,961,067","60,275,699",Europe,3,348,0,442,1,"18,166"
8,S. Korea,"20,489,128","+105,507","25,263",+27,"18,912,735","+76,333","1,551,130",297,"398,919",492,"15,804,065","307,702","51,361,569",Asia,3,"2,033",3,"2,054",0.5,"30,200"
