#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"126,070,064","+3,473","1,626,749",+21,"121,825,207","+13,373","2,618,108","6,641",,,,,,North America,,,,,,
,Asia,"216,237,556","+28,382","1,543,556",+34,"200,311,745","+17,141","14,382,255","15,652",,,,,,Asia,,,,,,
,Europe,"248,656,636","+16,209","2,049,426",+57,"244,378,441","+64,851","2,228,769","6,432",,,,,,Europe,,,,,,
,South America,"68,508,739",+459,"1,353,868",,"66,439,036",+504,"715,835","10,155",,,,,,South America,,,,,,
,Oceania,"14,128,791",,"27,076",,"13,941,866",,"159,849",89,,,,,,Australia/Oceania,,,,,,
,Africa,"12,817,573",+18,"258,705",,"12,083,513",+36,"475,355",548,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"686,420,080","+48,541","6,859,395",+112,"658,980,514","+95,905","20,580,171","39,517","88,061",880.0,,,,All,,,,,,
1,USA,"106,542,201","+1,361","1,159,011",+8,"104,466,934","+11,003","916,256","1,475","318,221","3,462","1,176,416,331","3,513,733","334,805,269",North America,3,289,0,4,0.02,"2,737"
2,India,"44,881,877",,"531,300",,"44,283,021",,"67,556",N/A,"31,907",378,"925,077,322","657,654","1,406,631,776",Asia,31,"2,648",2,,,48
3,France,"39,945,239","+6,796","166,289",,"39,639,993","+5,902","138,957",869,"609,065","2,535","271,490,188","4,139,547","65,584,518",Europe,2,394,0,104,,"2,119"
4,Germany,"38,393,992",,"172,536",,"38,174,300",+800,"47,156",N/A,"457,706","2,057","122,332,384","1,458,359","83,883,596",Europe,2,486,1,,,562
5,Brazil,"37,407,232",,"701,215",,"36,249,161",,"456,856",N/A,"173,701","3,256","63,776,166","296,146","215,353,593",South America,6,307,3,,,"2,121"
6,Japan,"33,639,205","+10,660","74,356",+18,"21,725,273",,"11,839,576",56,"267,860",592,"99,584,895","792,969","125,584,838",Asia,4,"1,689",1,85,0.1,"94,276"
7,S. Korea,"31,066,725","+13,266","34,413",+5,"30,822,867","+13,368","209,445",146,"605,236",670,"15,804,065","307,892","51,329,899",Asia,2,"1,492",3,258,0.10,"4,080"
