#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"117,691,385","+21,732","1,551,280",+210,"113,105,092","+43,829","3,035,013","7,759",,,,,,North America,,,,,,
,Asia,"193,216,465","+138,230","1,486,651",+269,"186,914,580","+90,377","4,815,234","9,504",,,,,,Asia,,,,,,
,Europe,"233,960,939","+88,737","1,939,378",+309,"226,447,144","+242,704","5,574,417","7,753",,,,,,Europe,,,,,,
,South America,"64,394,856","+17,952","1,332,494",+98,"62,733,995","+6,612","328,367","10,147",,,,,,South America,,,,,,
,Oceania,"12,567,948","+1,483","21,492",+3,"12,328,170",+12,"218,286",94,,,,,,Australia/Oceania,,,,,,
,Africa,"12,669,896",+618,"257,795",,"12,003,305",+212,"408,796",901,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"634,502,210","+268,752","6,589,105",+889,"613,532,992","+383,746","14,380,113","36,158","81,401",845.3,,,,All,,,,,,
1,USA,"99,270,985","+19,892","1,094,514",+194,"96,734,882","+38,871","1,441,589","2,576","296,504","3,269","1,127,751,550","3,368,381","334,805,269",North America,3,306,0,59,0.6,"4,306"
2,India,"44,648,505","+1,625","528,987",,"44,097,072",,"22,446",698,"31,741",376,"900,272,601","640,020","1,406,631,776",Asia,32,"2,659",2,1,,16
3,France,"36,744,655","+37,089","156,771",+71,"35,609,657","+61,061","978,227",869,"560,264","2,390","271,490,188","4,139,547","65,584,518",Europe,2,418,0,566,1,"14,916"
4,Germany,"35,461,920",,"153,193",,"33,693,200","+85,300","1,615,527","1,406","422,752","1,826","122,332,384","1,458,359","83,883,596",Europe,2,548,1,,,"19,259"
5,Brazil,"34,857,648","+8,580","688,013",+53,"34,038,995","+4,956","130,640","8,318","161,862","3,195","63,776,166","296,146","215,353,593",South America,6,313,3,40,0.2,607
6,S. Korea,"25,431,105","+34,950","29,069",+26,"24,941,746","+17,628","460,290",242,"495,444",566,"15,804,065","307,892","51,329,899",Asia,2,"1,766",3,681,0.5,"8,967"
7,UK,"23,855,522",,"192,682",,"23,489,089","+8,916","173,751",146,"348,266","2,813","522,526,476","7,628,357","68,497,907",Europe,3,355,0,,,"2,537"
8,Italy,"23,475,187","+31,758","178,940",+94,"22,812,006","+45,692","484,241",223,"389,547","2,969","252,318,986","4,186,980","60,262,770",Europe,3,337,0,527,2,"8,035"
9,Japan,"22,148,863","+42,737","46,485",+71,"20,481,472","+3,996","1,620,906",120,"176,366",370,"77,274,949","615,321","125,584,838",Asia,6,"2,702",2,340,0.6,"12,907"
10,Russia,"21,402,209","+7,849","389,872",+82,"20,763,904","+12,040","248,433","2,300","146,786","2,674","273,400,000","1,875,095","145,805,947",Europe,7,374,1,54,0.6,"1,704"
11,Turkey,"16,919,638",,"101,203",,"16,818,435",,0,,"197,747","1,183","162,743,369","1,902,052","85,561,976",Asia,5,845,1,,,
12,Spain,"13,488,015",,"114,858",,"13,276,258",,"96,899",339,"288,704","2,458","471,036,328","10,082,298","46,719,142",Europe,3,407,0,,,"2,074"
13,Vietnam,"11,499,357",+484,"43,165",+3,"10,602,259",+324,"853,933",64,"116,210",436,"85,826,548","867,342","98,953,541",Asia,9,"2,292",1,5,0.03,"8,630"
14,Australia,"10,348,288","+1,483","15,589",+3,"10,216,900",,"115,799",39,"396,961",598,"78,835,048","3,024,116","26,068,792",Australia/Oceania,3,"1,672",0,57,0.1,"4,442"
15,Argentina,"9,717,546",,"129,979",,"9,582,014",+319,"5,553",259,"211,204","2,825","35,716,069","776,264","46,010,234",South America,5,354,1,,,121
16,Netherlands,"8,505,321",,"22,784",,"8,396,938","+1,189","85,599",54,"494,167","1,324","21,107,399","1,226,358","17,211,447",Europe,2,755,1,,,"4,973"
17,Taiwan,"7,591,541","+35,702","12,563",+84,"6,769,976","+50,518","809,002",,"317,789",526,"27,555,122","1,153,484","23,888,595",Asia,3,"1,902",1,"1,495",4,"33,866"
18,Iran,"7,557,134",+110,"144,562",+3,"7,331,241",+196,"81,331",138,"87,850","1,681","54,095,556","628,851","86,022,837",Asia,11,595,2,1,0.03,945
19,Mexico,"7,108,686",+760,"330,353",+14,"6,381,688",+549,"396,645","4,798","54,033","2,511","18,564,291","141,106","131,562,772",North America,19,398,7,6,0.1,"3,015"
20,Indonesia,"6,481,749","+3,029","158,522",+23,"6,301,694","+2,954","21,533","2,771","23,221",568,"110,256,393","394,994","279,134,505",Asia,43,"1,761",3,11,0.08,77
21,Poland,"6,338,531",+976,"118,095",+22,"5,335,940",,"884,496","1,530","167,954","3,129","37,613,685","996,659","37,739,785",Europe,6,320,1,26,0.6,"23,437"
22,Colombia,"6,309,716",+548,"141,837",+10,"6,137,878",+527,"30,001",342,"122,488","2,753","36,724,183","712,914","51,512,762",South America,8,363,1,11,0.2,582
23,Portugal,"5,518,155",,"25,209",,"5,462,562",,"30,384",61,"544,166","2,486","45,059,939","4,443,531","10,140,570",Europe,2,402,0,,,"2,996"
24,Austria,"5,421,306","+4,342","20,946",,"5,324,383","+6,310","75,977",47,"597,935","2,310","199,898,283","22,047,499","9,066,710",Europe,2,433,0,479,,"8,380"
25,Ukraine,"5,296,254",,"110,008",,"5,120,414",,"65,832",,"122,621","2,547","32,603,805","754,855","43,192,122",Europe,8,393,1,,,"1,524"
26,Greece,"5,135,200",,"33,574",,"5,032,553","+7,927","69,073",115,"497,759","3,254","96,922,532","9,394,780","10,316,637",Europe,2,307,0,,,"6,695"
27,Malaysia,"4,890,437","+2,762","36,462",+4,"4,825,255","+1,271","28,720",47,"147,386","1,099","65,269,210","1,967,062","33,181,072",Asia,7,910,1,83,0.1,866
28,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia,5,"351,225",,,,
29,Chile,"4,737,212","+8,274","61,607",+23,"4,654,759",,"20,846",97,"246,086","3,200","45,974,061","2,388,239","19,250,195",South America,4,312,0,430,1,"1,083"
30,Thailand,"4,689,897",,"32,922",,"4,649,509",,"7,466","1,496","66,924",470,"17,270,775","246,450","70,078,203",Asia,15,"2,129",4,,,107
31,Israel,"4,681,226",+832,"11,759",+1,"4,661,697",,"7,770",34,"501,954","1,261","41,373,364","4,436,346","9,326,000",Asia,2,793,0,89,0.1,833
32,Belgium,"4,607,296",,"32,883",,"4,500,366","+1,828","74,047",76,"394,857","2,818","35,892,441","3,076,070","11,668,278",Europe,3,355,0,,,"6,346"
33,Canada,"4,314,718",,"46,025",,"4,200,403","+2,592","68,290",99,"112,396","1,199","65,558,668","1,707,772","38,388,419",North America,9,834,1,,,"1,779"
34,Switzerland,"4,211,438",,"14,237",,"4,067,389","+1,233","129,812",73,"480,011","1,623","22,653,313","2,581,975","8,773,637",Europe,2,616,0,,,"14,796"
35,Czechia,"4,155,504","+1,137","41,555",+1,"4,101,853",+372,"12,096",38,"387,034","3,870","56,458,320","5,258,401","10,736,784",Europe,3,258,0,106,0.09,"1,127"
36,Peru,"4,153,605",,"216,884",,"3,933,244",+298,"3,477",89,"123,310","6,439","35,653,561","1,058,465","33,684,208",South America,8,155,1,,,103
37,South Africa,"4,027,157",+371,"102,257",,"3,912,506",,"12,394",192,"66,284","1,683","26,174,429","430,811","60,756,135",Africa,15,594,2,6,,204
38,Philippines,"3,999,226","+1,379","63,921",+38,"3,914,090","+1,357","21,215",619,"35,546",568,"33,244,022","295,479","112,508,994",Asia,28,"1,760",3,12,0.3,189
39,Romania,"3,285,394",+478,"67,174",+5,"3,210,662",+810,"7,558",106,"172,631","3,530","25,429,389","1,336,185","19,031,335",Europe,6,283,1,25,0.3,397
40,Denmark,"3,135,163",+631,"7,312",+7,"3,116,986","+1,124","10,865",2,"537,308","1,253","128,616,570","22,042,446","5,834,950",Europe,2,798,0,108,1,"1,862"
41,Sweden,"2,611,580",,"20,628",,"2,566,711","+1,735","24,241",10,"255,562","2,019","19,051,812","1,864,357","10,218,971",Europe,4,495,1,,,"2,372"
42,Iraq,"2,461,247",,"25,358",,"2,435,588",,301,21,"58,372",601,"19,350,944","458,934","42,164,965",Asia,17,"1,663",2,,,7
43,Serbia,"2,400,037",,"17,209",,"2,359,490",,"23,338",26,"277,364","1,989","11,326,775","1,308,997","8,653,016",Europe,4,503,1,,,"2,697"
44,Hungary,"2,141,513",,"47,938",,"2,061,999",,"31,576",25,"222,929","4,990","11,394,556","1,186,160","9,606,259",Europe,4,200,1,,,"3,287"
45,Singapore,"2,086,588","+6,247","1,670",+2,"1,994,579","+4,026","90,339",17,"351,068",281,"24,548,641","4,130,302","5,943,546",Asia,3,"3,559",0,"1,051",0.3,"15,200"
46,Bangladesh,"2,034,866",+137,"29,417",+1,"1,979,343",+407,"26,106","1,331","12,121",175,"14,986,865","89,268","167,885,689",Asia,83,"5,707",11,0.8,0.01,155
47,Hong Kong,"1,897,693","+6,062","10,358",+8,"1,714,686","+5,680","172,649",7,"249,555","1,362","66,284,763","8,716,749","7,604,299",Asia,4,734,0,797,1,"22,704"
48,Slovakia,"1,852,048",+252,"20,586",+7,"1,828,088",+424,"3,374",45,"339,191","3,770","7,329,564","1,342,364","5,460,193",Europe,3,265,1,46,1,618
49,New Zealand,"1,831,233",,"3,085",,"1,812,785",,"15,363",,"373,858",630,"7,544,063","1,540,170","4,898,203",Australia/Oceania,3,"1,588",1,,,"3,136"
50,Georgia,"1,780,691",,"16,900",,"1,637,293",,"126,498",,"448,679","4,258","16,920,079","4,263,340","3,968,738",Asia,2,235,0,,,"31,874"
51,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia,6,729,1,,,181
52,Ireland,"1,670,377",,"7,972",,"1,656,058",+464,"6,347",22,"332,731","1,588","12,774,995","2,544,719","5,020,199",Europe,3,630,0,,,"1,264"
53,Pakistan,"1,573,853",+46,"30,625",,"1,538,689",,"4,539",41,"6,858",133,"30,570,862","133,213","229,488,994",Asia,146,"7,494",8,0.2,,20
54,Norway,"1,464,520",+139,"4,208",,"1,458,962",+77,"1,350",20,"265,727",764,"11,002,430","1,996,315","5,511,370",Europe,4,"1,310",1,25,,245
55,Kazakhstan,"1,394,585",+22,"13,692",,"1,380,159",+237,734,24,"72,616",713,"11,575,012","602,707","19,205,043",Asia,14,"1,403",2,1,,38
56,Finland,"1,348,737",+3,"6,568",,"1,300,180","+1,042","41,989",21,"242,799","1,182","11,648,041","2,096,872","5,554,960",Europe,4,846,0,0.5,,"7,559"
57,Bulgaria,"1,277,342",+577,"37,857",+4,"1,229,468",+447,"10,017",54,"186,620","5,531","10,693,200","1,562,283","6,844,597",Europe,5,181,1,84,0.6,"1,463"
