#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"37,282,858","+98,083","844,450","+1,411","28,936,010","+74,916","7,502,398","17,020",,,,,,North America,,,
,Asia,"32,977,790","+388,844","461,334","+2,794","28,881,156","+242,176","3,635,300","29,001",,,,,,Asia,,,
,South America,"23,175,306","+142,451","616,474","+4,241","20,764,638","+114,095","1,794,194","24,475",,,,,,South America,,,
,Europe,"42,556,333","+183,342","970,324","+3,693","36,802,261","+175,167","4,783,748","32,771",,,,,,Europe,,,
,Africa,"4,445,360","+11,299","117,665",+302,"3,970,160","+6,806","357,535","3,779",,,,,,Africa,,,
,Oceania,"60,763",+170,"1,166",,"34,729",,"24,868",4,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"140,499,131","+824,189","3,011,428","+12,441","119,389,660","+613,160","18,098,043","107,050","18,025",386.3,,,,All,,,
1,USA,"32,302,885","+78,746","579,915",+860,"24,832,847","+61,867","6,890,123","9,745","97,142","1,744","426,477,332","1,282,515","332,532,050",North America,10,573,1
2,India,"14,521,683","+233,943","175,673","+1,338","12,666,889","+122,911","1,679,121","8,944","10,442",126,"263,476,625","189,459","1,390,679,153",Asia,96,"7,916",5
3,Brazil,"13,834,342","+76,249","369,024","+3,070","12,298,863","+62,568","1,166,455","8,318","64,722","1,726","28,600,000","133,802","213,749,436",South America,15,579,7
4,France,"5,224,321","+36,442","100,404",+313,"4,046,518","+38,187","1,077,399","5,914","79,898","1,536","71,424,719","1,092,330","65,387,466",Europe,13,651,1
5,Russia,"4,684,148","+8,995","104,795",+397,"4,310,557","+9,109","268,796","2,300","32,087",718,"125,100,000","856,944","145,983,862",Europe,31,"1,393",1
6,UK,"4,383,572","+2,596","127,225",+34,"4,139,553","+5,717","116,794",329,"64,306","1,866","140,944,028","2,067,627","68,167,060",Europe,16,536,0
7,Turkey,"4,150,039","+63,082","35,320",+289,"3,591,550","+56,510","523,169","3,205","48,794",415,"43,148,200","507,311","85,052,838",Asia,20,"2,408",2
8,Italy,"3,842,079","+15,943","116,366",+429,"3,218,975","+18,779","506,738","3,366","63,619","1,927","54,532,594","902,983","60,391,595",Europe,16,519,1
9,Spain,"3,407,283","+10,598","76,981",+99,"3,129,234","+5,966","201,068","2,180","72,853","1,646","44,285,495","946,897","46,769,075",Europe,14,608,1
10,Germany,"3,116,950","+21,934","80,387",+246,"2,752,000","+15,900","284,563","4,740","37,109",957,"52,737,238","627,860","83,995,236",Europe,27,"1,045",2
11,Poland,"2,660,088","+17,847","61,208",+595,"2,255,232","+16,594","343,648","3,425","70,347","1,619","13,335,088","352,651","37,813,871",Europe,14,618,3
12,Argentina,"2,658,628","+29,472","59,084",+159,"2,324,107","+23,875","275,437","3,971","58,403","1,298","10,024,309","220,207","45,522,155",South America,17,770,5
13,Colombia,"2,619,422","+16,703","67,564",+365,"2,442,453","+10,392","109,405","4,299","51,051","1,317","13,693,403","266,879","51,309,459",South America,20,759,4
14,Mexico,"2,295,435","+4,189","211,213",+401,"1,820,959","+3,093","263,263","4,798","17,657","1,625","6,355,381","48,888","129,998,266",North America,57,615,20
15,Iran,"2,194,133","+25,261","66,008",+328,"1,761,497","+12,456","366,628","4,652","25,863",778,"14,165,771","166,975","84,837,813",Asia,39,"1,285",6
16,Ukraine,"1,921,244","+17,479","39,096",+438,"1,465,820","+12,054","416,328",177,"44,140",898,"8,869,518","203,776","43,525,906",Europe,23,"1,113",5
17,Peru,"1,689,051","+7,988","56,454",+305,"1,610,563","+8,529","22,034","2,591","50,673","1,694","10,295,559","308,873","33,332,642",South America,20,590,3
18,Czechia,"1,597,103","+3,238","28,317",+38,"1,485,924",+237,"82,862","1,016","148,919","2,640","15,332,422","1,429,642","10,724,658",Europe,7,379,1
19,Indonesia,"1,594,722","+5,363","43,196",+123,"1,444,229","+5,975","107,297",,"5,782",157,"13,732,975","49,793","275,798,600",Asia,173,"6,385",20
20,South Africa,"1,564,355","+1,424","53,663",+92,"1,488,572",+512,"22,120",546,"26,118",896,"10,291,264","171,818","59,896,382",Africa,38,"1,116",6
21,Netherlands,"1,387,043","+8,898","16,873",+12,"1,156,626","+5,910","213,544",775,"80,807",983,"11,292,587","657,893","17,164,784",Europe,12,"1,017",2
22,Chile,"1,109,311","+7,613","24,923",+157,"1,037,539","+4,350","46,849","3,277","57,640","1,295","12,206,029","634,232","19,245,367",South America,17,772,2
23,Canada,"1,106,062","+9,346","23,541",+41,"997,202","+7,128","85,319","1,089","29,105",619,"29,497,034","776,184","38,002,618",North America,34,"1,614",1
24,Romania,"1,023,565","+3,264","25,937",+137,"930,942","+5,547","66,686","1,493","53,489","1,355","7,847,540","410,090","19,136,146",Europe,19,738,2
25,Iraq,"964,435","+7,561","14,915",+30,"843,851","+6,515","105,669",494,"23,564",364,"8,732,638","213,361","40,928,986",Asia,42,"2,744",5
26,Belgium,"939,309","+3,993","23,636",+33,"789,423","+3,128","126,250",941,"80,770","2,032","11,864,005","1,020,174","11,629,388",Europe,12,492,1
27,Philippines,"914,971","+10,726","15,738",+145,"705,757",+650,"193,476",750,"8,263",142,"10,977,922","99,144","110,727,033",Asia,121,"7,036",10
28,Sweden,"900,138",,"13,788",+36,"724,684","+6,406","161,666",391,"88,693","1,359","7,847,033","773,192","10,148,878",Europe,11,736,1
29,Israel,"836,740",+34,"6,315",+1,"827,745",+298,"2,680",201,"90,974",687,"13,929,118","1,514,431","9,197,590",Asia,11,"1,456",1
30,Portugal,"829,911",+553,"16,937",+4,"787,607",+596,"25,367",101,"81,578","1,665","9,690,372","952,538","10,173,212",Europe,12,601,1
31,Pakistan,"745,182","+5,364","15,982",+110,"650,775","+4,123","78,425","4,302","3,323",71,"11,007,252","49,084","224,253,902",Asia,301,"14,032",20
32,Hungary,"742,198","+5,216","24,762",+241,"445,920","+5,422","271,516","1,117","76,984","2,568","5,065,759","525,441","9,640,967",Europe,13,389,2
33,Bangladesh,"711,779","+4,417","10,182",+101,"602,908","+5,694","98,689",,"4,288",61,"5,134,478","30,934","165,980,237",Asia,233,"16,301",32
34,Jordan,"681,870","+2,732","8,117",+60,"625,912","+4,042","47,841",729,"66,312",789,"6,448,333","627,097","10,282,825",Asia,15,"1,267",2
35,Serbia,"657,716","+2,846","5,920",+39,"579,625","+3,854","72,171",239,"75,517",680,"3,661,150","420,361","8,709,547",Europe,13,"1,471",2
36,Switzerland,"632,399","+2,205","10,503",+5,"566,679","+1,829","55,217",222,"72,652","1,207","6,538,153","751,126","8,704,466",Europe,14,829,1
37,Austria,"589,299","+2,416","9,843",+30,"550,470","+2,866","28,986",558,"65,138","1,088","28,298,620","3,127,994","9,046,892",Europe,15,919,0
38,Japan,"520,745","+4,576","9,538",+39,"475,574","+2,184","35,633",670,"4,127",76,"10,754,285","85,236","126,170,451",Asia,242,"13,228",12
39,Lebanon,"506,808","+2,008","6,854",+45,"420,223","+3,599","79,731",795,"74,517","1,008","3,796,562","558,213","6,801,277",Asia,13,992,2
