#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"8,950,182","+57,696","312,444","+1,480","5,782,954","+40,762","2,854,784","17,523",,,,,,North America,,,
,Asia,"10,751,772","+119,641","196,537","+1,777","9,031,869","+105,908","1,523,366","20,774",,,,,,Asia,,,
,South America,"8,138,784","+59,345","254,370","+1,200","7,004,962","+51,251","879,452","17,350",,,,,,South America,,,
,Europe,"5,093,868","+69,160","223,225",+771,"2,559,077","+21,040","2,311,566","8,812",,,,,,Europe,,,
,Africa,"1,496,945","+7,228","36,139",+217,"1,239,307","+6,182","221,499","1,599",,,,,,Africa,,,
,Oceania,"31,394",+35,929,+2,"28,632",+36,"1,833",22,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"34,463,666","+313,105","1,023,659","+5,447","25,647,452","+225,179","7,792,555","66,084","4,421",131.3,,,,All,,,
1,USA,"7,493,859","+46,577","212,628",+888,"4,731,133","+31,427","2,550,098","14,194","22,607",641,"108,363,538","326,899","331,489,264",North America,44,"1,559",3
2,India,"6,391,960","+81,693","99,804","+1,096","5,348,653","+78,646","943,503","8,944","4,621",72,"75,619,781","54,663","1,383,382,213",Asia,216,"13,861",18
3,Brazil,"4,849,229","+35,643","144,767",+805,"4,212,772","+32,396","491,690","8,318","22,773",680,"17,900,000","84,062","212,937,402",South America,44,"1,471",12
4,Russia,"1,185,231","+8,945","20,891",+169,"964,242","+5,985","200,098","2,300","8,121",143,"46,000,000","315,176","145,950,295",Europe,123,"6,986",3
5,Colombia,"835,339","+5,660","26,196",+198,"751,691","+8,038","57,452","2,220","16,374",513,"3,776,280","74,019","51,017,714",South America,61,"1,948",14
6,Peru,"814,829",,"32,463",,"683,815",,"98,551","1,358","24,628",981,"3,892,353","117,646","33,085,358",South America,41,"1,019",9
7,Spain,"778,607","+9,419","31,973",+182,N/A,N/A,N/A,"1,561","16,651",684,"12,723,989","272,116","46,759,360",Europe,60,"1,462",4
