#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"122,630,017","+12,614","1,588,245",+109,"117,337,928","+22,561","3,703,844","9,632",,,,,,North America,,,,,,
,Asia,"211,080,812","+193,236","1,521,952",+488,"195,636,929","+124,115","13,921,931","17,343",,,,,,Asia,,,,,,
,Europe,"244,048,744","+18,645","1,995,371",+195,"239,266,164","+95,351","2,787,209","7,221",,,,,,Europe,,,,,,
,South America,"67,479,600","+23,584","1,344,847",+139,"65,355,566","+51,966","779,187","10,303",,,,,,South America,,,,,,
,Oceania,"13,814,970",+67,"24,223",,"13,589,496",+182,"201,251",131,,,,,,Australia/Oceania,,,,,,
,Africa,"12,759,885","+4,044","258,414",+8,"12,050,092","+2,153","451,379",840,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"671,814,749","+252,190","6,733,067",+939,"643,236,881","+296,328","21,844,801","45,470","86,188",863.8,,,,All,,,,,,
1,USA,"103,593,137","+8,793","1,125,621",+60,"100,464,324","+15,118","2,003,192","4,449","309,413","3,362","1,157,857,407","3,458,301","334,805,269",North America,3,297,0,26,0.2,"5,983"
2,India,"44,681,884",,"530,726",,"44,148,472",,"2,686",698,"31,765",377,"913,255,016","649,250","1,406,631,776",Asia,31,"2,650",2,,,2
3,France,"39,461,387","+8,381","163,562",+99,"39,082,474","+26,001","215,351",869,"601,688","2,494","271,490,188","4,139,547","65,584,518",Europe,2,401,0,128,2,"3,284"
4,Germany,"37,622,357",,"163,965",,"37,104,300","+40,500","354,092","1,281","448,507","1,955","122,332,384","1,458,359","83,883,596",Europe,2,512,1,,,"4,221"
