#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"102,225,117","+22,083","1,476,538",+47,"96,366,266","+59,875","4,382,313","8,151",,,,,,North America,,,,,,
,Asia,"157,134,854","+183,636","1,433,090",+216,"150,064,079","+300,578","5,637,685","10,738",,,,,,Asia,,,,,,
,South America,"57,946,801","+9,831","1,299,483",+31,"53,616,977","+3,905","3,030,341","10,509",,,,,,South America,,,,,,
,Europe,"196,923,740","+46,630","1,843,491",+123,"186,298,744","+66,518","8,781,505","6,178",,,,,,Europe,,,,,,
,Oceania,"8,935,469","+26,918","12,633",+36,"8,546,462","+4,897","376,374",126,,,,,,Australia/Oceania,,,,,,
,Africa,"12,170,030","+2,980","255,071",+9,"11,376,809","+3,478","538,150",963,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"535,336,732","+292,078","6,320,321",+462,"506,270,043","+439,251","22,746,368","36,665","68,679",810.8,,,,All,,,,,,
1,USA,"86,516,911","+13,854","1,033,588",+17,"82,580,086","+52,298","2,903,237","2,733","258,465","3,088","1,033,934,374","3,088,823","334,734,077",North America,4,324,0,41,0.05,"8,673"
2,India,"43,181,113","+3,033","524,692",,"42,628,073",,"28,348",698,"30,710",373,"852,623,487","606,380","1,406,087,920",Asia,33,"2,680",2,2,,20
3,Brazil,"31,153,765",+696,"667,056",+12,"30,063,682",,"423,027","8,318","144,589","3,096","63,776,166","295,994","215,464,187",South America,7,323,3,3,0.06,"1,963"
4,France,"29,641,606","+20,542","148,464",,"29,041,118","+5,936","452,024","1,173","452,190","2,265","271,490,188","4,141,654","65,551,159",Europe,2,442,0,313,,"6,896"
5,Germany,"26,540,852","+1,010","139,748",+4,"25,554,500","+14,300","846,604",656,"314,842","1,658","122,332,384","1,451,173","84,298,941",Europe,3,603,1,12,0.05,"10,043"
6,UK,"22,305,893",,"178,749",,"21,970,696","+9,041","156,448",188,"325,294","2,607","522,526,476","7,620,163","68,571,558",Europe,3,384,0,,,"2,282"
7,Russia,"18,351,851","+3,786","379,520",+75,"17,764,261","+3,935","208,070","2,300","125,650","2,598","273,400,000","1,871,901","146,054,745",Europe,8,385,1,26,0.5,"1,425"
8,S. Korea,"18,163,686","+9,835","24,258",+20,"17,837,506","+31,306","301,922",136,"353,696",472,"15,804,065","307,748","51,353,999",Asia,3,"2,117",3,192,0.4,"5,879"
9,Italy,"17,505,973","+15,082","166,949",+27,"16,697,597","+15,938","641,427",218,"290,358","2,769","221,864,787","3,679,902","60,290,942",Europe,3,361,0,250,0.4,"10,639"
10,Turkey,"15,072,747",,"98,965",,"14,971,256",,"2,526",975,"175,094","1,150","162,743,369","1,890,523","86,083,771",Asia,6,870,1,,,29
11,Spain,"12,403,245",,"106,797",,"11,832,351",,"464,097",339,"265,086","2,282","471,036,328","10,067,119","46,789,588",Europe,4,438,0,,,"9,919"
12,Vietnam,"10,725,239",+685,"43,080",,"9,504,955","+8,548","1,177,204",35,"108,311",435,"85,818,376","866,657","99,022,312",Asia,9,"2,299",1,7,,"11,888"
13,Argentina,"9,230,573",,"128,889",,"8,895,999",,"205,685",300,"200,695","2,802","35,716,069","776,553","45,993,079",South America,5,357,1,,,"4,472"
14,Japan,"8,929,654","+16,627","30,735",+23,"8,686,928","+27,230","211,991",77,"71,021",244,"53,235,782","423,406","125,732,317",Asia,14,"4,091",2,132,0.2,"1,686"
15,Netherlands,"8,090,237",,"22,325",,"8,034,072","+1,669","33,840",34,"470,151","1,297","21,107,399","1,226,621","17,207,753",Europe,2,771,1,,,"1,967"
16,Australia,"7,427,019","+22,253","8,751",+29,"7,146,454",,"271,814",93,"284,902",336,"72,258,855","2,771,865","26,068,678",Australia/Oceania,4,"2,979",0,854,1,"10,427"
17,Iran,"7,232,731",+53,"141,331",+3,"7,055,493",+901,"35,907",458,"84,043","1,642","52,298,398","607,699","86,059,715",Asia,12,609,2,0.6,0.03,417
18,Colombia,"6,109,105",,"139,867",,"5,938,448",,"30,790",342,"117,651","2,694","35,041,646","674,844","51,925,531",South America,8,371,1,,,593
19,Indonesia,"6,056,800",+388,"156,615",+5,"5,896,752",+204,"3,433","2,771","21,702",561,"99,101,535","355,096","279,084,067",Asia,46,"1,782",3,1,0.02,12
20,Poland,"6,008,612",+62,"116,349",,"5,335,501",+6,"556,762",408,"159,097","3,081","36,377,474","963,210","37,766,938",Europe,6,325,1,2,,"14,742"
21,Mexico,"5,789,401","+3,456","325,000",+14,"5,070,825","+1,784","393,576","4,798","44,013","2,471","16,005,640","121,682","131,536,982",North America,23,405,8,26,0.1,"2,992"
22,Ukraine,"5,011,433",,"108,538",,N/A,N/A,N/A,177,"115,928","2,511","19,521,252","451,579","43,228,843",Europe,9,398,2,,,"19,544"
23,Malaysia,"4,514,989","+1,358","35,688",+2,"4,457,118","+1,620","22,183",26,"136,145","1,076","60,146,791","1,813,660","33,163,210",Asia,7,929,1,41,0.06,669
24,Thailand,"4,466,793","+3,236","30,174",+28,"4,404,369","+5,011","32,250","1,496","63,687",430,"17,270,775","246,245","70,136,665",Asia,16,"2,324",4,46,0.4,460
25,Austria,"4,267,154","+2,416","18,670",+1,"4,212,299","+2,118","36,185",40,"468,651","2,050","188,148,905","20,663,921","9,105,189",Europe,2,488,0,265,0.1,"3,974"
26,Belgium,"4,158,754",,"31,768",,"4,056,568","+4,414","70,418",82,"355,857","2,718","34,126,914","2,920,178","11,686,586",Europe,3,368,0,,,"6,026"
27,Israel,"4,151,986","+5,802","10,864",+4,"4,124,933","+6,644","16,189",150,"445,205","1,165","41,373,364","4,436,346","9,326,000",Asia,2,858,0,622,0.4,"1,736"
28,DPRK,"4,070,480","+73,790",71,,"3,931,920","+82,030","138,489",,"156,581",3,,,"25,995,997",Asia,6,"366,141",,"2,839",,"5,327"
29,Portugal,"4,066,674",,"22,583",,N/A,N/A,N/A,61,"401,070","2,227","42,825,431","4,223,596","10,139,567",Europe,2,449,0,,,"115,184"
30,South Africa,"3,968,205","+1,127","101,317",+4,"3,836,337","+2,524","30,551",192,"65,324","1,668","25,366,718","417,585","60,746,236",Africa,15,600,2,19,0.07,503
31,Czechia,"3,921,096",+81,"40,291",,"3,880,103",+249,702,4,"364,849","3,749","55,433,250","5,157,939","10,747,171",Europe,3,267,0,8,,65
32,Canada,"3,881,713",+710,"41,248",+3,"3,538,840",+842,"301,625",306,"101,143","1,075","62,032,975","1,616,354","38,378,334",North America,10,930,1,19,0.08,"7,859"
33,Chile,"3,748,619","+8,823","57,973",+18,"3,514,862","+3,302","175,784",154,"192,913","2,983","38,909,614","2,002,382","19,431,664",South America,5,335,0,454,0.9,"9,046"
34,Philippines,"3,691,546",+219,"60,456",,"3,628,611",+176,"2,479",472,"32,847",538,"30,297,272","269,585","112,384,947",Asia,30,"1,859",4,2,,22
35,Switzerland,"3,657,546",,"13,958",,"3,610,386","+2,139","33,202",40,"416,753","1,590","21,104,853","2,404,755","8,776,299",Europe,2,629,0,,,"3,783"
36,Peru,"3,584,256",,"213,248",,N/A,N/A,N/A,165,"105,871","6,299","30,795,010","909,620","33,854,826",South America,9,159,1,,,"48,748"
