#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"18,019,175","+200,539","433,513","+3,178","10,928,024","+107,822","6,657,638","31,242",,,,,,North America,,,
,Asia,"17,732,582","+118,142","304,755","+1,653","15,661,305","+106,408","1,766,522","28,168",,,,,,Asia,,,
,South America,"11,639,691","+63,526","334,462","+1,208","10,375,274","+73,445","929,955","16,790",,,,,,South America,,,
,Europe,"18,785,554","+162,830","433,509","+5,014","8,470,975","+121,203","9,881,070","27,327",,,,,,Europe,,,
,Africa,"2,300,130","+12,892","54,610",+401,"1,965,375","+17,846","280,145","2,528",,,,,,Africa,,,
,Oceania,"46,194",+259,"1,028",+7,"33,175",+18,"11,991",25,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"68,524,047","+558,188","1,561,892","+11,461","47,434,834","+426,742","19,527,321","106,080","8,791",200.4,,,,All,,,
1,USA,"15,570,468","+186,880","293,215","+2,714","9,075,998","+92,145","6,201,255","26,546","46,920",884,"210,905,431","635,546","331,849,210",North America,21,"1,132",2
2,India,"9,735,975","+32,067","141,398",+404,"9,214,806","+37,161","379,771","8,944","7,025",102,"148,814,055","107,377","1,385,900,954",Asia,142,"9,801",9
3,Brazil,"6,675,915","+47,850","178,184",+796,"5,854,709","+53,642","643,022","8,318","31,310",836,"25,700,000","120,534","213,217,698",South America,32,"1,197",8
4,Russia,"2,515,009","+26,097","44,159",+562,"1,981,526","+24,938","489,324","2,300","17,231",303,"80,095,220","548,741","145,961,882",Europe,58,"3,305",2
5,France,"2,309,621","+13,713","56,352",+491,"171,868","+1,583","2,081,401","3,088","35,350",862,"27,993,301","428,447","65,336,705",Europe,28,"1,159",2
6,Italy,"1,757,394","+14,842","61,240",+634,"958,629","+25,497","737,525","3,345","29,085","1,014","23,386,113","387,041","60,422,807",Europe,34,987,3
7,UK,"1,750,241","+12,282","62,033",+616,N/A,N/A,N/A,"1,271","25,723",912,"46,047,237","676,751","68,041,627",Europe,39,"1,097",1
8,Spain,"1,715,700",,"46,646",,N/A,N/A,N/A,"2,371","36,689",998,"24,101,272","515,395","46,762,714",Europe,27,"1,003",2
9,Argentina,"1,469,919","+3,610","40,009",+121,"1,305,587","+4,891","124,323","3,715","32,394",882,"4,124,441","90,895","45,376,124",South America,31,"1,134",11
10,Colombia,"1,384,610","+7,510","38,158",+163,"1,278,326","+10,731","68,126","2,376","27,086",746,"6,814,795","133,314","51,118,418",South America,37,"1,340",8
11,Germany,"1,218,325","+18,319","20,161",+622,"863,300",,"334,864","4,257","14,521",240,"29,141,172","347,328","83,901,058",Europe,69,"4,162",3
12,Mexico,"1,182,249","+6,399","110,074",+357,"873,555","+7,369","198,620","3,279","9,128",850,"3,023,227","23,342","129,521,116",North America,110,"1,177",43
