#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"21,201,562","+189,878","477,696","+2,098","12,865,452","+151,576","7,858,414","33,497",,,,,,North America,,,
,Asia,"19,861,063","+80,242","323,778","+1,385","18,152,738","+109,816","1,384,547","26,535",,,,,,Asia,,,
,South America,"12,519,126","+45,949","349,842",+998,"11,050,059","+63,345","1,119,225","16,791",,,,,,South America,,,
,Europe,"21,506,624","+171,540","496,069","+3,649","10,301,279","+103,163","10,709,276","26,570",,,,,,Europe,,,
,Africa,"2,539,584","+15,903","59,624",+429,"2,125,802","+8,838","354,158","2,729",,,,,,Africa,,,
,Oceania,"47,536",+195,"1,050",+4,"33,282",+5,"13,204",23,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"77,676,216","+503,707","1,708,074","+8,563","54,529,318","+436,743","21,438,824","106,145","9,965",219.1,,,,All,,,
1,USA,"18,448,171","+174,564","326,560","+1,629","10,759,398","+137,316","7,362,213","27,968","55,580",984,"236,324,975","711,987","331,923,317",North America,18,"1,016",1
2,India,"10,075,422","+19,174","146,145",+302,"9,635,614","+30,224","293,663","8,944","7,267",105,"162,098,329","116,919","1,386,419,518",Asia,138,"9,487",9
3,Brazil,"7,264,221","+25,621","187,322",+549,"6,286,980","+41,179","789,919","8,318","34,060",878,"25,700,000","120,501","213,275,406",South America,29,"1,139",8
4,Russia,"2,877,727","+29,350","51,351",+493,"2,295,362","+19,705","531,014","2,300","19,715",352,"86,391,683","591,869","145,964,267",Europe,51,"2,842",2
5,France,"2,479,151","+5,797","60,900",+351,"184,464",+658,"2,233,787","2,746","37,941",932,"31,237,270","478,056","65,342,214",Europe,26,"1,073",2
6,UK,"2,073,511","+33,364","67,616",+215,N/A,N/A,N/A,"1,364","30,468",994,"50,851,151","747,204","68,055,240",Europe,33,"1,006",1
7,Turkey,"2,043,704","+19,103","18,351",+254,"1,834,705","+34,419","190,648","5,192","24,109",216,"22,635,637","267,031","84,767,845",Asia,41,"4,619",4
8,Italy,"1,964,054","+10,872","69,214",+415,"1,281,258","+19,632","613,582","2,731","32,507","1,146","25,217,014","417,366","60,419,420",Europe,31,873,2
9,Spain,"1,830,110","+7,503","49,260",+112,N/A,N/A,N/A,"1,944","39,136","1,053","25,991,493","555,808","46,763,404",Europe,26,949,2
10,Argentina,"1,547,138","+5,853","41,997",+184,"1,374,401","+6,055","130,740","3,367","34,084",925,"4,520,949","99,598","45,391,972",South America,29,"1,081",10
11,Germany,"1,534,116","+19,333","27,297",+533,"1,115,400","+18,000","391,419","5,167","18,283",325,"31,974,158","381,047","83,911,278",Europe,55,"3,074",3
12,Colombia,"1,518,067","+10,845","40,680",+205,"1,382,340","+9,008","95,047","2,578","29,685",795,"7,539,967","147,440","51,139,151",South America,34,"1,257",7
13,Mexico,"1,320,545","+6,870","118,202",+326,"978,002","+6,887","224,341","3,890","10,192",912,"3,377,517","26,067","129,572,900",North America,98,"1,096",38
14,Poland,"1,207,333","+4,633","25,474",+77,"946,017","+7,748","235,842","1,714","31,917",673,"6,911,513","182,714","37,826,845",Europe,31,"1,485",5
15,Iran,"1,164,535","+6,151","53,816",+191,"894,366","+9,312","216,353","5,519","13,781",637,"7,097,556","83,995","84,500,028",Asia,73,"1,570",12
16,Peru,"997,517",,"37,103",,"932,295",,"28,119","1,093","30,056","1,118","5,374,886","161,951","33,188,288",South America,33,894,6
17,Ukraine,"970,993","+6,545","16,665",+80,"586,268","+5,106","368,060",177,"22,266",382,"5,303,103","121,608","43,608,027",Europe,45,"2,617",8
18,South Africa,"930,711","+8,789","24,907",+216,"796,346","+2,432","109,458",546,"15,600",417,"6,176,683","103,529","59,661,446",Africa,64,"2,395",10
19,Netherlands,"700,873","+11,168","10,519",+28,N/A,N/A,N/A,586,"40,860",613,"5,514,008","321,462","17,152,906",Europe,24,"1,631",3
20,Indonesia,"671,778","+6,848","20,085",+205,"546,884","+5,073","104,809",,"2,444",73,"6,824,030","24,825","274,890,358",Asia,409,"13,686",40
21,Czechia,"627,523","+3,364","10,411",+35,"534,686",+136,"82,426",588,"58,546",971,"3,538,944","330,174","10,718,434",Europe,17,"1,030",3
22,Belgium,"625,930","+2,170","18,626",+81,"42,980",+69,"564,324",544,"53,896","1,604","6,606,666","568,874","11,613,576",Europe,19,624,2
23,Romania,"593,783","+2,489","14,481",+87,"501,896","+3,119","77,406","1,255","30,965",755,"4,607,030","240,247","19,176,249",Europe,32,"1,324",4
24,Chile,"587,488","+1,943","16,197",+43,"557,913","+1,957","13,378",673,"30,608",844,"6,107,861","318,219","19,193,866",South America,33,"1,185",3
25,Iraq,"585,345","+1,200","12,710",+13,"522,637","+1,668","49,998",182,"14,402",313,"4,182,466","102,903","40,644,698",Asia,69,"3,198",10
26,Canada,"512,404","+4,609","14,282",+54,"420,464","+3,756","77,658",694,"13,520",377,"13,115,616","346,070","37,898,755",North America,74,"2,654",3
27,Bangladesh,"502,183","+1,470","7,312",+32,"439,694","+2,167","55,177",,"3,035",44,"3,091,349","18,683","165,465,094",Asia,329,"22,629",54
28,Philippines,"461,505","+1,721","8,957",+10,"429,207",+82,"23,341",708,"4,185",81,"6,495,973","58,910","110,268,715",Asia,239,"12,311",17
29,Pakistan,"458,968","+1,792","9,392",+62,"409,085","+1,680","40,491","2,403","2,059",42,"6,336,113","28,425","222,903,998",Asia,486,"23,733",35
30,Morocco,"418,002",+877,"7,000",+43,"380,134","+1,980","30,868","1,069","11,262",189,"4,308,127","116,069","37,117,076",Africa,89,"5,302",9
31,Switzerland,"413,991","+10,002","6,781",+159,"311,500",,"95,710",435,"47,670",781,"3,349,768","385,713","8,684,609",Europe,21,"1,281",3
32,Israel,"378,259","+3,499","3,111",+12,"348,873",+767,"26,275",463,"41,126",338,"7,190,345","781,764","9,197,590",Asia,24,"2,956",1
33,Portugal,"376,220","+2,099","6,191",+57,"299,603","+2,370","70,426",502,"36,948",608,"5,186,675","509,371","10,182,513",Europe,27,"1,645",2
34,Sweden,"367,120",,"7,993",,N/A,N/A,N/A,281,"36,244",789,"3,989,420","393,856","10,129,126",Europe,28,"1,267",3
35,Saudi Arabia,"361,178",+168,"6,131",+9,"352,089",+211,"2,958",410,"10,299",175,"10,676,018","304,429","35,069,002",Asia,97,"5,720",3
36,Austria,"340,373","+1,519","5,435",+84,"305,658","+2,445","29,280",478,"37,690",602,"3,614,233","400,213","9,030,776",Europe,27,"1,662",2
37,Hungary,"305,130","+2,141","8,282",+183,"102,962","+5,519","193,886",517,"31,624",858,"2,520,288","261,206","9,648,642",Europe,32,"1,165",4
38,Serbia,"303,747","+3,685","2,733",+47,"31,536",,"269,478",330,"34,831",313,"2,155,365","247,159","8,720,553",Europe,29,"3,191",4
39,Jordan,"277,448","+2,499","3,604",+36,"246,168","+3,062","27,676",313,"27,065",352,"2,983,088","291,004","10,251,023",Asia,37,"2,844",3
40,Nepal,"254,514",+742,"1,795",+7,"244,743","+1,079","7,976",,"8,662",61,"1,877,181","63,887","29,382,901",Asia,115,"16,369",16
41,Panama,"214,038","+1,699","3,597",+31,"174,951","+1,443","35,490",178,"49,241",828,"1,174,159","270,125","4,346,725",North America,20,"1,208",4
42,Georgia,"209,462",+824,"2,140",+46,"184,668","+4,227","22,654",,"52,556",537,"1,797,437","450,993","3,985,513",Asia,19,"1,862",2
43,Ecuador,"206,329",+72,"13,949",+1,"181,618","+3,667","10,762",382,"11,612",785,"713,606","40,160","17,769,165",South America,86,"1,274",25
44,Azerbaijan,"203,593","+1,505","2,253",+43,"142,807","+3,028","58,533",,"19,995",221,"2,073,137","203,600","10,182,417",Asia,50,"4,519",5
45,Japan,"198,523","+2,643","2,900",+27,"167,513","+2,180","28,110",603,"1,572",23,"4,379,067","34,674","126,291,570",Asia,636,"43,549",29
46,Croatia,"195,728",+766,"3,257",+80,"176,366","+3,208","16,105",290,"47,818",796,"950,611","232,244","4,093,151",Europe,21,"1,257",4
47,UAE,"194,652","+1,077",639,+2,"169,840",+845,"24,173",,"19,569",64,"19,461,277","1,956,537","9,946,799",Asia,51,"15,566",1
48,Bulgaria,"192,472","+1,277","6,765",+156,"102,666","+2,908","83,041",523,"27,800",977,"1,105,928","159,738","6,923,387",Europe,36,"1,023",6
49,Belarus,"175,416","+1,893","1,333",+9,"152,930","+1,295","21,153",,"18,567",141,"3,794,812","401,659","9,447,842",Europe,54,"7,088",2
50,Dominican Republic,"161,052",+666,"2,385",+1,"124,931",+655,"33,736",245,"14,776",219,"829,781","76,131","10,899,337",North America,68,"4,570",13
51,Costa Rica,"159,893",+635,"2,037",+14,"126,777",+606,"31,079",254,"31,253",398,"464,376","90,767","5,116,125",North America,32,"2,512",11
52,Lebanon,"159,286","+1,182","1,294",+13,"113,948","+1,615","44,044",410,"23,387",190,"1,820,011","267,223","6,810,834",Asia,43,"5,263",4
53,Armenia,"154,065",+240,"2,656",+26,"133,176",+644,"18,233",,"51,946",896,"567,755","191,429","2,965,878",Asia,19,"1,117",5
54,Slovakia,"152,555","+1,219","1,618",+63,"109,807","+1,979","41,130",319,"27,936",296,"1,311,832","240,223","5,460,902",Europe,36,"3,375",4
55,Bolivia,"150,023",+253,"9,036",+1,"127,969",+154,"13,018",71,"12,770",769,"389,124","33,122","11,748,072",South America,78,"1,300",30
56,Kuwait,"148,209",+230,922,+1,"144,142",+216,"3,145",55,"34,465",214,"1,223,177","284,439","4,300,311",Asia,29,"4,664",4
57,Kazakhstan,"147,236",+652,"2,147",,"131,606",+830,"13,483",221,"7,797",114,"4,871,752","258,001","18,882,716",Asia,128,"8,795",4
58,Qatar,"142,159",+158,243,,"139,927",+203,"1,989",24,"50,630",87,"1,199,805","427,311","2,807,805",Asia,20,"11,555",2
59,Denmark,"137,632","+3,198","1,053",+18,"93,214","+1,951","43,365",87,"23,722",181,"9,511,837","1,639,436","5,801,895",Europe,42,"5,510",1
60,Moldova,"135,910",+703,"2,777",+25,"120,015","+1,380","13,118",233,"33,729",689,"529,564","131,422","4,029,488",Europe,30,"1,451",8
61,Guatemala,"132,867",+102,"4,688",+32,"121,337",+343,"6,842",5,"7,352",259,"607,660","33,626","18,071,126",North America,136,"3,855",30
62,Greece,"131,597",+525,"4,257",+85,"9,989",,"117,351",505,"12,655",409,"3,135,160","301,495","10,398,710",Europe,79,"2,443",3
63,Oman,"127,931",+264,"1,489",+1,"119,745",+171,"6,697",40,"24,758",288,"571,472","110,596","5,167,216",Asia,40,"3,470",9
64,Egypt,"126,273",+718,"7,130",+32,"107,162",+345,"11,981",90,"1,223",69,"1,000,000","9,686","103,240,093",Africa,818,"14,480",103
65,Palestine,"123,945","+1,302","1,169",+28,"99,547","+1,568","23,229",136,"24,035",227,"822,119","159,423","5,156,847",Asia,42,"4,411",6
66,Tunisia,"121,718","+1,031","4,199",+41,"87,884",,"29,635",290,"10,248",354,"551,604","46,443","11,877,062",Africa,98,"2,829",22
67,Ethiopia,"120,348",+397,"1,861",+8,"103,681",+701,"14,806",265,"1,035",16,"1,747,905","15,030","116,292,882",Africa,966,"62,489",67
68,Honduras,"117,022",+162,"3,027",+2,"54,267",+67,"59,728",112,"11,727",303,"291,355","29,198","9,978,714",North America,85,"3,297",34
69,Myanmar,"116,982",+848,"2,465",+22,"96,685","+1,298","17,832",,"2,143",45,"1,615,672","29,600","54,582,699",Asia,467,"22,143",34
70,Lithuania,"114,487","+2,130","1,039",+20,"50,863",+142,"62,585",198,"42,340",384,"1,564,194","578,472","2,704,011",Europe,24,"2,603",2
71,Venezuela,"110,075",,988,,"104,462",,"4,625",54,"3,876",35,"2,380,317","83,821","28,397,472",South America,258,"28,742",12
72,Slovenia,"106,294",+395,"2,379",+26,"83,977",+441,"19,938",208,"51,126","1,144","628,232","302,169","2,079,074",Europe,20,874,3
73,Bosnia and Herzegovina,"106,222",+216,"3,706",+53,"71,548",+654,"30,968",,"32,473","1,133","487,271","148,965","3,271,052",Europe,31,883,7
74,Paraguay,"100,612",+823,"2,103",+15,"72,721",+914,"25,788",181,"14,025",293,"529,713","73,839","7,173,880",South America,71,"3,411",14
75,Algeria,"95,659",+456,"2,675",+9,"63,644",+384,"29,340",42,"2,163",60,,,"44,222,864",Africa,462,"16,532",
76,Malaysia,"95,327","+2,018",438,+1,"78,393","+1,084","16,496",109,"2,928",13,"3,122,277","95,888","32,561,592",Asia,342,"74,342",10
77,Libya,"95,200",+640,"1,369",+16,"65,532",+722,"28,299",,"13,767",198,"512,817","74,157","6,915,334",Africa,73,"5,051",13
78,Kenya,"94,614",+114,"1,644",+5,"76,060",+325,"16,910",46,"1,742",30,"1,011,025","18,610","54,325,539",Africa,574,"33,045",54
79,Bahrain,"90,450",+168,350,+1,"88,542",+211,"1,558",13,"52,315",202,"2,272,640","1,314,475","1,728,934",Asia,19,"4,940",1
80,Ireland,"80,267",+725,"2,158",,"23,364",,"54,745",29,"16,170",435,"2,213,757","445,977","4,963,837",Europe,62,"2,300",2
81,Kyrgyzstan,"79,254",+132,"1,331",+1,"73,005",+225,"4,918",94,"12,054",202,"564,763","85,898","6,574,807",Asia,83,"4,940",12
82,Nigeria,"78,790",+356,"1,227",+6,"68,493",+190,"9,070",10,378,6,"893,590","4,285","208,524,538",Africa,"2,647","169,947",233
83,North Macedonia,"78,434",+129,"2,314",+22,"55,155","+1,121","20,965",138,"37,648","1,111","381,207","182,979","2,083,333",Europe,27,900,5
84,Uzbekistan,"76,048",+115,612,,"73,339",+97,"2,097",171,"2,257",18,"1,377,915","40,891","33,697,666",Asia,443,"55,062",24
85,Singapore,"58,432",+10,29,,"58,287",+8,116,,"9,951",5,"5,031,065","856,770","5,872,132",Asia,100,"202,487",1
86,Ghana,"53,954",+98,333,+2,"52,675",+344,946,14,"1,720",11,"641,277","20,438","31,376,761",Africa,582,"94,225",49
87,Albania,"53,425",+422,"1,098",+10,"28,752",+631,"23,575",39,"18,574",382,"236,224","82,128","2,876,299",Europe,54,"2,620",12
88,Afghanistan,"50,888",+211,"2,089",,"39,701",+543,"9,098",93,"1,294",53,"182,599","4,642","39,338,414",Asia,773,"18,831",215
89,S. Korea,"50,591",+926,698,+24,"35,155",+433,"14,738",274,986,14,"3,713,861","72,409","51,290,194",Asia,"1,014","73,482",14
90,Luxembourg,"44,582",+91,450,+6,"37,106","+1,869","7,026",38,"70,679",713,"1,599,613","2,535,981","630,767",Europe,14,"1,402",0
91,Montenegro,"44,284",+329,630,+4,"34,569",+487,"9,085",68,"70,504","1,003","165,112","262,874","628,104",Europe,14,997,4
92,Norway,"44,113",+208,405,+1,"37,658",,"6,050",35,"8,107",74,"2,584,584","474,992","5,441,317",Europe,123,"13,435",2
93,El Salvador,"43,772",+295,"1,257",+7,"39,362",+220,"3,153",73,"6,732",193,"601,922","92,579","6,501,739",North America,149,"5,172",11
94,Sri Lanka,"37,631",+370,176,,"28,682",+415,"8,773",,"1,754",8,"1,102,665","51,392","21,455,891",Asia,570,"121,908",19
95,Finland,"33,414",+254,506,+17,"22,500",,"10,408",33,"6,026",91,"2,306,700","416,010","5,544,816",Europe,166,"10,958",2
96,Uganda,"31,384",+197,238,+7,"10,549",+80,"20,597",,676,5,"713,509","15,374","46,411,180",Africa,"1,479","195,005",65
97,Latvia,"31,335",+395,443,+4,"21,248",+197,"9,644",56,"16,701",236,"790,258","421,205","1,876,183",Europe,60,"4,235",2
98,Australia,"28,198",+26,908,,"25,712",+4,"1,578",,"1,100",35,"10,651,426","415,429","25,639,574",Australia/Oceania,909,"28,237",2
99,Cameroon,"25,849",,448,,"23,851",,"1,550",50,963,17,"149,000","5,548","26,854,286",Africa,"1,039","59,943",180
100,Sudan,"22,963",+140,"1,450",+16,"13,260",+89,"8,253",,518,33,,,"44,327,781",Africa,"1,930","30,571",
101,Estonia,"22,083",+287,181,+7,"13,677",+87,"8,225",33,"16,642",136,"585,915","441,547","1,326,960",Europe,60,"7,331",2
102,Ivory Coast,"21,932",+14,133,,"21,517",+39,282,,822,5,"246,128","9,224","26,683,192",Africa,"1,217","200,626",108
103,Namibia,"19,299",+585,180,+3,"16,041",+74,"3,078",30,"7,531",70,"190,462","74,326","2,562,511",Africa,133,"14,236",13
104,Zambia,"18,768",+52,375,+2,"17,818",+56,575,,"1,008",20,"531,000","28,512","18,623,594",Africa,992,"49,663",35
105,Cyprus,"18,004",+286,96,+5,"2,057",,"15,851",16,"14,861",79,"687,363","567,354","1,211,523",Asia,67,"12,620",2
106,Senegal,"17,879",+121,371,+6,"16,562",+40,946,26,"1,055",22,"255,976","15,102","16,949,607",Africa,948,"45,686",66
107,Mozambique,"17,695",+127,149,+1,"15,733",+279,"1,813",,559,5,"258,914","8,177","31,663,009",Africa,"1,789","212,503",122
108,Madagascar,"17,633",,260,,"17,147",,226,16,629,9,"98,369","3,510","28,023,045",Africa,"1,589","107,781",285
109,Angola,"16,686",+42,390,+3,"9,695",+103,"6,601",10,500,12,"171,247","5,136","33,340,786",Africa,"1,998","85,489",195
110,French Polynesia,"16,345",+163,106,+3,"4,842",,"11,397",23,"58,027",376,"26,355","93,564","281,678",Australia/Oceania,17,"2,657",11
111,DRC,"15,669",+174,370,,"13,660",+213,"1,639",,173,4,,,"90,825,983",Africa,"5,797","245,476",
112,Guinea,"13,578",+33,80,,"13,001",+46,497,24,"1,021",6,"96,143","7,229","13,298,729",Africa,979,"166,234",138
113,Maldives,"13,501",+8,48,,"12,929",+34,524,47,"24,772",88,"291,924","535,625","545,016",Asia,40,"11,355",2
114,Uruguay,"13,477",+429,119,,"8,688",+361,"4,670",59,"3,873",34,"565,207","162,441","3,479,451",South America,258,"29,239",6
115,Botswana,"13,014",,38,,"10,535",,"2,441",1,"5,482",16,"495,696","208,812","2,373,882",Africa,182,"62,471",5
116,Tajikistan,"12,998",+38,89,,"12,455",+42,454,,"1,349",9,,,"9,637,850",Asia,741,"108,290",
117,Mauritania,"12,567",+149,286,+5,"8,909",,"3,372",64,"2,670",61,"121,358","25,784","4,706,632",Africa,375,"16,457",39
118,French Guiana,"12,433",+64,71,,"9,995",,"2,367",3,"41,129",235,"97,195","321,527","302,292",South America,24,"4,258",3
119,Zimbabwe,"12,422",+97,322,+2,"10,112",+88,"1,988",,830,22,"196,462","13,128","14,964,825",Africa,"1,205","46,475",76
120,Jamaica,"12,289",+65,286,,"9,113",+147,"2,890",6,"4,141",96,"132,639","44,700","2,967,305",North America,241,"10,375",22
121,Malta,"11,802",+88,194,+4,"10,115",+137,"1,493",18,"26,695",439,"488,518","1,104,989","442,102",Europe,37,"2,279",1
122,Cabo Verde,"11,600",+21,111,,"11,270",+22,219,23,"20,757",199,"107,404","192,191","558,840",Africa,48,"5,035",5
123,Syria,"10,318",+123,621,+11,"4,835",+49,"4,862",,583,35,,,"17,699,195",Asia,"1,715","28,501",
124,Cuba,"10,242",+115,137,,"9,126",+86,979,10,905,12,"1,329,615","117,423","11,323,321",North America,"1,106","82,652",9
125,Belize,"10,095",,220,,"8,296",,"1,579",4,"25,173",549,"54,207","135,174","401,017",North America,40,"1,823",7
126,Haiti,"9,674",,234,,"8,336",,"1,104",,844,20,"39,265","3,424","11,468,125",North America,"1,185","49,009",292
127,Gabon,"9,420",+20,64,,"9,283",+29,73,3,"4,186",28,"348,886","155,041","2,250,275",Africa,239,"35,161",6
128,Réunion,"8,801",+97,42,,"8,219",,540,8,"9,797",47,"48,859","54,388","898,340",Africa,102,"21,389",18
129,Guadeloupe,"8,524",,154,,"2,242",,"6,128",5,"21,302",385,"95,178","237,852","400,157",North America,47,"2,598",4
130,Hong Kong,"8,238",+85,130,,"6,910",+73,"1,198",63,"1,095",17,"4,943,667","656,898","7,525,780",Asia,914,"57,891",2
131,Bahamas,"7,765",+19,164,,"6,127",+5,"1,474",16,"19,657",415,"49,112","124,328","395,021",North America,51,"2,409",8
132,Andorra,"7,602",+25,81,,"7,028",+31,493,17,"98,314","1,048","180,088","2,329,005","77,324",Europe,10,955,0
133,Eswatini,"7,562",+135,141,+1,"6,761",+65,660,67,"6,486",121,"73,524","63,065","1,165,841",Africa,154,"8,268",16
134,Rwanda,"7,402",+109,65,+2,"6,100",+9,"1,237",,565,5,"694,450","53,003","13,102,091",Africa,"1,770","201,571",19
135,Trinidad and Tobago,"7,012",+12,125,+2,"6,471",+14,416,3,"5,003",89,"70,152","50,050","1,401,642",North America,200,"11,213",20
136,Mali,"6,232",+41,225,+3,"3,858",+19,"2,149",,304,11,"126,647","6,171","20,522,125",Africa,"3,293","91,209",162
137,Malawi,"6,202",+41,187,,"5,664",+1,351,4,320,10,"82,460","4,259","19,360,483",Africa,"3,122","103,532",235
138,Congo,"6,200",,100,,"4,988",,"1,112",,"1,111",18,,,"5,581,498",Africa,900,"55,815",
139,Guyana,"6,171",+46,159,,"5,369",+50,643,7,"7,828",202,"36,135","45,836","788,354",South America,128,"4,958",22
140,Nicaragua,"5,938",,163,,"4,225",,"1,550",,891,24,,,"6,661,757",North America,"1,122","40,870",
141,Djibouti,"5,783",+2,61,,"5,668",+9,54,,"5,813",61,"97,646","98,160","994,767",Africa,172,"16,308",10
142,Mayotte,"5,708",,53,,"2,964",,"2,691",4,"20,689",192,"34,115","123,655","275,889",Africa,48,"5,205",8
143,Iceland,"5,656",+14,28,,"5,487",+9,141,3,"16,524",82,"421,312","1,230,852","342,293",Europe,61,"12,225",1
144,Martinique,"5,634",,42,,98,,"5,494",5,"15,019",112,"68,982","183,890","375,126",North America,67,"8,932",5
145,Suriname,"5,552",,118,,"5,291",,143,5,"9,424",200,"23,762","40,335","589,119",South America,106,"4,993",25
146,Burkina Faso,"5,301",+141,76,,"3,758",+99,"1,467",,250,4,,,"21,170,201",Africa,"3,994","278,555",
147,Thailand,"5,289",+382,60,,"4,053",+12,"1,176",1,76,0.9,"1,217,873","17,427","69,883,271",Asia,"13,213","1,164,721",57
148,Equatorial Guinea,"5,214",,85,,"5,064",,65,,"3,661",60,"73,875","51,866","1,424,344",Africa,273,"16,757",19
149,Aruba,"5,176",+13,47,,"4,969",+12,160,4,"48,382",439,"59,890","559,819","106,981",North America,21,"2,276",2
150,CAR,"4,936",,63,,"1,924",,"2,949",2,"1,014",13,"32,711","6,718","4,869,221",Africa,986,"77,289",149
151,Somalia,"4,662",,124,,"3,566",,972,,290,8,,,"16,099,625",Africa,"3,453","129,836",
152,Curaçao,"3,974",+27,11,,"2,284",+8,"1,679",6,"24,171",67,"31,641","192,449","164,412",North America,41,"14,947",5
153,Gambia,"3,786",,123,,"3,656",,7,1,"1,546",50,"28,041","11,453","2,448,266",Africa,647,"19,905",87
154,Togo,"3,436",+20,66,,"3,054",+37,316,,411,8,"168,355","20,116","8,369,405",Africa,"2,436","126,809",50
155,South Sudan,"3,228",,62,,"3,090",,76,1,287,6,"64,687","5,747","11,255,681",Africa,"3,487","181,543",174
156,Benin,"3,167",,44,,"3,061",,62,,258,4,"379,760","30,947","12,271,239",Africa,"3,875","278,892",32
