#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"40,129,303","+26,172","906,519",+719,"33,213,800","+41,332","6,008,984","12,422",,,,,,North America,,,,,,
,Asia,"53,247,730","+154,688","735,497","+5,126","50,199,256","+199,374","2,312,977","27,595",,,,,,Asia,,,,,,
,South America,"30,410,170","+158,294","937,262","+3,770","27,516,595","+114,368","1,956,313","30,761",,,,,,South America,,,,,,
,Europe,"47,112,761","+42,469","1,084,822",+964,"44,403,572","+70,371","1,624,367","10,827",,,,,,Europe,,,,,,
,Africa,"5,049,004","+17,767","134,423",+359,"4,526,138","+13,938","388,443","2,595",,,,,,Africa,,,,,,
,Oceania,"70,048",+59,"1,254",,"67,286",+22,"1,508",11,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"176,019,737","+399,449","3,799,792","+10,938","159,927,353","+439,405","12,292,592","84,211","22,582",487.5,,,,All,,,,,,
1,USA,"34,304,681","+14,363","614,705",+394,"28,345,402","+32,625","5,344,574","4,963","103,070","1,847","493,219,598","1,481,903","332,828,477",North America,10,541,1,43,1,"16,058"
2,India,"29,358,033","+84,695","367,097","+4,000","27,901,688","+122,794","1,089,248","8,944","21,079",264,"374,242,384","268,707","1,392,753,410",Asia,47,"3,794",4,61,3,782
3,Brazil,"17,301,220","+86,061","484,350","+2,215","15,718,593","+47,839","1,098,277","8,318","80,854","2,264","50,127,012","234,260","213,980,268",South America,12,442,4,402,10,"5,133"
4,France,"5,733,838","+3,871","110,344",+71,"5,483,689","+12,540","139,805","2,163","87,661","1,687","88,337,210","1,350,526","65,409,502",Europe,11,593,1,59,1,"2,137"
5,Turkey,"5,319,359","+6,261","48,593",+69,"5,192,945","+6,217","77,821","1,009","62,440",570,"56,570,784","664,042","85,191,618",Asia,16,"1,753",2,73,0.8,913
6,Russia,"5,180,454","+12,505","125,674",+396,"4,782,183","+10,188","272,597","2,300","35,484",861,"141,900,000","971,962","145,993,404",Europe,28,"1,162",1,86,3,"1,867"
7,UK,"4,550,944","+8,125","127,884",+17,"4,284,733","+1,470","138,327",158,"66,708","1,875","193,264,021","2,832,890","68,221,512",Europe,15,533,0,119,0.2,"2,028"
