#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"55,578,828","+84,577","1,133,360","+2,003","44,049,628","+109,542","10,395,840","21,032",,,,,,North America,,,,,,
,Asia,"78,478,354","+110,566","1,156,458","+1,932","75,447,583","+124,351","1,874,313","27,640",,,,,,Asia,,,,,,
,South America,"38,249,296","+20,621","1,166,795",+528,"36,401,410","+14,129","681,091","12,458",,,,,,South America,,,,,,
,Europe,"62,568,165","+220,573","1,275,471","+2,916","56,839,879","+128,827","4,452,815","12,472",,,,,,Europe,,,,,,
,Africa,"8,532,772","+4,634","217,142",+186,"7,860,849","+5,223","454,781","2,410",,,,,,Africa,,,,,,
,Oceania,"289,697","+3,387","3,536",+40,"230,057",+832,"56,104",382,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"243,697,833","+444,358","4,952,777","+7,605","220,830,112","+382,904","17,914,944","76,394","31,264",635.4,,,,All,,,,,,
1,USA,"46,253,098","+73,016","755,579","+1,516","35,995,189","+97,148","9,502,330","14,018","138,674","2,265","678,946,215","2,035,590","333,537,783",North America,7,441,0,219,5,"28,490"
2,India,"34,158,772","+16,331","453,742",+666,"33,524,450","+17,633","180,580","8,944","24,439",325,"597,066,481","427,173","1,397,716,811",Asia,41,"3,080",2,12,0.5,129
3,Brazil,"21,711,843","+14,502","605,211",+447,"20,885,484","+9,485","221,148","8,318","101,205","2,821","63,776,166","297,280","214,532,615",South America,10,354,3,68,2,"1,031"
4,UK,"8,689,949","+49,298","139,326",+180,"7,086,096","+28,510","1,464,527",892,"127,136","2,038","324,387,705","4,745,854","68,351,807",Europe,8,491,0,721,3,"21,426"
5,Russia,"8,168,305","+37,141","228,453","+1,064","7,117,060","+25,453","822,792","2,300","55,941","1,565","202,100,000","1,384,093","146,016,237",Europe,18,639,1,254,7,"5,635"
6,Turkey,"7,800,796","+28,192","68,700",+228,"7,231,922","+30,302","500,174",633,"91,212",803,"93,813,758","1,096,933","85,523,697",Asia,11,"1,245",1,330,3,"5,848"
7,France,"7,114,572","+6,366","117,440",+29,"6,905,904","+4,913","91,228","1,049","108,682","1,794","151,204,954","2,309,805","65,462,230",Europe,9,557,0,97,0.4,"1,394"
