#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"54,110,887","+117,575","1,099,659","+2,600","42,235,913","+91,057","10,775,315","25,406",,,,,,North America,,,,,,
,Asia,"76,766,753","+129,573","1,134,188","+1,703","73,514,106","+139,730","2,118,459","31,357",,,,,,Asia,,,,,,
,South America,"37,965,178","+20,035","1,159,348",+559,"35,985,909","+4,765","819,921","12,699",,,,,,South America,,,,,,
,Europe,"59,972,327","+172,623","1,238,431","+2,560","54,933,623","+125,679","3,800,273","11,686",,,,,,Europe,,,,,,
,Africa,"8,447,452","+7,781","213,758",+324,"7,730,249","+10,229","503,445","2,811",,,,,,Africa,,,,,,
,Oceania,"247,325","+2,765","3,126",+26,"194,261",+124,"49,938",394,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"237,510,643","+450,352","4,848,525","+7,772","214,594,767","+371,584","18,067,351","84,353","30,470",622.0,,,,All,,,,,,
1,USA,"45,014,599","+95,422","730,138","+1,641","34,462,259","+69,933","9,822,202","17,979","134,993","2,190","653,987,423","1,961,227","333,458,383",North America,7,457,1,286,5,"29,456"
2,India,"33,914,465","+21,463","450,160",+277,"33,217,637","+24,958","246,668","8,944","24,274",322,"578,657,484","414,167","1,397,161,207",Asia,41,"3,104",2,15,0.2,177
3,Brazil,"21,532,558","+15,044","599,865",+451,"20,554,936",,"377,757","8,318","100,399","2,797","63,776,166","297,365","214,470,785",South America,10,358,3,70,2,"1,761"
4,UK,"8,046,390","+40,701","137,417",+122,"6,560,683","+32,010","1,348,290",807,"117,745","2,011","310,440,189","4,542,769","68,337,222",Europe,8,497,0,596,2,"19,730"
5,Russia,"7,690,110","+27,550","213,549",+924,"6,799,230","+20,330","677,331","2,300","52,667","1,463","195,000,000","1,335,491","146,013,681",Europe,19,684,1,189,6,"4,639"
6,Turkey,"7,357,336","+30,019","65,590",+217,"6,815,320","+32,240","476,426",633,"86,064",767,"88,794,724","1,038,698","85,486,524",Asia,12,"1,303",1,351,3,"5,573"
7,France,"7,043,316","+4,615","116,991",+34,"6,825,148","+7,339","101,177","1,355","107,603","1,787","143,234,831","2,188,250","65,456,327",Europe,9,559,0,71,0.5,"1,546"
8,Iran,"5,674,083","+11,625","122,012",+233,"5,169,999","+16,951","382,072","5,549","66,479","1,430","32,619,228","382,174","85,351,834",Asia,15,700,3,136,3,"4,476"
9,Argentina,"5,264,305","+1,086","115,416",+37,"5,128,634","+1,566","20,255",977,"115,142","2,524","24,252,818","530,461","45,720,260",South America,9,396,2,24,0.8,443
10,Spain,"4,971,310","+1,807","86,701",+23,"4,797,503","+3,156","87,106",551,"106,275","1,853","65,473,038","1,399,663","46,777,704",Europe,9,540,1,39,0.5,"1,862"
11,Colombia,"4,967,524","+1,677","126,517",+30,"4,810,312","+1,512","30,695",342,"96,328","2,453","25,844,272","501,163","51,568,624",South America,10,408,2,33,0.6,595
12,Italy,"4,692,274","+2,938","131,198",+41,"4,473,903","+3,966","87,173",403,"77,752","2,174","94,444,592","1,564,967","60,349,253",Europe,13,460,1,49,0.7,"1,444"
13,Germany,"4,306,757","+22,403","94,910",+411,"4,064,600","+10,000","147,247","1,336","51,196","1,128","73,348,901","871,924","84,122,996",Europe,20,886,1,266,5,"1,750"
14,Indonesia,"4,224,487","+1,393","142,494",+81,"4,054,246","+1,946","27,747",,"15,241",514,"40,869,561","147,447","277,180,707",Asia,66,"1,945",7,5,0.3,100
15,Mexico,"3,699,621","+7,697","280,607",+713,"3,057,710","+6,617","361,304","4,798","28,318","2,148","10,807,151","82,721","130,645,562",North America,35,466,12,59,5,"2,766"
16,Poland,"2,916,969","+2,007","75,803",+29,"2,665,829",+578,"175,337",207,"77,180","2,006","21,166,301","560,042","37,794,127",Europe,13,499,2,53,0.8,"4,639"
17,South Africa,"2,909,757",+989,"88,104",+123,"2,788,130","+1,721","33,523",546,"48,292","1,462","17,898,602","297,053","60,253,893",Africa,21,684,3,16,2,556
18,Philippines,"2,632,881","+10,019","38,937",+109,"2,478,616","+7,425","115,328","3,194","23,629",349,"21,523,122","193,163","111,424,473",Asia,42,"2,862",5,90,1.0,"1,035"
19,Ukraine,"2,497,643","+15,125","57,840",+314,"2,277,762","+4,380","162,041",177,"57,548","1,333","13,111,389","302,099","43,400,940",Europe,17,750,3,348,7,"3,734"
20,Malaysia,"2,313,727","+9,890","27,113",+132,"2,157,565","+12,884","129,049",827,"70,347",824,"30,848,179","937,915","32,890,159",Asia,14,"1,213",1,301,4,"3,924"
21,Peru,"2,181,183",,"199,559",,N/A,N/A,N/A,925,"65,008","5,948","18,132,280","540,418","33,552,311",South America,15,168,2,,,"7,778"
22,Iraq,"2,018,667","+2,044","22,473",+33,"1,935,271","+3,150","60,923",379,"48,805",543,"15,359,518","371,347","41,361,597",Asia,20,"1,841",3,49,0.8,"1,473"
23,Netherlands,"2,016,171","+2,746","18,200",+6,"1,940,610","+2,453","57,361",132,"117,336","1,059","17,496,108","1,018,230","17,182,860",Europe,9,944,1,160,0.3,"3,338"
24,Japan,"1,707,752","+1,126","17,819",+30,"1,674,144","+2,419","15,789",595,"13,555",141,"25,190,326","199,945","125,986,140",Asia,74,"7,070",5,9,0.2,125
25,Czechia,"1,697,064","+1,047","30,493",+3,"1,657,225",+31,"9,346",60,"158,100","2,841","38,601,288","3,596,127","10,734,129",Europe,6,352,0,98,0.3,871
26,Thailand,"1,678,297","+11,200","17,418",+113,"1,551,857","+10,087","109,022","3,324","23,968",249,"9,201,621","131,411","70,021,659",Asia,42,"4,020",8,160,2,"1,557"
27,Chile,"1,659,386",+942,"37,533",+21,"1,614,090",+566,"7,763",377,"85,873","1,942","22,200,287","1,148,861","19,323,737",South America,12,515,1,49,1,402
28,Canada,"1,651,233","+4,091","28,141",+29,"1,581,543","+4,149","41,549",776,"43,271",737,"44,067,861","1,154,798","38,160,672",North America,23,"1,356",1,107,0.8,"1,089"
29,Bangladesh,"1,560,818",+663,"27,647",+12,"1,521,777",+664,"11,394","1,428","9,359",166,"9,891,614","59,315","166,764,150",Asia,107,"6,032",17,4,0.07,68
