#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent
,North America,"1,824,258","+29,063","111,618","+1,823","499,492","1,213,148","18,245",,,,,,North America
,South America,"578,187","+29,563","29,361","+1,283","218,724","330,102","10,701",,,,,,South America
,Europe,"1,868,166","+19,844","168,419","+1,614","849,073","850,674","10,477",,,,,,Europe
,Asia,"912,036","+24,779","26,674",+430,"531,963","353,399","4,850",,,,,,Asia
,Africa,"105,843","+4,159","3,204",+89,"42,861","59,778",296,,,,,,Africa
,Oceania,"8,703",+15,122,+1,"8,035",546,8,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,"5,297,914","+107,423","339,413","+5,240","2,150,799","2,807,702","44,581",680,43.5,,,,All
1,USA,"1,644,803","+23,906","97,635","+1,281","397,642","1,149,526","17,107","4,972",295,"13,882,648","41,968","330,790,544",North America
2,Brazil,"330,890","+19,969","21,048",+966,"135,430","174,412","8,318","1,558",99,"735,224","3,462","212,393,298",South America
3,Russia,"326,448","+8,894","3,249",+150,"99,825","223,374","2,300","2,237",22,"8,126,626","55,689","145,927,804",Europe
4,Spain,"281,904","+1,787","28,628",+688,"196,958","56,318","1,152","6,030",612,"3,037,840","64,977","46,752,851",Europe
5,UK,"254,195","+3,287","36,393",+351,N/A,N/A,"1,559","3,747",536,"3,231,921","47,635","67,847,158",Europe
6,Italy,"228,658",+652,"32,616",+130,"136,720","59,322",595,"3,781",539,"3,318,778","54,882","60,471,198",Europe
7,France,"182,219",+393,"28,289",+74,"64,209","89,721","1,701","2,792",433,"1,384,633","21,218","65,258,007",Europe
8,Germany,"179,713",+692,"8,352",+43,"159,000","12,361",965,"2,146",100,"3,595,059","42,923","83,755,045",Europe
9,Turkey,"154,500",+952,"4,276",+27,"116,111","34,113",800,"1,834",51,"1,767,495","20,982","84,237,509",Asia
10,Iran,"131,652","+2,311","7,300",+51,"102,276","22,076","2,659","1,570",87,"763,913","9,108","83,871,454",Asia
11,India,"124,794","+6,568","3,726",+142,"51,824","69,244",,91,3,"2,719,434","1,973","1,378,492,893",Asia
12,Peru,"111,698","+2,929","3,244",+96,"44,848","63,606",886,"3,393",99,"750,526","22,799","32,919,665",South America
13,Canada,"82,480","+1,156","6,250",+98,"42,594","33,636",502,"2,187",166,"1,405,208","37,268","37,705,478",North America
14,Saudi Arabia,"67,719","+2,642",364,+13,"39,003","28,352",302,"1,949",10,"667,057","19,195","34,751,777",Asia
15,Chile,"61,857","+4,276",630,+41,"25,342","35,885",986,"3,239",33,"442,093","23,149","19,098,031",South America
16,Mexico,"59,567","+2,973","6,510",+420,"40,657","12,400",378,463,51,"201,838","1,567","128,781,349",North America
17,Belgium,"56,511",+276,"9,212",+26,"15,123","32,176",268,"4,878",795,"757,328","65,376","11,584,152",Europe
18,Pakistan,"50,694","+2,603","1,067",+50,"15,201","34,426",111,230,5,"445,987","2,024","220,392,002",Asia
19,Netherlands,"44,888",+188,"5,788",+13,N/A,N/A,252,"2,620",338,"313,755","18,315","17,130,802",Europe
20,Qatar,"40,481","+1,830",19,+2,"7,893","32,569",175,"14,078",7,"180,642","62,822","2,875,446",Asia
21,Ecuador,"35,828",+522,"3,056",+117,"3,557","29,215",191,"2,034",174,"104,330","5,924","17,612,428",South America
22,Belarus,"34,303",+932,190,+5,"12,833","21,280",92,"3,630",20,"419,004","44,341","9,449,653",Europe
23,Sweden,"32,809",+637,"3,925",+54,"4,971","23,913",265,"3,251",389,"209,900","20,798","10,092,371",Europe
24,Switzerland,"30,707",+13,"1,903",+5,"27,900",904,51,"3,551",220,"364,321","42,129","8,647,657",Europe
25,Singapore,"30,426",+614,23,,"12,995","17,408",8,"5,205",4,"294,414","50,368","5,845,265",Asia
26,Bangladesh,"30,205","+1,694",432,+24,"6,190","23,583",1,184,3,"223,841","1,361","164,506,480",Asia
27,Portugal,"30,200",+288,"1,289",+12,"7,590","21,321",84,"2,961",126,"689,705","67,619","10,199,821",Europe
28,UAE,"27,892",+994,241,+4,"13,798","13,853",1,"2,824",24,"1,600,923","162,087","9,876,944",Asia
29,Ireland,"24,506",+115,"1,592",+9,"21,060","1,854",54,"4,969",323,"295,626","59,945","4,931,601",Europe
30,Indonesia,"20,796",+634,"1,326",+48,"5,057","14,413",,76,5,"229,334",839,"273,200,237",Asia
31,Poland,"20,619",+476,982,+10,"8,731","10,906",160,545,26,"719,571","19,011","37,850,989",Europe
32,Ukraine,"20,148",+442,588,+9,"6,585","12,975",256,460,13,"267,185","6,106","43,760,843",Europe
33,South Africa,"20,125",+988,397,+28,"10,104","9,624",119,340,7,"543,032","9,169","59,224,262",Africa
34,Kuwait,"19,564",+955,138,+9,"5,515","13,911",180,"4,589",32,"264,959","62,148","4,263,365",Asia
35,Colombia,"19,131",+801,682,+30,"4,575","13,874",136,376,13,"214,536","4,221","50,822,230",South America
36,Romania,"17,712",+127,"1,166",+10,"10,777","5,769",200,920,61,"352,647","18,318","19,250,875",Europe
37,Israel,"16,690",+7,279,,"13,915","2,496",47,"1,815",30,"531,124","57,746","9,197,590",Asia
38,Japan,"16,513",+89,796,+19,"13,005","2,712",176,131,6,"265,502","2,099","126,516,956",Asia
39,Austria,"16,436",+32,635,+2,"15,005",796,31,"1,826",71,"390,488","43,384","9,000,787",Europe
40,Egypt,"15,786",+783,707,+11,"4,374","10,705",41,155,7,"135,000","1,322","102,109,848",Africa
41,Dominican Republic,"13,989",+332,456,+8,"7,572","5,961",113,"1,291",42,"61,330","5,660","10,835,780",North America
42,Philippines,"13,597",+163,857,+11,"3,092","9,648",81,124,8,"278,041","2,541","109,415,846",Asia
43,Denmark,"11,230",+48,561,,"9,764",905,23,"1,940",97,"514,765","88,906","5,789,998",Europe
44,S. Korea,"11,142",+20,264,,"10,162",716,15,217,5,"802,418","15,653","51,264,480",Asia
45,Serbia,"11,024",+105,237,,"5,541","5,246",12,"1,261",27,"209,797","24,001","8,741,034",Europe
46,Argentina,"10,649",+718,433,+17,"3,062","7,154",171,236,10,"121,278","2,686","45,149,718",South America
47,Panama,"10,267",+151,295,+4,"6,275","3,697",72,"2,384",68,"55,018","12,774","4,306,982",North America
48,Afghanistan,"9,216",+540,205,+12,996,"8,015",19,237,5,"27,889",718,"38,824,552",Asia
49,Czechia,"8,813",+59,312,+6,"6,025","2,476",29,823,29,"387,127","36,157","10,706,852",Europe
50,Bahrain,"8,414",+240,12,,"4,096","4,306",7,"4,966",7,"269,179","158,887","1,694,155",Asia
51,Norway,"8,332",+23,235,,"7,727",370,13,"1,538",43,"229,769","42,420","5,416,564",Europe
52,Algeria,"7,918",+190,582,+7,"4,256","3,080",22,181,13,,,"43,759,272",Africa
53,Kazakhstan,"7,597",+363,35,,"4,096","3,466",31,405,2,"612,997","32,691","18,751,427",Asia
54,Morocco,"7,332",+121,197,+1,"4,377","2,758",1,199,5,"123,402","3,348","36,861,343",Africa
55,Nigeria,"7,261",+245,221,+10,"2,007","5,033",7,35,1,"41,907",204,"205,528,166",Africa
56,Malaysia,"7,137",+78,115,+1,"5,859","1,163",9,221,4,"491,729","15,215","32,319,132",Asia
57,Australia,"7,095",+14,101,+1,"6,479",515,7,279,4,"1,170,682","45,969","25,466,640",Australia/Oceania
58,Moldova,"6,847",+143,237,+4,"3,369","3,241",251,"1,697",59,"40,565","10,053","4,034,947",Europe
59,Oman,"6,794",+424,34,+3,"1,821","4,939",31,"1,335",7,"72,000","14,143","5,091,036",Asia
60,Finland,"6,537",+44,306,,"4,800","1,431",21,"1,180",55,"163,000","29,423","5,539,799",Europe
61,Ghana,"6,486",+217,31,,"1,951","4,504",12,209,1,"192,194","6,200","30,996,750",Africa
62,Armenia,"5,928",+322,74,+4,"2,874","2,980",10,"2,001",25,"47,654","16,085","2,962,649",Asia
63,Bolivia,"5,187",+268,215,+16,561,"4,411",3,445,18,"14,803","1,270","11,654,953",South America
64,Cameroon,"4,400",+112,159,+3,"1,822","2,419",28,166,6,,,"26,466,746",Africa
65,Luxembourg,"3,981",+1,109,,"3,748",124,5,"6,372",174,"65,724","105,191","624,808",Europe
66,Iraq,"3,964",+87,147,+7,"2,532","1,285",,99,4,"175,830","4,383","40,115,676",Asia
67,Azerbaijan,"3,855",+106,46,+2,"2,399","1,410",42,381,5,"252,496","24,928","10,129,036",Asia
68,Hungary,"3,678",+37,476,+3,"1,587","1,615",23,381,49,"155,801","16,124","9,662,923",Europe
69,Sudan,"3,378",+240,137,+16,372,"2,869",,77,3,394,9,"43,727,573",Africa
70,Honduras,"3,204",+104,156,+5,397,"2,651",13,324,16,"11,820","1,196","9,886,537",North America
71,Guinea,"3,067",,19,+1,"1,575","1,473",24,234,1,"13,726","1,049","13,089,690",Africa
72,Thailand,"3,037",,56,,"2,910",71,61,44,0.8,"328,073","4,701","69,781,150",Asia
73,Uzbekistan,"3,028",+64,13,,"2,492",523,4,91,0.4,"460,000","13,767","33,413,938",Asia
74,Senegal,"2,909",+97,33,,"1,311","1,565",6,174,2,"32,883","1,970","16,690,729",Africa
75,Greece,"2,874",+21,169,+1,"1,374","1,331",19,276,16,"147,958","14,188","10,428,331",Europe
76,Tajikistan,"2,551",+201,44,,"1,089","1,418",,268,5,,,"9,512,290",Asia
77,Guatemala,"2,512",+247,48,+3,222,"2,242",5,141,3,"25,464","1,424","17,877,078",North America
78,Bosnia and Herzegovina,"2,372",+22,141,+1,"1,614",617,4,723,43,"57,507","17,517","3,282,920",Europe
79,Bulgaria,"2,372",+41,125,+5,769,"1,478",29,341,18,"71,605","10,297","6,953,796",Europe
80,Ivory Coast,"2,341",+40,29,,"1,146","1,166",,89,1,"22,233",845,"26,300,113",Africa
81,Djibouti,"2,270",+223,10,,"1,064","1,196",,"2,301",10,"22,097","22,403","986,363",Africa
82,Croatia,"2,243",+6,99,+2,"2,011",133,5,546,24,"59,911","14,584","4,107,874",Europe
83,DRC,"1,945",+110,63,+2,312,"1,570",,22,0.7,,,"89,226,763",Africa
84,North Macedonia,"1,921",+23,112,+1,"1,387",422,21,922,54,"24,018","11,528","2,083,383",Europe
85,Cuba,"1,916",+8,81,+1,"1,631",204,4,169,7,"90,911","8,026","11,327,348",North America
86,Estonia,"1,807",+7,64,,"1,508",235,2,"1,362",48,"74,604","56,244","1,326,440",Europe
87,Iceland,"1,803",,10,,"1,791",2,,"5,287",29,"58,225","170,748","341,000",Europe
88,Gabon,"1,728",+161,12,,402,"1,314",6,779,5,"8,622","3,885","2,219,485",Africa
89,El Salvador,"1,725",+85,33,,562,"1,130",26,266,5,"67,663","10,438","6,482,643",North America
90,Lithuania,"1,604",+11,61,,"1,111",432,17,588,22,"259,043","95,025","2,726,052",Europe
91,Somalia,"1,594",,61,,204,"1,329",2,101,4,,,"15,839,369",Africa
92,Mayotte,"1,521",+46,19,,894,608,11,"5,591",70,"5,200","19,116","272,030",Africa
93,New Zealand,"1,504",+1,21,,"1,455",28,1,312,4,"250,246","51,941","4,817,906",Australia/Oceania
94,Slovakia,"1,503",+1,28,,"1,256",219,2,275,5,"154,529","28,305","5,459,361",Europe
95,Slovenia,"1,468",,106,,"1,340",22,3,706,51,"75,110","36,130","2,078,908",Europe
96,Kyrgyzstan,"1,350",+37,14,,939,397,5,207,2,"98,281","15,093","6,511,813",Asia
97,Maldives,"1,274",+58,4,,109,"1,161",9,"2,362",7,"11,775","21,828","539,443",Asia
98,Kenya,"1,161",+52,50,,380,731,1,22,0.9,"55,074","1,027","53,631,400",Africa
99,Guinea-Bissau,"1,114",+5,6,,42,"1,066",,568,3,"1,500",764,"1,962,465",Africa
100,Lebanon,"1,086",+62,26,,663,397,3,159,4,"69,610","10,194","6,828,619",Asia
101,Sri Lanka,"1,068",+20,9,,620,439,1,50,0.4,"49,124","2,295","21,403,517",Asia
102,Hong Kong,"1,066",+2,4,,"1,029",33,1,142,0.5,"168,291","22,468","7,490,261",Asia
103,Tunisia,"1,046",,47,,883,116,3,89,4,"45,308","3,838","11,804,800",Africa
104,Latvia,"1,030",+5,22,,712,296,2,545,12,"96,366","51,033","1,888,294",Europe
105,Albania,981,+12,31,,777,173,3,341,11,"12,933","4,494","2,878,129",Europe
106,Mali,969,+22,62,+2,560,347,,48,3,"3,483",173,"20,179,688",Africa
107,Equatorial Guinea,960,+57,11,+1,165,784,,687,8,854,611,"1,397,254",Africa
108,Venezuela,944,+62,10,,262,672,2,33,0.4,"697,691","24,528","28,444,376",South America
109,Niger,937,+13,60,,764,113,,39,2,"5,971",248,"24,095,961",Africa
110,Cyprus,927,+4,17,,561,349,10,768,14,"95,349","79,036","1,206,392",Asia
111,Zambia,920,+54,7,,336,577,1,50,0.4,"20,011","1,092","18,321,393",Africa
112,Costa Rica,911,+8,10,,600,301,4,179,2,"22,554","4,432","5,088,953",North America
113,Paraguay,838,+2,11,,264,563,,118,2,"21,987","3,087","7,122,661",South America
114,Burkina Faso,814,+2,52,,672,90,,39,2,,,"20,833,816",Africa
115,Andorra,762,,51,,652,59,3,"9,864",660,"3,750","48,542","77,252",Europe
116,Uruguay,753,+4,20,,603,130,5,217,6,"37,178","10,707","3,472,430",South America
117,Haiti,734,+71,25,+3,21,688,,64,2,"2,519",221,"11,386,865",North America
118,Georgia,723,+2,12,,495,216,6,181,3,"45,707","11,455","3,989,972",Asia
119,Diamond Princess,712,,13,,651,48,4,,,,,0,
120,Jordan,700,+16,9,,461,230,5,69,0.9,"159,320","15,632","10,191,845",Asia
121,San Marino,661,+3,41,,254,366,1,"19,485","1,209","3,873","114,170","33,923",Europe
122,Chad,611,+23,58,,196,357,,37,4,,,"16,368,402",Africa
123,Sierra Leone,606,+21,38,+3,230,338,,76,5,,,"7,957,977",Africa
124,Malta,600,+1,6,,469,125,1,"1,359",14,"57,784","130,906","441,416",Europe
125,South Sudan,563,+82,6,+2,6,551,,50,0.5,"3,356",300,"11,178,970",Africa
