#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"7,208,556","+59,281","267,421","+1,736","4,129,632","+30,977","2,811,503","20,560",,,,,,North America,,,
,South America,"6,122,180","+72,294","198,161","+1,549","4,699,577","+51,035","1,224,442","15,121",,,,,,South America,,,
,Asia,"6,785,114","+103,219","138,142","+1,590","5,413,137","+87,949","1,233,835","18,637",,,,,,Asia,,,
,Europe,"3,509,878","+30,243","206,931",+339,"2,045,742","+12,662","1,257,205","5,639",,,,,,Europe,,,
,Africa,"1,233,363","+8,114","29,141",+231,"964,846","+6,992","239,376","1,289",,,,,,Africa,,,
,Oceania,"28,148",+234,612,+12,"22,674",+274,"4,862",49,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"24,887,960","+273,385","840,423","+5,457","17,276,259","+189,889","6,771,278","61,299","3,193",107.8,,,,All,,,
1,USA,"6,094,183","+47,549","185,865","+1,069","3,371,124","+23,184","2,537,194","16,220","18,394",561,"80,213,694","242,111","331,309,290",North America,54,"1,783",4
2,Brazil,"3,812,605","+48,112","119,594",+868,"2,976,796","+29,546","716,215","8,318","17,917",562,"14,172,764","66,602","212,797,254",South America,56,"1,779",15
3,India,"3,461,240","+76,665","62,713","+1,019","2,647,538","+64,475","750,989","8,944","2,504",45,"39,477,848","28,563","1,382,122,843",Asia,399,"22,039",35
4,Russia,"980,405","+4,829","16,914",+110,"798,466","+5,905","165,025","2,300","6,718",116,"35,751,747","244,968","145,944,502",Europe,149,"8,629",4
5,Peru,"621,997",,"28,277",,"429,662",,"164,058","1,526","18,824",856,"3,089,459","93,499","33,042,679",South America,53,"1,169",11
6,South Africa,"620,132","+1,846","13,743",+115,"533,935","+2,597","72,454",539,"10,436",231,"3,632,311","61,125","59,424,468",Africa,96,"4,324",16
7,Colombia,"590,520","+8,498","18,767",+299,"429,620","+11,827","142,133","1,493","11,586",368,"2,654,983","52,092","50,967,362",South America,86,"2,716",19
8,Mexico,"579,914","+6,026","62,594",+518,"400,479","+3,721","116,841","3,294","4,490",485,"1,304,776","10,103","129,143,835",North America,223,"2,063",99
9,Spain,"455,621","+3,829","29,011",+15,N/A,N/A,N/A,751,"9,744",620,"8,517,446","182,161","46,757,684",Europe,103,"1,612",5
10,Chile,"405,972","+1,870","11,132",+60,"379,452","+1,530","15,388","1,012","21,209",582,"2,333,516","121,906","19,141,918",South America,47,"1,720",8
11,Argentina,"392,009","+11,717","8,271",+221,"280,165","+5,707","103,573","2,114","8,661",183,"1,196,878","26,444","45,260,657",South America,115,"5,472",38
12,Iran,"369,911","+2,115","21,249",+112,"318,270","+1,632","30,392","3,811","4,395",252,"3,161,894","37,570","84,159,305",Asia,228,"3,961",27
13,UK,"331,644","+1,276","41,486",+9,N/A,N/A,N/A,71,"4,881",611,"16,273,209","239,515","67,942,448",Europe,205,"1,638",4
14,Saudi Arabia,"312,924","+1,069","3,813",+28,"287,403","+1,148","21,708","1,576","8,967",109,"4,792,192","137,324","34,897,048",Asia,112,"9,152",7
15,Bangladesh,"306,794","+2,211","4,174",+47,"196,836","+3,378","105,784",,"1,860",25,"1,514,126","9,180","164,945,471",Asia,538,"39,517",109
