#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"119,582,942","+35,356","1,566,702",+279,"114,887,647","+34,961","3,128,593","8,708",,,,,,North America,,,,,,
,Asia,"200,399,366","+256,849","1,500,378",+298,"190,992,097","+98,748","7,906,891","9,527",,,,,,Asia,,,,,,
,Europe,"239,474,001","+126,808","1,964,734",+232,"233,563,667","+110,107","3,945,600","7,726",,,,,,Europe,,,,,,
,South America,"65,482,627","+48,669","1,336,806",+178,"63,260,534","+7,797","885,287","10,183",,,,,,South America,,,,,,
,Oceania,"13,138,488","+5,883","22,419",+20,"12,789,310",+657,"326,759",150,,,,,,Australia/Oceania,,,,,,
,Africa,"12,715,615",+777,"258,127",+2,"12,021,010",+309,"436,478",843,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"650,793,760","+474,342","6,649,181","+1,009","627,514,971","+252,579","16,629,608","37,137","83,491",853.0,,,,All,,,,,,
1,USA,"100,946,689","+20,963","1,107,430",+210,"98,348,599","+28,045","1,490,660","3,525","301,509","3,308","1,143,157,038","3,414,394","334,805,269",North America,3,302,0,63,0.6,"4,452"
2,India,"44,674,874",,"530,633",,"44,138,805",,"5,436",698,"31,760",377,"907,369,299","645,065","1,406,631,776",Asia,31,"2,651",2,,,4
3,France,"38,184,081","+105,516","159,362",+117,"37,057,794","+34,774","966,925",869,"582,212","2,430","271,490,188","4,139,547","65,584,518",Europe,2,412,0,"1,609",2,"14,743"
4,Germany,"36,604,648",,"158,386",,"35,953,400","+40,400","492,862","1,406","436,374","1,888","122,332,384","1,458,359","83,883,596",Europe,2,530,1,,,"5,876"
5,Brazil,"35,482,252","+46,221","690,465",+167,"34,262,104",,"529,683","8,318","164,763","3,206","63,776,166","296,146","215,353,593",South America,6,312,3,215,0.8,"2,460"
6,S. Korea,"27,408,854","+77,604","30,793",+24,"26,431,550","+49,378","946,511",443,"533,974",600,"15,804,065","307,892","51,329,899",Asia,2,"1,667",3,"1,512",0.5,"18,440"
7,Japan,"25,405,350","+137,193","50,608",+147,"20,774,961","+8,190","4,579,781",361,"202,296",403,"82,540,464","657,249","125,584,838",Asia,5,"2,482",2,"1,092",1,"36,468"
8,Italy,"24,488,080",,"181,733",,"23,799,178",,"507,169",320,"406,355","3,016","258,382,332","4,287,595","60,262,770",Europe,2,332,0,,,"8,416"
9,UK,"24,024,746",,"197,253",,"23,758,420","+3,819","69,073",146,"350,737","2,880","522,526,476","7,628,357","68,497,907",Europe,3,347,0,,,"1,008"
10,Russia,"21,628,829","+5,561","392,342",+59,"21,030,317","+6,690","206,170","2,300","148,340","2,691","273,400,000","1,875,095","145,805,947",Europe,7,372,1,38,0.4,"1,414"
11,Turkey,"17,005,537",,"101,400",,N/A,N/A,N/A,,"198,751","1,185","162,743,369","1,902,052","85,561,976",Asia,5,844,1,,,"1,385"
12,Spain,"13,614,807",,"116,108",,"13,403,322",,"95,377",339,"291,418","2,485","471,036,328","10,082,298","46,719,142",Europe,3,402,0,,,"2,041"
13,Vietnam,"11,518,511",+362,"43,178",+1,"10,609,139",+151,"866,194",72,"116,403",436,"85,826,548","867,342","98,953,541",Asia,9,"2,292",1,4,0.01,"8,754"
14,Australia,"10,759,272","+4,843","16,264",+20,"10,546,102",,"196,906",95,"412,726",624,"78,835,048","3,024,116","26,068,792",Australia/Oceania,2,"1,603",0,186,0.8,"7,553"
15,Argentina,"9,739,856",,"130,034",,"9,591,684","+1,486","18,138",241,"211,689","2,826","35,716,069","776,264","46,010,234",South America,5,354,1,,,394
16,Netherlands,"8,547,416",+938,"22,926",+4,"8,500,610","+1,801","23,880",43,"496,612","1,332","25,984,435","1,509,718","17,211,447",Europe,2,751,1,54,0.2,"1,387"
17,Taiwan,"8,395,477","+16,034","14,522",+22,"8,077,607","+22,659","303,348",,"351,443",608,"28,659,111","1,199,698","23,888,595",Asia,3,"1,645",1,671,0.9,"12,698"
18,Iran,"7,559,958",+34,"144,648",+3,"7,335,357",+27,"79,953",72,"87,883","1,682","54,420,785","632,632","86,022,837",Asia,11,595,2,0.4,0.03,929
19,Mexico,"7,145,409","+12,617","330,592",+67,"6,407,215","+6,456","407,602","4,798","54,312","2,513","18,810,048","142,974","131,562,772",North America,18,398,7,96,0.5,"3,098"
20,Indonesia,"6,686,181","+3,744","160,071",+45,"6,478,450","+4,179","47,660","2,771","23,953",573,"112,835,077","404,232","279,134,505",Asia,42,"1,744",2,13,0.2,171
21,Poland,"6,355,424",+913,"118,347",+7,"5,335,940",,"901,137","1,530","168,401","3,136","37,826,959","1,002,310","37,739,785",Europe,6,319,1,24,0.2,"23,878"
22,Colombia,"6,318,021",,"141,911",,"6,142,640",,"33,470",342,"122,650","2,755","36,907,625","716,475","51,512,762",South America,8,363,1,,,650
23,Austria,"5,588,468","+4,669","21,242",+1,"5,521,209","+3,308","46,017",47,"616,372","2,343","202,928,484","22,381,711","9,066,710",Europe,2,427,0,515,0.1,"5,075"
24,Portugal,"5,546,290",,"25,517",,"5,501,942","+1,173","18,831",61,"546,941","2,516","45,641,725","4,500,903","10,140,570",Europe,2,397,0,,,"1,857"
25,Greece,"5,404,690",,"34,309",,"5,345,133","+6,312","25,248",115,"523,881","3,326","100,284,496","9,720,658","10,316,637",Europe,2,301,0,,,"2,447"
26,Ukraine,"5,341,284",,"110,586",,"5,217,903","+1,045","12,795",,"123,663","2,560","32,603,805","754,855","43,192,122",Europe,8,391,1,,,296
27,Malaysia,"5,003,557","+1,649","36,732",+16,"4,945,067","+1,675","21,758",101,"150,796","1,107","66,606,182","2,007,355","33,181,072",Asia,7,903,0,50,0.5,656
28,Chile,"4,941,227","+1,923","62,597",+10,"4,867,554",,"11,076",129,"256,685","3,252","47,194,824","2,451,654","19,250,195",South America,4,308,0,100,0.5,575
29,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia,5,"351,225",,,,
30,Israel,"4,730,502",+888,"11,882",,"4,704,016",,"14,604",22,"507,238","1,274","41,373,364","4,436,346","9,326,000",Asia,2,785,0,95,,"1,566"
31,Thailand,"4,711,528",,"33,285",,"4,649,509",,"28,734","1,496","67,232",475,"17,270,775","246,450","70,078,203",Asia,15,"2,105",4,,,410
32,Belgium,"4,644,478",,"33,086",,"4,586,061","+1,207","25,331",48,"398,043","2,836","36,163,288","3,099,282","11,668,278",Europe,3,353,0,,,"2,171"
33,Czechia,"4,562,887","+1,516","41,923",+5,"4,512,355",+763,"8,609",46,"424,977","3,905","56,644,789","5,275,769","10,736,784",Europe,2,256,0,141,0.5,802
34,Canada,"4,423,053",,"48,044",,"4,311,883",,"63,126",99,"115,218","1,252","66,343,123","1,728,207","38,388,419",North America,9,799,1,,,"1,644"
35,Switzerland,"4,317,035",,"14,318",,"4,236,049","+3,074","66,668",53,"492,046","1,632","22,932,989","2,613,852","8,773,637",Europe,2,613,0,,,"7,599"
36,Peru,"4,304,745",,"217,519",,"3,985,733","+6,177","101,493",111,"127,797","6,458","36,654,170","1,088,171","33,684,208",South America,8,155,1,,,"3,013"
37,South Africa,"4,043,242",+225,"102,464",,"3,912,506",,"28,272",192,"66,549","1,686","26,473,049","435,726","60,756,135",Africa,15,593,2,4,,465
