#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"2,146,780","+25,994","128,830","+1,676","834,578","+43,444","1,183,372","19,290",,,,,,North America,,,
,South America,"985,039","+39,309","44,224","+1,566","466,014","+71,355","474,801","11,404",,,,,,South America,,,
,Europe,"2,028,241","+17,092","176,446",+889,"1,027,854","+14,800","823,941","8,538",,,,,,Europe,,,
,Asia,"1,226,630","+32,403","32,465",+634,"748,508","+17,618","445,657","14,502",,,,,,Asia,,,
,Africa,"164,985","+5,147","4,627",+107,"72,380","+3,395","87,978",435,,,,,,Africa,,,
,Oceania,"8,839",+8,124,,"8,222",+14,493,5,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"6,561,235","+119,953","386,731","+4,872","3,158,207","+150,626","3,016,297","54,178",842,49.6,,,,All,,,
1,USA,"1,901,522","+20,317","109,140","+1,081","685,608","+39,634","1,106,774","16,925","5,747",330,"19,079,144","57,666","330,854,064",North America,174,"3,031",17
2,Brazil,"583,980","+27,312","32,547","+1,269","266,132","+25,505","285,301","8,318","2,749",153,"930,013","4,378","212,442,762",South America,364,"6,527",228
3,Russia,"432,277","+8,536","5,215",+178,"195,957","+8,972","231,105","2,300","2,962",36,"11,426,045","78,298","145,929,848",Europe,338,"27,983",13
4,Spain,"287,406",+394,"27,128",+1,N/A,N/A,N/A,617,"6,147",580,"4,063,843","86,921","46,753,443",Europe,163,"1,723",12
5,UK,"279,856","+1,871","39,728",+359,N/A,N/A,N/A,"1,559","4,124",585,"4,786,219","70,532","67,858,826",Europe,242,"1,708",14
6,Italy,"233,836",+321,"33,601",+71,"160,938",+846,"39,297",353,"3,867",556,"3,999,591","66,144","60,468,295",Europe,259,"1,800",15
7,India,"216,824","+9,633","6,088",+259,"104,071","+3,786","106,665","8,944",157,4,"4,103,233","2,976","1,378,937,377",Asia,"6,360","226,501",336
8,Germany,"184,425",+334,"8,699",+25,"167,300",+900,"8,426",632,"2,202",104,"4,348,880","51,918","83,763,806",Europe,454,"9,629",19
9,Peru,"178,914","+4,030","4,894",+127,"72,319","+3,062","101,701",964,"5,432",149,"1,115,615","33,874","32,934,728",South America,184,"6,730",30
10,Turkey,"166,422",+867,"4,609",+24,"130,852",+931,"30,961",612,"1,975",55,"2,155,349","25,578","84,267,248",Asia,506,"18,283",39
11,Iran,"160,696","+3,134","8,012",+70,"125,206","+2,129","27,478","2,557","1,915",95,"997,009","11,882","83,906,701",Asia,522,"10,473",84
12,France,"151,677",+352,"29,021",+81,"69,455",+643,"53,201","1,210","2,324",445,"1,384,633","21,216","65,262,729",Europe,430,"2,249",47
13,Chile,"113,628","+4,942","1,275",+87,"86,173","+41,227","26,180","1,446","5,948",67,"628,318","32,890","19,103,405",South America,168,"14,983",30
14,Mexico,"97,326","+3,891","10,637",+470,"70,308","+2,817","16,381",378,755,83,"293,078","2,275","128,825,735",North America,"1,324","12,111",440
15,Canada,"93,085",+675,"7,498",+103,"51,048",+691,"34,539","1,709","2,468",199,"1,751,547","46,440","37,716,316",North America,405,"5,030",22
16,Saudi Arabia,"91,182","+2,171",579,+30,"68,159","+2,369","22,444","1,321","2,622",17,"870,963","25,050","34,769,565",Asia,381,"60,051",40
17,Pakistan,"80,463","+4,065","1,688",+67,"28,923","+1,813","49,852",111,365,8,"595,344","2,700","220,532,862",Asia,"2,741","130,647",370
18,Qatar,"62,160","+1,901",45,+2,"37,542","+1,506","24,573",237,"22,138",16,"236,437","84,207","2,807,805",Asia,45,"62,396",12
19,Belgium,"58,685",+70,"9,522",+17,"15,959",+25,"33,204",172,"5,065",822,"884,386","76,334","11,585,802",Europe,197,"1,217",13
20,Bangladesh,"55,140","+2,695",746,+37,"11,590",+470,"42,804",1,335,5,"345,583","2,100","164,560,234",Asia,"2,984","220,590",476
21,Netherlands,"46,733",+86,"5,977",+10,N/A,N/A,N/A,116,"2,728",349,"368,529","21,511","17,132,042",Europe,367,"2,866",46
22,Belarus,"45,116",+861,248,+5,"20,171",+976,"24,697",92,"4,774",26,"573,699","60,712","9,449,551",Europe,209,"38,103",16
23,Sweden,"40,803","+2,214","4,542",+74,N/A,N/A,N/A,308,"4,042",450,"275,500","27,292","10,094,432",Europe,247,"2,222",37
24,Ecuador,"40,414",,"3,438",,"20,019",,"16,957",252,"2,293",195,"118,754","6,739","17,621,217",South America,436,"5,125",148
25,South Africa,"37,525","+1,713",792,+37,"19,682","+1,369","17,051",208,633,13,"785,979","13,266","59,248,777",Africa,"1,579","74,809",75
26,Singapore,"36,405",+569,24,,"23,582",+407,"12,799",5,"6,227",4,"408,495","69,867","5,846,771",Asia,161,"243,615",14
27,UAE,"36,359",+571,270,+1,"19,153",+427,"16,936",1,"3,680",27,"2,145,493","217,136","9,880,861",Asia,272,"36,596",5
28,Colombia,"33,354","+1,521","1,045",+36,"12,288","+1,146","20,021",136,656,21,"362,432","7,129","50,840,001",South America,"1,524","48,651",140
29,Portugal,"33,261",+366,"1,447",+11,"20,079",+210,"11,735",56,"3,261",142,"847,181","83,066","10,198,850",Europe,307,"7,048",12
30,Switzerland,"30,893",+19,"1,921",+1,"28,600",+100,372,25,"3,572",222,"404,071","46,715","8,649,729",Europe,280,"4,503",21
