#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"14,543,852","+173,841","390,285","+2,251","8,991,598","+91,110","5,161,969","26,847",,,,,,North America,,,
,Asia,"15,679,996","+104,042","276,446","+1,622","14,066,771","+88,810","1,336,779","25,642",,,,,,Asia,,,
,South America,"10,676,271","+52,504","316,556",+793,"9,595,576","+20,596","764,139","17,187",,,,,,South America,,,
,Europe,"15,450,445","+221,789","351,888","+3,870","6,009,657","+132,252","9,088,900","29,945",,,,,,Europe,,,
,Africa,"2,069,852","+13,442","49,512",+314,"1,743,655","+8,490","276,685","2,577",,,,,,Africa,,,
,Oceania,"43,498",+22,"1,004",,"32,973",+17,"9,521",23,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,"58,464,635","+565,640","1,385,706","+8,850","40,440,889","+341,275","16,638,040","102,225","7,500",177.8,,,,All,,,
1,USA,"12,436,325","+158,498","261,749","+1,419","7,396,964","+79,904","4,777,612","22,761","37,486",789,"178,673,311","538,563","331,759,224",North America,27,"1,267",2
2,India,"9,095,908","+45,295","133,263",+499,"8,520,039","+44,142","442,606","8,944","6,566",96,"130,657,808","94,319","1,385,271,269",Asia,152,"10,395",11
3,Brazil,"6,052,786","+32,622","169,016",+354,"5,422,102",,"461,668","8,318","28,397",793,"21,900,000","102,746","213,147,624",South America,35,"1,261",10
4,France,"2,127,051","+17,881","48,518",+253,"149,521",,"1,929,012","4,582","32,559",743,"19,779,652","302,765","65,330,016",Europe,31,"1,347",3
5,Russia,"2,064,748","+24,822","35,778",+467,"1,577,435","+26,021","451,535","2,300","14,146",245,"71,838,293","492,181","145,958,985",Europe,71,"4,080",2
6,Spain,"1,589,219",,"42,619",,N/A,N/A,N/A,"3,054","33,985",911,"20,742,051","443,568","46,761,875",Europe,29,"1,097",2
7,UK,"1,493,383","+19,875","54,626",+341,N/A,N/A,N/A,"1,421","21,953",803,"40,266,183","591,931","68,025,098",Europe,46,"1,245",2
8,Italy,"1,380,531","+34,767","49,261",+692,"539,524","+19,502","791,746","3,758","22,846",815,"20,199,829","334,285","60,426,920",Europe,44,"1,227",3
9,Argentina,"1,366,182","+7,140","36,902",+112,"1,187,053","+9,234","142,227","4,132","30,121",814,"3,661,948","80,736","45,356,879",South America,33,"1,229",12
10,Colombia,"1,240,493","+7,049","35,104",+175,"1,144,923","+6,342","60,466","2,376","24,279",687,"6,010,654","117,641","51,093,242",South America,41,"1,455",9
11,Mexico,"1,025,969","+6,426","100,823",+719,"770,728","+4,367","154,418","2,852","7,925",779,"2,665,407","20,589","129,458,236",North America,126,"1,284",49
12,Peru,"948,081","+1,994","35,549",+65,"876,399","+2,429","36,133",969,"28,600","1,072","4,916,164","148,303","33,149,375",South America,35,932,7
13,Germany,"918,271","+16,612","14,239",+163,"593,100","+14,000","310,932","3,615","10,946",170,"26,456,866","315,381","83,888,647",Europe,91,"5,891",3
14,Poland,"843,475","+24,213","13,288",+574,"407,075","+25,275","423,112","2,125","22,296",351,"5,901,232","155,992","37,830,343",Europe,45,"2,847",6
15,Iran,"841,308","+12,931","44,327",+431,"596,136","+7,111","200,845","5,778","9,967",525,"5,747,325","68,089","84,408,973",Asia,100,"1,904",15
16,South Africa,"765,409","+2,646","20,845",+86,"707,784",+744,"36,780",546,"12,843",350,"5,269,062","88,410","59,598,116",Africa,78,"2,859",11
17,Ukraine,"612,665","+14,580","10,813",+215,"282,313","+7,989","319,539",177,"14,042",248,"4,154,333","95,217","43,630,164",Europe,71,"4,035",11
18,Belgium,"553,680","+3,416","15,352",+156,"35,281",+489,"503,047","1,249","47,693","1,322","5,633,655","485,270","11,609,313",Europe,21,756,2
19,Chile,"539,143","+1,558","15,030",+27,"514,584","+1,657","9,529",712,"28,110",784,"5,017,064","261,578","19,179,984",South America,36,"1,276",4
20,Iraq,"533,555","+1,786","11,925",+42,"463,040","+2,646","58,590",366,"13,152",294,"3,244,188","79,969","40,568,064",Asia,76,"3,402",13
21,Indonesia,"493,308","+4,998","15,774",+96,"413,955","+3,403","63,579",,"1,796",57,"5,304,548","19,314","274,645,527",Asia,557,"17,411",52
22,Czechia,"489,563","+2,000","7,067",+46,"390,065",+192,"92,431",913,"45,682",659,"2,905,249","271,094","10,716,756",Europe,22,"1,516",4
23,Netherlands,"479,260","+6,070","8,870",+48,N/A,N/A,N/A,564,"27,946",517,"3,893,908","227,054","17,149,704",Europe,36,"1,933",4
24,Bangladesh,"445,281","+1,847","6,350",+28,"360,352","+1,921","78,579",,"2,693",38,"2,635,202","15,939","165,326,229",Asia,371,"26,036",63
25,Turkey,"440,805","+5,532","12,219",+135,"370,825","+3,233","57,761","4,121","5,205",144,"17,090,101","201,794","84,691,021",Asia,192,"6,931",5
26,Philippines,"416,852","+1,791","8,080",+55,"375,548",+328,"33,224","1,449","3,785",73,"5,457,998","49,553","110,145,169",Asia,264,"13,632",20
27,Romania,"412,808","+9,685","9,916",+160,"287,310","+8,634","115,582","1,132","21,515",517,"3,877,953","202,113","19,187,059",Europe,46,"1,935",5
28,Pakistan,"371,508","+2,843","7,603",+42,"328,931","+1,389","34,974","1,613","1,669",34,"5,141,403","23,103","222,540,111",Asia,599,"29,270",43
29,Saudi Arabia,"355,034",+221,"5,761",+16,"342,882",+478,"6,391",796,"10,137",164,"9,218,646","263,217","35,023,049",Asia,99,"6,079",4
30,Israel,"328,397",+649,"2,757",+13,"317,171",+627,"8,469",315,"35,705",300,"5,237,118","569,401","9,197,590",Asia,28,"3,336",2
31,Canada,"325,711","+4,992","11,406",+72,"260,398","+3,752","53,907",431,"8,601",301,"10,746,717","283,773","37,870,757",North America,116,"3,320",4
32,Morocco,"320,962","+4,702","5,256",+74,"266,711","+4,499","48,995","1,024","8,656",142,"3,776,678","101,852","37,080,030",Africa,116,"7,055",10
33,Switzerland,"290,601",,"4,031",+39,"180,700",,"105,870",517,"33,482",464,"2,513,729","289,625","8,679,256",Europe,30,"2,153",3
34,Portugal,"255,970","+6,472","3,824",+62,"169,379","+6,379","82,767",485,"25,132",375,"4,067,735","399,384","10,185,020",Europe,40,"2,663",3
35,Austria,"241,962","+6,611","2,328",+104,"162,751","+6,268","76,883",697,"26,806",258,"2,820,796","312,504","9,026,432",Europe,37,"3,877",3
36,Nepal,"218,639","+1,674","1,305",+7,"193,325","+2,323","24,009",,"7,452",44,"1,652,043","56,310","29,338,457",Asia,134,"22,482",18
37,Sweden,"208,295",,"6,406",,N/A,N/A,N/A,182,"20,575",633,"2,914,088","287,845","10,123,802",Europe,49,"1,580",3
38,Ecuador,"184,876","+1,036","13,139",+44,"160,639",,"11,098",348,"10,418",740,"615,856","34,703","17,746,460",South America,96,"1,351",29
