#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"94,806,264","+24,697","1,401,053",+488,"65,588,743","+146,816","27,816,468","14,519",,,,,,North America,,,,,,
,Asia,"116,021,216","+438,699","1,346,474","+1,418","107,160,969","+372,538","7,513,773","30,808",,,,,,Asia,,,,,,
,South America,"54,217,641","+56,529","1,257,158",+540,"47,772,475","+151,745","5,188,008","13,382",,,,,,South America,,,,,,
,Europe,"155,568,954","+422,101","1,705,666","+1,542","131,795,774","+748,359","22,067,514","14,709",,,,,,Europe,,,,,,
,Africa,"11,519,354","+5,388","249,259",+145,"10,607,300","+9,437","662,795","1,845",,,,,,Africa,,,,,,
,Oceania,"3,515,839","+33,500","7,741",+27,"3,164,962",+256,"343,136",204,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"435,649,989","+980,914","5,967,366","+4,160","366,090,929","+1,429,151","63,591,694","75,467","55,890",765.6,,,,All,,,,,,
1,USA,"80,566,788","+6,495","973,052",+122,"53,163,381","+126,336","26,430,355","8,337","241,063","2,911","947,721,019","2,835,660","334,215,330",North America,4,343,0,19,0.4,"79,082"
2,India,"42,924,102","+7,985","513,812",+56,"42,297,296","+6,375","112,994","8,944","30,606",366,"765,735,314","545,995","1,402,457,970",Asia,33,"2,730",2,6,0.04,81
3,Brazil,"28,768,104","+24,054","649,195",+206,"26,183,623","+101,112","1,935,286","8,318","133,768","3,019","63,776,166","296,550","215,060,231",South America,7,331,3,112,1.0,"8,999"
4,France,"22,689,332","+42,600","138,135",+76,"20,666,313","+45,900","1,884,884","2,484","346,335","2,109","246,629,975","3,764,619","65,512,597",Europe,3,474,0,650,1,"28,771"
5,UK,"18,804,765",,"161,224",,"17,153,253",,"1,490,288",289,"274,617","2,354","480,341,745","7,014,719","68,476,267",Europe,4,425,0,,,"21,764"
6,Russia,"16,291,116","+116,093","350,927",+769,"13,458,910","+137,596","2,481,279","2,300","111,554","2,403","273,400,000","1,872,115","146,038,047",Europe,9,416,1,795,5,"16,991"
7,Germany,"14,728,752","+95,241","123,328",+45,"10,842,300","+83,800","3,763,124","2,494","174,869","1,464","104,701,826","1,243,085","84,227,395",Europe,6,683,1,"1,131",0.5,"44,678"
8,Turkey,"14,025,181","+49,792","94,232",+206,"13,289,352","+69,845","641,597","1,128","163,386","1,098","143,400,825","1,670,542","85,840,907",Asia,6,911,1,580,2,"7,474"
9,Italy,"12,764,558","+30,629","154,560",+144,"11,487,720","+50,014","1,122,278",733,"211,633","2,563","187,137,866","3,102,693","60,314,654",Europe,5,390,0,508,2,"18,607"
10,Spain,"10,977,524",,"99,410",,"9,181,728",,"1,696,386","1,053","234,639","2,125","471,036,328","10,068,158","46,784,756",Europe,4,471,0,,,"36,259"
11,Argentina,"8,897,178","+3,610","126,120",+72,"8,670,946","+12,878","100,112","1,156","193,914","2,749","34,235,204","746,155","45,882,140",South America,5,364,1,79,2,"2,182"
12,Iran,"7,040,467","+9,524","136,631",+241,"6,634,126","+17,493","269,710","4,049","82,084","1,593","46,780,865","545,410","85,771,863",Asia,12,628,2,111,3,"3,145"
13,Netherlands,"6,332,772","+27,383","21,548",+3,"4,284,149","+83,108","2,027,075",174,"368,235","1,253","21,107,399","1,227,343","17,197,630",Europe,3,798,1,"1,592",0.2,"117,869"
14,Colombia,"6,062,701","+1,908","138,693",+95,"5,888,474","+2,409","35,534",342,"117,085","2,678","33,165,748","640,508","51,780,399",South America,9,373,2,37,2,686
15,Poland,"5,660,493","+8,902","111,316",+40,"5,039,109","+7,572","510,068",872,"149,836","2,947","33,587,230","889,069","37,777,994",Europe,7,339,1,236,1,"13,502"
16,Indonesia,"5,539,394","+34,976","148,073",+229,"4,817,423","+39,384","573,898","2,911","19,904",532,"84,371,793","303,158","278,310,087",Asia,50,"1,880",3,126,0.8,"2,062"
17,Mexico,"5,502,586","+13,459","318,014",+331,"4,764,651","+14,314","419,921","4,798","41,949","2,424","15,074,996","114,923","131,174,496",North America,24,412,9,103,3,"3,201"
18,Japan,"4,885,353","+69,661","23,270",+259,"4,114,425","+76,751","747,658","1,482","38,823",185,"38,717,172","307,681","125,835,531",Asia,26,"5,408",3,554,2,"5,942"
