#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"48,099,659","+175,387","994,844","+1,836","37,700,254","+98,507","9,404,561","32,977",,,,,,North America,,,,,,
,Asia,"70,118,047","+233,646","1,034,942","+3,415","65,325,247","+246,905","3,757,858","41,459",,,,,,Asia,,,,,,
,South America,"36,920,219","+35,820","1,130,501","+1,198","34,734,484","+50,969","1,055,234","15,412",,,,,,South America,,,,,,
,Europe,"55,332,413","+124,947","1,173,272","+1,595","50,469,373","+152,275","3,689,768","11,562",,,,,,Europe,,,,,,
,Africa,"7,857,840","+21,836","196,673",+760,"6,970,260","+29,151","690,907","4,492",,,,,,Africa,,,,,,
,Oceania,"162,772","+1,799","2,151",+11,"114,798",+812,"45,823",231,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"218,491,671","+593,435","4,532,398","+8,815","195,315,122","+578,619","18,644,151","106,133","28,030",581.5,,,,All,,,,,,
1,USA,"40,099,054","+147,111","657,874","+1,196","31,010,207","+65,742","8,430,973","25,658","120,323","1,974","584,133,337","1,752,772","333,262,530",North America,8,507,1,441,4,"25,298"
2,India,"32,810,892","+43,072","439,054",+462,"31,986,322","+34,109","385,516","8,944","23,507",315,"521,541,098","373,653","1,395,790,715",Asia,43,"3,179",3,31,0.3,276
3,Brazil,"20,777,867","+25,586","580,525",+882,"19,735,447","+42,549","461,895","8,318","96,949","2,709","56,897,224","265,480","214,318,271",South America,10,369,4,119,4,"2,155"
4,Russia,"6,918,965","+17,813","183,224",+795,"6,181,054","+18,624","554,687","2,300","47,388","1,255","178,700,000","1,223,911","146,007,376",Europe,21,797,1,122,5,"3,799"
5,UK,"6,789,581","+32,181","132,535",+50,"5,466,316","+39,254","1,190,730",988,"99,406","1,940","269,857,086","3,950,983","68,301,245",Europe,10,515,0,471,0.7,"17,434"
6,France,"6,765,708","+19,425","114,444",+136,"6,256,121","+30,822","395,143","2,270","103,385","1,749","124,769,146","1,906,567","65,441,768",Europe,10,572,1,297,2,"6,038"
7,Turkey,"6,388,331","+21,893","56,710",+252,"5,837,217","+14,106","494,404",633,"74,809",664,"76,437,465","895,106","85,394,830",Asia,13,"1,506",1,256,3,"5,790"
8,Argentina,"5,185,620","+6,731","111,812",+205,"4,874,141","+5,037","199,667","2,672","113,525","2,448","22,117,087","484,192","45,678,375",South America,9,409,2,147,4,"4,371"
9,Iran,"4,992,063","+31,319","107,794",+643,"4,205,927","+30,522","678,342","7,879","58,563","1,265","28,213,229","330,974","85,243,156",Asia,17,791,3,367,8,"7,958"
10,Colombia,"4,909,086","+1,822","124,945",+62,"4,738,885","+1,418","45,256",542,"95,296","2,425","24,169,791","469,190","51,513,829",South America,10,412,2,35,1,879
11,Spain,"4,855,065","+7,767","84,340",+194,"4,362,898","+24,753","407,827","1,571","103,794","1,803","60,618,810","1,295,942","46,775,880",Europe,10,555,1,166,4,"8,719"
12,Italy,"4,539,991","+5,498","129,221",+47,"4,272,845","+8,885","137,925",544,"75,217","2,141","84,035,719","1,392,283","60,358,206",Europe,13,467,1,91,0.8,"2,285"
13,Indonesia,"4,089,801","+10,534","133,023",+532,"3,760,497","+16,781","196,281",,"14,771",480,"32,216,075","116,350","276,888,490",Asia,68,"2,082",9,38,2,709
14,Germany,"3,955,418","+8,402","92,730",+59,"3,738,000","+6,100","124,688","1,096","47,035","1,103","68,329,706","812,520","84,095,984",Europe,21,907,1,100,0.7,"1,483"
15,Mexico,"3,341,264","+5,564","258,491",+326,"2,686,568","+16,627","396,205","4,798","25,602","1,981","9,723,416","74,504","130,508,705",North America,39,505,13,43,2,"3,036"
16,Poland,"2,888,670",+285,"75,345",+5,"2,657,084",+30,"156,241",60,"76,423","1,993","19,778,356","523,260","37,798,302",Europe,13,502,2,8,0.1,"4,134"
17,South Africa,"2,777,659","+7,084","82,261",+431,"2,544,563","+10,607","150,835",546,"46,157","1,367","16,475,179","273,773","60,178,305",Africa,22,732,4,118,7,"2,506"
18,Ukraine,"2,286,296","+1,356","53,789",+51,"2,207,940","+1,257","24,567",177,"52,646","1,239","11,980,323","275,870","43,427,361",Europe,19,807,4,31,1,566
19,Peru,"2,149,591",,"198,263",,N/A,N/A,N/A,"1,333","64,156","5,917","16,733,426","499,418","33,505,866",South America,16,169,2,,,"6,884"
20,Philippines,"1,989,857","+13,827","33,448",+118,"1,810,847","+16,759","145,562","3,050","17,882",301,"18,728,127","168,302","111,277,014",Asia,56,"3,327",6,124,1,"1,308"
21,Netherlands,"1,941,055","+2,312","18,010",+12,"1,849,817","+2,302","73,228",213,"112,990","1,048","16,593,808","965,933","17,179,038",Europe,9,954,1,135,0.7,"4,263"
22,Iraq,"1,888,150","+6,937","20,830",+66,"1,734,898","+7,148","132,422",942,"45,751",505,"14,352,095","347,760","41,270,131",Asia,22,"1,981",3,168,2,"3,209"
23,Malaysia,"1,746,254","+20,897","16,664",+282,"1,461,727","+18,465","267,863","1,005","53,161",507,"22,723,227","691,764","32,848,238",Asia,19,"1,971",1,636,9,"8,155"
24,Czechia,"1,679,189",+241,"30,404",,"1,646,941",+14,"1,844",8,"156,464","2,833","35,919,103","3,346,877","10,732,126",Europe,6,353,0,22,,172
25,Chile,"1,638,675",+345,"36,937",+14,"1,595,747",+577,"5,991",687,"84,874","1,913","20,276,691","1,050,216","19,307,167",South America,12,523,1,18,0.7,310
26,Bangladesh,"1,500,618","+3,357","26,195",+86,"1,425,985","+4,102","48,438","1,446","9,007",157,"8,928,345","53,592","166,598,408",Asia,111,"6,360",19,20,0.5,291
27,Canada,"1,499,163","+2,906","26,932",+14,"1,440,926","+2,683","31,305",405,"39,320",706,"40,476,190","1,061,608","38,127,255",North America,25,"1,416",1,76,0.4,821
28,Japan,"1,469,327","+13,638","15,994",+48,"1,231,521","+40,461","221,812","2,110","11,659",127,"21,768,236","172,729","126,025,108",Asia,86,"7,880",6,108,0.4,"1,760"
29,Thailand,"1,204,729","+14,666","11,589",+190,"1,021,772","+19,245","171,368","5,174","17,209",166,"8,129,670","116,132","70,004,003",Asia,58,"6,041",9,210,3,"2,448"
30,Belgium,"1,182,810","+1,858","25,374",+6,"1,100,752","+2,918","56,684",191,"101,543","2,178","18,646,897","1,600,817","11,648,362",Europe,10,459,1,160,0.5,"4,866"
31,Pakistan,"1,160,119","+3,838","25,788",+118,"1,039,758","+2,837","94,573","5,542","5,136",114,"17,756,332","78,612","225,873,787",Asia,195,"8,759",13,17,0.5,419
32,Sweden,"1,126,813",,"14,651",,"1,086,096",,"26,066",46,"110,770","1,440","11,757,024","1,155,756","10,172,580",Europe,9,694,1,,,"2,562"
33,Romania,"1,098,765","+1,313","34,570",+31,"1,055,059",+642,"9,136",291,"57,563","1,811","11,495,047","602,213","19,088,023",Europe,17,552,2,69,2,479
34,Israel,"1,066,352","+1,687","7,043",,"975,767","+1,979","83,542",719,"114,342",755,"19,256,766","2,064,847","9,326,000",Asia,9,"1,324",0,181,,"8,958"
35,Portugal,"1,037,927","+1,908","17,743",+13,"976,097","+3,389","44,087",136,"102,138","1,746","16,995,098","1,672,408","10,162,051",Europe,10,573,1,188,1,"4,338"
36,Morocco,"860,948","+4,899","12,649",+109,"793,607","+5,813","54,692","1,236","23,008",338,"8,973,928","239,820","37,419,414",Africa,43,"2,958",4,131,3,"1,462"
37,Hungary,"812,337",+110,"30,058",+1,"777,445",+211,"4,834",13,"84,339","3,121","6,574,523","682,588","9,631,758",Europe,12,320,1,11,0.1,502
38,Jordan,"797,126",+867,"10,411",+13,"775,286","+1,053","11,429",597,"77,234","1,009","9,255,269","896,743","10,320,987",Asia,13,991,1,84,1,"1,107"
39,Kazakhstan,"789,471","+4,322","9,304",+82,"673,629","+6,533","106,538",221,"41,468",489,"11,575,012","607,997","19,037,931",Asia,24,"2,046",2,227,4,"5,596"
40,Switzerland,"779,661","+2,702","10,989",+11,"706,721",,"61,951",268,"89,326","1,259","9,766,459","1,118,942","8,728,295",Europe,11,794,1,310,1,"7,098"
41,Serbia,"762,933","+2,981","7,292",+14,"721,872",+971,"33,769",80,"87,730",839,"5,025,390","577,874","8,696,339",Europe,11,"1,193",2,343,2,"3,883"
42,Nepal,"762,647","+1,523","10,750",+20,"716,306","+1,786","35,591",,"25,639",361,"3,915,146","131,621","29,745,625",Asia,39,"2,767",8,51,0.7,"1,197"
43,UAE,"718,370",+996,"2,041",+2,"705,118","+1,515","11,211",,"71,627",204,"74,776,361","7,455,727","10,029,385",Asia,14,"4,914",0,99,0.2,"1,118"
44,Austria,"688,305","+1,229","10,772",,"662,330","+1,141","15,203",130,"75,920","1,188","76,575,848","8,446,271","9,066,231",Europe,13,842,0,136,,"1,677"
45,Tunisia,"664,034","+1,282","23,451",+21,"614,150","+3,272","26,433",513,"55,510","1,960","2,591,577","216,642","11,962,492",Africa,18,510,5,107,2,"2,210"
46,Cuba,"652,855","+6,342","5,303",+84,"612,007","+7,626","35,545",431,"57,680",469,"7,935,443","701,100","11,318,559",North America,17,"2,134",1,560,7,"3,140"
47,Lebanon,"602,266","+1,040","8,053",+5,"554,474","+1,142","39,739",54,"88,701","1,186","4,759,054","700,912","6,789,807",Asia,11,843,1,153,0.7,"5,853"
48,Greece,"587,964","+3,628","13,622",+22,"536,859","+3,254","37,483",344,"56,733","1,314","15,520,137","1,497,549","10,363,690",Europe,18,761,1,350,2,"3,617"
49,Georgia,"549,811","+4,778","7,408",+79,"493,414","+4,753","48,989",,"138,135","1,861","8,038,258","2,019,540","3,980,242",Asia,7,537,0,"1,200",20,"12,308"
50,Saudi Arabia,"544,449",+224,"8,545",+6,"532,850",+338,"3,054",907,"15,361",241,"27,445,781","774,341","35,444,039",Asia,65,"4,148",1,6,0.2,86
51,Ecuador,"501,201",,"32,244",,"443,880",,"25,077",759,"27,915","1,796","1,765,543","98,334","17,954,465",South America,36,557,10,,,"1,397"
52,Bolivia,"490,467",+411,"18,429",+18,"434,472","+1,119","37,566",220,"41,361","1,554","2,282,032","192,444","11,858,160",South America,24,643,5,35,2,"3,168"
53,Belarus,"481,532","+1,168","3,780",+12,"474,300","+1,026","3,452",,"50,979",400,"7,797,000","825,455","9,445,701",Europe,20,"2,499",1,124,1,365
54,Guatemala,"470,277","+4,478","11,926",+40,"407,834","+4,796","50,517",5,"25,697",652,"2,194,499","119,914","18,300,538",North America,39,"1,535",8,245,2,"2,760"
55,Vietnam,"462,096","+12,607","11,064",,"238,860","+10,044","212,172",,"4,698",112,"16,083,797","163,523","98,357,758",Asia,213,"8,890",6,128,,"2,157"
56,Costa Rica,"461,145",,"5,492",,"370,724",,"84,929",447,"89,573","1,067","2,006,420","389,729","5,148,248",North America,11,937,3,,,"16,497"
57,Paraguay,"458,455",,"15,742",,"437,092",,"5,621",116,"63,371","2,176","1,774,261","245,252","7,234,434",South America,16,460,4,,,777
58,Panama,"457,037",,"7,054",,"442,093",,"7,890",108,"104,021","1,605","3,657,722","832,491","4,393,710",North America,10,623,1,,,"1,796"
59,Bulgaria,"455,742","+2,053","18,896",+56,"405,765",+670,"31,081",324,"66,170","2,744","4,225,874","613,563","6,887,437",Europe,15,364,2,298,8,"4,513"
60,Sri Lanka,"440,302","+4,221","9,185",+194,"374,156","+2,164","56,961",,"20,462",427,"4,855,036","225,629","21,517,810",Asia,49,"2,343",4,196,9,"2,647"
61,Azerbaijan,"424,891","+3,788","5,636",+44,"366,126","+3,228","53,129",,"41,471",550,"4,461,937","435,501","10,245,526",Asia,24,"1,818",2,370,4,"5,186"
62,Kuwait,"409,860",+124,"2,419",+1,"405,068",+213,"2,373",90,"94,351",557,"3,786,563","871,679","4,343,990",Asia,11,"1,796",1,29,0.2,546
63,Myanmar,"399,282","+3,399","15,389",+102,"311,952",,"71,941",,"7,282",281,"3,614,101","65,909","54,834,423",Asia,137,"3,563",15,62,2,"1,312"
64,Slovakia,"394,923",+132,"12,548",,"381,062",+74,"1,313",14,"72,294","2,297","3,319,411","607,648","5,462,723",Europe,14,435,2,24,,240
65,Uruguay,"384,934",+156,"6,032",+3,"377,764",+105,"1,138",13,"110,367","1,729","3,342,294","958,295","3,487,752",South America,9,578,1,45,0.9,326
66,Croatia,"373,998",+668,"8,334",+3,"362,450",+465,"3,214",53,"91,762","2,045","2,543,996","624,180","4,075,743",Europe,11,489,2,164,0.7,789
67,Ireland,"352,447","+1,382","5,092",,"296,982","+1,098","50,373",54,"70,462","1,018","6,415,912","1,282,683","5,001,947",Europe,14,982,1,276,,"10,071"
68,Dominican Republic,"350,173",+156,"4,008",+1,"341,187",+193,"4,978",136,"31,908",365,"1,955,059","178,146","10,974,478",North America,31,"2,738",6,14,0.09,454
69,Denmark,"345,693",+843,"2,584",+4,"330,463","+1,095","12,646",21,"59,439",444,"81,084,839","13,941,783","5,815,959",Europe,17,"2,251",0,145,0.7,"2,174"
70,Palestine,"342,282","+2,466","3,680",+5,"318,298",+742,"20,304",50,"65,333",702,"2,170,647","414,322","5,239,037",Asia,15,"1,424",2,471,1.0,"3,876"
71,Honduras,"338,757","+1,180","8,850",+11,"106,847",+250,"223,060",654,"33,581",877,"976,655","96,817","10,087,691",North America,30,"1,140",10,117,1,"22,112"
72,Venezuela,"334,343",,"4,010",,"319,010",,"11,323",681,"11,797",141,"3,359,014","118,517","28,342,019",South America,85,"7,068",8,,,400
73,Libya,"308,972","+1,501","4,247",+34,"220,468",+964,"84,257",,"44,266",608,"1,523,109","218,213","6,979,934",Africa,23,"1,643",5,215,5,"12,071"
74,Ethiopia,"308,134","+1,324","4,675",+15,"276,842",+764,"26,617",630,"2,605",40,"3,239,416","27,391","118,267,291",Africa,384,"25,298",37,11,0.1,225
75,Oman,"302,300",+61,"4,064",+1,"291,904",+183,"6,332",54,"57,501",773,"1,550,000","294,829","5,257,279",Asia,17,"1,294",3,12,0.2,"1,204"
76,Lithuania,"298,825",+646,"4,561",+6,"280,597",+954,"13,667",103,"111,587","1,703","4,423,864","1,651,957","2,677,954",Europe,9,587,1,241,2,"5,104"
77,Egypt,"288,441",+279,"16,736",+9,"239,343",+763,"32,362",90,"2,758",160,"3,068,679","29,344","104,576,317",Africa,363,"6,249",34,3,0.09,309
78,Bahrain,"272,540",+87,"1,388",,"270,201",+110,951,1,"153,973",784,"5,933,836","3,352,349","1,770,053",Asia,6,"1,275",0,49,,537
79,Moldova,"267,526",+322,"6,401",+4,"257,434",+178,"3,691",129,"66,499","1,591","1,572,063","390,765","4,023,035",Europe,15,629,3,80,1.0,917
80,Slovenia,"267,198",+538,"4,450",+1,"257,367",+317,"5,381",15,"128,506","2,140","1,447,117","695,973","2,079,271",Europe,8,467,1,259,0.5,"2,588"
81,S. Korea,"251,421","+1,370","2,285",+1,"221,701","+1,343","27,435",409,"4,899",45,"13,094,718","255,155","51,320,595",Asia,204,"22,460",4,27,0.02,535
82,Armenia,"242,135",+524,"4,844",+14,"227,026",+361,"10,265",,"81,535","1,631","1,540,436","518,719","2,969,695",Asia,12,613,2,176,5,"3,457"
83,Kenya,"235,863",+565,"4,726",+6,"223,637","+1,280","7,500",149,"4,277",86,"2,371,571","43,005","55,146,181",Africa,234,"11,669",23,10,0.1,136
84,Qatar,"232,744",+173,602,,"229,523",+277,"2,619",24,"82,892",214,"2,504,644","892,029","2,807,805",Asia,12,"4,664",1,62,,933
85,Bosnia and Herzegovina,"213,853",+474,"9,803",+11,"192,218",,"11,832",,"65,659","3,010","1,141,029","350,329","3,257,020",Europe,15,332,3,146,3,"3,633"
86,Mongolia,"213,820","+2,740",937,+6,"193,106","+2,287","19,777",192,"64,025",281,"3,647,780","1,092,266","3,339,645",Asia,16,"3,564",1,820,2,"5,922"
87,Zambia,"206,327",+182,"3,602",+3,"201,124",+172,"1,601",101,"10,870",190,"2,275,267","119,872","18,980,869",Africa,92,"5,270",8,10,0.2,84
88,Algeria,"196,080",+506,"5,269",+29,"133,395",+358,"57,416",35,"4,380",118,"230,861","5,156","44,770,941",Africa,228,"8,497",194,11,0.6,"1,282"
89,Nigeria,"191,805",,"2,455",,"178,492",,"10,858",11,904,12,"2,727,834","12,863","212,066,978",Africa,"1,106","86,382",78,,,51
90,North Macedonia,"176,494",+870,"5,938",+37,"156,307",+661,"14,249",,"84,720","2,850","1,158,171","555,938","2,083,274",Europe,12,351,2,418,18,"6,840"
91,Kyrgyzstan,"175,734",+145,"2,528",+4,"169,777",+360,"3,429",131,"26,429",380,"1,640,150","246,666","6,649,281",Asia,38,"2,630",4,22,0.6,516
92,Norway,"160,174","+1,785",814,,"88,952",,"70,408",11,"29,279",149,"7,177,604","1,312,037","5,470,581",Europe,34,"6,721",1,326,,"12,870"
93,Botswana,"156,927",,"2,261",,"148,519",,"6,147",1,"65,202",939,"1,645,029","683,502","2,406,764",Africa,15,"1,064",1,,,"2,554"
94,Uzbekistan,"156,394",+755,"1,082",+7,"148,590",+687,"6,722",23,"4,595",32,"1,377,915","40,487","34,033,102",Asia,218,"31,454",25,22,0.2,198
95,Afghanistan,"153,260",+40,"7,123",+5,"110,149",+183,"35,988","1,124","3,837",178,"751,708","18,818","39,945,923",Asia,261,"5,608",53,1,0.1,901
96,Albania,"146,387","+1,054","2,498",+3,"133,801",+469,"10,088",3,"50,933",869,"1,053,965","366,707","2,874,135",Europe,20,"1,151",3,367,1,"3,510"
97,Mozambique,"146,316",+263,"1,864",+11,"133,574","+1,177","10,878",32,"4,534",58,"850,627","26,359","32,270,665",Africa,221,"17,313",38,8,0.3,337
98,Latvia,"142,637",+237,"2,578",+5,"137,608",,"2,451",21,"76,610","1,385","3,518,298","1,889,663","1,861,865",Europe,13,722,1,127,3,"1,316"
99,Estonia,"141,956",+358,"1,292",+1,"133,538",+95,"7,126",15,"106,929",973,"1,753,383","1,320,742","1,327,574",Europe,9,"1,028",1,270,0.8,"5,368"
100,Finland,"127,182",+617,"1,018",,"46,000",,"80,164",20,"22,913",183,"6,565,767","1,182,862","5,550,748",Europe,44,"5,453",1,111,,"14,442"
101,Namibia,"125,046",+146,"3,375",+3,"118,898",+59,"2,773",37,"48,199","1,301","660,118","254,443","2,594,362",Africa,21,769,4,56,1,"1,069"
102,Zimbabwe,"124,773",+192,"4,419",+3,"113,057",+658,"7,297",12,"8,255",292,"1,269,810","84,013","15,114,450",Africa,121,"3,420",12,13,0.2,483
103,Uganda,"119,915",+90,"3,012",+6,"95,578",+71,"21,325",386,"2,529",64,"1,579,638","33,315","47,414,553",Africa,395,"15,742",30,2,0.1,450
