#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"113,898,235","+70,662","1,520,925",+370,"107,318,670","+127,772","5,058,640","9,342",,,,,,North America,,,,,,
,Asia,"181,866,428","+400,599","1,463,427",+599,"172,917,407","+311,629","7,485,594","13,037",,,,,,Asia,,,,,,
,Europe,"220,802,862","+118,893","1,899,804",+450,"214,168,439","+226,192","4,734,619","9,339",,,,,,Europe,,,,,,
,South America,"63,468,570","+26,813","1,324,250",+168,"61,405,193","+27,798","739,127","10,550",,,,,,South America,,,,,,
,Oceania,"12,075,965","+16,104","19,115",+65,"11,807,730","+5,410","249,120",152,,,,,,Australia/Oceania,,,,,,
,Africa,"12,601,313","+1,924","257,354",+12,"11,934,857","+1,242","409,102","1,030",,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"604,714,094","+634,995","6,484,890","+1,664","579,553,002","+700,043","18,676,202","43,450","77,579",832.0,,,,All,,,,,,
1,USA,"95,966,867","+60,658","1,068,811",+280,"91,402,772","+111,834","3,495,284","3,962",,,"1,099,282,759",,,North America,,,,,,
2,India,"44,389,176",,"527,556",,"43,770,913",,"90,707",698,"31,501",374,"883,916,723","627,280","1,409,125,225",Asia,32,"2,671",2,,,64
3,France,"34,446,854","+18,116","153,857",+51,"33,899,234","+28,474","393,763",869,"525,237","2,346","271,490,188","4,139,616","65,583,425",Europe,2,426,0,276,0.8,"6,004"
4,Brazil,"34,368,909","+18,270","683,464",+136,"33,360,772","+12,720","324,673","8,318","159,261","3,167","63,776,166","295,531","215,802,191",South America,6,316,3,85,0.6,"1,504"
5,Germany,"32,008,122",,"147,003",,"31,028,800","+55,200","832,319","1,406","379,428","1,743","122,332,384","1,450,144","84,358,806",Europe,3,574,1,,,"9,866"
