#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"31,178,547","+131,014","672,149","+5,043","20,139,043","+121,060","10,367,355","31,162",,,,,,North America,,,
,Asia,"23,375,762","+73,284","376,827","+1,003","21,837,375","+71,593","1,161,560","23,062",,,,,,Asia,,,
,South America,"16,216,678","+91,301","423,613","+2,180","14,489,440","+90,242","1,303,625","19,852",,,,,,South America,,,
,Europe,"30,915,197","+178,881","724,724","+4,992","17,553,456","+130,387","12,637,017","29,378",,,,,,Europe,,,
,Africa,"3,646,894","+16,744","93,751",+568,"3,140,920","+14,734","412,223","2,593",,,,,,Africa,,,
,Oceania,"50,316",+34,"1,078",,"34,099",+14,"15,139",12,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"105,384,115","+491,258","2,292,157","+13,786","77,195,039","+428,030","25,896,919","106,059","13,520",294.1,,,,All,,,
1,USA,"27,261,400","+110,363","466,535","+3,069","17,006,386","+98,640","9,788,479","23,361","82,074","1,405","318,583,335","959,137","332,156,223",North America,12,712,1
2,India,"10,803,533","+12,410","154,862",+120,"10,495,401","+15,893","153,270","8,944","7,783",112,"199,216,019","143,522","1,388,049,292",Asia,128,"8,963",7
3,Brazil,"9,397,769","+57,848","228,883","+1,291","8,291,763","+54,899","877,123","8,318","44,027","1,072","28,600,000","133,985","213,456,774",South America,23,933,7
4,Russia,"3,917,918","+16,714","75,205",+521,"3,389,913","+24,546","452,800","2,300","26,840",515,"103,200,000","706,986","145,971,764",Europe,37,"1,941",1
5,UK,"3,892,459","+20,634","110,250",+915,"1,828,510","+23,597","1,953,699","3,625","57,160","1,619","75,610,452","1,110,318","68,098,024",Europe,17,618,1
6,France,"3,274,608","+23,448","77,952",+357,"228,472",,"2,968,184","3,277","50,101","1,193","45,205,557","691,644","65,359,528",Europe,20,838,1
7,Spain,"2,943,349","+29,960","60,802",+432,N/A,N/A,N/A,"4,823","62,938","1,300","33,901,309","724,920","46,765,574",Europe,16,769,1
8,Italy,"2,597,446","+13,659","90,241",+421,"2,076,928","+17,680","430,277","2,151","42,998","1,494","33,603,023","556,261","60,408,774",Europe,23,669,2
9,Turkey,"2,508,988","+7,909","26,467",+113,"2,396,199","+8,815","86,322","1,501","29,560",312,"30,206,504","355,886","84,876,886",Asia,34,"3,207",3
10,Germany,"2,265,536","+12,989","60,885",+673,"1,991,000","+17,800","213,651","4,222","26,989",725,"40,705,522","484,916","83,943,401",Europe,37,"1,379",2
11,Colombia,"2,135,412","+9,790","55,131",+254,"2,001,135","+12,177","79,146","3,482","41,704","1,077","10,345,704","202,048","51,204,313",South America,24,929,5
12,Argentina,"1,961,635","+8,891","48,700",+161,"1,754,705","+9,497","158,230","3,570","43,168","1,072","6,393,504","140,697","45,441,781",South America,23,933,7
13,Mexico,"1,886,245","+12,153","161,240","+1,707","1,450,237","+13,755","274,768","5,692","14,539","1,243","4,762,394","36,708","129,735,649",North America,69,805,27
14,Poland,"1,533,511","+6,496","38,344",+444,"1,288,163","+4,465","207,004","1,333","40,546","1,014","8,794,269","232,518","37,821,881",Europe,25,986,4
15,South Africa,"1,466,767","+3,751","45,605",+261,"1,327,186","+3,506","93,976",546,"24,548",763,"8,400,319","140,588","59,751,335",Africa,41,"1,310",7
