#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"34,696,778","+58,479","794,135","+1,403","26,106,590","+84,281","7,796,053","15,805",,,,,,North America,,,
,South America,"19,448,747","+102,611","503,160","+3,184","17,434,980","+107,862","1,510,607","19,351",,,,,,South America,,,
,Asia,"26,364,161","+101,886","411,764",+942,"24,646,363","+79,415","1,306,034","23,042",,,,,,Asia,,,
,Europe,"36,565,803","+162,251","862,752","+3,617","25,905,708","+95,900","9,797,343","27,790",,,,,,Europe,,,
,Africa,"4,083,715","+8,556","108,597",+298,"3,656,160","+10,068","318,958","2,648",,,,,,Africa,,,
,Oceania,"52,807",+58,"1,104",,"34,379",+1,"17,324",4,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"121,212,732","+433,841","2,681,527","+9,444","97,784,886","+377,527","20,746,319","88,640","15,550",344.0,,,,All,,,
1,USA,"30,189,887","+50,279","549,195","+1,076","22,359,234","+72,529","7,281,458","9,357","90,833","1,652","382,501,988","1,150,839","332,367,957",North America,11,605,1
2,Brazil,"11,609,601","+84,124","282,400","+2,798","10,204,541","+92,587","1,122,660","8,318","54,347","1,322","28,600,000","133,882","213,621,654",South America,18,756,7
3,India,"11,438,464","+28,869","159,079",+187,"11,043,377","+17,746","236,008","8,944","8,232",114,"228,280,763","164,286","1,389,530,904",Asia,121,"8,735",6
4,Russia,"4,409,438","+9,393","92,937",+443,"4,014,220","+10,644","302,281","2,300","30,206",637,"115,700,000","792,582","145,978,580",Europe,33,"1,571",1
5,UK,"4,268,821","+5,294","125,690",+110,"3,548,731","+22,016","594,400","1,016","62,651","1,845","107,731,965","1,581,110","68,136,918",Europe,16,542,1
6,France,"4,108,108","+29,975","91,170",+338,"275,360","+1,589","3,741,578","4,219","62,839","1,395","57,940,302","886,272","65,375,268",Europe,16,717,1
7,Italy,"3,258,770","+20,396","103,001",+502,"2,619,654","+14,116","536,115","3,256","53,954","1,705","45,171,694","747,887","60,399,096",Europe,19,586,1
8,Spain,"3,200,024","+4,962","72,565",+141,"2,857,714",,"269,745","2,037","68,424","1,552","41,114,319","879,121","46,767,546",Europe,15,644,1
9,Turkey,"2,911,642","+16,749","29,623",+71,"2,734,862","+17,893","147,157","1,474","34,264",349,"35,435,502","417,006","84,976,014",Asia,29,"2,869",2
10,Germany,"2,594,675","+9,290","74,431",+316,"2,374,200","+9,100","146,044","2,848","30,899",886,"46,319,641","551,604","83,972,604",Europe,32,"1,128",2
11,Colombia,"2,309,600","+3,716","61,368",+125,"2,209,224","+3,014","39,008","1,982","45,053","1,197","12,062,703","235,308","51,263,550",South America,22,835,4
12,Argentina,"2,210,121","+8,235","54,036",+200,"1,998,594","+5,379","157,491","3,469","48,588","1,188","8,082,588","177,690","45,487,062",South America,21,842,6
13,Mexico,"2,167,729","+1,439","194,944",+234,"1,711,931","+6,188","260,854","4,798","16,690","1,501","5,776,241","44,472","129,883,602",North America,60,666,22
14,Poland,"1,931,921","+14,396","47,578",+372,"1,587,164","+12,709","297,179","2,139","51,086","1,258","10,775,274","284,929","37,817,368",Europe,20,795,4
15,Iran,"1,763,313","+8,380","61,427",+97,"1,506,360","+7,059","195,526","3,848","20,807",725,"11,846,528","139,787","84,746,758",Asia,48,"1,380",7
16,South Africa,"1,530,966",+933,"51,560",+139,"1,458,001","+2,676","21,405",546,"25,587",862,"9,490,435","158,615","59,833,051",Africa,39,"1,160",6
17,Ukraine,"1,477,190","+9,642","28,697",+264,"1,232,209","+6,202","216,284",177,"33,921",659,"7,328,468","168,285","43,548,043",Europe,29,"1,518",6
18,Indonesia,"1,430,458","+5,414","38,753",+180,"1,257,663","+7,716","134,042",,"5,191",141,"11,740,483","42,607","275,553,769",Asia,193,"7,111",23
19,Peru,"1,418,974",,"49,177",,"1,329,788",,"40,009","2,245","42,620","1,477","8,329,451","250,181","33,293,729",South America,23,677,4
