#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"113,957,925","+22,303","1,521,490",+144,"107,451,606","+116,345","4,984,829","9,524",,,,,,North America,,,,,,
,Asia,"182,228,479","+352,707","1,464,081",+612,"173,359,130","+428,733","7,405,268","13,018",,,,,,Asia,,,,,,
,Europe,"220,944,667","+108,510","1,900,164",+251,"214,328,747","+160,313","4,715,756","9,324",,,,,,Europe,,,,,,
,South America,"63,495,232","+20,218","1,324,426",+93,"61,437,554","+27,919","733,252","10,539",,,,,,South America,,,,,,
,Oceania,"12,090,101","+13,602","19,209",+95,"11,829,330","+3,407","241,562",159,,,,,,Australia/Oceania,,,,,,
,Africa,"12,601,868",+526,"257,354",,"11,935,154",+260,"409,360","1,030",,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"605,318,993","+517,866","6,486,739","+1,195","580,342,227","+736,977","18,490,027","43,594","77,657",832.2,,,,All,,,,,,
1,USA,"95,996,790","+15,422","1,069,019",+79,"91,523,627","+104,264","3,404,144","4,144",,,"1,099,421,683",,,North America,,,,,,
2,India,"44,405,138","+6,442","527,597",,"43,783,788",,"93,753",698,"31,512",374,"884,339,045","627,564","1,409,162,265",Asia,32,"2,671",2,5,,67
3,France,"34,464,687","+17,833","153,857",,"33,920,711","+21,477","390,119",869,"525,506","2,346","271,490,188","4,139,591","65,583,819",Europe,2,426,0,272,,"5,948"
4,Brazil,"34,381,295","+12,386","683,528",+64,"33,360,772",,"336,995","8,318","159,316","3,167","63,776,166","295,525","215,806,313",South America,6,316,3,57,0.3,"1,562"
5,Germany,"32,041,348",,"147,104",,"31,047,000","+18,200","847,244","1,406","379,819","1,744","122,332,384","1,450,131","84,359,536",Europe,3,573,1,,,"10,043"
6,UK,"23,492,875",,"187,761",,"23,162,780","+7,272","142,334",146,"342,201","2,735","522,526,476","7,611,205","68,652,263",Europe,3,366,0,,,"2,073"
7,S. Korea,"22,898,523","+95,538","26,499",+86,"20,667,826","+149,738","2,204,198",579,"445,809",516,"15,804,065","307,688","51,363,972",Asia,2,"1,938",3,"1,860",2,"42,913"
8,Italy,"21,788,862","+21,802","175,306",+80,"20,930,981","+36,969","682,575",227,"361,516","2,909","241,860,865","4,012,899","60,270,860",Europe,3,344,0,362,1,"11,325"
9,Russia,"19,359,066","+47,093","384,000",+90,"18,467,738","+32,642","507,328","2,300","132,534","2,629","273,400,000","1,871,720","146,068,887",Europe,8,380,1,322,0.6,"3,473"
10,Japan,"18,180,425","+196,628","38,522",+325,"16,075,067","+213,161","2,066,836",624,"144,697",307,"70,386,371","560,201","125,644,901",Asia,7,"3,262",2,"1,565",3,"16,450"
11,Turkey,"16,671,848",,"100,400",,N/A,N/A,N/A,975,"193,208","1,164","162,743,369","1,886,017","86,289,462",Asia,5,859,1,,,"2,888"
12,Spain,"13,332,976",,"112,454",,"13,092,617",,"127,905",339,"284,931","2,403","471,036,328","10,066,238","46,793,681",Europe,4,416,0,,,"2,733"
13,Vietnam,"11,401,597","+2,197","43,111",+1,"10,140,204","+13,939","1,218,282",161,"114,911",434,"85,826,548","865,006","99,220,722",Asia,9,"2,302",1,22,0.01,"12,279"
14,Australia,"9,987,913","+11,326","13,734",+86,"9,831,349",,"142,830",97,"382,155",525,"78,050,906","2,986,366","26,135,750",Australia/Oceania,3,"1,903",0,433,3,"5,465"
15,Argentina,"9,658,391",,"129,646",,"9,454,789","+6,032","73,956",456,"209,568","2,813","35,716,069","774,970","46,087,037",South America,5,355,1,,,"1,605"
16,Netherlands,"8,381,009",,"22,594",,"8,301,803",,"56,612",43,"486,806","1,312","21,107,399","1,226,011","17,216,326",Europe,2,762,1,,,"3,288"
17,Iran,"7,521,969",+976,"143,684",+37,"7,277,658","+6,634","100,627","1,171","87,157","1,665","53,730,223","622,573","86,303,507",Asia,11,601,2,11,0.4,"1,166"
18,Mexico,"7,007,741","+6,151","329,338",+49,"6,250,538","+6,546","427,865","4,798","53,152","2,498","18,127,231","137,490","131,843,985",North America,19,400,7,47,0.4,"3,245"
19,Indonesia,"6,343,076","+4,170","157,493",+15,"6,137,394","+2,514","48,189","2,771","22,675",563,"106,406,169","380,376","279,739,581",Asia,44,"1,776",3,15,0.05,172
20,Colombia,"6,299,595",,"141,519",,"6,122,457",,"35,619",342,"121,033","2,719","36,279,188","697,027","52,048,449",South America,8,368,1,,,684
21,Poland,"6,166,596","+3,934","117,030",+23,"5,335,964",,"713,602","2,782","163,321","3,100","36,925,135","977,953","37,757,574",Europe,6,323,1,104,0.6,"18,900"
