#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"114,132,421","+53,367","1,522,358",+278,"107,845,802","+125,567","4,764,261","9,418",,,,,,North America,,,,,,
,Asia,"183,124,354","+314,930","1,465,856",+517,"174,630,196","+417,752","7,028,302","12,815",,,,,,Asia,,,,,,
,Europe,"221,429,211","+135,313","1,901,458",+449,"215,051,592","+252,450","4,476,161","9,243",,,,,,Europe,,,,,,
,South America,"63,575,497","+20,988","1,325,090",+207,"61,603,205","+103,794","647,202","10,540",,,,,,South America,,,,,,
,Oceania,"12,126,836","+15,086","19,342",+86,"11,884,646","+4,357","222,848",141,,,,,,Australia/Oceania,,,,,,
,Africa,"12,604,409",+639,"257,363",+4,"11,938,912",+381,"408,134","1,031",,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"606,993,449","+540,323","6,491,482","+1,541","582,955,059","+904,301","17,546,908","43,188","77,872",832.8,,,,All,,,,,,
1,USA,"96,145,899","+47,322","1,069,735",+238,"91,870,555","+111,878","3,205,609","4,037",,,"1,100,355,942",,,North America,,,,,,
2,India,"44,429,258","+9,587","527,829",,"43,825,024",,"76,405",698,"31,526",375,"885,528,970","628,359","1,409,273,386",Asia,32,"2,670",2,7,,54
3,France,"34,509,961","+27,358","154,039",+72,"33,991,002","+27,003","364,920",869,"526,187","2,349","271,490,188","4,139,517","65,584,999",Europe,2,426,0,417,1,"5,564"
4,Brazil,"34,414,011","+16,806","683,914",+196,"33,457,359","+65,223","272,738","8,318","159,458","3,169","63,776,166","295,508","215,818,679",South America,6,316,3,78,0.9,"1,264"
5,Germany,"32,095,854",,"147,223",,"31,204,400","+73,400","744,231","1,406","380,455","1,745","122,332,384","1,450,093","84,361,727",Europe,3,573,1,,,"8,822"
6,UK,"23,492,875",,"187,761",,"23,189,972","+9,080","115,142",146,"342,186","2,735","522,526,476","7,610,882","68,655,180",Europe,3,366,0,,,"1,677"
7,S. Korea,"23,142,479","+115,519","26,689",+71,"21,085,222","+128,622","2,030,568",591,"450,555",520,"15,804,065","307,686","51,364,333",Asia,2,"1,925",3,"2,249",1,"39,533"
8,Italy,"21,845,943","+31,087","175,505",+98,"21,010,197","+39,512","660,241",226,"362,467","2,912","242,250,595","4,019,414","60,270,134",Europe,3,343,0,516,2,"10,955"
9,Russia,"19,482,648","+37,067","384,254",+94,"18,557,580","+36,729","540,814","2,300","133,379","2,631","273,400,000","1,871,713","146,069,399",Europe,7,380,1,254,0.6,"3,702"
10,Japan,"18,632,422","+125,907","39,253",+248,"16,678,164","+222,175","1,915,005",618,"148,298",312,"70,939,816","564,620","125,641,741",Asia,7,"3,201",2,"1,002",2,"15,242"
11,Turkey,"16,671,848",,"100,400",,N/A,N/A,N/A,975,"193,192","1,163","162,743,369","1,885,854","86,296,896",Asia,5,860,1,,,"2,888"
12,Spain,"13,342,530","+2,387","112,600",+35,"13,113,979","+7,748","115,951",339,"285,134","2,406","471,036,328","10,066,206","46,793,829",Europe,4,416,0,51,0.7,"2,478"
13,Vietnam,"11,408,952","+3,241","43,117",+4,"10,170,271","+13,142","1,195,564",137,"114,977",435,"85,826,548","864,944","99,227,893",Asia,9,"2,301",1,33,0.04,"12,049"
14,Australia,"10,018,037","+12,181","13,834",+75,"9,872,614",,"131,589",86,"383,272",529,"78,132,677","2,989,217","26,138,175",Australia/Oceania,3,"1,889",0,466,3,"5,034"
15,Argentina,"9,678,225",,"129,711",,"9,472,823","+5,970","75,691",456,"209,983","2,814","35,716,069","774,913","46,090,433",South America,5,355,1,,,"1,642"
16,Netherlands,"8,385,110","+1,289","22,599",+1,"8,313,978","+2,376","48,533",34,"487,035","1,313","21,107,399","1,225,989","17,216,635",Europe,2,762,1,75,0.06,"2,819"
17,Iran,"7,527,499","+1,871","143,820",+44,"7,292,566","+3,816","91,113","1,104","87,212","1,666","53,730,223","622,509","86,312,319",Asia,11,600,2,22,0.5,"1,056"
18,Mexico,"7,015,375",+865,"329,401",+11,"6,267,907","+5,871","418,067","4,798","53,205","2,498","18,145,182","137,615","131,855,081",North America,19,400,7,7,0.08,"3,171"
19,Indonesia,"6,354,245","+5,070","157,541",+20,"6,151,650","+4,510","45,054","2,771","22,713",563,"106,645,001","381,197","279,763,274",Asia,44,"1,776",3,18,0.07,161
20,Colombia,"6,299,595",,"141,519",,"6,122,457",,"35,619",342,"121,023","2,719","36,279,188","696,968","52,052,892",South America,8,368,1,,,684
21,Poland,"6,173,059","+5,306","117,059",+29,"5,335,962",,"720,038","2,782","163,493","3,100","36,947,074","978,543","37,757,235",Europe,6,323,1,141,0.8,"19,070"
22,Portugal,"5,417,101","+3,928","24,845",+6,"5,319,788","+2,816","72,468",61,"534,620","2,452","43,527,258","4,295,759","10,132,611",Europe,2,408,0,388,0.6,"7,152"
23,Taiwan,"5,273,449","+31,488","9,893",+27,"4,791,775","+23,751","471,781",,"220,557",414,"24,248,455","1,014,166","23,909,738",Asia,5,"2,417",1,"1,317",1,"19,732"
24,Ukraine,"5,044,941",,"108,803",,"4,921,586","+3,893","14,552",177,"116,869","2,520","19,521,252","452,222","43,167,431",Europe,9,397,2,,,337
25,Austria,"4,902,914","+4,654","19,407",+12,"4,817,884","+7,195","65,623",69,"537,763","2,129","195,410,181","21,433,039","9,117,241",Europe,2,470,0,510,1,"7,198"
26,Malaysia,"4,780,284","+2,144","36,210",+4,"4,712,915","+2,549","31,159",72,"143,722","1,089","63,715,065","1,915,629","33,260,647",Asia,7,919,1,64,0.1,937
27,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,411",3,,,"26,022,483",Asia,5,"351,655",,,,
28,Greece,"4,712,025",,"32,335",,"4,646,954","+8,184","32,736",115,"456,888","3,135","90,656,913","8,790,286","10,313,306",Europe,2,319,0,,,"3,174"
29,Thailand,"4,648,679",+994,"32,278",+27,"4,600,945","+2,111","15,456","1,496","66,242",460,"17,270,775","246,101","70,177,704",Asia,15,"2,174",4,14,0.4,220
30,Israel,"4,632,109",+527,"11,603",,"4,608,563",+539,"11,943",266,"496,688","1,244","41,373,364","4,436,346","9,326,000",Asia,2,804,0,57,,"1,281"
31,Chile,"4,502,674","+3,451","60,445",+10,"4,415,436","+15,291","26,793",157,"231,260","3,104","43,916,886","2,255,598","19,470,178",South America,4,322,0,177,0.5,"1,376"
32,Belgium,"4,482,315",,"32,516",,"4,389,967","+5,472","59,832",63,"383,156","2,780","35,286,170","3,016,322","11,698,411",Europe,3,360,0,,,"5,115"
33,Canada,"4,158,491",,"43,797",,"4,024,591","+4,085","90,103",261,"108,136","1,139","64,259,009","1,670,975","38,456,006",North America,9,878,1,,,"2,343"
34,Peru,"4,100,923",,"215,685",,"3,831,031","+15,626","54,207",224,"120,748","6,351","34,282,331","1,009,409","33,962,777",South America,8,157,1,,,"1,596"
35,Czechia,"4,038,511","+2,661","40,805",+5,"3,985,087","+1,982","12,619",28,"375,612","3,795","55,955,186","5,204,250","10,751,826",Europe,3,263,0,247,0.5,"1,174"
36,Switzerland,"4,025,870","+2,279","14,148",,"3,937,093","+5,621","74,629",46,"457,946","1,609","22,103,405","2,514,280","8,791,148",Europe,2,621,0,259,,"8,489"
37,South Africa,"4,011,657",+226,"102,084",,"3,902,822",,"6,751",192,"65,849","1,676","26,168,861","429,547","60,921,927",Africa,15,597,2,4,,111
38,Philippines,"3,878,734","+1,672","61,773",+53,"3,790,793","+2,900","26,168",655,"34,408",548,"32,206,771","285,704","112,727,689",Asia,29,"1,825",4,15,0.5,232
39,Romania,"3,216,257","+4,046","66,673",+34,"3,092,987","+2,252","56,597",219,"169,624","3,516","24,643,997","1,299,714","18,961,090",Europe,6,284,1,213,2,"2,985"
40,Denmark,"3,091,394",+720,"6,920",+8,"3,074,019","+1,337","10,455",6,"529,693","1,186","128,191,650","21,964,940","5,836,194",Europe,2,843,0,123,1,"1,791"
41,Sweden,"2,564,423",,"19,779",,"2,522,476",+522,"22,168",17,"250,552","1,932","18,844,252","1,841,140","10,235,099",Europe,4,517,1,,,"2,166"
42,Iraq,"2,456,555",,"25,343",,"2,426,824",,"4,388",21,"58,254",601,"19,179,858","454,823","42,169,962",Asia,17,"1,664",2,,,104
43,Serbia,"2,279,485","+3,810","16,672",+15,"2,181,127","+6,208","81,686",25,"263,174","1,925","10,663,811","1,231,174","8,661,501",Europe,4,520,1,440,2,"9,431"
44,Hungary,"2,036,390",,"47,191",,"1,945,910",,"43,289",27,"211,959","4,912","11,394,556","1,186,011","9,607,466",Europe,5,204,1,,,"4,506"
45,Bangladesh,"2,011,732",+172,"29,323",,"1,956,201",+362,"26,208","1,331","11,958",174,"14,747,609","87,664","168,228,948",Asia,84,"5,737",11,1,,156
46,Singapore,"1,837,090","+2,900","1,592",+1,"1,759,287","+2,015","76,211",10,"308,776",268,"24,342,902","4,091,524","5,949,593",Asia,3,"3,737",0,487,0.2,"12,809"
47,Slovakia,"1,833,873",+125,"20,349",,"1,808,150",+694,"5,374",39,"335,546","3,723","7,266,881","1,329,629","5,465,345",Europe,3,269,1,23,,983
48,New Zealand,"1,738,492","+2,590","2,725",+11,"1,719,961","+3,806","15,806",,"347,552",545,"7,480,062","1,495,384","5,002,100",Australia/Oceania,3,"1,836",1,518,2,"3,160"
49,Georgia,"1,735,682",,"16,889",,"1,637,293",,"81,500",,"436,907","4,251","16,920,079","4,259,133","3,972,658",Asia,2,235,0,,,"20,515"
50,Jordan,"1,735,495",,"14,110",,"1,718,032",,"3,353",59,"166,528","1,354","17,128,152","1,643,517","10,421,646",Asia,6,739,1,,,322
51,Ireland,"1,655,338",,"7,780",,"1,638,645",+104,"8,913",14,"327,350","1,539","12,632,936","2,498,218","5,056,778",Europe,3,650,0,,,"1,763"
52,Pakistan,"1,568,849",+170,"30,575",,"1,528,907",,"9,367",111,"6,817",133,"30,095,965","130,769","230,146,526",Asia,147,"7,527",8,0.7,,41
53,Hong Kong,"1,531,308","+8,848","9,681",+13,"1,316,455","+4,126","205,172",13,"200,743","1,269","54,352,132","7,125,172","7,628,185",Asia,5,788,0,"1,160",2,"26,897"
54,Norway,"1,460,011",+143,"3,980",,"1,454,139",+35,"1,892",20,"264,846",722,"11,002,430","1,995,839","5,512,683",Europe,4,"1,385",1,26,,343
55,Kazakhstan,"1,387,576",,"13,684",,"1,355,226",,"18,666",24,"72,040",710,"11,575,012","600,948","19,261,244",Asia,14,"1,408",2,,,969
56,Morocco,"1,264,388",+46,"16,273",+1,"1,247,708",+56,407,293,"33,401",430,"12,448,105","328,842","37,854,399",Africa,30,"2,326",3,1,0.03,11
57,Finland,"1,258,798",,"5,577",,"1,221,654","+2,785","31,567",21,"226,432","1,003","11,362,325","2,043,848","5,559,282",Europe,4,997,0,,,"5,678"
