#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"32,592,459","+82,287","724,864","+3,505","21,977,841","+123,681","9,889,754","25,214",,,,,,North America,,,
,Asia,"24,231,352","+68,620","388,145",+864,"22,780,270","+68,186","1,062,937","22,214",,,,,,Asia,,,
,South America,"17,126,492","+73,408","446,588","+1,654","15,522,687","+81,980","1,157,217","20,037",,,,,,South America,,,
,Europe,"32,594,453","+141,950","778,426","+4,180","21,641,103","+168,704","10,174,924","26,540",,,,,,Europe,,,
,Africa,"3,808,645","+12,460","99,944",+397,"3,345,681","+13,199","363,020","2,404",,,,,,Africa,,,
,Oceania,"50,671",+31,"1,083",,"34,217",+6,"15,371",4,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"110,404,793","+378,756","2,439,065","+10,600","85,302,505","+455,756","22,663,223","96,413","14,164",312.9,,,,All,,,
1,USA,"28,448,651","+67,132","502,067","+2,069","18,586,900","+107,482","9,359,684","18,608","85,631","1,511","338,688,211","1,019,454","332,225,037",North America,12,662,1
2,India,"10,949,546","+12,440","156,038",+89,"10,654,706","+11,803","138,802","8,944","7,886",112,"207,977,229","149,782","1,388,530,816",Asia,127,"8,899",7
3,Brazil,"9,979,276","+57,295","242,178","+1,195","8,950,450","+67,259","786,648","8,318","46,739","1,134","28,600,000","133,951","213,510,360",South America,21,882,7
4,Russia,"4,112,151","+12,828","81,446",+467,"3,642,582","+17,919","388,123","2,300","28,170",558,"107,500,000","736,433","145,973,980",Europe,35,"1,792",1
5,UK,"4,071,185","+12,718","118,933",+738,"2,282,703","+51,504","1,669,549","2,708","59,773","1,746","83,527,818","1,226,354","68,110,664",Europe,17,573,1
6,France,"3,514,147","+25,018","83,122",+310,"245,737","+1,499","3,185,288","3,350","53,762","1,272","49,251,253","753,485","65,364,643",Europe,19,786,1
7,Spain,"3,107,172","+10,829","66,316",+337,"2,411,183","+29,655","629,673","3,909","66,441","1,418","37,334,915","798,331","46,766,215",Europe,15,705,1
8,Italy,"2,751,657","+12,074","94,540",+369,"2,268,253","+16,519","388,864","2,043","45,553","1,565","36,916,289","611,140","60,405,628",Europe,22,639,2
9,Turkey,"2,609,359","+7,325","27,738",+86,"2,496,833","+7,209","84,788","1,193","30,731",327,"31,866,086","375,296","84,909,102",Asia,33,"3,061",3
10,Germany,"2,362,352","+9,586","67,074",+538,"2,154,600","+13,200","140,678","3,352","28,139",799,"42,872,730","510,676","83,952,892",Europe,36,"1,252",2
11,Colombia,"2,207,701","+5,103","58,134",+185,"2,099,628","+4,523","49,939","3,482","43,099","1,135","10,987,643","214,504","51,223,565",South America,23,881,5
12,Argentina,"2,039,124","+6,064","50,616",+184,"1,842,878","+4,587","145,630","3,573","44,859","1,114","6,947,674","152,842","45,456,498",South America,22,898,7
13,Mexico,"2,004,575","+8,683","175,986","+1,329","1,563,992","+8,069","264,597","4,798","15,446","1,356","5,138,262","39,591","129,783,734",North America,65,737,25
14,Poland,"1,605,372","+8,694","41,308",+279,"1,354,598","+2,155","209,466","1,286","42,447","1,092","9,178,403","242,684","37,820,414",Europe,24,916,4
15,Iran,"1,542,076","+8,042","59,184",+67,"1,317,612","+6,791","165,280","3,684","18,213",699,"10,218,318","120,688","84,667,452",Asia,55,"1,431",8
16,South Africa,"1,496,439","+2,320","48,478",+165,"1,399,829","+2,878","48,132",546,"25,033",811,"8,772,743","146,756","59,777,893",Africa,40,"1,233",7
17,Ukraine,"1,280,904","+4,286","24,689",+147,"1,128,890","+5,922","127,325",177,"29,401",567,"6,570,806","150,820","43,567,324",Europe,34,"1,765",7
18,Peru,"1,244,729",,"44,056",,"1,155,956",,"44,717","2,086","37,424","1,325","6,993,146","210,258","33,259,837",South America,27,755,5
19,Indonesia,"1,243,646","+9,687","33,788",+192,"1,047,676","+8,002","162,182",,"4,517",123,"10,115,963","36,740","275,340,530",Asia,221,"8,149",27
20,Czechia,"1,112,322","+12,486","18,596",+77,"987,515",+278,"106,211","1,196","103,747","1,734","7,154,150","667,270","10,721,519",Europe,10,577,1
21,Netherlands,"1,038,156","+3,361","15,017",+88,N/A,N/A,N/A,520,"60,503",875,"6,970,400","406,229","17,158,794",Europe,17,"1,143",2
22,Canada,"834,182","+2,605","21,435",+38,"779,761","+3,553","32,986",594,"21,981",565,"23,176,610","610,711","37,950,235",North America,45,"1,770",2
23,Portugal,"790,885","+2,324","15,649",+127,"683,061","+5,342","92,175",719,"77,706","1,538","7,906,907","776,870","10,177,903",Europe,13,650,1
24,Chile,"784,314","+2,275","19,659",+15,"743,306","+2,841","21,349","1,579","40,808","1,023","8,834,416","459,662","19,219,393",South America,25,978,2
25,Romania,"768,785","+2,815","19,588",+62,"714,709","+2,732","34,488",935,"40,132","1,023","5,777,072","301,574","19,156,372",Europe,25,978,3
26,Belgium,"741,205","+1,717","21,750",+48,"50,930",+33,"668,525",319,"63,779","1,872","8,956,402","770,681","11,621,413",Europe,16,534,1
27,Israel,"738,629","+4,054","5,473",+32,"681,249","+7,341","51,907",959,"80,307",595,"11,476,197","1,247,740","9,197,590",Asia,12,"1,681",1
28,Iraq,"653,557","+3,575","13,204",+12,"611,036","+1,236","29,317",296,"16,024",324,"6,368,835","156,154","40,785,606",Asia,62,"3,089",6
29,Sweden,"622,102",,"12,569",+33,N/A,N/A,N/A,224,"61,358","1,240","5,708,037","562,983","10,138,916",Europe,16,807,2
30,Pakistan,"565,989","+1,165","12,436",+56,"528,545","+1,484","25,008","1,662","2,532",56,"8,531,218","38,159","223,573,081",Asia,395,"17,978",26
31,Philippines,"553,424","+1,184","11,577",+53,"512,033",+271,"29,814",786,"5,009",105,"8,399,429","76,016","110,495,881",Asia,200,"9,544",13
32,Switzerland,"545,535","+1,253","9,849",+32,"490,280","+4,665","45,406",204,"62,745","1,133","4,797,666","551,808","8,694,451",Europe,16,883,2
33,Bangladesh,"541,877",+443,"8,314",+16,"489,254",+633,"44,309",,"3,270",50,"3,893,654","23,495","165,720,425",Asia,306,"19,933",43
34,Morocco,"479,579",+508,"8,517",+13,"461,466",+838,"9,596",263,"12,897",229,"5,548,327","149,208","37,185,191",Africa,78,"4,366",7
35,Austria,"437,874","+1,735","8,290",+30,"415,221","+1,313","14,363",264,"48,444",917,"4,936,688","546,168","9,038,764",Europe,21,"1,090",2
36,Serbia,"426,487","+2,467","4,277",+16,"31,536",,"390,674",142,"48,937",491,"2,797,273","320,969","8,715,098",Europe,20,"2,038",3
37,Japan,"419,015","+1,250","7,102",+87,"391,208","+3,468","20,705",607,"3,319",56,"7,707,786","61,061","126,231,537",Asia,301,"17,774",16
38,Hungary,"391,170","+1,548","13,931",+94,"299,989","+1,216","77,250",321,"40,557","1,444","3,388,457","351,323","9,644,838",Europe,25,692,3
