#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"130,541,036","+8,820","1,666,984",+48,"125,955,371","+18,080","2,918,681","7,584",,,,,,North America,,,,,,
,Asia,"221,325,247",+189,"1,552,592",+3,"205,477,300","+3,395","14,295,355","14,765",,,,,,Asia,,,,,,
,Europe,"252,884,284","+31,832","2,094,544",+248,"248,142,044","+44,618","2,647,696","4,711",,,,,,Europe,,,,,,
,South America,"69,527,983",,"1,364,366",,"66,595,363",,"1,568,254","8,953",,,,,,South America,,,,,,
,Oceania,"14,755,203","+1,573","32,187",,"14,540,415",,"182,601",54,,,,,,Australia/Oceania,,,,,,
,Africa,"12,858,080",+1,"258,877",,"12,089,889",+2,"509,314",529,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"701,892,554","+42,415","6,969,565",+299,"672,801,088","+66,095","22,121,901","36,596","90,046",894.1,,,,All,,,,,,
1,USA,"110,552,761","+8,820","1,192,459",+48,"108,213,847","+15,504","1,146,455","2,429","330,200","3,562","1,186,623,278","3,544,219","334,805,269",North America,3,281,0,26,0.1,"3,424"
2,India,"45,022,219",+189,"533,417",+3,N/A,N/A,N/A,N/A,"32,007",379,"935,879,495","665,334","1,406,631,776",Asia,31,"2,637",2,0.1,,2
3,France,"40,138,560",,"167,642",,"39,970,918",,0,,"612,013","2,556","271,490,188","4,139,547","65,584,518",Europe,2,391,0,,,
4,Germany,"38,793,736","+2,009","181,125",+81,"38,240,600",,"372,011",N/A,"462,471","2,159","122,332,384","1,458,359","83,883,596",Europe,2,463,1,24,1.0,"4,435"
5,Brazil,"38,230,814",,"708,739",,"36,249,161",,"1,272,914",N/A,"177,526","3,291","63,776,166","296,146","215,353,593",South America,6,304,3,,,"5,911"
6,S. Korea,"34,571,873",,"35,934",,"34,535,939",,0,,"673,523",700,"15,804,065","307,892","51,329,899",Asia,1,"1,428",3,,,
7,Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,N/A,"269,169",595,"100,414,883","799,578","125,584,838",Asia,4,"1,681",1,,,"95,582"
8,Italy,"26,692,251",,"195,494",,"26,290,313",,"206,444",213,"442,931","3,244","279,467,254","4,637,478","60,262,770",Europe,2,308,0,,,"3,426"
9,UK,"24,863,166",,"232,112",,"24,580,470",,"50,584",N/A,"362,977","3,389","522,526,476","7,628,357","68,497,907",Europe,3,295,0,,,738
10,Russia,"23,825,450","+26,993","401,693",+150,"23,238,411","+39,743","185,346",N/A,"163,405","2,755","273,400,000","1,875,095","145,805,947",Europe,6,363,1,185,1,"1,271"
11,Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,N/A,"201,399","1,194","162,743,369","1,902,052","85,561,976",Asia,5,837,1,,,"4,024"
12,Spain,"13,914,811",,"121,760",,"13,762,417",,"30,634",231,"297,840","2,606","471,036,328","10,082,298","46,719,142",Europe,3,384,0,,,656
13,Australia,"11,771,709","+1,573","23,910",,N/A,N/A,N/A,26,"451,563",917,"81,916,639","3,142,326","26,068,792",Australia/Oceania,2,"1,090",0,60,,"2,924"
14,Vietnam,"11,624,114",,"43,206",,"10,640,971",,"939,937",,"117,470",437,"85,826,548","867,342","98,953,541",Asia,9,"2,290",1,,,"9,499"
