#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"40,168,372","+14,473","907,608",+448,"33,286,964","+28,098","5,973,800","11,966",,,,,,North America,,,,,,
,Asia,"53,533,813","+135,502","744,948","+4,921","50,605,173","+187,118","2,183,692","27,495",,,,,,Asia,,,,,,
,South America,"30,653,677","+90,966","943,738","+2,237","27,724,472","+93,492","1,985,467","32,331",,,,,,South America,,,,,,
,Europe,"47,183,539","+34,104","1,086,296",+543,"44,499,692","+42,136","1,597,551","10,581",,,,,,Europe,,,,,,
,Africa,"5,087,758","+15,568","135,007",+217,"4,544,922","+8,014","407,829","2,699",,,,,,Africa,,,,,,
,Oceania,"70,290",+142,"1,255",+1,"67,449",+16,"1,586",11,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"176,698,170","+290,755","3,818,867","+8,367","160,729,378","+358,874","12,149,925","85,083","22,669",489.9,,,,All,,,,,,
1,USA,"34,320,853","+4,980","615,052",+99,"28,400,073","+18,450","5,305,728","4,532","103,115","1,848","494,343,672","1,485,233","332,839,063",North America,10,541,1,15,0.3,"15,941"
2,India,"29,506,328","+67,290","374,226","+3,819","28,146,378","+110,492","985,724","8,944","21,184",269,"378,132,474","271,486","1,392,827,491",Asia,47,"3,722",4,48,3,708
3,Brazil,"17,413,996","+36,998","487,476","+1,118","15,794,548","+33,371","1,131,972","8,318","81,378","2,278","50,245,852","234,806","213,988,512",South America,12,439,4,173,5,"5,290"
4,France,"5,740,665","+2,855","110,420",+13,"5,495,488","+2,195","134,757","2,106","87,764","1,688","88,959,578","1,360,024","65,410,289",Europe,11,592,1,44,0.2,"2,060"
5,Turkey,"5,330,447","+5,012","48,721",+53,"5,202,251","+4,194","79,475",952,"62,566",572,"57,004,499","669,094","85,196,574",Asia,16,"1,749",1,59,0.6,933
6,Russia,"5,208,687","+14,723","126,430",+357,"4,801,335","+9,166","280,922","2,300","35,677",866,"142,700,000","977,439","145,993,745",Europe,28,"1,155",1,101,2,"1,924"
7,UK,"4,565,813","+7,490","127,904",+8,"4,287,870","+1,705","150,039",158,"66,924","1,875","193,264,021","2,832,809","68,223,457",Europe,15,533,0,110,0.1,"2,199"
8,Italy,"4,244,872","+1,390","127,002",+26,"3,957,557","+3,460","160,313",565,"70,305","2,103","68,604,561","1,136,259","60,377,562",Europe,14,475,1,23,0.4,"2,655"
9,Argentina,"4,124,190","+13,043","85,343",+268,"3,721,350","+26,062","317,497","7,910","90,467","1,872","15,215,447","333,761","45,587,813",South America,11,534,3,286,6,"6,965"
10,Colombia,"3,753,224","+28,519","95,778",+586,"3,477,656","+20,539","179,790","8,155","73,027","1,864","18,206,556","354,245","51,395,354",South America,14,537,3,555,11,"3,498"
11,Spain,"3,733,600",,"80,501",,"3,509,730",,"143,369",966,"79,826","1,721","51,240,666","1,095,543","46,771,935",Europe,13,581,1,,,"3,065"
12,Germany,"3,723,294",+999,"90,470",+14,"3,576,800","+3,200","56,024","1,598","44,305","1,077","62,263,057","740,895","84,037,579",Europe,23,929,1,12,0.2,667
13,Iran,"3,028,717","+8,195","82,098",+187,"2,652,792","+12,511","293,827","3,483","35,629",966,"21,563,119","253,659","85,008,174",Asia,28,"1,035",4,96,2,"3,456"
14,Poland,"2,877,469",+227,"74,573",+11,"2,648,504",+297,"154,392",317,"76,109","1,972","16,627,052","439,784","37,807,327",Europe,13,507,2,6,0.3,"4,084"
15,Mexico,"2,452,469","+3,649","230,095",+274,"1,952,382","+4,114","269,992","4,798","18,834","1,767","7,223,365","55,474","130,212,799",North America,53,566,18,28,2,"2,073"
16,Ukraine,"2,223,558",+857,"51,679",+33,"2,127,337","+1,652","44,542",177,"51,135","1,188","10,504,548","241,570","43,484,489",Europe,20,841,4,20,0.8,"1,024"
