#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
35,Ecuador,"172,508",+725,"12,761",+31,"149,048",,"10,699",333,"9,727",720,"563,159","31,753","17,735,474",South America,103,"1,390",31
36,Portugal,"166,900","+5,550","2,792",+52,"93,754","+2,301","70,354",340,"16,385",274,"3,642,907","357,630","10,186,233",Europe,61,"3,648",3
37,Sweden,"146,461",,"6,022",+13,N/A,N/A,N/A,92,"14,471",595,"2,431,770","240,264","10,121,226",Europe,69,"1,681",4
38,Bolivia,"142,201",+139,"8,768",+10,"113,386",+544,"20,047",71,"12,125",748,"336,834","28,720","11,728,056",South America,82,"1,338",35
39,UAE,"139,891","+1,292",510,+2,"136,936",+818,"2,445",,"14,085",51,"13,850,488","1,394,562","9,931,784",Asia,71,"19,474",1
40,Austria,"138,979","+6,464","1,340",+72,"83,707","+3,103","53,932",421,"15,400",148,"2,396,015","265,506","9,024,330",Europe,65,"6,735",4
41,Panama,"137,760","+1,193","2,770",+14,"115,990",+912,"19,000",128,"31,755",639,"701,637","161,735","4,338,182",North America,31,"1,566",6
42,Qatar,"133,811",+192,232,,"130,881",+201,"2,698",39,"47,657",83,"1,007,050","358,661","2,807,805",Asia,21,"12,103",3
43,Kuwait,"130,463",+825,804,+5,"121,263",+699,"8,396",115,"30,394",187,"955,447","222,592","4,292,369",Asia,33,"5,339",4
44,Dominican Republic,"129,300",+476,"2,261",+1,"107,038",+388,"20,001",175,"11,878",208,"616,366","56,622","10,885,675",North America,84,"4,815",18
45,Oman,"117,167",,"1,286",,"107,368",,"8,513",145,"22,747",250,"376,700","73,134","5,150,841",Asia,44,"4,005",14
46,Costa Rica,"115,417","+1,050","1,453",+9,"70,421",+419,"43,543",170,"22,585",284,"326,539","63,898","5,110,284",North America,44,"3,517",16
