#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"40,084,236","+24,393","905,338",+777,"33,134,344","+35,781","6,044,554","12,566",,,,,,North America,,,,,,
,Asia,"53,092,428","+167,605","730,263","+4,648","49,998,974","+217,932","2,363,191","27,976",,,,,,Asia,,,,,,
,South America,"30,247,653","+168,108","933,328","+4,314","27,397,776","+139,801","1,916,549","30,728",,,,,,South America,,,,,,
,Europe,"47,069,730","+44,450","1,083,709","+1,113","44,332,969","+75,365","1,653,052","11,074",,,,,,Europe,,,,,,
,Africa,"5,028,091","+18,268","134,000",+244,"4,509,090","+8,642","385,001","2,519",,,,,,Africa,,,,,,
,Oceania,"69,940",+55,"1,254",,"67,199",+8,"1,487",11,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"175,592,799","+422,879","3,787,907","+11,096","159,441,058","+477,529","12,363,834","84,874","22,527",486.0,,,,All,,,,,,
1,USA,"34,272,894","+11,971","613,871",+379,"28,275,657","+26,013","5,383,366","5,038","102,976","1,844","491,814,930","1,477,706","332,823,183",North America,10,542,1,36,1,"16,175"
2,India,"29,273,338","+91,266","363,097","+3,402","27,778,894","+133,669","1,131,347","8,944","21,019",261,"372,198,253","267,246","1,392,716,370",Asia,48,"3,836",4,66,2,812
3,Brazil,"17,215,159","+89,802","482,135","+2,344","15,670,754","+73,938","1,062,270","8,318","80,454","2,253","50,127,012","234,264","213,976,146",South America,12,444,4,420,11,"4,964"
4,France,"5,729,967","+4,475","110,270",+68,"5,471,149","+12,735","148,548","2,245","87,602","1,686","88,004,750","1,345,451","65,409,108",Europe,11,593,1,68,1,"2,271"
5,Turkey,"5,313,098","+6,408","48,524",+96,"5,186,728","+6,895","77,846","1,009","62,368",570,"56,346,656","661,430","85,189,139",Asia,16,"1,756",2,75,1,914
6,Russia,"5,167,949","+11,699","125,278",+383,"4,771,995","+10,096","270,676","2,300","35,399",858,"141,500,000","969,223","145,993,234",Europe,28,"1,165",1,80,3,"1,854"
7,UK,"4,542,986","+7,393","127,867",+7,"4,283,263","+1,636","131,856",158,"66,593","1,874","192,177,143","2,816,998","68,220,540",Europe,15,534,0,108,0.1,"1,933"
8,Italy,"4,239,868","+2,079","126,855",+88,"3,943,704","+7,616","169,309",626,"70,222","2,101","68,057,064","1,127,178","60,378,288",Europe,14,476,1,34,1,"2,804"
9,Argentina,"4,066,156","+27,628","83,941",+669,"3,639,402","+30,507","342,813","7,817","89,201","1,841","14,963,643","328,262","45,584,417",South America,11,543,3,606,15,"7,520"
10,Spain,"3,729,458","+4,623","80,465",+133,"3,505,243","+4,160","143,750","1,005","79,737","1,720","51,240,666","1,095,546","46,771,787",Europe,13,581,1,99,3,"3,073"
11,Germany,"3,718,617","+2,747","90,283",+96,"3,563,800","+6,200","64,534","1,598","44,251","1,074","61,380,686","730,415","84,035,389",Europe,23,931,1,33,1,768
12,Colombia,"3,665,137","+29,302","94,046",+573,"3,409,076","+23,490","162,015","6,582","71,319","1,830","17,912,045","348,545","51,390,911",South America,14,546,3,570,11,"3,153"
13,Iran,"3,003,112","+12,398","81,672",+153,"2,612,091","+21,409","309,349","3,549","35,331",961,"21,194,370","249,347","84,999,363",Asia,28,"1,041",4,146,2,"3,639"
14,Poland,"2,876,667",+382,"74,447",+84,"2,647,095",+448,"155,125",364,"76,087","1,969","16,467,982","435,573","37,807,666",Europe,13,508,2,10,2,"4,103"
15,Mexico,"2,441,866","+3,855","229,353",+253,"1,946,477","+2,210","266,036","4,798","18,754","1,762","7,171,377","55,079","130,201,702",North America,53,568,18,30,2,"2,043"
16,Ukraine,"2,219,824","+1,785","51,507",+97,"2,115,197","+6,513","53,120",177,"51,046","1,184","10,405,577","239,282","43,486,631",Europe,20,844,4,41,2,"1,222"
17,Peru,"1,995,257","+4,054","187,847",+368,N/A,N/A,N/A,"2,594","59,735","5,624","13,325,242","398,939","33,401,681",South America,17,178,3,121,11,"2,597"
18,Indonesia,"1,885,942","+8,892","52,373",+211,"1,728,914","+5,661","104,655",,"6,827",190,"17,640,999","63,863","276,232,976",Asia,146,"5,274",16,32,0.8,379
19,South Africa,"1,722,086","+9,147","57,410",+100,"1,593,059","+3,558","71,617",546,"28,697",957,"12,044,072","200,705","60,008,742",Africa,35,"1,045",5,152,2,"1,193"
20,Netherlands,"1,669,121","+1,561","17,705",+5,"1,553,698","+5,513","97,718",305,"97,209","1,031","14,248,931","829,851","17,170,465",Europe,10,970,1,91,0.3,"5,691"
21,Czechia,"1,664,649",+248,"30,211",+1,"1,628,170",+19,"6,268",36,"155,174","2,816","26,335,670","2,454,937","10,727,634",Europe,6,355,0,23,0.09,584
22,Chile,"1,453,478","+7,708","30,339",+198,"1,376,335","+6,479","46,804","3,266","75,427","1,574","15,443,833","801,444","19,269,997",South America,13,635,1,400,10,"2,429"
23,Canada,"1,398,275","+1,477","25,873",+30,"1,353,147","+2,569","19,255",873,"36,746",680,"35,422,973","930,902","38,052,292",North America,27,"1,471",1,39,0.8,506
24,Philippines,"1,293,687","+7,485","22,312",+122,"1,214,454","+4,504","56,921","1,704","11,660",201,"13,931,997","125,574","110,946,228",Asia,86,"4,972",8,67,1,513
25,Iraq,"1,242,540","+4,684","16,648",+34,"1,159,973","+4,086","65,919",441,"30,258",405,"10,851,837","264,260","41,064,949",Asia,33,"2,467",4,114,0.8,"1,605"
26,Sweden,"1,082,729",,"14,528",,"1,013,284","+6,309","54,917",125,"106,585","1,430","10,239,089","1,007,951","10,158,325",Europe,9,699,1,,,"5,406"
27,Romania,"1,079,427",+133,"31,531",+24,"1,043,604",+122,"4,292",265,"56,464","1,649","9,318,083","487,425","19,116,967",Europe,18,606,2,7,1,225
28,Belgium,"1,073,358","+1,183","25,061",+10,"991,558","+2,248","56,739",319,"92,237","2,154","14,368,555","1,234,735","11,636,950",Europe,11,464,1,102,0.9,"4,876"
29,Pakistan,"937,434","+1,303","21,529",+76,"871,669","+1,978","44,236","2,967","4,168",96,"13,705,490","60,941","224,899,508",Asia,240,"10,446",16,6,0.3,197
30,Portugal,"855,432",+910,"17,043",+6,"814,023",+534,"24,366",72,"84,123","1,676","12,186,678","1,198,442","10,168,764",Europe,12,597,1,89,0.6,"2,396"
31,Israel,"839,630",+45,"6,428",+10,"832,997",+16,205,33,"90,031",689,"14,739,061","1,580,427","9,326,000",Asia,11,"1,451",1,5,1,22
32,Bangladesh,"820,395","+2,576","12,989",+40,"759,630","+2,061","47,776","1,246","4,935",78,"6,126,238","36,855","166,226,609",Asia,203,"12,797",27,15,0.2,287
33,Hungary,"806,591",+206,"29,896",+7,"722,296","+1,896","54,399",57,"83,695","3,102","5,948,874","617,276","9,637,297",Europe,12,322,2,21,0.7,"5,645"
34,Japan,"767,808","+2,242","13,841",+98,"717,882","+4,075","36,085","1,015","6,088",110,"15,171,267","120,299","126,112,525",Asia,164,"9,112",8,18,0.8,286
35,Jordan,"742,178",+479,"9,570",+9,"724,469",+832,"8,139",540,"72,070",929,"7,493,032","727,618","10,298,034",Asia,14,"1,076",1,47,0.9,790
36,Serbia,"714,462",+210,"6,945",+7,"702,339",,"5,178",20,"82,082",798,"4,249,908","488,255","8,704,283",Europe,12,"1,253",2,24,0.8,595
37,Switzerland,"699,697",+358,"10,852",+1,"664,845","+1,359","24,000",86,"80,296","1,245","7,919,475","908,826","8,713,963",Europe,12,803,1,41,0.1,"2,754"
38,Austria,"647,971",+283,"10,650",,"632,660",+472,"4,661",118,"71,563","1,176","46,942,669","5,184,401","9,054,599",Europe,14,850,0,31,,515
39,Malaysia,"639,562","+5,671","3,684",+73,"556,030","+7,325","79,848",911,"19,526",112,"13,020,243","397,514","32,754,200",Asia,51,"8,891",3,173,2,"2,438"
40,Nepal,"601,687","+2,874","8,238",+59,"515,591","+5,293","77,858",,"20,309",278,"3,189,104","107,643","29,626,628",Asia,49,"3,596",9,97,2,"2,628"
41,UAE,"591,613","+2,190","1,717",+7,"570,960","+2,132","18,936",,"59,148",172,"52,387,380","5,237,538","10,002,292",Asia,17,"5,825",0,219,0.7,"1,893"
42,Lebanon,"542,169",+229,"7,785",+5,"525,900",+835,"8,484",86,"79,769","1,145","4,543,738","668,521","6,796,706",Asia,13,873,1,34,0.7,"1,248"
43,Morocco,"522,765",+376,"9,192",+2,"510,299",+341,"3,274",108,"14,008",246,"6,602,685","176,920","37,320,228",Africa,71,"4,060",6,10,0.05,88
