#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"33,554,302","+57,959","759,441","+2,024","23,235,958","+64,336","9,558,903","21,584",,,,,,North America,,,
,Asia,"25,004,501","+68,489","398,320",+768,"23,515,548","+69,255","1,090,633","21,922",,,,,,Asia,,,
,South America,"17,984,871","+49,000","466,641","+1,048","16,252,004","+48,155","1,266,226","18,946",,,,,,South America,,,
,Europe,"34,147,013","+116,689","813,207","+1,754","23,698,731","+106,592","9,635,075","25,548",,,,,,Europe,,,
,Africa,"3,923,766","+8,565","103,857",+215,"3,483,208","+8,087","336,701","2,555",,,,,,Africa,,,
,Oceania,"51,161",+9,"1,088",,"34,279",+7,"15,794",6,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"114,666,335","+300,711","2,542,569","+5,809","90,220,434","+296,432","21,903,332","90,561","14,711",326.2,,,,All,,,
1,USA,"29,248,490","+45,657","525,808","+1,141","19,687,000","+54,468","9,035,682","15,049","88,023","1,582","358,847,213","1,079,944","332,283,263",North America,11,632,1
2,India,"11,112,056","+15,616","157,195",+108,"10,784,568","+11,293","170,293","8,944","8,000",113,"216,231,106","155,681","1,388,938,259",Asia,125,"8,836",6
3,Brazil,"10,551,259","+34,027","255,018",+755,"9,411,033","+24,593","885,208","8,318","49,408","1,194","28,600,000","133,923","213,555,702",South America,20,837,7
4,Russia,"4,246,079","+11,359","86,122",+379,"3,811,797","+12,391","348,160","2,300","29,088",590,"111,000,000","760,400","145,975,854",Europe,34,"1,695",1
5,UK,"4,176,554","+6,035","122,849",+144,"2,905,317","+59,109","1,148,388","1,971","61,310","1,803","89,162,545","1,308,878","68,121,360",Europe,16,555,1
6,France,"3,755,968","+19,952","86,454",+122,"254,868",,"3,414,646","3,430","57,458","1,323","51,853,607","793,245","65,368,972",Europe,17,756,1
7,Spain,"3,188,553",,"69,142",,"2,647,446",,"471,965","3,021","68,180","1,478","38,491,517","823,053","46,766,757",Europe,15,676,1
8,Italy,"2,925,265","+17,455","97,699",+192,"2,405,199","+6,847","422,367","2,231","48,429","1,617","40,132,887","664,419","60,402,967",Europe,21,618,2
9,Turkey,"2,701,588","+8,424","28,569",+66,"2,572,234","+6,511","100,785","1,191","31,807",336,"33,175,016","390,587","84,936,363",Asia,31,"2,973",3
10,Germany,"2,450,294","+6,117","70,687",+98,"2,248,400","+5,200","131,207","2,848","29,184",842,"43,950,029","523,458","83,960,923",Europe,34,"1,188",2
11,Colombia,"2,251,690","+3,555","59,766",+106,"2,148,249","+2,799","43,675","2,240","43,944","1,166","11,458,960","223,634","51,239,855",South America,23,857,4
12,Argentina,"2,107,365","+3,168","51,965",+19,"1,905,021","+5,934","150,379","3,505","46,347","1,143","7,436,806","163,558","45,468,950",South America,22,875,6
13,Mexico,"2,084,128","+7,246","185,257",+783,"1,630,002","+4,674","268,869","4,798","16,053","1,427","5,443,167","41,927","129,824,421",North America,62,701,24
14,Poland,"1,706,986","+10,099","43,769",+114,"1,422,829","+8,368","240,388","1,503","45,135","1,157","9,868,422","260,937","37,819,173",Europe,22,864,4
15,Iran,"1,631,169","+8,010","60,073",+93,"1,393,125","+6,591","177,971","3,732","19,258",709,"10,853,800","128,144","84,699,762",Asia,52,"1,410",8
16,South Africa,"1,513,393","+1,168","49,993",+52,"1,430,259","+1,212","33,141",546,"25,307",836,"9,077,479","151,796","59,800,365",Africa,40,"1,196",7
17,Ukraine,"1,347,849","+5,833","25,982",+89,"1,170,023","+1,702","151,844",177,"30,943",596,"6,845,974","157,164","43,559,469",Europe,32,"1,677",6
18,Indonesia,"1,334,634","+5,560","36,166",+185,"1,142,703","+6,649","155,765",,"4,846",131,"10,799,191","39,209","275,427,405",Asia,206,"7,616",26
19,Peru,"1,323,863",,"46,299",,"1,225,994",,"51,570","2,141","39,787","1,391","7,541,959","226,665","33,273,645",South America,25,719,4
20,Czechia,"1,235,480","+7,798","20,339",+84,"1,067,557",+399,"147,584","1,523","115,227","1,897","8,024,849","748,439","10,722,114",Europe,9,527,1
21,Netherlands,"1,088,690","+4,669","15,563",+20,N/A,N/A,N/A,518,"63,444",907,"6,970,400","406,202","17,159,930",Europe,16,"1,103",2
22,Canada,"866,503","+2,307","21,994",+34,"813,778","+2,406","30,731",567,"22,827",579,"24,328,440","640,894","37,960,170",North America,44,"1,726",2
23,Chile,"825,625","+4,207","20,572",+96,"780,530","+3,575","24,523","1,659","42,947","1,070","9,366,844","487,239","19,224,319",South America,23,934,2
24,Portugal,"804,562",+718,"16,317",+41,"718,977","+1,664","69,268",484,"79,057","1,603","8,220,231","807,725","10,177,013",Europe,13,624,1
25,Romania,"801,994","+2,830","20,350",+63,"740,352","+1,783","41,292","1,006","41,874","1,063","6,052,647","316,023","19,152,536",Europe,24,941,3
26,Israel,"775,807","+2,472","5,752",+20,"733,410","+5,608","36,645",754,"84,349",625,"11,959,120","1,300,245","9,197,590",Asia,12,"1,599",1
27,Belgium,"769,414","+2,760","22,052",+18,"52,359",+126,"695,003",393,"66,198","1,897","9,432,460","811,539","11,622,926",Europe,15,527,1
28,Iraq,"695,489","+3,248","13,406",+23,"635,931","+2,933","46,152",397,"17,041",328,"6,846,243","167,747","40,812,799",Asia,59,"3,044",6
29,Sweden,"657,309",,"12,826",,N/A,N/A,N/A,234,"64,818","1,265","6,139,911","605,466","10,140,806",Europe,15,791,2
30,Pakistan,"579,973","+1,176","12,860",+23,"545,277",+871,"21,836","1,562","2,593",57,"8,951,838","40,017","223,702,202",Asia,386,"17,395",25
31,Philippines,"576,352","+2,113","12,318",+29,"534,271","+9,418","29,763",785,"5,214",111,"8,785,105","79,475","110,539,720",Asia,192,"8,974",13
32,Switzerland,"554,932",,"9,966",,"507,856",,"37,110",180,"63,812","1,146","5,025,401","577,875","8,696,351",Europe,16,873,2
33,Bangladesh,"546,216",+385,"8,408",+8,"496,924",+817,"40,884",,"3,295",51,"4,044,027","24,395","165,769,700",Asia,303,"19,716",41
34,Morocco,"483,654",+244,"8,623",+8,"469,046",+239,"5,985",284,"13,002",232,"5,655,947","152,048","37,198,337",Africa,77,"4,314",7
35,Austria,"459,440","+2,123","8,561",+23,"430,415","+1,511","20,464",279,"50,821",947,"5,368,211","593,809","9,040,305",Europe,20,"1,056",2
36,Serbia,"459,259","+2,809","4,443",+14,"400,347",,"54,469",162,"52,703",510,"2,940,507","337,445","8,714,045",Europe,19,"1,961",3
37,Japan,"431,740","+1,201","7,860",+53,"409,319","+1,299","14,561",434,"3,421",62,"8,234,982","65,243","126,219,952",Asia,292,"16,059",15
