#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"107,926,381","+136,980","1,495,168",+301,"100,850,049","+115,235","5,581,164","9,559",,,,,,North America,,,,,,
,Asia,"163,986,478","+250,662","1,442,792",+244,"157,918,184","+122,833","4,625,502","11,069",,,,,,Asia,,,,,,
,South America,"61,034,478","+121,325","1,310,334",+336,"57,984,646","+84,119","1,739,498","10,449",,,,,,South America,,,,,,
,Europe,"210,278,443","+184,683","1,864,532",+472,"199,227,108","+326,739","9,186,803","6,724",,,,,,Europe,,,,,,
,Oceania,"10,515,671","+54,092","15,027",+82,"9,996,474","+9,786","504,170",176,,,,,,Australia/Oceania,,,,,,
,Africa,"12,439,223","+7,393","256,406",+27,"11,582,625","+3,968","600,192","1,003",,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"566,181,395","+755,135","6,384,274","+1,462","537,559,792","+662,680","22,237,329","38,980","72,636",819.0,,,,All,,,,,,
1,USA,"91,168,132","+92,502","1,048,685",+204,"86,462,926","+91,048","3,656,521","4,237",,,"1,060,068,660",,,North America,,,,,,
2,India,"43,725,900","+15,873","525,604",,"43,045,350",,"154,946",698,"31,065",373,"868,615,168","617,103","1,407,569,532",Asia,32,"2,678",2,11,,110
3,Brazil,"33,250,117","+107,959","675,145",+299,"31,513,330","+61,740","1,061,642","8,318","154,201","3,131","63,776,166","295,768","215,629,067",South America,6,319,3,501,1,"4,923"
4,France,"32,818,901","+23,027","150,576",+108,"30,444,171","+80,872","2,224,154",869,"500,541","2,297","271,490,188","4,140,659","65,566,899",Europe,2,435,0,351,2,"33,922"
5,Germany,"29,569,943",,"142,399",,"27,633,000","+84,100","1,794,544","1,238","350,653","1,689","122,332,384","1,450,671","84,328,144",Europe,3,592,1,,,"21,280"
6,UK,"23,075,360",,"181,580",,"22,325,335",,"568,445",146,"336,324","2,647","522,526,476","7,615,844","68,610,452",Europe,3,378,0,,,"8,285"
7,Italy,"19,985,479","+96,384","169,735",+134,"18,388,978","+94,461","1,426,766",388,"331,537","2,816","232,167,636","3,851,406","60,281,264",Europe,3,355,0,"1,599",2,"23,668"
8,S. Korea,"18,680,142","+38,864","24,712",+16,"18,304,752","+3,413","350,678",65,"363,718",481,"15,804,065","307,719","51,358,805",Asia,3,"2,078",3,757,0.3,"6,828"
9,Russia,"18,480,934","+4,457","381,794",+40,"17,903,447","+2,929","195,693","2,300","126,528","2,614","273,400,000","1,871,813","146,061,561",Europe,8,383,1,31,0.3,"1,340"
10,Turkey,"15,297,539",,"99,088",,"15,096,774",,"101,677",975,"177,501","1,150","162,743,369","1,888,349","86,182,899",Asia,6,870,1,,,"1,180"
11,Spain,"13,090,476","+19,211","109,348",+134,"12,396,745","+8,899","584,383",339,"279,761","2,337","471,036,328","10,066,694","46,791,561",Europe,4,428,0,411,3,"12,489"
12,Vietnam,"10,759,145",+956,"43,090",,"9,798,969","+5,169","917,086",37,"108,549",435,"85,826,548","865,903","99,117,931",Asia,9,"2,300",1,10,,"9,252"
13,Japan,"10,000,720","+97,339","31,528",+34,"9,422,903","+33,072","546,289",107,"79,566",251,"58,527,633","465,650","125,690,189",Asia,13,"3,987",2,774,0.3,"4,346"
14,Argentina,"9,426,171",,"129,145",,"9,223,351","+3,668","73,675",393,"204,746","2,805","35,716,069","775,789","46,038,360",South America,5,356,1,,,"1,600"
15,Australia,"8,696,291","+43,273","10,584",+66,"8,319,888",,"365,819",144,"333,178",406,"75,063,956","2,875,903","26,101,002",Australia/Oceania,3,"2,466",0,"1,658",3,"14,016"
16,Netherlands,"8,274,234","+6,527","22,422",+5,"8,091,817","+3,415","159,995",55,"480,728","1,303","21,107,399","1,226,327","17,211,884",Europe,2,768,1,379,0.3,"9,296"
17,Iran,"7,270,023","+4,772","141,477",+13,"7,067,168",+693,"61,378",432,"84,361","1,642","52,690,831","611,424","86,177,205",Asia,12,609,2,55,0.2,712
18,Mexico,"6,373,876","+34,885","326,335",+74,"5,435,342","+19,748","612,199","4,798","48,402","2,478","17,084,916","129,741","131,684,935",North America,21,404,8,265,0.6,"4,649"
19,Colombia,"6,223,497",,"140,365",,"6,031,815",,"51,317",342,"119,718","2,700","35,781,769","688,313","51,984,768",South America,8,370,1,,,987
20,Indonesia,"6,127,084","+3,331","156,833",+6,"5,945,278","+2,842","24,973","2,771","21,929",561,"101,907,052","364,735","279,399,978",Asia,46,"1,782",3,12,0.02,89
21,Poland,"6,029,947","+1,974","116,470",+2,"5,335,761",+20,"577,716",408,"159,681","3,084","36,544,987","967,761","37,762,425",Europe,6,324,1,52,0.05,"15,299"
22,Portugal,"5,273,845",,"24,369",,"4,997,384","+17,840","252,092",61,"520,291","2,404","43,527,258","4,294,182","10,136,332",Europe,2,416,0,,,"24,870"
23,Ukraine,"5,020,181",,"108,690",,"4,907,919",+298,"3,572",177,"116,207","2,516","19,521,252","451,878","43,200,279",Europe,9,397,2,,,83
24,DPRK,"4,770,400",+500,74,,"4,769,210",+700,"1,116",,"183,418",3,,,"26,008,316",Asia,5,"351,464",,19,,43
25,Malaysia,"4,613,998","+5,230","35,844",+8,"4,536,946","+2,927","41,208",64,"138,940","1,079","61,664,545","1,856,889","33,208,529",Asia,7,926,1,157,0.2,"1,241"
26,Austria,"4,587,307","+12,585","18,925",+9,"4,446,382","+9,794","122,000",78,"503,502","2,077","192,060,116","21,080,503","9,110,794",Europe,2,481,0,"1,381",1.0,"13,391"
27,Thailand,"4,554,976","+1,795","30,961",+23,"4,499,975","+1,920","24,040","1,496","64,927",441,"17,270,775","246,178","70,155,753",Asia,15,"2,266",4,26,0.3,343
28,Israel,"4,498,036","+8,640","11,101",,"4,415,338","+15,449","71,597",310,"482,311","1,190","41,373,364","4,436,346","9,326,000",Asia,2,840,0,926,,"7,677"
29,Belgium,"4,349,050",,"32,051",,"4,152,425","+7,000","164,574",74,"371,965","2,741","34,784,155","2,975,017","11,692,086",Europe,3,365,0,,,"14,076"
30,Taiwan,"4,215,200","+25,310","8,031",+114,"3,565,782","+40,305","641,387",,"176,336",336,"21,914,861","916,773","23,904,336",Asia,6,"2,977",1,"1,059",5,"26,831"
31,Chile,"4,122,401","+9,113","58,990",+35,"3,785,713","+10,577","277,698",185,"211,953","3,033","41,282,462","2,122,538","19,449,577",South America,5,330,0,469,2,"14,278"
32,Canada,"4,007,463","+1,881","42,278",,"3,576,675",,"388,510",195,"104,322","1,101","62,586,673","1,629,248","38,414,461",North America,10,909,1,49,,"10,114"
33,South Africa,"3,999,751",+406,"101,918",+3,"3,890,509",+511,"7,324",192,"65,755","1,676","25,867,414","425,255","60,827,953",Africa,15,597,2,7,0.05,120
34,Czechia,"3,949,492","+1,711","40,346",+2,"3,898,166","+1,536","10,980",12,"367,417","3,753","55,616,177","5,173,917","10,749,336",Europe,3,266,0,159,0.2,"1,021"
35,Switzerland,"3,843,522",,"14,008",,"3,671,804","+4,101","157,710",60,"437,599","1,595","21,598,881","2,459,112","8,783,205",Europe,2,627,0,,,"17,956"
36,Greece,"3,843,142",,"30,476",,"3,614,441",,"198,225",103,"372,409","2,953","86,634,526","8,395,084","10,319,673",Europe,3,339,0,,,"19,208"
37,Philippines,"3,727,970","+2,588","60,641",,"3,649,239",+742,"18,090",534,"33,124",539,"31,104,567","276,376","112,544,362",Asia,30,"1,856",4,23,,161
38,Peru,"3,714,361",,"213,746",,"3,416,065","+4,688","84,550",171,"109,552","6,304","32,131,466","947,690","33,905,036",South America,9,159,1,,,"2,494"
39,Denmark,"3,039,859","+1,567","6,551",+8,"3,009,506","+1,442","23,802",14,"521,092","1,123","127,826,356","21,911,949","5,833,637",Europe,2,890,0,269,1,"4,080"
40,Romania,"2,958,051","+4,107","65,805",+3,"2,853,659",,"38,587",101,"155,875","3,468","23,713,073","1,249,560","18,977,131",Europe,6,288,1,216,0.2,"2,033"
41,Sweden,"2,528,166",,"19,170",,"2,492,906",,"16,090",16,"247,200","1,874","18,709,369","1,829,374","10,227,198",Europe,4,534,1,,,"1,573"
42,Iraq,"2,399,795","+3,088","25,263",+2,"2,338,538","+3,090","35,994",30,"57,062",601,"18,920,916","449,895","42,056,247",Asia,18,"1,665",2,73,0.05,856
43,Serbia,"2,052,116","+2,728","16,166",+4,"2,009,887",,"26,063",8,"236,803","1,865","10,026,607","1,157,018","8,665,904",Europe,4,536,1,315,0.5,"3,008"
44,Bangladesh,"1,994,433","+1,051","29,225",+2,"1,921,123","+1,957","44,085","1,228","11,870",174,"14,484,461","86,205","168,022,891",Asia,84,"5,749",12,6,0.01,262
