#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"40,933,566","+47,545","923,729",+752,"34,412,554","+31,551","5,597,283","10,805",,,,,,North America,,,,,,
,Asia,"57,279,865","+179,308","815,280","+3,131","54,401,185","+140,213","2,063,400","27,739",,,,,,Asia,,,,,,
,South America,"33,858,703","+99,985","1,032,108","+2,488","31,043,229","+108,641","1,783,366","28,560",,,,,,South America,,,,,,
,Europe,"48,737,088","+109,183","1,111,360",+919,"45,800,514","+42,233","1,825,214","6,156",,,,,,Europe,,,,,,
,Africa,"5,916,479","+42,598","150,830",+809,"5,140,669","+32,496","624,980","4,452",,,,,,Africa,,,,,,
,Oceania,"80,161",+907,"1,316",+3,"69,603",+72,"9,242",47,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"186,806,583","+479,526","4,034,638","+8,102","170,868,460","+355,206","11,903,485","77,759","23,966",517.6,,,,All,,,,,,
1,USA,"34,708,382","+24,614","622,690",+361,"29,222,113","+18,805","4,863,579","3,907","104,235","1,870","511,261,114","1,535,402","332,981,983",North America,10,535,1,74,1,"14,606"
2,India,"30,794,756","+42,648","407,173","+1,206","29,925,883","+45,159","461,700","8,944","22,094",292,"427,016,605","306,363","1,393,827,579",Asia,45,"3,423",3,31,0.9,331
3,Brazil,"19,020,499","+57,713","531,777","+1,433","17,479,277","+56,423","1,009,445","8,318","88,839","2,484","54,204,686","253,175","214,099,806",South America,11,403,4,270,7,"4,715"
4,France,"5,803,687","+4,580","111,302",+18,"5,644,212","+2,599","48,173",953,"88,713","1,701","95,721,796","1,463,168","65,420,913",Europe,11,588,1,70,0.3,736
5,Russia,"5,733,218","+25,766","141,501",+726,"5,165,087","+21,832","426,630","2,300","39,269",969,"154,100,000","1,055,491","145,998,345",Europe,25,"1,032",1,176,5,"2,922"
6,Turkey,"5,470,764","+5,670","50,155",+59,"5,338,885","+5,126","81,724",684,"64,163",588,"62,798,364","736,521","85,263,486",Asia,16,"1,700",1,66,0.7,958
7,UK,"5,058,093","+35,707","128,365",+29,"4,352,069","+3,205","577,659",417,"74,112","1,881","222,632,706","3,262,032","68,249,710",Europe,13,532,0,523,0.4,"8,464"
8,Argentina,"4,627,537","+14,518","98,148",+244,"4,246,200","+19,506","283,189","5,405","101,440","2,152","17,503,256","383,689","45,618,378",South America,10,465,3,318,5,"6,208"
9,Colombia,"4,471,622","+21,536","111,731",+576,"4,199,227","+27,209","160,664","8,155","86,937","2,172","20,828,287","404,941","51,435,339",South America,12,460,2,419,11,"3,124"
10,Italy,"4,268,491","+1,390","127,756",+25,"4,099,339","+1,434","41,396",169,"70,704","2,116","73,157,509","1,211,798","60,371,029",Europe,14,473,1,23,0.4,686
11,Spain,"3,937,192","+21,879","81,003",+6,"3,635,907","+3,094","220,282",627,"84,176","1,732","53,392,296","1,141,513","46,773,266",Europe,12,577,1,468,0.1,"4,710"
12,Germany,"3,742,335",+884,"91,740",+39,"3,633,300",+800,"17,295",453,"44,521","1,091","65,247,345","776,225","84,057,291",Europe,22,916,1,11,0.5,206
13,Iran,"3,344,122","+16,596","85,543",+146,"2,995,195","+14,176","263,384","3,506","39,302","1,005","23,967,488","281,681","85,087,481",Asia,25,995,4,195,2,"3,095"
14,Poland,"2,880,670",+76,"75,152",+17,"2,652,409",+37,"153,109",71,"76,200","1,988","17,723,903","468,833","37,804,281",Europe,13,503,2,2,0.4,"4,050"
15,Mexico,"2,567,821","+9,452","234,458",+266,"2,031,875","+4,334","301,488","4,798","19,705","1,799","7,671,778","58,872","130,312,667",North America,51,556,17,73,2,"2,314"
16,Indonesia,"2,455,912","+38,124","64,631",+871,"2,023,548","+28,975","367,733",,"8,883",234,"21,423,547","77,490","276,469,909",Asia,113,"4,278",13,138,3,"1,330"
17,Ukraine,"2,240,246",+655,"52,572",+12,"2,176,110",+885,"11,564",177,"51,541","1,210","11,001,742","253,116","43,465,208",Europe,19,827,4,15,0.3,266
18,South Africa,"2,157,687","+22,441","63,873",+374,"1,884,170","+21,270","209,644",546,"35,920","1,063","13,771,077","229,250","60,070,030",Africa,28,940,4,374,6,"3,490"
19,Peru,"2,074,186",,"193,909",,N/A,N/A,N/A,"2,259","62,028","5,799","14,540,713","434,839","33,439,338",South America,16,172,2,,,"4,773"
20,Netherlands,"1,708,837","+6,926","17,764",+2,"1,649,798","+1,712","41,275",89,"99,504","1,034","14,730,069","857,718","17,173,564",Europe,10,967,1,403,0.1,"2,403"
21,Czechia,"1,668,891",+254,"30,331",,"1,636,772",+10,"1,788",3,"155,546","2,827","30,584,299","2,850,551","10,729,258",Europe,6,354,0,24,,167
22,Chile,"1,582,391","+2,800","33,636",+122,"1,529,269","+2,219","19,486","2,525","82,060","1,744","17,501,660","907,601","19,283,432",South America,12,573,1,145,6,"1,011"
23,Philippines,"1,461,455","+5,881","25,720",+70,"1,383,833","+3,003","51,902","2,031","13,158",232,"15,426,170","138,892","111,065,789",Asia,76,"4,318",7,53,0.6,467
24,Canada,"1,419,964",+768,"26,419",+14,"1,388,108",+843,"5,437",345,"37,290",694,"37,279,413","978,992","38,079,387",North America,27,"1,441",1,20,0.4,143
25,Iraq,"1,414,925","+8,636","17,476",+32,"1,294,411","+6,508","103,038",644,"34,394",425,"12,133,671","294,942","41,139,111",Asia,29,"2,354",3,210,0.8,"2,505"
26,Sweden,"1,092,540",,"14,604",,"1,068,085",+825,"9,851",27,"107,497","1,437","11,051,292","1,087,353","10,163,477",Europe,9,696,1,,,969
27,Belgium,"1,092,477","+1,382","25,196",,"1,046,075",+467,"21,206",99,"93,847","2,164","15,784,103","1,355,897","11,641,075",Europe,11,462,1,119,,"1,822"
28,Romania,"1,081,174",+54,"34,197",+1,"1,045,351",,"1,626",58,"56,587","1,790","10,014,512","524,141","19,106,505",Europe,18,559,2,3,0.05,85
29,Bangladesh,"1,000,543","+11,324","16,004",+212,"862,384","+6,038","122,155","1,182","6,014",96,"6,903,268","41,496","166,360,995",Asia,166,"10,395",24,68,1,734
30,Pakistan,"969,476","+1,843","22,520",+27,"911,383",+774,"35,573","1,971","4,304",100,"14,960,221","66,416","225,251,657",Asia,232,"10,002",15,8,0.1,158
31,Portugal,"902,489","+3,194","17,142",+7,"842,024","+1,727","43,323",141,"88,772","1,686","13,854,788","1,362,810","10,166,337",Europe,11,593,1,314,0.7,"4,261"
32,Israel,"845,379",+390,"6,434",+2,"834,998",+311,"3,947",40,"90,648",690,"15,418,324","1,653,262","9,326,000",Asia,11,"1,449",1,42,0.2,423
33,Malaysia,"817,838","+9,180","5,980",+77,"731,193","+5,713","80,665",959,"24,943",182,"15,228,292","464,444","32,788,190",Asia,40,"5,483",2,280,2,"2,460"
34,Japan,"813,976","+2,264","14,917",+20,"781,613","+1,602","17,446",441,"6,456",118,"16,909,861","134,119","126,080,928",Asia,155,"8,452",7,18,0.2,138
35,Hungary,"808,437",+44,"30,004",,"741,083",+293,"37,350",13,"83,904","3,114","6,192,388","642,678","9,635,295",Europe,12,321,2,5,,"3,876"
36,Jordan,"755,948",+468,"9,818",+6,"739,228",+355,"6,902",487,"73,348",953,"8,049,586","781,033","10,306,330",Asia,14,"1,050",1,45,0.6,670
37,Serbia,"717,403",+110,"7,067",+3,"708,689",+146,"1,647",8,"82,447",812,"4,485,151","515,451","8,701,411",Europe,12,"1,231",2,13,0.3,189
38,Switzerland,"704,943",+323,"10,898",,"688,448",+537,"5,597",27,"80,850","1,250","8,540,340","979,493","8,719,144",Europe,12,800,1,37,,642
39,Nepal,"652,859","+1,479","9,340",+20,"616,929","+1,316","26,590",,"22,004",315,"3,403,410","114,710","29,669,639",Asia,45,"3,177",9,50,0.7,896
40,Austria,"651,291",+163,"10,722",+1,"638,719",+101,"1,850",43,"71,896","1,184","58,318,037","6,437,720","9,058,803",Europe,14,845,0,18,0.1,204
41,UAE,"647,182","+1,529","1,853",+4,"625,332","+1,506","19,997",,"64,640",185,"60,215,918","6,014,324","10,012,084",Asia,15,"5,403",0,153,0.4,"1,997"
42,Lebanon,"547,170",+404,"7,871",+2,"534,069",+137,"5,230",54,"80,535","1,158","4,731,376","696,383","6,794,212",Asia,12,863,1,59,0.3,770
43,Morocco,"539,839","+1,250","9,351",+5,"523,128",+751,"7,360",160,"14,451",250,"7,000,181","187,391","37,356,078",Africa,69,"3,995",5,33,0.1,197
44,Saudi Arabia,"498,906","+1,133","7,947",+14,"479,709","+1,582","11,250","1,378","14,107",225,"22,805,670","644,857","35,365,473",Asia,71,"4,450",2,32,0.4,318
45,Tunisia,"481,735","+8,506","16,050",+189,"378,917","+3,161","86,768",526,"40,331","1,344","1,895,679","158,706","11,944,596",Africa,25,744,6,712,16,"7,264"
46,Ecuador,"467,073","+1,195","21,803",+35,"431,404",,"13,866",427,"26,071","1,217","1,579,458","88,161","17,915,647",South America,38,822,11,67,2,774
47,Bolivia,"451,224","+1,537","17,126",+59,"375,676","+2,052","58,422",200,"38,126","1,447","1,902,313","160,735","11,835,098",South America,26,691,6,130,5,"4,936"
48,Kazakhstan,"448,000","+2,909","4,544",,"408,063","+1,781","35,393",221,"23,572",239,"11,575,012","609,038","19,005,416",Asia,42,"4,183",2,153,,"1,862"
49,Greece,"435,018","+1,997","12,761",+12,"408,156",+225,"14,101",141,"41,946","1,230","11,074,061","1,067,788","10,371,026",Europe,24,813,1,193,1,"1,360"
50,Paraguay,"434,264",,"13,729",,"388,138",,"32,397",618,"60,133","1,901","1,573,555","217,891","7,221,749",South America,17,526,5,,,"4,486"
51,Belarus,"425,804","+1,250","3,236",+11,"418,920","+1,335","3,648",,"45,077",343,"6,941,505","734,850","9,446,149",Europe,22,"2,919",1,132,1,386
52,Bulgaria,"422,414",+61,"18,138",+4,"396,309",+90,"7,967",105,"61,264","2,631","3,310,607","480,148","6,894,968",Europe,16,380,2,9,0.6,"1,155"
53,Panama,"412,466",,"6,604",,"392,262",,"13,600",84,"94,087","1,506","3,098,829","706,871","4,383,867",North America,11,664,1,,,"3,102"
54,Slovakia,"391,852",+39,"12,517",+1,"378,974",+34,361,17,"71,737","2,292","3,003,874","549,924","5,462,342",Europe,14,436,2,7,0.2,66
55,Costa Rica,"380,482","+1,544","4,773",+13,"305,426","+1,031","70,283",386,"74,002",928,"1,561,442","303,693","5,141,519",North America,14,"1,077",3,300,3,"13,670"
56,Uruguay,"375,902",+604,"5,790",+18,"361,670","+1,232","8,442",174,"107,831","1,661","2,890,817","829,262","3,486,013",South America,9,602,1,173,5,"2,422"
57,Georgia,"374,836","+1,108","5,421",+7,"357,804",+714,"11,611",,"94,148","1,362","6,050,255","1,519,651","3,981,346",Asia,11,734,1,278,2,"2,916"
58,Kuwait,"372,549","+1,617","2,089",+18,"352,208","+1,737","18,252",321,"85,943",482,"3,109,840","717,406","4,334,839",Asia,12,"2,075",1,373,4,"4,211"
59,Croatia,"360,680",+87,"8,226",,"351,842",+99,612,4,"88,415","2,016","2,184,648","535,533","4,079,390",Europe,11,496,2,21,,150
60,Azerbaijan,"336,962",+174,"4,982",+2,"330,668",+62,"1,312",,"32,931",487,"3,831,673","374,468","10,232,305",Asia,30,"2,054",3,17,0.2,128
61,Dominican Republic,"332,384",+558,"3,879",+9,"272,778",+386,"55,727",325,"30,331",354,"1,756,364","160,271","10,958,737",North America,33,"2,825",6,51,0.8,"5,085"
62,Thailand,"317,506","+9,276","2,534",+72,"240,077","+3,928","74,895","2,685","4,537",36,"8,129,670","116,173","69,978,711",Asia,220,"27,616",9,133,1,"1,070"
63,Palestine,"315,047",+81,"3,579",,"309,543",+152,"1,925",6,"60,333",685,"1,917,168","367,146","5,221,820",Asia,17,"1,459",3,16,,369
64,Guatemala,"314,302","+2,960","9,643",+34,"276,272","+1,575","28,387",5,"17,220",528,"1,653,068","90,567","18,252,479",North America,58,"1,893",11,162,2,"1,555"
65,Denmark,"298,094",+551,"2,538",,"290,033",+222,"5,523",8,"51,280",437,"71,287,411","12,263,418","5,813,013",Europe,20,"2,290",0,95,,950
66,Egypt,"282,864",+127,"16,368",+17,"217,324",+342,"49,172",90,"2,712",157,"2,869,589","27,514","104,296,397",Africa,369,"6,372",36,1,0.2,471
67,Venezuela,"281,907",,"3,253",,"263,830",,"14,824",404,"9,943",115,"3,359,014","118,469","28,353,636",South America,101,"8,716",8,,,523
68,Oman,"281,688",,"3,371",,"250,564",,"27,753",494,"53,774",644,"1,550,000","295,891","5,238,412",Asia,19,"1,554",3,,,"5,298"
69,Lithuania,"279,087",+63,"4,396",,"268,068",,"6,623",39,"104,004","1,638","3,830,561","1,427,496","2,683,413",Europe,10,610,1,23,,"2,468"
70,Ethiopia,"276,871",+72,"4,342",+1,"261,933",+116,"10,596",126,"2,349",37,"2,910,584","24,697","117,853,679",Africa,426,"27,143",40,0.6,0.01,90
71,Ireland,"276,735",+631,"5,006",,"260,350",+259,"11,379",14,"55,414","1,002","4,729,538","947,051","4,993,964",Europe,18,998,1,126,,"2,279"
72,Honduras,"271,619",+930,"7,192",+17,"93,877",+34,"170,550",622,"26,987",715,"816,881","81,162","10,064,862",North America,37,"1,399",12,92,2,"16,945"
73,Sri Lanka,"271,483","+1,537","3,434",+43,"241,035","+1,451","27,014",,"12,624",160,"4,056,906","188,651","21,504,839",Asia,79,"6,262",5,71,2,"1,256"
74,Bahrain,"267,038",+119,"1,374",+3,"264,340",+215,"1,324",49,"151,602",780,"5,148,255","2,922,755","1,761,439",Asia,7,"1,282",0,68,2,752
75,Slovenia,"257,703",+82,"4,423",,"252,792",+48,488,10,"123,942","2,127","1,360,779","654,463","2,079,230",Europe,8,470,2,39,,235
76,Moldova,"257,343",+71,"6,207",+2,"250,307",+87,829,67,"63,946","1,542","1,304,081","324,045","4,024,387",Europe,16,648,3,18,0.5,206
77,Armenia,"226,135",+148,"4,540",+4,"217,490",+109,"4,105",,"76,168","1,529","1,224,512","412,447","2,968,896",Asia,13,654,2,50,1,"1,383"
78,Cuba,"224,818","+6,422","1,451",+20,"198,981","+3,163","24,386",162,"19,861",128,"5,452,664","481,703","11,319,557",North America,50,"7,801",2,567,2,"2,154"
79,Qatar,"223,175",+144,598,,"221,027",+123,"1,550",38,"79,484",213,"2,213,065","788,183","2,807,805",Asia,13,"4,695",1,51,,552
80,Bosnia and Herzegovina,"205,047",,"9,667",,"183,663",,"11,717",,"62,899","2,965","1,033,373","316,989","3,259,960",Europe,16,337,3,,,"3,594"
81,Libya,"201,236","+1,710","3,232",+5,"180,484",+280,"17,520",,"28,887",464,"1,153,445","165,573","6,966,401",Africa,35,"2,155",6,245,0.7,"2,515"
82,Kenya,"187,977",+452,"3,718",+2,"177,783","+1,327","6,476",113,"3,419",68,"2,006,662","36,502","54,974,268",Africa,292,"14,786",27,8,0.04,118
83,Myanmar,"184,375","+4,320","3,685",+64,"143,460","+1,151","37,230",,"3,366",67,"2,841,569","51,871","54,781,691",Asia,297,"14,866",19,79,1,680
84,Zambia,"172,405","+1,949","2,736",+64,"154,776","+2,673","14,893","1,132","9,119",145,"1,947,927","103,032","18,906,025",Africa,110,"6,910",10,103,3,788
85,Nigeria,"168,256",,"2,122",,"164,415",,"1,719",11,796,10,"2,331,734","11,034","211,324,886",Africa,"1,256","99,588",91,,,8
86,S. Korea,"165,344","+1,316","2,036",+2,"152,498",+575,"10,810",148,"3,222",40,"10,844,217","211,330","51,314,226",Asia,310,"25,203",5,26,0.04,211
87,North Macedonia,"155,770",+10,"5,487",+1,"150,123",+5,160,25,"74,771","2,634","903,125","433,510","2,083,287",Europe,13,380,2,5,0.5,77
88,Algeria,"144,483",+831,"3,811",+13,"100,383",+452,"40,289",44,"3,235",85,"230,861","5,170","44,656,126",Africa,309,"11,718",193,19,0.3,902
89,Latvia,"137,831",+34,"2,536",+1,"134,610",+30,685,16,"73,909","1,360","2,972,542","1,593,972","1,864,865",Europe,14,735,1,18,0.5,367
90,Kyrgyzstan,"137,058","+1,319","2,083",+10,"116,358",+845,"18,617",102,"20,661",314,"1,372,432","206,889","6,633,679",Asia,48,"3,185",5,199,2,"2,806"
91,Mongolia,"134,270","+2,308",660,+5,"96,513","+2,673","37,097",126,"40,297",198,"3,343,725","1,003,521","3,331,993",Asia,25,"5,048",1,693,2,"11,134"
92,Norway,"132,885",+89,796,,"88,952",,"43,137",6,"24,318",146,"6,166,657","1,128,505","5,464,450",Europe,41,"6,865",1,16,,"7,894"
93,Afghanistan,"132,777","+1,191","5,638",+77,"79,446",+925,"47,693","1,124","3,335",142,"650,555","16,338","39,818,658",Asia,300,"7,063",61,30,2,"1,198"
94,Albania,"132,580",+15,"2,456",,"130,043",+6,81,3,"46,121",854,"829,405","288,530","2,874,588",Europe,22,"1,170",3,5,,28
95,Estonia,"131,396",+39,"1,270",,"127,799",+59,"2,327",5,"98,984",957,"1,550,386","1,167,947","1,327,446",Europe,10,"1,045",1,29,,"1,753"
96,Uzbekistan,"115,011",+482,764,+4,"110,377",+336,"3,870",23,"3,386",22,"1,377,915","40,571","33,962,833",Asia,295,"44,454",25,14,0.1,114
97,Namibia,"102,373","+1,372","1,883",+71,"76,102",+252,"24,388",105,"39,562",728,"559,837","216,346","2,587,690",Africa,25,"1,374",5,530,27,"9,425"
98,Montenegro,"100,430",+16,"1,620",+1,"98,491",+15,319,6,"159,883","2,579","463,156","737,337","628,147",Europe,6,388,1,25,2,508
99,Finland,"97,651",+302,976,,"46,000",,"50,675",8,"17,596",176,"5,561,011","1,002,073","5,549,505",Europe,57,"5,686",1,54,,"9,131"
100,Ghana,"96,971",,797,,"94,281",,"1,893",11,"3,056",25,"1,313,962","41,408","31,731,911",Africa,327,"39,814",24,,,60
101,Mozambique,"86,249","+1,327",947,+8,"72,894",+445,"12,408",32,"2,683",29,"630,924","19,628","32,143,369",Africa,373,"33,942",51,41,0.2,386
102,Uganda,"86,140",+559,"2,062",+29,"59,495",+809,"24,583",996,"1,825",44,"1,379,070","29,215","47,204,360",Africa,548,"22,893",34,12,0.6,521
103,Cyprus,"82,463",+882,380,,"73,140",+76,"8,943",30,"67,797",312,"8,259,617","6,790,667","1,216,319",Asia,15,"3,201",0,725,,"7,353"
104,El Salvador,"80,932",,"2,433",+5,"73,961",,"4,538",67,"12,414",373,"1,086,688","166,681","6,519,585",North America,81,"2,680",6,,0.8,696
105,Cameroon,"80,858",,"1,324",,"78,224",,"1,310",152,"2,971",49,"1,751,774","64,364","27,216,474",Africa,337,"20,556",16,,,48
106,Botswana,"75,388",,"1,202",,"69,914",,"4,272",1,"31,413",501,"1,351,857","563,303","2,399,876",Africa,32,"1,997",2,,,"1,780"
107,Maldives,"74,848",,213,,"71,758",,"2,877",21,"136,032",387,"1,051,986","1,911,920","550,225",Asia,7,"2,583",1,,,"5,229"
108,Luxembourg,"71,879",,819,,"69,834",,"1,226",1,"112,957","1,287","3,129,111","4,917,380","636,337",Europe,9,777,0,,,"1,927"
109,Singapore,"62,678",+10,36,,"62,374",+11,268,2,"10,628",6,"14,116,339","2,393,719","5,897,241",Asia,94,"163,812",0,2,,45
110,Zimbabwe,"62,383",,"2,029",,"42,855",,"17,499",10,"4,136",135,"736,623","48,838","15,083,106",Africa,242,"7,434",20,,,"1,160"
111,Cambodia,"59,045",+988,855,+30,"50,917",+897,"7,273",,"3,483",50,"1,558,086","91,898","16,954,474",Asia,287,"19,830",11,58,2,429
112,Jamaica,"50,568",+71,"1,111",+3,"36,882","+1,105","12,575",14,"17,001",374,"454,266","152,728","2,974,351",North America,59,"2,677",7,24,1,"4,228"
113,Ivory Coast,"48,776",+37,318,+1,"48,085",+39,373,,"1,804",12,"730,536","27,016","27,041,210",Africa,554,"85,035",37,1,0.04,14
114,Rwanda,"45,950",,521,,"30,191",,"15,238",71,"3,461",39,"1,700,200","128,046","13,278,070",Africa,289,"25,486",8,,,"1,148"
115,Senegal,"45,266",+476,"1,187",+3,"42,090",+94,"1,989",19,"2,633",69,"582,887","33,905","17,191,549",Africa,380,"14,483",29,28,0.2,116
116,DRC,"43,694",+361,979,+6,"28,601",+31,"14,114",,473,11,"224,052","2,427","92,320,582",Africa,"2,113","94,301",412,4,0.06,153
117,Madagascar,"42,392",+16,928,+1,"40,798",+18,666,46,"1,492",33,"217,306","7,648","28,413,319",Africa,670,"30,618",131,0.6,0.04,23
118,Angola,"39,791",+198,928,+3,"34,169",+69,"4,694",12,"1,174",27,"669,500","19,748","33,902,079",Africa,852,"36,532",51,6,0.09,138
119,Malawi,"38,434",+451,"1,234",+7,"33,772",+91,"3,428",109,"1,958",63,"281,445","14,336","19,631,496",Africa,511,"15,909",70,23,0.4,175
120,Sudan,"36,805",,"2,760",,"30,647",,"3,398",,820,61,"234,414","5,222","44,888,723",Africa,"1,220","16,264",191,,,76
121,Trinidad and Tobago,"34,402",+161,930,+7,"27,255",+242,"6,217",22,"24,501",662,"240,499","171,282","1,404,112",North America,41,"1,510",6,115,5,"4,428"
122,Cabo Verde,"32,883",,289,,"32,008",,586,23,"58,496",514,"180,688","321,430","562,138",Africa,17,"1,945",3,,,"1,042"
123,Réunion,"31,845",,244,,"29,597",,"2,004",32,"35,312",271,"103,924","115,237","901,826",Africa,28,"3,696",9,,,"2,222"
124,Australia,"30,951",+46,910,,"29,466",,575,13,"1,200",35,"21,701,227","841,094","25,801,195",Australia/Oceania,834,"28,353",1,2,,22
125,Malta,"30,851",+96,420,,"30,179",+3,252,,"69,682",949,"1,009,413","2,279,907","442,743",Europe,14,"1,054",0,217,,569
126,French Guiana,"28,281",+82,157,+1,"9,995",,"18,129",26,"92,260",512,"298,165","972,688","306,537",South America,11,"1,952",1,268,3,"59,141"
127,Vietnam,"26,010","+1,625",110,+5,"8,984",+34,"16,916",,265,1,"8,434,266","85,861","98,231,063",Asia,"3,777","893,010",12,17,0.05,172
128,Syria,"25,766",+13,"1,896",+1,"21,876",+4,"1,994",,"1,437",106,"103,566","5,775","17,932,180",Asia,696,"9,458",173,0.7,0.06,111
129,Gabon,"25,133",,161,,"24,854",,118,9,"11,028",71,"907,995","398,409","2,279,052",Africa,91,"14,156",3,,,52
130,Guinea,"24,020",+21,175,+1,"23,328",+31,517,24,"1,780",13,"474,476","35,162","13,494,093",Africa,562,"77,109",28,2,0.07,38
131,Suriname,"22,997",,563,,"19,020",,"3,414",36,"38,847",951,"82,964","140,145","591,988",South America,26,"1,051",7,,,"5,767"
132,Mauritania,"21,405",+102,490,,"20,113",+34,802,16,"4,484",103,"320,509","67,141","4,773,645",Africa,223,"9,742",15,21,,168
133,Guyana,"20,757",,486,,"18,795",,"1,476",13,"26,261",615,"197,502","249,869","790,423",South America,38,"1,626",4,,,"1,867"
134,Eswatini,"19,779",+117,686,+1,"18,424",+44,669,10,"16,871",585,"229,285","195,569","1,172,401",Africa,59,"1,709",5,100,0.9,571
135,Mayotte,"19,425",,174,,"2,964",,"16,287",,"69,500",623,"176,919","632,991","279,497",Africa,14,"1,606",2,,,"58,273"
136,Haiti,"19,220",,471,,"12,961",,"5,788",,"1,665",41,"93,027","8,058","11,544,068",North America,601,"24,510",124,,,501
137,French Polynesia,"19,026",,144,,"18,867",,15,,"67,333",510,"26,355","93,271","282,564",Australia/Oceania,15,"1,962",11,,,53
138,Papua New Guinea,"17,292",,177,,"16,518",,597,7,"1,896",19,"134,869","14,789","9,119,300",Australia/Oceania,527,"51,521",68,,,65
139,Guadeloupe,"17,218",,233,,"2,250",,"14,735",23,"43,024",582,"232,770","581,643","400,194",North America,23,"1,718",2,,,"36,820"
140,Seychelles,"16,679",,74,,"15,541",,"1,064",,"168,529",748,"21,504","217,282","98,968",Africa,6,"1,337",5,,,"10,751"
141,Taiwan,"15,185",+36,730,+12,"12,838",+80,"1,617",,636,31,"2,811,391","117,825","23,860,771",Asia,"1,571","32,686",8,2,0.5,68
142,Somalia,"14,995",,775,,"7,252",,"6,968",,918,47,"153,900","9,417","16,342,854",Africa,"1,090","21,088",106,,,426
143,Mali,"14,457",+2,528,,"10,092",,"3,837",,694,25,"325,878","15,636","20,842,159",Africa,"1,442","39,474",64,0.10,,184
144,Togo,"14,176",,133,,"13,608",,435,,"1,673",16,"372,881","43,994","8,475,716",Africa,598,"63,727",23,,,51
145,Andorra,"14,075",+25,127,,"13,770",+10,178,,"181,869","1,641","193,595","2,501,518","77,391",Europe,5,609,0,323,,"2,300"
146,Tajikistan,"13,753",+34,100,+3,"13,483",+22,170,,"1,410",10,,,"9,755,195",Asia,709,"97,552",,3,0.3,17
