#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"8,890,799","+50,910","310,912","+1,573","5,731,306","+55,330","2,848,581","17,685",,,,,,North America,,,
,Asia,"10,632,161","+125,053","194,761","+1,877","8,925,996","+114,944","1,511,404","20,736",,,,,,Asia,,,
,South America,"8,074,962","+56,806","253,080","+1,632","6,945,095","+66,036","876,787","17,359",,,,,,South America,,,
,Europe,"5,022,106","+66,022","222,459",+788,"2,537,927","+19,430","2,261,720","8,625",,,,,,Europe,,,
,Africa,"1,489,710","+8,762","35,922",+193,"1,233,125","+7,318","220,663","1,609",,,,,,Africa,,,
,Oceania,"31,235",+16,927,+4,"28,523",+50,"1,785",22,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"34,141,694","+307,569","1,018,076","+6,067","25,402,623","+263,108","7,720,995","66,040","4,380",130.6,,,,All,,,
1,USA,"7,445,610","+39,257","211,688",+903,"4,688,829","+40,146","2,545,093","14,209","22,461",639,"107,461,037","324,182","331,483,970",North America,45,"1,566",3
2,India,"6,310,267","+86,748","98,708","+1,179","5,270,007","+85,373","941,552","8,944","4,562",71,"74,196,729","53,636","1,383,345,173",Asia,219,"14,015",19
3,Brazil,"4,813,586","+33,269","143,962",+952,"4,180,376","+45,288","489,248","8,318","22,606",676,"17,900,000","84,064","212,933,280",South America,44,"1,479",12
4,Russia,"1,176,286","+8,481","20,722",+177,"958,257","+5,858","197,307","2,300","8,060",142,"46,000,000","315,176","145,950,125",Europe,124,"7,043",3
5,Colombia,"829,679","+5,637","25,998",+170,"743,653","+9,499","60,028","2,220","16,263",510,"3,737,898","73,269","51,016,233",South America,61,"1,962",14
6,Peru,"811,768",,"32,396",,"676,925",,"102,447","1,362","24,536",979,"3,878,323","117,226","33,084,102",South America,41,"1,021",9
7,Spain,"769,188","+11,016","31,791",+177,N/A,N/A,N/A,"1,539","16,450",680,"12,723,989","272,117","46,759,311",Europe,61,"1,471",4
8,Argentina,"751,001","+14,392","16,937",+418,"594,645","+8,788","139,419","3,792","16,579",374,"1,951,789","43,088","45,298,014",South America,60,"2,675",23
9,Mexico,"738,163","+4,446","77,163",+560,"530,945","+3,667","130,055","2,592","5,710",597,"1,935,334","14,972","129,265,897",North America,175,"1,675",67
10,South Africa,"674,339","+1,767","16,734",+67,"608,112","+1,592","49,493",539,"11,335",281,"4,187,917","70,395","59,491,884",Africa,88,"3,555",14
11,France,"563,535","+12,845","31,956",+63,"96,797",+470,"434,782","1,238","8,629",489,"10,841,327","165,999","65,309,554",Europe,116,"2,044",6
12,Chile,"462,991","+1,691","12,741",+16,"436,589","+1,795","13,661",849,"24,169",665,"3,322,315","173,428","19,156,696",South America,41,"1,504",6
13,Iran,"457,219","+3,582","26,169",+183,"380,956","+2,229","50,094","4,093","5,427",311,"4,014,821","47,650","84,256,235",Asia,184,"3,220",21
14,UK,"453,264","+7,108","42,143",+71,N/A,N/A,N/A,312,"6,668",620,"24,507,007","360,532","67,974,535",Europe,150,"1,613",3
15,Bangladesh,"363,479","+1,436","5,251",+32,"275,487","+1,789","82,741",,"2,202",32,"1,947,655","11,797","165,093,295",Asia,454,"31,440",85
16,Iraq,"362,981","+4,691","9,181",+59,"292,197","+3,385","61,603",550,"8,976",227,"2,266,355","56,043","40,439,517",Asia,111,"4,405",18
17,Saudi Arabia,"334,605",+418,"4,768",+29,"319,154",+612,"10,683",993,"9,575",136,"6,491,493","185,758","34,945,966",Asia,104,"7,329",5
