#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"33,212,940","+83,020","746,924","+3,609","22,814,463","+103,614","9,651,553","22,856",,,,,,North America,,,
,Asia,"24,714,464","+76,869","394,786",+866,"23,251,175","+63,529","1,068,503","21,902",,,,,,Asia,,,
,South America,"17,648,041","+80,169","459,023","+1,617","16,021,198","+81,813","1,167,820","19,074",,,,,,South America,,,
,Europe,"33,550,360","+164,340","801,708","+3,623","23,110,948","+155,077","9,637,704","25,638",,,,,,Europe,,,
,Africa,"3,883,398","+11,313","102,614",+328,"3,434,826","+13,278","345,958","2,521",,,,,,Africa,,,
,Oceania,"50,961",+41,"1,087",+2,"34,258",+7,"15,616",5,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"113,060,885","+415,752","2,506,157","+10,045","88,667,574","+417,318","21,887,154","91,996","14,505",321.5,,,,All,,,
1,USA,"28,967,270","+67,946","517,264","+2,231","19,317,663","+91,571","9,132,343","16,269","87,182","1,557","352,347,967","1,060,452","332,262,090",North America,11,642,1
2,India,"11,046,432","+17,106","156,742",+144,"10,736,433","+12,289","153,257","8,944","7,954",113,"213,036,275","153,397","1,388,790,098",Asia,126,"8,860",7
3,Brazil,"10,324,463","+63,842","249,957","+1,311","9,281,018","+65,854","793,488","8,318","48,349","1,171","28,600,000","133,933","213,539,214",South America,21,854,7
4,Russia,"4,200,902","+11,749","84,430",+383,"3,751,562","+12,218","364,910","2,300","28,778",578,"109,800,000","752,183","145,975,172",Europe,35,"1,729",1
5,UK,"4,144,577","+9,938","121,747",+442,"2,666,466","+59,467","1,356,364","2,273","60,845","1,787","87,621,588","1,286,331","68,117,471",Europe,16,560,1
6,France,"3,661,410","+31,519","85,321",+277,"253,450","+1,367","3,322,639","3,436","56,013","1,305","51,434,422","786,851","65,367,398",Europe,18,766,1
7,Spain,"3,170,644","+9,212","68,468",+389,"2,589,996","+28,894","512,180","3,241","67,797","1,464","38,491,517","823,056","46,766,560",Europe,15,683,1
8,Italy,"2,848,564","+16,424","96,666",+318,"2,362,465","+14,599","389,433","2,157","47,159","1,600","38,873,708","643,563","60,403,935",Europe,21,625,2
9,Turkey,"2,665,194","+9,561","28,285",+72,"2,540,293","+5,297","96,616","1,200","31,382",333,"32,684,747","384,859","84,926,450",Asia,32,"3,003",3
10,Germany,"2,416,029","+10,766","69,610",+396,"2,217,700","+10,000","128,719","3,037","28,777",829,"42,872,730","510,645","83,958,002",Europe,35,"1,206",2
11,Colombia,"2,237,542","+3,953","59,260",+142,"2,134,054","+4,563","44,228","2,509","43,673","1,157","11,302,192","220,600","51,233,931",South America,23,865,5
12,Argentina,"2,080,824","+3,596","51,524",+14,"1,881,890","+3,992","147,410","3,504","45,768","1,133","7,272,015","159,950","45,464,422",South America,22,882,6
13,Mexico,"2,052,266","+8,634","181,809","+1,273","1,607,869","+5,845","262,588","4,798","15,810","1,401","5,319,005","40,975","129,809,626",North America,63,714,24
14,Poland,"1,661,109","+12,146","42,808",+372,"1,391,981","+2,465","226,320","1,321","43,922","1,132","9,656,731","255,337","37,819,625",Europe,23,883,4
