#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"31,800,967","+96,315","691,522","+3,569","20,855,341","+119,676","10,254,104","29,201",,,,,,North America,,,
,Asia,"23,708,691","+67,340","381,346",+901,"22,213,594","+69,478","1,113,751","22,539",,,,,,Asia,,,
,South America,"16,550,273","+71,619","432,193","+1,920","14,875,259","+102,580","1,242,821","19,875",,,,,,South America,,,
,Europe,"31,551,976","+119,832","746,159","+5,475","18,200,055","+136,634","12,605,762","28,419",,,,,,Europe,,,
,Africa,"3,712,723","+11,433","96,349",+701,"3,234,154","+14,039","382,220","2,559",,,,,,Africa,,,
,Oceania,"50,444",+22,"1,080",,"34,137",+9,"15,227",6,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,"107,375,795","+366,561","2,348,664","+12,566","79,413,246","+442,416","25,613,885","102,599","13,775",301.3,,,,All,,,
1,USA,"27,790,169","+86,542","479,385","+2,877","17,614,073","+101,253","9,696,711","21,470","83,659","1,443","326,998,087","984,392","332,182,690",North America,12,693,1
2,India,"10,858,300","+10,510","155,280",+85,"10,559,604","+12,699","143,416","8,944","7,822",112,"201,900,614","145,437","1,388,234,493",Asia,128,"8,940",7
3,Brazil,"9,602,034","+51,733","233,588","+1,340","8,523,462","+75,817","844,984","8,318","44,979","1,094","28,600,000","133,972","213,477,384",South America,22,914,7
4,Russia,"3,998,216","+15,019","77,598",+530,"3,493,886","+21,795","426,732","2,300","27,390",532,"105,000,000","719,313","145,972,616",Europe,37,"1,881",1
5,UK,"3,972,148","+12,364","113,850","+1,052","1,983,650","+32,764","1,874,648","3,230","58,326","1,672","78,860,651","1,157,963","68,102,885",Europe,17,598,1
6,France,"3,360,235","+18,870","80,147",+508,"235,717","+1,724","3,044,371","3,342","51,410","1,226","46,980,527","718,780","65,361,495",Europe,19,816,1
7,Spain,"3,005,487","+16,402","63,061",+766,N/A,N/A,N/A,"4,594","64,267","1,348","35,782,465","765,141","46,765,820",Europe,16,742,1
8,Italy,"2,655,319","+10,630","92,002",+422,"2,149,350","+15,827","413,967","2,143","43,957","1,523","34,781,259","575,777","60,407,564",Europe,23,657,2
9,Turkey,"2,548,195","+8,636","26,998",+98,"2,437,382","+8,109","83,815","1,310","30,018",318,"30,893,496","363,927","84,889,277",Asia,33,"3,144",3
10,Germany,"2,302,051","+5,725","63,271",+674,"2,057,300","+16,000","181,480","3,957","27,423",754,"40,705,522","484,895","83,947,051",Europe,36,"1,327",2
11,Colombia,"2,166,904","+5,442","56,507",+217,"2,048,292","+14,064","62,105","3,482","42,313","1,103","10,601,650","207,016","51,211,717",South America,24,906,5
12,Argentina,"1,993,295","+7,794","49,566",+168,"1,792,321","+6,143","151,408","3,553","43,859","1,091","6,588,646","144,973","45,447,441",South America,23,917,7
13,Mexico,"1,936,013","+3,868","166,731",+531,"1,501,580","+11,503","267,702","5,692","14,921","1,285","4,902,400","37,782","129,754,143",North America,67,778,26
14,Poland,"1,556,685","+4,029","39,360",+227,"1,317,474","+4,618","199,851","1,323","41,159","1,041","8,976,048","237,328","37,821,317",Europe,24,961,4
15,Iran,"1,481,396","+7,640","58,625",+89,"1,266,518","+6,473","156,253","3,762","17,501",693,"9,779,202","115,533","84,643,954",Asia,57,"1,444",9
16,South Africa,"1,479,253","+1,742","46,869",+396,"1,367,247","+3,300","65,137",546,"24,753",784,"8,538,269","142,872","59,761,549",Africa,40,"1,275",7
17,Ukraine,"1,249,646","+2,656","23,771",+127,"1,084,590","+8,847","141,285",177,"28,679",546,"6,350,442","145,742","43,573,036",Europe,35,"1,833",7
18,Peru,"1,191,221",,"42,467",,"1,100,053",,"48,701","2,006","35,826","1,277","6,636,133","199,584","33,249,795",South America,28,783,5
19,Indonesia,"1,174,779","+8,700","31,976",+213,"973,452","+10,424","169,351",,"4,268",116,"9,791,928","35,571","275,277,348",Asia,234,"8,609",28
20,Czechia,"1,045,132","+7,663","17,497",+67,"932,156",+475,"95,479","1,032","97,484","1,632","6,650,272","620,298","10,721,086",Europe,10,613,2
21,Netherlands,"1,009,725","+1,744","14,511",+83,N/A,N/A,N/A,550,"58,849",846,"6,970,400","406,249","17,157,967",Europe,17,"1,182",2
22,Canada,"810,166","+2,046","20,893",+58,"750,148","+3,038","39,125",713,"21,352",551,"22,340,714","588,797","37,943,010",North America,47,"1,816",2
23,Portugal,"770,502","+2,583","14,557",+203,"628,078","+15,157","127,867",862,"75,699","1,430","7,624,184","749,044","10,178,550",Europe,13,699,1
24,Chile,"758,189","+2,839","19,084",+28,"717,308","+3,597","21,797","1,525","39,457",993,"8,478,306","441,215","19,215,810",South America,25,"1,007",2
25,Romania,"749,434","+2,797","19,056",+95,"695,398","+2,717","34,980",937,"39,116",995,"5,610,170","292,819","19,159,162",Europe,26,"1,005",3
26,Belgium,"726,483",+873,"21,423",+34,"49,983",+72,"655,077",299,"62,518","1,844","8,617,143","741,559","11,620,313",Europe,16,542,1
27,Israel,"703,719","+7,191","5,216",+45,"628,233","+4,920","70,270","1,003","76,511",567,"11,120,592","1,209,077","9,197,590",Asia,13,"1,763",1
28,Iraq,"632,257","+1,994","13,134",+8,"602,018",+977,"17,105",208,"15,509",322,"6,016,017","147,575","40,765,829",Asia,64,"3,104",7
29,Sweden,"596,174",,"12,188",+40,N/A,N/A,N/A,234,"58,809","1,202","5,510,486","543,572","10,137,542",Europe,17,832,2
