#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"112,090,232","+87,322","1,511,342",+351,"105,101,322","+97,608","5,477,568","9,939",,,,,,North America,,,,,,
,Asia,"175,389,029","+465,356","1,453,679",+561,"166,106,042","+383,725","7,829,308","13,124",,,,,,Asia,,,,,,
,Europe,"218,193,196","+121,181","1,888,148",+404,"210,006,349","+333,428","6,298,699","9,491",,,,,,Europe,,,,,,
,South America,"62,862,576","+44,587","1,319,692",+230,"60,505,714","+98,285","1,037,170","10,580",,,,,,South America,,,,,,
,Oceania,"11,764,958","+30,967","17,859",+110,"11,357,848","+6,586","389,251",175,,,,,,Australia/Oceania,,,,,,
,Africa,"12,569,034","+6,404","257,100",+17,"11,722,501",+914,"589,433",965,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"592,869,746","+755,817","6,447,835","+1,673","564,800,482","+920,546","21,621,429","44,274","76,060",827.2,,,,All,,,,,,
1,USA,"94,420,719","+67,661","1,061,107",+239,"89,481,007","+71,421","3,878,605","4,537",,,"1,089,882,574",,,North America,,,,,,
2,India,"44,220,444","+13,448","526,879",,"43,555,041",,"138,524",698,"31,394",374,"878,877,098","623,950","1,408,569,620",Asia,32,"2,673",2,10,,98
3,France,"34,169,281","+24,312","152,990",+80,"33,260,788","+74,260","755,503",869,"521,052","2,333","271,490,188","4,139,988","65,577,523",Europe,2,429,0,371,1,"11,521"
4,Brazil,"34,124,579","+27,644","681,025",+173,"32,927,762","+73,421","515,792","8,318","158,174","3,157","63,776,166","295,615","215,740,361",South America,6,317,3,128,0.8,"2,391"
5,Germany,"31,439,645",,"145,394",,"29,969,000","+99,300","1,325,251","1,406","372,738","1,724","122,332,384","1,450,332","84,347,855",Europe,3,580,1,,,"15,712"
6,UK,"23,420,826",,"186,087",,"22,954,663",,"280,076",146,"341,229","2,711","522,526,476","7,612,931","68,636,705",Europe,3,369,0,,,"4,081"
7,Italy,"21,428,602","+28,423","173,701",+130,"20,314,689","+57,911","940,212",321,"355,516","2,882","239,494,831","3,973,387","60,274,731",Europe,3,347,0,472,2,"15,599"
8,S. Korea,"20,983,169","+137,196","25,441",+59,"19,186,231","+65,383","1,771,497",418,"408,534",495,"15,804,065","307,699","51,362,050",Asia,2,"2,019",3,"2,671",1,"34,490"
9,Russia,"18,796,472","+25,815","382,954",+52,"18,089,941","+14,221","323,577","2,300","128,685","2,622","273,400,000","1,871,755","146,066,161",Europe,8,381,1,177,0.4,"2,215"
10,Turkey,"16,295,817",,"99,678",,"15,875,121",,"321,018",975,"188,937","1,156","162,743,369","1,886,884","86,249,811",Asia,5,865,1,,,"3,722"
11,Japan,"14,861,375","+243,104","34,323",+248,"12,800,155","+254,768","2,026,897",603,"118,265",273,"65,905,246","524,465","125,661,752",Asia,8,"3,661",2,"1,935",2,"16,130"
12,Spain,"13,280,557",,"111,339",,"12,862,276",,"306,942",339,"283,816","2,379","471,036,328","10,066,408","46,792,892",Europe,4,420,0,,,"6,560"
13,Vietnam,"11,353,573",,"43,095",,"9,997,136",,"1,313,342",78,"114,472",435,"85,826,548","865,340","99,182,474",Asia,9,"2,301",1,,,"13,242"
14,Australia,"9,737,319","+25,348","12,655",+87,"9,442,311",,"282,353",135,"372,751",484,"77,167,606","2,954,030","26,122,821",Australia/Oceania,3,"2,064",0,970,3,"10,809"
15,Argentina,"9,602,534",,"129,440",,"9,348,311","+5,962","124,783",456,"208,438","2,810","35,716,069","775,275","46,068,925",South America,5,356,1,,,"2,709"
16,Netherlands,"8,360,684","+1,764","22,538",+2,"8,231,301","+7,350","106,845",56,"485,672","1,309","21,107,399","1,226,128","17,214,673",Europe,2,764,1,102,0.1,"6,207"
17,Iran,"7,459,175","+7,396","142,738",+84,"7,140,272","+9,537","176,165","1,469","86,477","1,655","53,322,294","618,183","86,256,511",Asia,12,604,2,86,1.0,"2,042"
18,Mexico,"6,890,549","+14,841","328,525",+88,"6,087,871","+15,941","474,153","4,798","52,286","2,493","17,895,440","135,793","131,784,804",North America,19,401,7,113,0.7,"3,598"
19,Colombia,"6,278,998",,"141,075",,"6,096,946",,"40,977",342,"120,693","2,712","36,086,570","693,642","52,024,754",South America,8,369,1,,,788
20,Indonesia,"6,267,137","+5,532","157,171",+22,"6,057,237","+4,824","52,729","2,771","22,414",562,"104,910,593","375,199","279,613,217",Asia,45,"1,779",3,20,0.08,189
21,Poland,"6,109,621","+4,321","116,737",+20,"5,335,875",+4,"657,009","2,742","161,804","3,092","36,767,230","973,724","37,759,379",Europe,6,323,1,114,0.5,"17,400"
22,Portugal,"5,373,479","+2,879","24,721",+7,"5,250,338","+5,631","98,420",61,"530,235","2,439","43,527,258","4,295,108","10,134,148",Europe,2,410,0,284,0.7,"9,712"
23,Ukraine,"5,026,496",,"108,727",,"4,912,695",+207,"5,074",177,"116,405","2,518","19,521,252","452,080","43,180,998",Europe,9,397,2,,,118
24,Taiwan,"4,824,550","+22,909","9,342",+44,"4,376,964","+24,041","438,244",,"201,801",391,"23,287,905","974,083","23,907,507",Asia,5,"2,559",1,958,2,"18,331"
25,Austria,"4,809,558","+5,877","19,242",+11,"4,712,078","+5,925","78,238",76,"527,678","2,111","194,232,379","21,310,079","9,114,578",Europe,2,474,0,645,1,"8,584"
26,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,452",3,,,"26,016,631",Asia,5,"351,576",,,,
27,Malaysia,"4,724,225","+4,831","36,066",+10,"4,642,078","+3,362","46,081",60,"142,128","1,085","62,963,990","1,894,274","33,239,120",Asia,7,922,1,145,0.3,"1,386"
28,Thailand,"4,614,057","+2,316","31,733",+35,"4,561,023","+2,076","21,301","1,496","65,757",452,"17,270,775","246,132","70,168,637",Asia,15,"2,211",4,33,0.5,304
29,Israel,"4,610,664","+1,819","11,483",+13,"4,573,581","+2,191","25,600",266,"494,388","1,231","41,373,364","4,436,346","9,326,000",Asia,2,812,0,195,1,"2,745"
30,Greece,"4,577,675",,"31,722",,"4,407,124","+17,885","138,829",115,"443,748","3,075","90,048,917","8,729,108","10,315,936",Europe,2,325,0,,,"13,458"
31,Belgium,"4,444,819",,"32,329",,"4,287,778","+6,309","124,712",108,"380,036","2,764","35,117,590","3,002,582","11,695,798",Europe,3,362,0,,,"10,663"
32,Chile,"4,344,910","+13,494","59,896",+51,"4,241,308","+10,033","43,706",167,"223,255","3,078","42,715,505","2,194,853","19,461,669",South America,4,325,0,693,3,"2,246"
33,Canada,"4,084,728",,"42,901",,"3,947,338","+4,031","94,489",279,"106,266","1,116","63,719,391","1,657,682","38,438,846",North America,9,896,1,,,"2,458"
34,South Africa,"4,007,612",+532,"101,982",,"3,897,607",,"8,023",192,"65,825","1,675","26,050,376","427,875","60,883,112",Africa,15,597,2,9,,132
35,Czechia,"4,007,256","+2,203","40,608",+4,"3,946,205",+458,"20,443",39,"372,740","3,777","55,832,033","5,193,292","10,750,798",Europe,3,265,0,205,0.4,"1,902"
36,Peru,"3,992,728",,"214,788",,"3,680,757","+6,422","97,183",255,"117,644","6,329","33,504,659","987,204","33,938,928",South America,9,158,1,,,"2,863"
37,Switzerland,"3,975,537",,"14,096",,"3,822,142","+3,408","139,299",59,"452,389","1,604","21,940,825","2,496,718","8,787,868",Europe,2,623,0,,,"15,851"
38,Philippines,"3,818,480","+4,533","60,916",+27,"3,719,602","+2,574","37,962",817,"33,896",541,"31,766,043","281,984","112,651,967",Asia,30,"1,849",4,40,0.2,337
39,Romania,"3,144,327","+6,469","66,291",+27,"2,967,602","+9,775","110,434",297,"165,773","3,495","24,317,017","1,282,021","18,967,715",Europe,6,286,1,341,1,"5,822"
40,Denmark,"3,075,319","+1,544","6,780",+6,"3,052,173","+1,189","16,366",13,"527,034","1,162","128,053,953","21,945,317","5,835,138",Europe,2,861,0,265,1,"2,805"
41,Sweden,"2,551,996",,"19,497",,"2,507,606","+1,557","24,893",16,"249,417","1,906","18,798,955","1,837,300","10,231,835",Europe,4,525,1,,,"2,433"
42,Iraq,"2,451,178",,"25,326",,"2,409,652",,"16,200",21,"58,191",601,"19,110,211","453,676","42,122,993",Asia,17,"1,663",2,,,385
43,Serbia,"2,191,562","+6,303","16,409",+15,"2,067,467","+3,458","107,686",30,"252,970","1,894","10,406,448","1,201,208","8,663,320",Europe,4,528,1,728,2,"12,430"
44,Bangladesh,"2,008,282",+214,"29,310",+1,"1,950,037",+497,"28,935","1,228","11,944",174,"14,659,070","87,182","168,143,838",Asia,84,"5,737",11,1,0.01,172
45,Hungary,"2,005,399",,"46,966",,"1,908,907",,"49,526",22,"208,706","4,888","11,394,556","1,185,854","9,608,734",Europe,5,205,1,,,"5,154"
46,Slovakia,"1,826,017",+853,"20,280",+6,"1,794,833",+595,"10,904",39,"334,117","3,711","7,245,201","1,325,695","5,465,208",Europe,3,269,1,156,1,"1,995"
47,Singapore,"1,781,162","+7,776","1,546",+3,"1,689,986","+3,960","89,630",22,"299,495",260,"24,265,502","4,080,150","5,947,208",Asia,3,"3,847",0,"1,308",0.5,"15,071"
48,Jordan,"1,720,778",,"14,090",,"1,701,987",,"4,701",56,"165,199","1,353","17,045,258","1,636,388","10,416,391",Asia,6,739,1,,,451
49,Georgia,"1,698,020",,"16,869",,"1,637,293",,"43,858",,"427,384","4,246","16,920,079","4,258,710","3,973,053",Asia,2,236,0,,,"11,039"
50,New Zealand,"1,676,938","+5,016","2,447",+21,"1,640,644","+6,317","33,847",,"335,247",489,"7,422,496","1,483,876","5,002,100",Australia/Oceania,3,"2,044",1,"1,003",4,"6,767"
51,Ireland,"1,650,791",,"7,703",,"1,619,591","+2,290","23,497",24,"326,636","1,524","12,580,909","2,489,339","5,053,916",Europe,3,656,0,,,"4,649"
52,Pakistan,"1,560,955",+253,"30,509",+1,"1,520,735",+211,"9,711",229,"6,789",133,"29,776,004","129,504","229,923,499",Asia,147,"7,536",8,1,,42
53,Norway,"1,457,792",+205,"3,834",,"1,451,097",+256,"2,861",20,"264,549",696,"11,002,430","1,996,635","5,510,486",Europe,4,"1,437",1,37,,519
54,Hong Kong,"1,402,296","+4,376","9,555",+1,"1,249,540","+2,811","143,201",7,"183,907","1,253","54,352,132","7,128,119","7,625,032",Asia,5,798,0,574,0.1,"18,780"
55,Kazakhstan,"1,372,634","+1,651","13,672",,"1,334,262","+2,458","24,700",24,"71,307",710,"11,575,012","601,312","19,249,588",Asia,14,"1,408",2,86,,"1,283"
56,Morocco,"1,263,164",+129,"16,264",+2,"1,245,464",+294,"1,436",293,"33,389",430,"12,317,002","325,574","37,831,693",Africa,30,"2,326",3,3,0.05,38
57,Finland,"1,238,998",+5,"5,350",,"1,177,960","+6,920","55,688",21,"222,888",962,"11,287,299","2,030,515","5,558,836",Europe,4,"1,039",0,0.9,,"10,018"
58,Bulgaria,"1,224,222","+1,274","37,475",+6,"1,166,276","+3,504","20,471",57,"179,021","5,480","10,335,196","1,511,344","6,838,413",Europe,6,182,1,186,0.9,"2,994"
59,Croatia,"1,197,804","+1,583","16,461",+15,"1,173,158","+1,093","8,185",22,"295,608","4,062","5,082,905","1,254,417","4,052,007",Europe,3,246,1,391,4,"2,020"
60,Lebanon,"1,192,687","+1,481","10,561",+4,"1,087,587",,"94,539",186,"176,403","1,562","4,795,578","709,286","6,761,135",Asia,6,640,1,219,0.6,"13,983"
61,Tunisia,"1,139,241",,"29,153",,N/A,N/A,N/A,29,"94,316","2,414","4,881,502","404,132","12,078,989",Africa,11,414,2,,,"1,006"
62,Cuba,"1,109,193",+116,"8,529",,"1,100,161",+110,503,23,"98,054",754,"13,997,964","1,237,436","11,312,067",North America,10,"1,326",1,10,,44
63,Slovenia,"1,099,941","+1,614","6,741",+3,"1,072,802","+2,032","20,398",13,"528,935","3,242","2,709,987","1,303,167","2,079,539",Europe,2,308,1,776,1,"9,809"
64,Lithuania,"1,095,264","+1,079","9,229",+1,"1,038,300",,"47,735",10,"414,492","3,493","10,082,398","3,815,590","2,642,422",Europe,2,286,0,408,0.4,"18,065"
65,Bolivia,"1,073,593","+3,072","22,113",+3,"983,579","+1,642","67,901",220,"89,404","1,841","2,705,422","225,296","12,008,281",South America,11,543,4,256,0.2,"5,655"
