#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
,North America,"7,089,889","+51,754","263,727","+2,005","4,038,014","+49,729","2,788,148","21,047",,,,,,North America,,,
,South America,"5,966,452","+72,368","194,610","+1,822","4,572,678","+81,536","1,199,164","15,007",,,,,,South America,,,
,Asia,"6,578,861","+103,252","134,898","+1,591","5,242,205","+81,027","1,201,758","18,894",,,,,,Asia,,,
,Europe,"3,434,316","+26,803","206,227",+377,"2,020,154","+16,523","1,207,935","5,589",,,,,,Europe,,,
,Africa,"1,216,558","+8,935","28,656",+322,"945,475","+11,283","242,427","1,271",,,,,,Africa,,,
,Oceania,"27,784",+199,576,+24,"22,119",+340,"5,089",59,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"24,314,581","+263,311","828,709","+6,141","16,841,296","+240,438","6,644,576","61,871","3,119",106.3,,,,All,,,
1,USA,"5,997,961","+42,233","183,595","+1,231","3,295,567","+41,285","2,518,799","16,526","18,104",554,"78,590,265","237,219","331,298,704",North America,55,"1,805",4
2,Brazil,"3,722,004","+47,828","117,756","+1,090","2,908,848","+60,453","695,400","8,318","17,492",553,"14,172,764","66,605","212,789,010",South America,57,"1,807",15
3,India,"3,307,749","+75,995","60,629","+1,017","2,523,443","+56,191","723,677","8,944","2,393",44,"37,651,512","27,243","1,382,048,762",Asia,418,"22,795",37
4,Russia,"970,865","+4,676","16,683",+115,"786,150","+6,403","168,032","2,300","6,652",114,"35,100,000","240,503","145,944,161",Europe,150,"8,748",4
5,South Africa,"615,701","+2,684","13,502",+194,"525,242","+4,861","76,957",539,"10,362",227,"3,598,973","60,568","59,420,382",Africa,97,"4,401",17
6,Peru,"607,382",,"28,001",,"414,577",,"164,804","1,522","18,383",847,"3,032,744","91,790","33,040,169",South America,54,"1,180",11
7,Colombia,"572,270","+10,142","18,184",+295,"407,121","+11,651","146,965","1,493","11,229",357,"2,582,612","50,675","50,964,400",South America,89,"2,803",20
8,Mexico,"568,621","+4,916","61,450",+650,"393,101","+3,977","114,070","3,442","4,403",476,"1,278,436","9,900","129,136,438",North America,227,"2,101",101
9,Spain,"426,818","+3,594","28,971",+47,N/A,N/A,N/A,697,"9,128",620,"8,517,446","182,162","46,757,585",Europe,110,"1,614",5
10,Chile,"402,365","+1,380","10,990",+32,"376,268","+1,805","15,107","1,004","21,021",574,"2,276,223","118,919","19,141,022",South America,48,"1,742",8
11,Argentina,"370,188","+10,550","7,839",+276,"268,801","+5,599","93,548","2,022","8,179",173,"1,148,574","25,378","45,258,393",South America,122,"5,773",39
12,Iran,"365,606","+2,243","21,020",+119,"314,870","+1,812","29,716","3,831","4,345",250,"3,113,806","37,002","84,153,431",Asia,230,"4,003",27
13,UK,"328,846","+1,048","41,465",+16,N/A,N/A,N/A,68,"4,840",610,"15,177,265","223,391","67,940,503",Europe,207,"1,639",4
14,Saudi Arabia,"310,836","+1,068","3,755",+33,"284,945","+1,013","22,136","1,601","8,908",108,"4,792,192","137,335","34,894,083",Asia,112,"9,293",7
15,Bangladesh,"302,147","+2,519","4,082",+54,"190,183","+3,427","107,882",,"1,832",25,"1,485,261","9,005","164,936,512",Asia,546,"40,406",111
16,Pakistan,"294,193",+482,"6,267",+12,"278,939",+514,"8,987",669,"1,328",28,"2,512,337","11,341","221,518,879",Asia,753,"35,347",88
17,Italy,"262,540","+1,367","35,458",+13,"206,329",+314,"20,753",69,"4,343",587,"8,219,421","135,975","60,447,970",Europe,230,"1,705",7
18,Turkey,"262,507","+1,313","6,183",+20,"239,797","+1,002","16,527",841,"3,107",73,"6,621,749","78,387","84,475,417",Asia,322,"13,663",13
19,France,"253,587","+5,429","30,544",,"85,524",,"137,519",410,"3,884",468,"6,000,000","91,890","65,295,782",Europe,257,"2,138",11
20,Germany,"239,000","+1,428","9,352",+7,"214,233","+4,633","15,415",245,"2,851",112,"11,208,091","133,708","83,825,131",Europe,351,"8,963",7
