#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent
204,Seychelles,11,,,,10,1,,112,,,,"98,270",Africa
205,Suriname,10,,1,,9,0,,17,2,404,689,"585,963",South America
206,MS Zaandam,9,,2,,,7,,,,,,,
207,British Virgin Islands,8,,1,,6,1,,265,33,167,"5,529","30,206",North America
208,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,924,516",Australia/Oceania
209,Caribbean Netherlands,6,,,,6,0,,229,,357,"13,630","26,192",North America
210,St. Barth,6,,,,6,0,,608,,,,"9,873",North America
211,Western Sahara,6,,,,6,0,,10,,,,"595,342",Africa
212,Anguilla,3,,,,3,0,,200,,,,"14,986",North America
213,Lesotho,1,,,,,1,,0.5,,,,"2,140,096",Africa
214,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797",North America
215,China,"82,941",+8,"4,633",,"78,219",89,11,58,3,,,"1,439,323,776",Asia
