#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"93,990,701","+140,856","1,381,423","+2,567","63,495,321","+177,054","29,113,957","19,112",,,,,,North America,,,,,,
,Asia,"110,993,840","+584,863","1,329,323","+1,867","103,068,303","+500,827","6,596,214","30,294",,,,,,Asia,,,,,,
,South America,"53,043,179","+186,015","1,246,021","+1,591","45,860,196","+51,780","5,936,962","14,095",,,,,,South America,,,,,,
,Europe,"149,246,424","+965,369","1,680,678","+3,620","120,520,493","+1,477,908","27,045,253","16,748",,,,,,Europe,,,,,,
,Africa,"11,420,654","+8,304","246,967",+446,"10,424,774","+12,549","748,913","2,159",,,,,,Africa,,,,,,
,Oceania,"3,240,234","+31,900","7,359",+37,"2,958,599","+3,354","274,276",283,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"421,935,753","+1,917,307","5,891,786","+10,128","346,328,392","+2,223,472","69,715,575","82,691","54,130",755.9,,,,All,,,,,,
1,USA,"80,016,680","+101,996","958,152","+1,945","51,371,152","+134,511","27,687,376","12,658","239,451","2,867","937,674,446","2,806,000","334,167,690",North America,4,349,0,305,6,"82,855"
2,India,"42,801,326","+21,091","511,262",+325,"42,027,130","+49,892","262,934","8,944","30,526",365,"756,851,787","539,789","1,402,124,607",Asia,33,"2,742",2,15,0.2,188
3,Brazil,"28,064,224","+122,748","643,111","+1,114","24,708,484",,"2,712,629","8,318","130,517","2,991","63,776,166","296,601","215,023,133",South America,8,334,3,571,5,"12,616"
4,France,"22,151,188","+82,553","136,446",+304,"18,672,483","+332,111","3,342,259","3,055","338,139","2,083","243,529,298","3,717,491","65,509,055",Europe,3,480,0,"1,260",5,"51,020"
5,UK,"18,546,205","+47,685","160,379",+158,"16,519,746","+57,633","1,866,080",331,"270,876","2,342","474,976,532","6,937,254","68,467,516",Europe,4,427,0,696,2,"27,255"
6,Russia,"15,020,573","+180,071","343,957",+784,"12,026,844","+198,369","2,649,772","2,300","102,855","2,355","271,700,000","1,860,494","146,036,513",Europe,10,425,1,"1,233",5,"18,145"
7,Germany,"13,360,578","+206,037","121,693",+246,"9,484,400","+163,700","3,754,485","2,494","158,637","1,445","104,701,826","1,243,182","84,220,825",Europe,6,692,1,"2,446",3,"44,579"
8,Turkey,"13,353,676","+87,411","91,910",+264,"12,473,470","+102,094","788,296","1,128","155,604","1,071","139,384,191","1,624,172","85,818,603",Asia,6,934,1,"1,019",3,"9,186"
9,Italy,"12,377,098","+53,662","152,596",+314,"10,820,380","+87,472","1,404,122",987,"205,201","2,530","183,281,687","3,038,649","60,316,831",Europe,5,395,0,890,5,"23,279"
10,Spain,"10,809,222","+30,615","97,998",+288,"8,326,793","+110,129","2,384,431","1,284","231,044","2,095","471,036,328","10,068,254","46,784,312",Europe,4,477,0,654,6,"50,966"
11,Argentina,"8,815,247","+15,389","125,062",+138,"8,543,777","+25,743","146,408","1,645","192,171","2,726","33,802,833","736,895","45,871,952",South America,5,367,1,335,3,"3,192"
12,Iran,"6,913,427","+19,317","134,607",+187,"6,427,388","+24,567","351,432","3,842","80,627","1,570","46,144,867","538,161","85,745,427",Asia,12,637,2,225,2,"4,099"
13,Colombia,"6,039,163","+4,020","137,869",+136,"5,857,040","+4,106","44,254",342,"116,660","2,663","32,902,670","635,591","51,767,070",South America,9,375,2,78,3,855
14,Netherlands,"6,012,521","+49,283","21,465",+16,"3,677,637","+47,278","2,313,419",172,"349,632","1,248","21,107,399","1,227,410","17,196,701",Europe,3,801,1,"2,866",0.9,"134,527"
15,Poland,"5,519,282","+23,990","109,509",+304,"4,786,838","+40,977","622,935","1,024","146,094","2,899","32,858,524","869,756","37,779,009",Europe,7,345,1,635,8,"16,489"
16,Mexico,"5,366,405","+21,565","314,598",+470,"4,612,278","+21,190","439,529","4,798","40,921","2,399","14,796,374","112,828","131,141,206",North America,24,417,9,164,4,"3,352"
17,Indonesia,"5,089,637","+59,635","146,044",+216,"4,447,210","+32,904","496,383","2,428","18,292",525,"80,146,641","288,050","278,239,007",Asia,55,"1,905",3,214,0.8,"1,784"
18,Ukraine,"4,672,198","+34,938","104,106",+282,"3,896,009","+29,254","672,083",177,"107,890","2,404","19,288,823","445,415","43,305,251",Europe,9,416,2,807,7,"15,520"
19,Japan,"4,241,800","+95,603","21,198",+244,"3,351,479","+91,022","869,123","1,482","33,707",168,"37,131,580","295,058","125,845,010",Asia,30,"5,937",3,760,2,"6,906"
20,South Africa,"3,654,824","+2,800","98,298",+343,"3,518,316","+3,120","38,210",546,"60,383","1,624","22,830,172","377,186","60,527,644",Africa,17,616,3,46,6,631
21,Philippines,"3,648,925","+2,232","55,409",+79,"3,527,720","+3,010","65,796",307,"32,592",495,"27,872,998","248,958","111,958,512",Asia,31,"2,021",4,20,0.7,588
22,Israel,"3,523,464","+15,242","9,828",+60,"3,361,225","+31,636","152,411",808,"377,811","1,054","41,373,364","4,436,346","9,326,000",Asia,3,949,0,"1,634",6,"16,343"
23,Belgium,"3,484,518","+11,503","29,886",+54,"2,454,195","+22,837","1,000,437",352,"298,540","2,561","31,308,522","2,682,390","11,671,874",Europe,3,391,0,986,5,"85,713"
24,Czechia,"3,483,932","+15,517","38,106",+26,"3,256,834","+44,848","188,992",260,"324,347","3,548","52,133,414","4,853,511","10,741,381",Europe,3,282,0,"1,445",2,"17,595"
25,Peru,"3,474,965",,"208,964",,N/A,N/A,N/A,"1,269","103,052","6,197","26,777,800","794,110","33,720,514",South America,10,161,1,,,"45,828"
26,Canada,"3,234,212","+6,929","35,995",+72,"3,072,052","+9,383","126,165",912,"84,485",940,"57,686,902","1,506,906","38,281,696",North America,12,"1,064",1,181,2,"3,296"
27,Malaysia,"3,166,023","+27,808","32,276",+37,"2,900,682","+12,488","233,065",235,"95,818",977,"47,483,714","1,437,072","33,041,980",Asia,10,"1,024",1,842,1,"7,054"
28,Portugal,"3,163,869","+15,482","20,759",+51,"2,626,220","+36,710","516,890",127,"311,766","2,046","33,409,187","3,292,123","10,148,221",Europe,3,489,0,"1,526",5,"50,934"
29,Australia,"2,992,940","+25,862","4,834",+36,"2,774,650",,"213,456",208,"115,192",186,"62,732,390","2,414,436","25,982,211",Australia/Oceania,9,"5,375",0,995,1,"8,215"
30,Chile,"2,783,458","+34,117","41,067",+131,"1,861,721","+9,341","880,670",970,"143,598","2,119","32,048,371","1,653,363","19,383,746",South America,7,472,1,"1,760",7,"45,433"
31,Vietnam,"2,685,463","+42,439","39,358",+80,"2,261,180","+6,215","384,925","2,213","27,190",398,"78,259,191","792,366","98,766,530",Asia,37,"2,509",1,430,0.8,"3,897"
32,Thailand,"2,674,477","+18,066","22,568",+27,"2,502,323","+12,511","149,586",687,"38,160",322,"17,270,775","246,424","70,085,604",Asia,26,"3,106",4,258,0.4,"2,134"
33,Switzerland,"2,652,931","+9,780","13,117",,"1,807,046","+39,273","832,768",183,"302,921","1,498","18,265,214","2,085,589","8,757,822",Europe,3,668,0,"1,117",,"95,088"
34,Romania,"2,643,614","+14,524","62,323",+125,"2,249,116","+33,654","332,175","1,132","138,930","3,275","20,565,431","1,080,776","19,028,392",Europe,7,305,1,763,7,"17,457"
35,Austria,"2,424,742","+31,166","14,537",+34,"2,107,339","+34,704","302,866",194,"266,743","1,599","154,061,824","16,948,134","9,090,194",Europe,4,625,0,"3,429",4,"33,318"
36,Sweden,"2,422,856",,"16,817",,"1,725,058","+40,538","680,981",79,"237,489","1,648","17,964,116","1,760,851","10,201,950",Europe,4,607,1,,,"66,750"
37,Denmark,"2,401,310","+33,699","4,250",+43,"1,838,071","+37,894","558,989",33,"412,209",730,"124,124,205","21,307,175","5,825,465",Europe,2,"1,371",0,"5,785",7,"95,956"
38,Iraq,"2,288,777","+2,326","24,840",+16,"2,213,097","+4,434","50,840",238,"54,896",596,"17,825,671","427,547","41,692,854",Asia,18,"1,678",2,56,0.4,"1,219"
39,Greece,"2,274,025","+18,604","25,183",+88,"2,022,754","+10,886","226,088",470,"219,925","2,435","62,801,589","6,073,642","10,340,021",Europe,5,411,0,"1,799",9,"21,865"
40,Bangladesh,"1,929,154","+2,584","28,931",+24,"1,737,854","+9,988","162,369","1,289","11,527",173,"13,158,764","78,623","167,364,404",Asia,87,"5,785",13,15,0.1,970
41,Serbia,"1,874,134","+6,298","14,728",+62,"1,647,835",,"211,571",138,"215,915","1,697","8,604,229","991,274","8,679,973",Europe,5,589,1,726,7,"24,375"
42,S. Korea,"1,755,806","+109,828","7,283",+45,"852,368","+11,135","896,155",389,"34,199",142,"15,804,065","307,825","51,341,142",Asia,29,"7,049",3,"2,139",0.9,"17,455"
