#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
,North America,"48,986,211","+64,010","1,008,966","+1,202","38,159,035","+37,593","9,818,210","33,102",,,,,,North America,,,,,,
,Asia,"71,323,505","+220,783","1,054,107","+3,416","66,635,287","+261,211","3,634,111","40,943",,,,,,Asia,,,,,,
,South America,"37,081,106","+16,798","1,135,397",+414,"34,914,111","+33,341","1,031,598","14,856",,,,,,South America,,,,,,
,Europe,"55,968,319","+102,920","1,180,835","+1,183","51,044,605","+74,804","3,742,879","11,905",,,,,,Europe,,,,,,
,Africa,"7,983,742","+17,205","199,685",+370,"7,131,364","+26,501","652,693","4,468",,,,,,Africa,,,,,,
,Oceania,"171,989","+1,862","2,254",+3,"120,028",+723,"49,707",233,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"221,515,593","+423,578","4,581,259","+6,588","198,005,136","+434,173","18,929,198","105,507","28,418",587.7,,,,All,,,,,,
1,USA,"40,803,589","+34,665","666,219",+362,"31,315,751","+14,874","8,821,619","25,840","122,427","1,999","592,405,387","1,777,453","333,288,997",North America,8,500,1,104,1,"26,468"
2,India,"33,027,136","+39,521","440,785",+218,"32,174,493","+43,917","411,858","8,944","23,659",316,"530,058,218","379,704","1,395,975,917",Asia,42,"3,167",3,28,0.2,295
3,Brazil,"20,890,779","+12,915","583,628",+266,"19,862,438","+23,526","444,713","8,318","97,466","2,723","56,897,224","265,455","214,338,881",South America,10,367,4,60,1,"2,075"
4,Russia,"7,012,599","+18,645","187,200",+793,"6,270,731","+15,256","554,668","2,300","48,029","1,282","180,400,000","1,235,547","146,008,228",Europe,21,780,1,128,5,"3,799"
5,UK,"6,978,126","+37,011","133,229",+68,"5,609,575","+23,084","1,235,322","1,038","102,160","1,950","273,256,505","4,000,470","68,306,106",Europe,10,513,0,542,1.0,"18,085"
6,France,"6,836,452","+10,410","114,905",+49,"6,362,008","+5,746","359,539","2,223","104,463","1,756","128,108,421","1,957,535","65,443,735",Europe,10,570,1,159,0.7,"5,494"
7,Turkey,"6,498,054","+19,391","58,106",+269,"5,930,665","+24,289","509,283",633,"76,083",680,"77,912,359","912,246","85,407,221",Asia,13,"1,470",1,227,3,"5,963"
8,Argentina,"5,203,802","+1,397","112,511",+67,"4,901,031","+5,043","190,260","2,396","113,909","2,463","22,495,634","492,418","45,684,035",South America,9,406,2,31,1,"4,165"
9,Iran,"5,129,407","+25,870","110,674",+610,"4,362,814","+29,922","655,919","7,689","60,163","1,298","29,227,907","342,818","85,257,842",Asia,17,770,3,303,7,"7,693"
10,Colombia,"4,918,649","+1,669","125,278",+48,"4,750,020","+3,474","43,351",542,"95,468","2,432","24,409,712","473,780","51,521,234",South America,10,411,2,32,0.9,841
11,Spain,"4,877,755",,"84,795",,"4,418,343",,"374,617","1,460","104,279","1,813","60,618,810","1,295,935","46,776,126",Europe,10,552,1,,,"8,009"
12,Italy,"4,571,440","+5,315","129,515",+49,"4,305,223","+5,602","136,702",572,"75,740","2,146","85,520,003","1,416,903","60,356,996",Europe,13,466,1,88,0.8,"2,265"
13,Indonesia,"4,129,020","+5,403","135,861",+392,"3,837,640","+10,191","155,519",,"14,910",491,"33,236,456","120,018","276,927,979",Asia,67,"2,038",8,20,1,562
14,Germany,"4,013,808","+8,314","92,863",+14,"3,768,400","+4,800","152,545","1,217","47,727","1,104","70,379,237","836,855","84,099,634",Europe,21,906,1,99,0.2,"1,814"
15,Mexico,"3,420,880","+15,586","262,868",+647,"2,757,795","+12,910","400,217","4,798","26,208","2,014","9,943,832","76,182","130,527,200",North America,38,497,13,119,5,"3,066"
16,Poland,"2,890,484",+323,"75,379",,"2,657,527",+197,"157,578",60,"76,472","1,994","19,966,311","528,241","37,797,738",Europe,13,501,2,9,,"4,169"
17,South Africa,"2,819,945","+5,931","83,419",+76,"2,594,857","+8,211","141,669",546,"46,852","1,386","16,749,709","278,287","60,188,519",Africa,21,722,4,99,1,"2,354"
18,Ukraine,"2,297,534","+1,379","53,983",+17,"2,212,720",+407,"30,831",177,"52,910","1,243","12,097,306","278,587","43,423,791",Europe,19,804,4,32,0.4,710
19,Peru,"2,154,132",,"198,447",,N/A,N/A,N/A,"1,189","64,279","5,922","16,930,834","505,215","33,512,143",South America,16,169,2,,,"7,013"
20,Philippines,"2,080,984","+20,019","34,234",+173,"1,889,312","+20,089","157,438","3,050","18,698",308,"19,153,712","172,096","111,296,941",Asia,53,"3,251",6,180,2,"1,415"
21,Netherlands,"1,954,233","+2,347","18,037",+2,"1,863,086","+2,898","73,110",215,"113,753","1,050","16,718,169","973,143","17,179,555",Europe,9,952,1,137,0.1,"4,256"
22,Iraq,"1,917,292","+4,897","21,100",+58,"1,771,707","+7,706","124,485",812,"46,443",511,"14,530,450","351,976","41,282,491",Asia,22,"1,957",3,119,1,"3,015"
