#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
29,South Africa,"3,735,578","+1,659","100,132",+16,"3,624,451","+2,354","10,995",175,"61,605","1,651","24,116,414","397,711","60,637,961",Africa,16,606,3,27,0.3,181
30,Portugal,"3,709,026","+11,373","21,970",+12,N/A,N/A,N/A,61,"365,643","2,166","40,534,335","3,995,951","10,143,853",Europe,3,462,0,"1,121",1,"79,938"
31,Philippines,"3,682,083",+233,"59,891",+113,"3,597,058","+1,241","25,134",289,"32,825",534,"29,224,500","260,529","112,173,722",Asia,30,"1,873",4,2,1,224
32,Canada,"3,604,570","+13,969","38,165",+70,"3,361,991","+5,352","204,414",407,"94,039",996,"60,083,036","1,567,501","38,330,466",North America,11,"1,004",1,364,2,"5,333"
33,Peru,"3,552,467",,"212,528",,N/A,N/A,N/A,378,"105,139","6,290","29,255,017","865,833","33,788,298",South America,10,159,1,,,"47,924"
34,Switzerland,"3,551,790",,"13,767",,"3,105,701",,"432,322",103,"405,125","1,570","20,548,491","2,343,806","8,767,147",Europe,2,637,0,,,"49,312"
35,Chile,"3,518,800","+2,922","57,098",+4,"3,257,514","+12,848","204,188",379,"181,307","2,942","36,244,665","1,867,518","19,407,929",South America,6,340,1,151,0.2,"10,521"
36,Greece,"3,206,948","+11,061","28,344",+70,"3,023,257","+21,033","155,347",345,"310,373","2,743","77,162,026","7,467,862","10,332,546",Europe,3,365,0,"1,071",7,"15,035"
37,Denmark,"2,943,116","+2,118","5,945",+13,"2,902,283","+4,152","34,888",22,"504,955","1,020","127,021,135","21,793,232","5,828,467",Europe,2,980,0,363,2,"5,986"
38,Romania,"2,877,544","+1,602","65,285",+27,"2,606,660",,"205,599",253,"151,374","3,434","22,396,439","1,178,167","19,009,562",Europe,7,291,1,84,1,"10,816"
39,Sweden,"2,491,980",,"18,472",,"2,450,948",+405,"22,560",22,"244,043","1,809","18,445,431","1,806,388","10,211,225",Europe,4,553,1,,,"2,209"
40,Iraq,"2,322,551",+248,"25,188",+2,"2,290,436",+598,"6,927",23,"55,528",602,"18,409,261","440,136","41,826,345",Asia,18,"1,661",2,6,0.05,166
41,Serbia,"1,992,677","+1,057","15,906",+7,"1,951,872","+3,627","24,899",26,"229,709","1,834","9,338,695","1,076,531","8,674,805",Europe,4,545,1,122,0.8,"2,870"
42,Bangladesh,"1,952,162",+31,"29,124",,"1,889,879",+274,"33,159","1,283","11,647",174,"13,905,661","82,966","167,606,297",Asia,86,"5,755",12,0.2,,198
43,Hungary,"1,876,946","+2,740","45,838",+26,"1,742,051","+6,122","89,057",47,"195,175","4,766","11,233,362","1,168,105","9,616,742",Europe,5,210,1,285,3,"9,261"
44,Slovakia,"1,757,117","+2,538","19,643",+25,"1,683,932","+6,767","53,542",130,"321,560","3,595","6,995,626","1,280,232","5,464,344",Europe,3,278,1,464,5,"9,798"
45,Jordan,"1,694,216",,"14,048",,"1,678,941",,"1,227",124,"163,169","1,353","16,670,254","1,605,501","10,383,207",Asia,6,739,1,,,118
46,Georgia,"1,652,235",+266,"16,781",+2,"1,632,194",+348,"3,260",,"415,599","4,221","16,627,678","4,182,481","3,975,554",Asia,2,237,0,67,0.5,820
47,Pakistan,"1,526,829",+101,"30,362",,"1,487,073",+113,"9,394",262,"6,682",133,"27,805,841","121,681","228,514,903",Asia,150,"7,526",8,0.4,,41
48,Ireland,"1,496,910","+2,096","6,919",+16,"1,346,830","+2,081","143,161",58,"297,251","1,374","11,942,846","2,371,570","5,035,840",Europe,3,728,0,416,3,"28,428"
49,Norway,"1,418,431",+800,"2,783",,N/A,N/A,N/A,20,"258,056",506,"11,002,430","2,001,677","5,496,606",Europe,4,"1,975",0,146,,"241,366"
50,Kazakhstan,"1,305,327",+12,"13,660",,"1,290,720",+41,947,24,"68,071",712,"11,575,012","603,621","19,175,968",Asia,15,"1,404",2,0.6,,49
51,Hong Kong,"1,194,295","+1,272","8,948",+62,N/A,N/A,N/A,115,"157,038","1,177","44,972,952","5,913,514","7,605,115",Asia,6,850,0,167,8,"154,122"
52,Morocco,"1,164,189",+54,"16,061",,"1,147,424",+69,704,293,"30,890",426,"11,237,010","298,157","37,688,292",Africa,32,"2,347",3,1,,19
